text,date
Path TL from a large academic center using E1L3N on Leica LDT reported that since 1st line pembro approval pulm med oncs have complained that PD-L1 expression is routinely low and requested re-validation,1482210000.0
"Path TL (IHC CAP committee) reported that CAP is releasing a PD-L1 proficiency test offered in 2017
-It will be antibody and platform agnostic
-Blinded samples will be sent by TMA to any lab who requests
-CAP will collect all data and potentially publish any interesting anomalies
-TL predicts that most clinical labs will certify 1 test and most diagnostic companies will certify all PD-L1 tests they offer",1481691600.0
"Path TL states that there were a few 22C3 requests when pembro was approved 1L but once the oncologists were educated in PD-L1 testing they were ok with E1L3N LDT
-TL states that if reimbursement doesn't care about the antibody or assay then bringing in-house an FDA-approved IVD is not necessary",1481691600.0
"Path TL stated they do PD-L1 testing on all types of tissue and cytology samples except for smears and do not require a minimum of exactly 100 tumor cells
-Path TL said that 95% of the time there is no matching H&E slide and therefore it can be hard to know what they are looking at (macrophages etc.)",1481691600.0
"Path TL states there have been 200 lung cases tested reflexively in the last 6 months
-TL reports that less than 10% of lung cases seen have had 50% PD-L1 expression or higher",1481691600.0
"Path TL reports percent tumor cells positive and percent tumor infiltrating lymphocytes positive
-TL states that if the percent tumor score is above 1% then the report states that ""the result is considered positive""
-Lymphocytes are not included in the ""result""",1481691600.0
"Path TL believes that if the sample is above 30% positive expression patient will respond to therapy
-TL believes that PD-L1 is a terrible biomarker so if the oncologists wants the patient to be positive, then TL considers over 1% pretty much the same as 5% or 30%
-TL stated that we take for granted the origin of biopsy tissue, expression heterogeneity, and the preanalytical factors",1481691600.0
Path TL reports Ventana has trained TL and 4 other pathologists at TL's center on SP142 scoring in bladder and lung but there have been zero requests,1481259600.0
Path TL stated that Integrated Oncology sends the 28-8 testing to a third party and they don't send back a stained slide so TL refuses to send out for 28-8 testing,1481259600.0
"Path TL reports since pembro 1st line approval TL has  integrated PD-L1 test ordering into EPIC system and is available for all solid tumors
-There are 2 check boxes in EPIC for ordering testing:
1. ""PD-L1 keytruda/pembrolizumab (IHC)""
2. ""PD-L1 opdivo/nivolumab (IHC)""
-Since integrating with EPIC, requests increased to 2-3/day
-TL states more experienced/specialized oncs all select ""PD-L1 keytruda"" while oncs at satellite centers or less experienced oncs select both boxes
-TL said no one ever selects ""PD-L1 opdivo"" box alone",1481259600.0
"Path TL send all tests out to Integrated Oncology for 22C3 testing only
-TL reviews all reports and stained slides sent back from Integrated Oncology
-TL reports he has found 2 mistakes, both were false negatives as the pathologist read the negative control instead of the stained slide
-TL sent back and they corrected the error both times",1481259600.0
"Path TL is validating 22C3 on the Ventana platform in-house and has just completed antibody titration
-TL is using the protocol published in August in JTO by Neuman et. al. for the LDT",1481259600.0
"Path TL states report states tumor proportion score (TPS), pathologist interpretation as ""positive"" or ""negative"" and a space for comment",1481173200.0
Path TL stated 1-3 cases come in per day since pembro 1L approval and all are reflex tested on 22C3 IVD in-house,1481173200.0
"Pathology TL at a mid-size academic center has completed validation of 22C3 IVD 12/2/2016, testing is now available in-house.
-TL reported validation of platform and antibody were simple and straightforward
-TL reported training by watching Dako online module for scoring
-TL reported training on scoring was an ""uphill battle""",1481173200.0
