text,date
"Academic TL commented from the podium that the ORR of I-O in H&N are somewhat discouraging. NNT is about 13; however when you have a patient that responds, it is durable. Also commented that the QoL data from -141 was important and striking because they rarely see data like this.",1466827200.0
"In response to a question following presentation at an ASCO review, TL commented that you will know within first few months if I-O therapy is working in H&N. He and his colleagues have discussed pseudoprogression, and the consensus is that it doesn't happen in H&N.",1466827200.0
"TL complimented BMS on the scientific rigor of the H&N 141 trial. He mentioned the following: randomized phase 3 study, had a comparator arm that included IC of therapy, patients were not required to fail cetuximab. These factors give him more confidence in the nivolumab data vs pembrolizumab.",1466222400.0
Local lung TL at VA hospital system told me that the local hospital P&T reviewed the pembro H&N data for potential inclusion at the local VA but decided that the data based on ORR was not strong enough to approve and thus they have not added pembro for H&N at their VA hospital.,1477281600.0
"A national H&N Tl told me that ""psuedoprogression is incredibly uncommon in SCCHN"" occurring at about 2%, and they would not continue treatment unless the patient has low tumor burden/HPV+/good PS.",1469592000.0
"National H&N TL said during GR that in Checkmate 141, nivo and ic OS tracked during the first three months which was surprising to them.   They said the OS rate was similar to KN-012 and that PD-L1- patients ""derived little benefit"" from nivo.",1469592000.0
"An HCP told me that since the H&N approval, that she has had several patients that have NOT progressed after platinum treatment that want to know if they are eligible.  ""Patients are excited that they have another option for their treatment.""  She told me that one patient, whom she stated ""Clearly had done some homework,"" was questioning if they could get just a few doses of Nivo to see if they could boost their immune system before progression (after platinum).",1480568400.0
"Local TL stated that the SCCHN data is good, but mentioned that she thought the QOL data should have been put in the label  She stated that QOL data does make a difference because, although the PD1's are the 'same' only one is showing data of what they are all seeing (that patients are feeling better while on treatment).",1479704400.0
"SCCHN RTL was surprised that we received approval for recurrent/metastatic SCCHN this late when the 141 trial was already incorporated into the guidelines.  He had been using nivo prior to guideline inclusion because of the OS endpoint.  While Merck was approved first, he stated he's still driven by data and a Phase 3 study with OS is a ""win-win"" for him.",1478840400.0
TL at academic institution says that they are opening the KESTREL trial (durva/treme) in H/N soon,1468468800.0
"TL at academic institution says that she is interested in seeing the data for nivo in the 1st line setting or SCCHN. however, many metastatic patients have bulky disease. There is a delayed benefit with PD-1 monotherapy that may be unacceptable for patients with very aggressive bulky disease",1468468800.0
"TL at academic institution says that she is interested in seeing the data for nivo in the 1st line setting or SCCHN. however, many metastatic patients have bulky disease. There is a delayed benefit with PD-1 monotherapy that may be unacceptable for patients with very aggressive bulky disease",1468468800.0
"During a discussion focusing primarily on research interests, a RAI/advisor to an NCCN H&N panelist/member of the NCCN Steering Committee shared the following unsolicited insights:
• As Director of the Fellowship Program at a large academic center, is concerned about fellows/residents lack of familiarity with the detection/management of IMARs. Training of fellows, residents, and ER personnel is not enough. Must be supplemented by better patient education, possibly using the Opdivo Patient Monitoring Checklist as a starting point.",1475208000.0
"A regional AI and H&N cancer NCCN panelist shared the following unsolicited insights regarding treatment strategies for SCCHN:
Nivo is the new 2L SOC for patients with R/M SCCHN regardless of P16 and PDL1 status based on demonstrated survival and HRQoL benefit compared to CT. However, H&N is hard, nivo only provides an incremental improvement; far more is needed, including probably far more than nivo+ipi.",1476849600.0
"At UMMC Cancer 2016 ASCO and other Highlights Meeting (08/19/16), the speaker for H&N Cancer (Vamsidhar Velcheti, Lemer College of Medicine, Cleveland, OH) described OS, PFS, and ORR as being very similar with nivo and pembro in CM141 and KN 012/055. He indicated that patient populations were slightly more pretreated in KN 012/055 than in CM 141 without highlighting the other differences among these studies.",1471838400.0
"On 07/22, a speaker at the 11th Annual New Orleans Summer Cancer Meeting indicated that: 
•	Study Checkmate 141 showed a striking 1-year OS benefit in favor of nivolumab. This result will lead to approval (but pembro approved first?). Subgroup analyses also indicate that nivolumab can be used in almost everybody. Efficacy seems to be lower in P16-negative and PD-L1-negative patients, but it is still too early to make final conclusions.",1469505600.0
RTL from NCI cancer center noted that cooperative group is looking to do a study in smoldering myeloma and want to partner Rd with a monoclonal antibody.,1463630400.0
"TL feels that Empliciti is ""dead in the water"" based on our labeled indication. Stated that it seems more like a plug for use in the maintenance setting, for which we have no data. Thinks the idea of using Empliciti earlier, and adding it to up front Rev therapy will prove to be more beneficial.",1464840000.0
"AI at NCCN center on Opdivo in HN...Stated data in HN for opdivo being phase 3 with OS data definitely gives significant advantage over keytruda in same ""space""",1471752000.0
"I met with NCCN panelist for HN and two other MDs at his hospital
They feel right now PD1 inhibitors are standard second line HN.  This is their SOC and they have not had any pushback (have not needed a single appeal) from any payer at their institution.  They consider Nivo and Pembro equivalent.",1466740800.0
"HCP at large institutional practice in S FL reports he has one patient to begin opdivo for cHL. 
Pt is s/p auto, s/p auto BV and s/p MRD allo transplant (approx 1 year ago).",1465531200.0
"A managed care plan from New England with 70% of its clients on Medicaid indicated that their formulary is managed by an external PBM.  They do not have sufficient resources internally to evaluate all the approvals for different IO agents and maintain their formulary.  Though their medical policy does not yet include nivolumab in SCCHN, their director assured as this delay is purely bureaucratic and that nivolumab will be reimbursed in SCCHN as in other approved indications.",1481259600.0
National TL has no issues with daratumumab except for extended infusion times.  No issues with infusion reactions.,1463371200.0
AI at an NCCN center in the midwest stated that Nivo will be added to the core pathways and Pembro will not be added for H&N. She stated a publication with either Phase 2 or 3 data is needed for addition.,1480568400.0
"NCCN panelist in the midwest stated when asked how the H&N panel decides on category designation stated the following: A randomized controlled clinical trial is needed for Category 1 designation. When asked whether a poster, publication, or FDA label would prompt the change, he stated the clinical trial design is most important and thanked BMS for conducting a robust trial.",1479704400.0
NCCN panelist (med onc treater) for head and neck cancer in the midwest stated that the panel reviewed and discussed the most up to date guidelines for Head and Neck on August 12th. He stated the new version of the guidelines should be published in the next 1-2 months.,1471233600.0
"During a profiling exercise with a H&N panelist at an NCCN center, AI stated in an unsolicited comment the Nivo QOL is ""the best,"" and he will highlight that data at his next post ASCO talk. He believes that data is impactful. He mentioned Pembro doesn't have that data",1466136000.0
"During a profiling exercise, an NCCN H&N panelist offered the following unsolicited insights:
•	When asked how he treats LA-SCCHN he stated the following
o	First surgery
	After surgery with minimal dz, pt would get RT
	After surgery with moderate dz, pt would get a plateium therapy
	After surgery with bulky dz, pt would get chemo/RT
•	He does not test for PDL1 expression but does test for P16
•	Research gaps-he's like to see a trial sequencing I/O then chemo. He believes patients respond to chemo better post I/O.",1466136000.0
"During a profiling exercise with a H&N panelist at an NCCN center, AI stated he defines refractory the same as we defined it in 141 (which he stated is a better design that the Pembro trial where you had to fail both cetuximab and a platinum therapy)",1466136000.0
"During a profiling exercise with a H&N panelist at an NCCN center, AI stated in an unsolicited comment he was surprised the FDA will allow Merck to have labeled indication without a comparator arm in their trials given the fact that there is a drug with proven efficacy that has a comparator arm",1466136000.0
"NTL from a major academic institution at a clinical trials conference mentioned that, while single agent immune checkpoint blockade represents a major advance (e.g., atezolizumab) in platinum-resistant metastatic urothelial cancer, most patients will NOT benefit and there is a need for combinatorial strategies both with other immune-targeting agents and novel approaches.",1463889600.0
Academic TL shared that the pressing unmet need in her clinic with regards to H&N cancer are those special populations (i.e. Those excluded from IO clinical trials) and those patients who are refractory to anti-PD1 therapy referred in by community,1479445200.0
"Recent meeting with Local TL surrounding HN indication led to QoL discussion. HCP stated how he believes that QoL data is highly valued, as much so as OS and Safety, and looks for it consistently when choosing a therapy for his patients",1480914000.0
