text,date
Regional Health Plan has good foundational knowledge. The process they follow is that the product use must fall within the indications or guidelines.  The pharmacy director is the decision maker if the product use is outside both of those.,1457326800.0
"TL reports about 15-20% of lung patients are >50% staining for PD-L1 expression, the vast majority are 1-49%",1477627200.0
"At a Lung Cancer Symposium in Puerto Rico the presenter highlighted the following as the main characteristics of I-O: proven efficacy, sustained duration of response, specific and manageable toxicity, less toxicity compared to chemo, possibility of being used in patients with compromised performance status, combination therapy is possible, delayed responses can occur, and low index of CR (usually PR or SD).",1456462800.0
Several TLs have commented that Merck's strategy is to promote the need to test for PD-L1 with Keytruda in NSCLC as an advantage since you can prescribe a drug to which the patient is more likely to respond.,1460692800.0
"A TL with academic affiliation commented that, as of today, the only reason to perform a PD-L1 test is if you are considering Keytruda as an alternative for NSCLC patients. One of the problems is that usually there is not enough tissue to perform all the tests he would like to order. For NSCLC, he initially requests the full panel of tests and, if the pathology lab says there is not enough tissue, he then prioritize in the following other: EGFR, then ALK, then ROS, and last PD-L1.",1460692800.0
"A TL with academic affiliation commented that Genoptix has the PD-L1 test available and is offering it as part of the lung panel. Their business model is that they order the full panel of tests and then bill the health plan to see which are covered. If the health plan does not provide coverage to certain tests they ask for health plan reconsideration but never send a bill to the patient. In his opinion Genoptix provides excellent service. Test results were available within a week. Initially he tried performing the PD-L1 test with Quest but there was a lot of delay and, at the end, it was impossible to get the results.",1460692800.0
"A TL, clinical trials PI and AI commented that she is very interested in Opdivo's 1st line NSCLC data. She believes it has the potential to become the SOC in 1st line. Based on the impressive results in 2nd line, she believes Opdivo will be even better in the 1st line setting since the patient's immune system is expected to be stronger in a patient that has not received chemo.",1460001600.0
"A TL shared that he has not had a good experience with Opdivo in NSCLC patients that have been refractory to multiple lines of therapy. He has recently treated 4 highly refractory patients that tolerated treatment well but none of them benefited from Opdivo treatment. He believes this is due to patients having highly pre-treated, very advanced disease that progressed so rapidly they did not had time to receive enough Opdivo treatment to elicit an immune response and achieve clinical benefit. Therefore, he considers that Opdivo is more effective when used earlier. If it is used in 2nd line, where the patient does not have very advanced, highly refractory disease, there is more probability of achieving a clinical benefit. Also, this patient population potentially has a better immune system since has not received multiple lines of chemo that can compromise their immune function.",1458014400.0
"A TL shared the case of a NSCLC patient that developed new liver mets while receiving Opdivo treatment. Other than that, the patient is doing very well clinically, performance status is stable, and does not have any symptoms. He expressed these are the most difficult cases when trying to differentiate pseudoprogression from real progression. If there is only increased size of existing lesions and the patient is doing well, it is easier for him to consider pseudoprogression. When a patient develops new lesions, especially when there are several of them, but is doing well clinically and is tolerating treatment, it is more difficult for him to say it is pseudoprogression. Considers there is a high unmet need in performing research to identify objective tests that can be used to differentiate pseudoprogression from true progression.",1458014400.0
"At a Lung Cancer Symposium in Puerto Rico the presenter, when discussing 057 results, highlighted the lack of separation of the docetaxel and nivolumab OS curves during the first 6 months. Commented he has no clear explanation for this observation. Possible explanations hypothesized by him include delayed response of nivolumab, longer duration of response for nivolumab compared to docetaxel results in more patients alive in the long run, different disease with different biology compared to SQ NSCLC. Presenter also questioned why the early separation observed in the SQ NSCLC population was not seen in the NSQ population. Commented that has no clear explanation for this observation either. Stated that it is important to remember that SQ and NSQ NSCLC are different diseases that have been previously shown to respond differently to treatment.",1456462800.0
