text,source_type,date,title,text
"Local TL felt Opdivo for relapsed CHL very narrow and would not have much opportunity to use it but he did have an off label use of a patient that refused all chemotherapy but was willing to go on immunotherapy as it was more in line with her beliefs and need to avoid chemotherapy and intensive treatment.  He is treating a 44 y.o , frontline HL with monotherapy Opdivo which was the only agent she agreed to use.",Unknown,1468468800.0,,"Local TL felt Opdivo for relapsed CHL very narrow and would not have much opportunity to use it but he did have an off label use of a patient that refused all chemotherapy but was willing to go on immunotherapy as it was more in line with her beliefs and need to avoid chemotherapy and intensive treatment.  He is treating a 44 y.o , frontline HL with monotherapy Opdivo which was the only agent she agreed to use."
LTL mentioned that he is impressed with the DVd data presented at ASCO. He provided the exact HR from this study and mentioned MM is not curable but this data is impressive. He is a believer in Dara and has several patients on it currently. He mentioned that he has a patient in mind for either Elo or Dara and went with Dara. At this time he is using Dara as single agent but sounds like in earlier lines of therapy than its current indication. He feels that eventually all agents will be utilized in this disease but no Elo patient currently. We discussed that if patients have Dara exposure in earlier lines of therapy is there still an opportunity to use it in the salvage setting or is that opportunity lost...,Unknown,1465444800.0,,LTL mentioned that he is impressed with the DVd data presented at ASCO. He provided the exact HR from this study and mentioned MM is not curable but this data is impressive. He is a believer in Dara and has several patients on it currently. He mentioned that he has a patient in mind for either Elo or Dara and went with Dara. At this time he is using Dara as single agent but sounds like in earlier lines of therapy than its current indication. He feels that eventually all agents will be utilized in this disease but no Elo patient currently. We discussed that if patients have Dara exposure in earlier lines of therapy is there still an opportunity to use it in the salvage setting or is that opportunity lost...
RTL mentioned that the Nivo data in cHL is incredible. To have this type of responses in this patient population is encouraging and is impressed with the ORR and DOR data.,Unknown,1468209600.0,,RTL mentioned that the Nivo data in cHL is incredible. To have this type of responses in this patient population is encouraging and is impressed with the ORR and DOR data.
Pharmacist in the Boston are mentioned that in cHL Opdivo has a higher rate of infusion related reactions. Since this rate is higher than what we see in other indications is there a need for pre-medication?,Unknown,1467086400.0,,Pharmacist in the Boston are mentioned that in cHL Opdivo has a higher rate of infusion related reactions. Since this rate is higher than what we see in other indications is there a need for pre-medication?
Young cHL patients who relapse do not do well on brentuximab and/or SCT.,Unknown,1474862400.0,,Young cHL patients who relapse do not do well on brentuximab and/or SCT.
"When discussing how long patients should receive nivo post auto-SCT failure and BV failure, a medical oncologist and advisor to the NCCN panelist for cHL at a large academic institution in the HSL South territory responded: ""who knows; there are very few data available. If both the option of nivo to progression and the option of nivo as a short-term bridge to all-SCT appear reasonable, the best course of action is probably to refer the patient to a large allo-SCT center for an individualized, patient-centered decision"".",Unknown,1470801600.0,,"When discussing how long patients should receive nivo post auto-SCT failure and BV failure, a medical oncologist and advisor to the NCCN panelist for cHL at a large academic institution in the HSL South territory responded: ""who knows; there are very few data available. If both the option of nivo to progression and the option of nivo as a short-term bridge to all-SCT appear reasonable, the best course of action is probably to refer the patient to a large allo-SCT center for an individualized, patient-centered decision""."
"A regional lung TL told me that if you were to compare responses to Nivo and Pembro according to PDL1 expression thresholds, the difference between the respective agents would be ""huge"" in favor of Nivolumab.",Unknown,1465876800.0,,"A regional lung TL told me that if you were to compare responses to Nivo and Pembro according to PDL1 expression thresholds, the difference between the respective agents would be ""huge"" in favor of Nivolumab."
LTL stated that she does not feel the need to use BEACOPP in most cHL patients and that she has not used Stanford V in practice.,Unknown,1466136000.0,,LTL stated that she does not feel the need to use BEACOPP in most cHL patients and that she has not used Stanford V in practice.
AI and NCCN panelist in midwest stated that for both PD1 agents in cHL the RR is very good (60-70) but the 10-20% cRR still need to do better.  Noted heavily pre-treated pop.  Felt a big step will be first line w/o bleo,Unknown,1468641600.0,,AI and NCCN panelist in midwest stated that for both PD1 agents in cHL the RR is very good (60-70) but the 10-20% cRR still need to do better.  Noted heavily pre-treated pop.  Felt a big step will be first line w/o bleo
TL at acedemic center in midwest on Nivo and cHL per label added she agreed with importance of issue of GVHD in Nivo both before and after allo tx,Unknown,1469160000.0,,TL at acedemic center in midwest on Nivo and cHL per label added she agreed with importance of issue of GVHD in Nivo both before and after allo tx
