text,source_type,date,title,text
"A community based TL shared that he prefers to use Nivolumab over Pembrolizumab, because he rather see his pts more frequently. Also, Nivolumab has RCC indication, as well an unrestrictive lung indication regardless of PD-L1 status.",Unknown,1458792000.0,,"A community based TL shared that he prefers to use Nivolumab over Pembrolizumab, because he rather see his pts more frequently. Also, Nivolumab has RCC indication, as well an unrestrictive lung indication regardless of PD-L1 status."
"A TL commented that melanoma treatment has evolved so quickly, including not only several new agents available but especially Opdivo having many approvals in a short timeframe, that some oncologists may feel overwhelmed. Considers that education by BMS is key to help physicians understand Opdivo's clinical data and appropriate patient types for Opdivo + Yervoy Regimen and Opdivo monotherapy.",Unknown,1454994000.0,,"A TL commented that melanoma treatment has evolved so quickly, including not only several new agents available but especially Opdivo having many approvals in a short timeframe, that some oncologists may feel overwhelmed. Considers that education by BMS is key to help physicians understand Opdivo's clinical data and appropriate patient types for Opdivo + Yervoy Regimen and Opdivo monotherapy."
"A TL commented that her experience with Yervoy as monotherapy in metastatic melanoma has not been good, both from an efficacy and safety standpoint. Therefore she is more inclined to prescribe Opdivo monotherapy than the regimen in the 1st line setting. After discussing the regimen MOA, rationale for combining both drugs, clinical trial data, and safety profile she stated that it makes perfect sense to combine Yervoy with Opdivo and that it was clearly reflected by the outstanding clinical response compared to monotherapy. Therefore, she is now inclined to use the regimen for her next 1st line metastatic melanoma patient since this is a very aggressive disease where there is no time to waste. You want the best clinical efficacy available in 1st line.",Unknown,1457672400.0,,"A TL commented that her experience with Yervoy as monotherapy in metastatic melanoma has not been good, both from an efficacy and safety standpoint. Therefore she is more inclined to prescribe Opdivo monotherapy than the regimen in the 1st line setting. After discussing the regimen MOA, rationale for combining both drugs, clinical trial data, and safety profile she stated that it makes perfect sense to combine Yervoy with Opdivo and that it was clearly reflected by the outstanding clinical response compared to monotherapy. Therefore, she is now inclined to use the regimen for her next 1st line metastatic melanoma patient since this is a very aggressive disease where there is no time to waste. You want the best clinical efficacy available in 1st line."
"A TL, clinical trials PI, and AI commented that the 60% reduction in PFS of the Opdivo + Yervoy Regimen compared to Yervoy in metastatic melanoma is extremely impressive and considers the adverse event profile manageable. Therefore, it should be the SOC.",Unknown,1455598800.0,,"A TL, clinical trials PI, and AI commented that the 60% reduction in PFS of the Opdivo + Yervoy Regimen compared to Yervoy in metastatic melanoma is extremely impressive and considers the adverse event profile manageable. Therefore, it should be the SOC."
"A TL, clinical trials PI, and AI commented that, as part of her role as a consultant for Oncology Analytics (oncology pathways company), she has recently received several requests from oncologists to use the Opdivo + Yervoy Regimen in patients with metastatic melanoma that had progressed after previous therapy with Yervoy. Therefore, she considers there is a need for Regimen data in this scenario.",Unknown,1455598800.0,,"A TL, clinical trials PI, and AI commented that, as part of her role as a consultant for Oncology Analytics (oncology pathways company), she has recently received several requests from oncologists to use the Opdivo + Yervoy Regimen in patients with metastatic melanoma that had progressed after previous therapy with Yervoy. Therefore, she considers there is a need for Regimen data in this scenario."
A TL commented regarding 067 data that Opdivo + Yervoy Regimen mPFS is something never seen before. It is now his 1st option for all metastatic melanoma patients.,Unknown,1455253200.0,,A TL commented regarding 067 data that Opdivo + Yervoy Regimen mPFS is something never seen before. It is now his 1st option for all metastatic melanoma patients.
"A TL and BMS speaker commented that the best treatment option for 1st line metastatic melanoma patients is Opdivo + Yervoy Regimen. There is an increase in toxicity but manageable with available algorithms. He will prescribe the Regimen in most of his 1st line patients irrespective of age. One exception in which he will prefer Opdivo monotherapy is for patients with poor compliance with appointments, that are frequently lost to follow-up. His main concern is that the patient will not contact the office when an adverse event occurs and will wait until it is too late. The other exception is patients with poor PS and comorbidities unable to tolerate its AE profile.",Unknown,1454994000.0,,"A TL and BMS speaker commented that the best treatment option for 1st line metastatic melanoma patients is Opdivo + Yervoy Regimen. There is an increase in toxicity but manageable with available algorithms. He will prescribe the Regimen in most of his 1st line patients irrespective of age. One exception in which he will prefer Opdivo monotherapy is for patients with poor compliance with appointments, that are frequently lost to follow-up. His main concern is that the patient will not contact the office when an adverse event occurs and will wait until it is too late. The other exception is patients with poor PS and comorbidities unable to tolerate its AE profile."
"A TL and BMS speaker commented that looking at the PFS KM Curve from 067 it was very revealing seeing the very impressive difference in PFS between Yervoy monotherapy and the Opdivo + Yervoy Regimen. For him, Yervoy was a breakthrough being the first checkpoint inhibitor and first treatment that provided the possibility of long term survival for melanoma patients. But now looking into that graph it is evident that Opdivo is an improvement over Yervoy and now the Regimen is an impressive improvement over both monotherapies. It is amazing to see how the science of Immuno-Oncology has evolved so quickly optimizing treatment options for melanoma patients. Based on this data, the Regimen should be the new SOC in 1st line metastatic melanoma.",Unknown,1454994000.0,,"A TL and BMS speaker commented that looking at the PFS KM Curve from 067 it was very revealing seeing the very impressive difference in PFS between Yervoy monotherapy and the Opdivo + Yervoy Regimen. For him, Yervoy was a breakthrough being the first checkpoint inhibitor and first treatment that provided the possibility of long term survival for melanoma patients. But now looking into that graph it is evident that Opdivo is an improvement over Yervoy and now the Regimen is an impressive improvement over both monotherapies. It is amazing to see how the science of Immuno-Oncology has evolved so quickly optimizing treatment options for melanoma patients. Based on this data, the Regimen should be the new SOC in 1st line metastatic melanoma."
A TL and Access Influencer commented that the difference in PFS between Yervoy and Opdivo + Yervoy Regimen in 067 is extremely impressive. Clear example of how by combining two I-O agents clinical efficacy can markedly improve. The Opdivo + Yervoy Regimen should be the new SOC in 1st line metastatic melanoma.,Unknown,1454994000.0,,A TL and Access Influencer commented that the difference in PFS between Yervoy and Opdivo + Yervoy Regimen in 067 is extremely impressive. Clear example of how by combining two I-O agents clinical efficacy can markedly improve. The Opdivo + Yervoy Regimen should be the new SOC in 1st line metastatic melanoma.
"A Regional TL clinical trials PI with academic affiliation at a VA hospital commented, regarding Yervoy adjuvant, that he will prefer using the 3mg/kg dose for only 4 doses also in this setting. He believes the 10mg/kg dose including a maintenance phase is too high and will result in more toxicity.",Unknown,1454648400.0,,"A Regional TL clinical trials PI with academic affiliation at a VA hospital commented, regarding Yervoy adjuvant, that he will prefer using the 3mg/kg dose for only 4 doses also in this setting. He believes the 10mg/kg dose including a maintenance phase is too high and will result in more toxicity."
