text,date
"Met with AVP over specialty pharmacy at regional IDN with > 40 hospitals.  He expressed frustration with the limited distribution network for Revlimid.  He was interested in exploring a study to assess time to treatment and any potential delays, outcomes, and costs with patients not being about to get therapy with Revlimid backbone including Empliciti.  He thought that there could be a way to improve the patient care experience by understanding how infused drug administration for MM coincides with potential oral chemotherapies and its impact on coordination of care of combining these two processes.  We discussed running feasibility on Empliciti and newer therapies specific to the newer therapies.",1474603200.0
RTL in the Boston area mentioned  that he is still following 6 patients from the original ipi post allo study. Mentioned that one MM patient was at PR for 1 year then transformed to CR. He is not sure what caused this transformation but possibly related to immune memory,1474862400.0
LTL mentioned that Elo is forgotten due to the recent Dara data publications. TL is using Dara in earlier lines of therapy and in salvage settings. She mentioned that they have figured out necessary premeds for Dara and infusion reactions are now not an issue. She has one patient on Elo in a clinical trial but otherwise has not used it. She mentioned Elo needs new data to come out otherwise the excitement of Elo is lost. She mentioned that she may have a non-aggressive relapse patient that she is possibly considering Elo.,1468296000.0
"A RTL mentioned they have been using nivolumab in bladder patients, but also mentioned that with the approval of atezolizumab they are very eager to start using atezo in this patient population.",1464840000.0
Thought Leader said that carfilzomib plus pomalidomide combination is best to get m proteins down quickly.,1474862400.0
DARA data shows it to be the best I/O agent in RR MM.,1474862400.0
TL said that he is working on the possibility of stimulating NK cells with vaccine therapy to work with SLAMF-7 better in MM.,1474862400.0
RTL for MM at a large academic described that their Heme group decided to turned down the 209-602 trial because of concerns over the Pd control arm. Their group felt that triplet therapies are preferred. In addition they have a Pembrolizumab ISR trial which is close to opening.,1464235200.0
"RTL mentioned that Daratumumab has a long half life. His center is participating in checkpoint inhibitor trials for MM, and the concern for accrual has been that patients need to be off of daratumumab for at least 5 half lives before being able to go onto a checkpoint inhibitor trial.",1475467200.0
RTL mentioned that they are using pembrolizumab off label for RRMM.,1473912000.0
"6 million life plan in the midwest looking to restrict regimen by PDL1 expression and BRAF status based on PFS as an endpoint in 067. ""Is it worth it to spend the extra money for regimen vs nivo for a small/no increase in PFS?"" They were keenly aware that the trial was not designed to compare Nivo to regimen statistically; however, they were comparing them numerically. After advising the payor to look beyond PFS (due to potential pseudo progression) and look at ORR/6% high for regimen/best chance at a respone with regimen, the payor agreed it makes sense to cover regimen for all patients.",1463198400.0
"RTL from a major academic institution at a clinical trials conference discussed AFT 09: Randomized Phase II Trial Evaluating the Optimal Sequencing of PD-1 Inhibition with Pembrolizumab (MK-3475) and Standard Platinum-based Chemotherapy in Patients with Previously Untreated Stage IV NSCLC.

1st line stage IV NSCLC (n=90, PS 0-1, treated CNS mets allowed) are randomized 1:1 to either 4 rounds of chemo [carbo + paclitaxel (sq) or carbo + pemetrexed (non-sq)], then 4 doses of pembro OR vice-versa sequence, ending with pembro for 1 yr or PD.  Stratification: PD-L1 status, histology (sq vs. non-sq).  Primary endpoint: ORR.

Activated: 03/17/2016.  As of 05/01/2016:
# Sites Opened: 30
# Screened: 3
Target /Current Accrual: 95/4
Accrual Last 90/30 Days: 4/4
Planned Accrual Rate: 8/month",1463889600.0
