text,source_type,date,title,text
"We met with a small regional health plan for primarily an introductory meeting.They were very aware of the 026 data.  They shared that last year they had attempted to develop oncology specific guidelines/pathways and that it became very challenging due to the fast pace of change in the therapeutic area. They found that most of what they were aligning to was in the NCCN guidelines, so they decided to use them, and the product label as an overarching guide to coverage. They asked about the cost of regimen.  They were aware of the Yervoy APP.They had very little as far as questions about 026 and ESMO, as I think we covered the issues in advance of any questions that they may have had.  They did say it was commendable that a broad patient population was studied and understood that the cuts by various levels of PDL-1 did not hold up due to study design.  We also clarified with them the rationale of using PFS vs OS due to cross over anticipation of the chemo group to the standard of care, and with that reinforced the 2nd line standard of care – Opdivo.  The only real question they had came when stating that our belief of 1st line therapy was to not only take off the brakes with a PDL-1 inhibitor, but to also step on the gas with a CTLA in combination, they asked if we were doing anything to temper the cost of the combination therapy.  With that we discussed the various study designs we are doing such as in 012, where we testing a lower Ipi dose as well as the dose intervals.",Unknown,1476331200.0,,"We met with a small regional health plan for primarily an introductory meeting.They were very aware of the 026 data.  They shared that last year they had attempted to develop oncology specific guidelines/pathways and that it became very challenging due to the fast pace of change in the therapeutic area. They found that most of what they were aligning to was in the NCCN guidelines, so they decided to use them, and the product label as an overarching guide to coverage. They asked about the cost of regimen.  They were aware of the Yervoy APP.They had very little as far as questions about 026 and ESMO, as I think we covered the issues in advance of any questions that they may have had.  They did say it was commendable that a broad patient population was studied and understood that the cuts by various levels of PDL-1 did not hold up due to study design.  We also clarified with them the rationale of using PFS vs OS due to cross over anticipation of the chemo group to the standard of care, and with that reinforced the 2nd line standard of care – Opdivo.  The only real question they had came when stating that our belief of 1st line therapy was to not only take off the brakes with a PDL-1 inhibitor, but to also step on the gas with a CTLA in combination, they asked if we were doing anything to temper the cost of the combination therapy.  With that we discussed the various study designs we are doing such as in 012, where we testing a lower Ipi dose as well as the dose intervals."
"A Regional TL clinical trials PI with academic affiliation at a VA hospital commented that he has not used Keytruda since Opdivo can be used without testing for PD-L1. He discussed with his hema/onco fellows the possibility of using chemo instead of Opdivo in PD-L1 negative NSCLC patients since, even though OS was numerically higher in the Opdivo arm, no statistically significant difference in OS was found between treatment arms. Nevertheless they concluded that, worst case scenario, Opdivo is still as effective as chemo in this population but with a better safety profile. Therefore, Opdivo is clearly the best option for NSCLC patients irrespective of PD-L1 expression. In his opinion Opdivo is very well tolerated by patients, much better than chemo. Commented that it is like ""administering water"".",Unknown,1454648400.0,,"A Regional TL clinical trials PI with academic affiliation at a VA hospital commented that he has not used Keytruda since Opdivo can be used without testing for PD-L1. He discussed with his hema/onco fellows the possibility of using chemo instead of Opdivo in PD-L1 negative NSCLC patients since, even though OS was numerically higher in the Opdivo arm, no statistically significant difference in OS was found between treatment arms. Nevertheless they concluded that, worst case scenario, Opdivo is still as effective as chemo in this population but with a better safety profile. Therefore, Opdivo is clearly the best option for NSCLC patients irrespective of PD-L1 expression. In his opinion Opdivo is very well tolerated by patients, much better than chemo. Commented that it is like ""administering water""."
Local lung TL at VA hospital system told me atezi approval in 2nd line lung is very important as they did an analysis of how far patients at their VA hospital travel and found that 46% of patients travel between 50 and 99 miles to be treated there. He said that the Q3 week dosing of atezi is thus very important as compared to Q2 week dosing with nivo.,Unknown,1477281600.0,,Local lung TL at VA hospital system told me atezi approval in 2nd line lung is very important as they did an analysis of how far patients at their VA hospital travel and found that 46% of patients travel between 50 and 99 miles to be treated there. He said that the Q3 week dosing of atezi is thus very important as compared to Q2 week dosing with nivo.
"Local lung TL commented that he follows his institutions pathway (VIA pathway) for all lung patients. He said that they have a molecular panel that is done on all newly diagnosed NSCLC (non-squamous only) that includes EGFR, ALK, ROS1 and now PDL1. He said that the report gives back whether the patient is positive or negative for PDL1 expression and also includes a specific % positive. He said they have historically used 80% nivo vs 20% pembro in 2nd line NSCLC because it ""is easier to just not test"" and the pathway allows nivo to be used instead of pembro if the PDL1 test is negative or is not done.",Unknown,1476417600.0,,"Local lung TL commented that he follows his institutions pathway (VIA pathway) for all lung patients. He said that they have a molecular panel that is done on all newly diagnosed NSCLC (non-squamous only) that includes EGFR, ALK, ROS1 and now PDL1. He said that the report gives back whether the patient is positive or negative for PDL1 expression and also includes a specific % positive. He said they have historically used 80% nivo vs 20% pembro in 2nd line NSCLC because it ""is easier to just not test"" and the pathway allows nivo to be used instead of pembro if the PDL1 test is negative or is not done."
Local lung TL commented that he doesnt see any difference between nivo and pembro either in efficacy or toxicity in his NSCLC patients. He was aware that one of the drugs reported a negative trial recently but said he doesn't really think they are that different and wasnt even sure if it was nivo or pembro.,Unknown,1476417600.0,,Local lung TL commented that he doesnt see any difference between nivo and pembro either in efficacy or toxicity in his NSCLC patients. He was aware that one of the drugs reported a negative trial recently but said he doesn't really think they are that different and wasnt even sure if it was nivo or pembro.
"Local lung TL commented that he is very excited to see if the phase I ipi plus nivo combination will ""play out"" in the Phase III setting in NSCLC and was impressed with the design of CA209-227. He said that this study will answer all of our questions.",Unknown,1476417600.0,,"Local lung TL commented that he is very excited to see if the phase I ipi plus nivo combination will ""play out"" in the Phase III setting in NSCLC and was impressed with the design of CA209-227. He said that this study will answer all of our questions."
"e.	He said that the PDL1 test being done at UPMC reports an actual percentage
i.	He said he would only use pembro if that percentage is above 10%
f.	He still thinks the PDL1 test is not very good. Said that the only reason we saw a difference in the adeno study for PDL1+ vs PDL1- is due to never smokers in the adeno trial.",Unknown,1455080400.0,,"e.	He said that the PDL1 test being done at UPMC reports an actual percentage
i.	He said he would only use pembro if that percentage is above 10%
f.	He still thinks the PDL1 test is not very good. Said that the only reason we saw a difference in the adeno study for PDL1+ vs PDL1- is due to never smokers in the adeno trial."
TL at academic center shared that they are now permitted to infuse opdivo over 30 minutes due to their pharmacy guidelines based on -153 analysis.,Unknown,1470715200.0,,TL at academic center shared that they are now permitted to infuse opdivo over 30 minutes due to their pharmacy guidelines based on -153 analysis.
In discussion of NSCLC TL stated there is data that patients treated with palliative care in later lines of therapy lived longer than those receiving treatment with chemotherapy.  He felt is was due to the fact that more attention was given to depression and anxiety.,Unknown,1459137600.0,,In discussion of NSCLC TL stated there is data that patients treated with palliative care in later lines of therapy lived longer than those receiving treatment with chemotherapy.  He felt is was due to the fact that more attention was given to depression and anxiety.
Community practice director of pharmacy expressed his belief that the Atezo (OAK) trial had numerically higher OS values (14 months) compared to Checkmate 057 (12 months). He was unaware of differences in trial design (specifically histological subtypes included).,Unknown,1477108800.0,,Community practice director of pharmacy expressed his belief that the Atezo (OAK) trial had numerically higher OS values (14 months) compared to Checkmate 057 (12 months). He was unaware of differences in trial design (specifically histological subtypes included).
