text,source_type,date,title,text
"Annual I-O budget, Opdivo particularly driven, was exceeded early on
Expectations that it will only continue to grow significantly
Combination I-O therapy is ""scaring"" them
Senior management on down is requiring a full plan to manage the I-O therapeutic area

KP has asked BMS to assist them in forecasting Opdivo utilization for the next several years",Unknown,1473998400.0,,"Annual I-O budget, Opdivo particularly driven, was exceeded early on
Expectations that it will only continue to grow significantly
Combination I-O therapy is ""scaring"" them
Senior management on down is requiring a full plan to manage the I-O therapeutic area

KP has asked BMS to assist them in forecasting Opdivo utilization for the next several years"
"When discussing oncology with a State Medicaid director, she stated that they may get more involved  in managing oncology medications.  She stated that they will work with the University for their direction, and will most likely go by the NCCN guidelines.",Unknown,1457499600.0,,"When discussing oncology with a State Medicaid director, she stated that they may get more involved  in managing oncology medications.  She stated that they will work with the University for their direction, and will most likely go by the NCCN guidelines."
"Senior management on down is requiring a full plan to manage the I-O therapeutic area
	Requiring the highest attention – 80/20 implementation of driving the preferred agent
	Focus on wastage, indications, intensive management, management of tumor types	
Currently no PD-1 testing is required for any I-O.  Physician discretion dictates testing.
Usage of I-O therapy is vaguely tumor dependent limited to:
	Melanoma – weight based
	Lung – predominantly Opdivo due to no testing needed
In the future testing will be used to manage appropriate therapy for 1st line therapy
I-O therapy is interchangeable
Discussions ongoing with other I-O manufacturers
Ask:
-	How is BMS addressing the issue and working with KP
-	How can BMS help with affordability
-	Whats in it for BMS – Value – Volume trade off",Unknown,1473998400.0,,"Senior management on down is requiring a full plan to manage the I-O therapeutic area
	Requiring the highest attention – 80/20 implementation of driving the preferred agent
	Focus on wastage, indications, intensive management, management of tumor types	
Currently no PD-1 testing is required for any I-O.  Physician discretion dictates testing.
Usage of I-O therapy is vaguely tumor dependent limited to:
	Melanoma – weight based
	Lung – predominantly Opdivo due to no testing needed
In the future testing will be used to manage appropriate therapy for 1st line therapy
I-O therapy is interchangeable
Discussions ongoing with other I-O manufacturers
Ask:
-	How is BMS addressing the issue and working with KP
-	How can BMS help with affordability
-	Whats in it for BMS – Value – Volume trade off"
"A community oncologist commented that when the I-O agents were initially approved many physicians had concerns due to the irAEs. But now that there is more clinical trial data comparing these agents to chemo and based on her experience, she believes that Opdivo has a better safety profile compared to chemo.",Unknown,1456894800.0,,"A community oncologist commented that when the I-O agents were initially approved many physicians had concerns due to the irAEs. But now that there is more clinical trial data comparing these agents to chemo and based on her experience, she believes that Opdivo has a better safety profile compared to chemo."
"A TL commented that, based on his experience, Opdivo is a very safe drug. Its excellent efficacy and benign AE profile makes Opdivo an excellent alternative in all tumor types where it is currently approved.",Unknown,1456894800.0,,"A TL commented that, based on his experience, Opdivo is a very safe drug. Its excellent efficacy and benign AE profile makes Opdivo an excellent alternative in all tumor types where it is currently approved."
"A TL commented that Opdivo is a very easy to administer drug. Stated that he ""practically has not had do deal with any Opdivo adverse event"".",Unknown,1455253200.0,,"A TL commented that Opdivo is a very easy to administer drug. Stated that he ""practically has not had do deal with any Opdivo adverse event""."
"A TL commented that BMS Puerto Rico has a big advantage over other I-O competitors since it has dedicated and knowledgeable local personnel that provides support to oncologists whenever they need. Cited as an example that he feels confident using new I-O therapies from BMS since he can contact directly the Scientific Advisor in PR in case he has any question about drug prescribing, administration, or management of adverse events, allowing him to receive the information he needs in a timely manner. Also commented that the sales representatives are always available to provide valuable support to the practice and the reimbursement specialists provide great support to help with access related issues. He even shared he told a representative from ""the competition"" (another pharmaceutical company) that this was a big advantage of BMS over them.",Unknown,1454994000.0,,"A TL commented that BMS Puerto Rico has a big advantage over other I-O competitors since it has dedicated and knowledgeable local personnel that provides support to oncologists whenever they need. Cited as an example that he feels confident using new I-O therapies from BMS since he can contact directly the Scientific Advisor in PR in case he has any question about drug prescribing, administration, or management of adverse events, allowing him to receive the information he needs in a timely manner. Also commented that the sales representatives are always available to provide valuable support to the practice and the reimbursement specialists provide great support to help with access related issues. He even shared he told a representative from ""the competition"" (another pharmaceutical company) that this was a big advantage of BMS over them."
A TL commented that the new OPDIVO HCP AR Guide App is excellent. Provides him the information needed to manage Immune Mediated Adverse Reactions in an electronic format that is readily available at any time in all patient care settings.,Unknown,1454994000.0,,A TL commented that the new OPDIVO HCP AR Guide App is excellent. Provides him the information needed to manage Immune Mediated Adverse Reactions in an electronic format that is readily available at any time in all patient care settings.
"A TL commented that a great advantage of I-O is that it is very easy to convince patients to receive treatment due to its MOA. Patients are more willing to receive treatment with a medication that works with their immune system than with a chemo that they believe will be very toxic to them. He has experienced very good compliance with his patients receiving Opdivo or Yervoy. Stated ""they always come motivated and look forward to receive their next treatment"".",Unknown,1454648400.0,,"A TL commented that a great advantage of I-O is that it is very easy to convince patients to receive treatment due to its MOA. Patients are more willing to receive treatment with a medication that works with their immune system than with a chemo that they believe will be very toxic to them. He has experienced very good compliance with his patients receiving Opdivo or Yervoy. Stated ""they always come motivated and look forward to receive their next treatment""."
TL remains hesitant about the flat dose for patients that weigh significantly less than 80 kg (i.e.50 kg) with respect to safety and incidence of AEs,Unknown,1474603200.0,,TL remains hesitant about the flat dose for patients that weigh significantly less than 80 kg (i.e.50 kg) with respect to safety and incidence of AEs
TL was a bit surprised to learn that the flat dosing label change was based on population pK analyses. TL was comfortable with the supporting data and commented that flat dosing will be much easier for him and the staff.,Unknown,1474603200.0,,TL was a bit surprised to learn that the flat dosing label change was based on population pK analyses. TL was comfortable with the supporting data and commented that flat dosing will be much easier for him and the staff.
"During highlights from ASCO review, question was posed about how long to continue anti PD-1 therapy in responders. Both the melanoma and lung presenters acknowledged this is an important question. Melanoma TL commented that he will stop treatment after 2 consecutive scans in patient with CR (did not mention how long on therapy before making this decision). TL has also done this with combination targeted therapy--5 out of 6 patients continue to do well after stopping treatment.",Unknown,1466827200.0,,"During highlights from ASCO review, question was posed about how long to continue anti PD-1 therapy in responders. Both the melanoma and lung presenters acknowledged this is an important question. Melanoma TL commented that he will stop treatment after 2 consecutive scans in patient with CR (did not mention how long on therapy before making this decision). TL has also done this with combination targeted therapy--5 out of 6 patients continue to do well after stopping treatment."
I happened to meet the Quest Diagnostics rep while at a community hospital. She commented that the mention of PD-L1 and HCPs will make time to speak with her. They are not seeing high volume of testing for NSCLC. She also mentioned that surgical oncologists are receptive and interested in understanding PD-L1 testing.,Unknown,1465444800.0,,I happened to meet the Quest Diagnostics rep while at a community hospital. She commented that the mention of PD-L1 and HCPs will make time to speak with her. They are not seeing high volume of testing for NSCLC. She also mentioned that surgical oncologists are receptive and interested in understanding PD-L1 testing.
