text,source_type,date,title,text
"Have had several national thought leaders mention they were surprised there was not a ""tail"" to the OS curve in -025. These TLs mentioned they will be eagerly watching for additional data releases to better determine if the ""durable"" response is maintained in RCC.",Unknown,1457586000.0,,"Have had several national thought leaders mention they were surprised there was not a ""tail"" to the OS curve in -025. These TLs mentioned they will be eagerly watching for additional data releases to better determine if the ""durable"" response is maintained in RCC."
"In discussing possible placement of Cabozantinib in RCC treatment landscape, RTL said that Cabo might alter the TME to make it more immunogenic. He didn't cited his own translational research. If true, it could provide rationale for placing Cabo before Opdivo in treatment algorithm.",Unknown,1460088000.0,,"In discussing possible placement of Cabozantinib in RCC treatment landscape, RTL said that Cabo might alter the TME to make it more immunogenic. He didn't cited his own translational research. If true, it could provide rationale for placing Cabo before Opdivo in treatment algorithm."
"LTL has generally had an excellent experience on Opdivo in 2L RCC. He has seen responses or lack of progression in all patients, with minimal toxicity. He said he expects to use Opdivo for essentially all patients even after Cabo approval, citing durability of immunotherapy. He said ""patients want cures, not management.""",Unknown,1457154000.0,,"LTL has generally had an excellent experience on Opdivo in 2L RCC. He has seen responses or lack of progression in all patients, with minimal toxicity. He said he expects to use Opdivo for essentially all patients even after Cabo approval, citing durability of immunotherapy. He said ""patients want cures, not management."""
"A community based TL shared that he prefers to use Nivolumab over Pembrolizumab, because he rather see his pts more frequently. Also, Nivolumab has RCC indication, as well an unrestrictive lung indication regardless of PD-L1 status.",Unknown,1458792000.0,,"A community based TL shared that he prefers to use Nivolumab over Pembrolizumab, because he rather see his pts more frequently. Also, Nivolumab has RCC indication, as well an unrestrictive lung indication regardless of PD-L1 status."
"NTL believes and communicates to other oncologists/mult-disc providers that patients with G3+ IMARs (ie colitis, pneumon) should always be admitted to hospital during evaluation and management even it outpatient treatment seems to be an option.  Also always advises provides to give dose of prednisone right away for suspected IMAR and then to proceed with further diagnostics to rule in/out non-inflammatory (ie infectious, etc) causes rather than delay IMM treatment while labs and procedures are preformed.  In his experience, many physicians delay steroids while working through differential and the extra day(s) can impede IMAR resolution.",Unknown,1457845200.0,,"NTL believes and communicates to other oncologists/mult-disc providers that patients with G3+ IMARs (ie colitis, pneumon) should always be admitted to hospital during evaluation and management even it outpatient treatment seems to be an option.  Also always advises provides to give dose of prednisone right away for suspected IMAR and then to proceed with further diagnostics to rule in/out non-inflammatory (ie infectious, etc) causes rather than delay IMM treatment while labs and procedures are preformed.  In his experience, many physicians delay steroids while working through differential and the extra day(s) can impede IMAR resolution."
"Targeted therapies are viewed as ""fantastic medicines"" in NSCLC because of the high ORR %, this is not true of the targeted agents in RCC. Hence, NSCLC are more eager for a biomarker in NSCLC to use Opdivo because in the comparative sense the agent does not work for most patients. While in RCC the biomarker requirement is not an issue because more Opdivo patient's respond than traditionally expected with the targeted agents.",Unknown,1454907600.0,,"Targeted therapies are viewed as ""fantastic medicines"" in NSCLC because of the high ORR %, this is not true of the targeted agents in RCC. Hence, NSCLC are more eager for a biomarker in NSCLC to use Opdivo because in the comparative sense the agent does not work for most patients. While in RCC the biomarker requirement is not an issue because more Opdivo patient's respond than traditionally expected with the targeted agents."
Met with TLs at regional IDN cancer system in VA.  Customer was referred by MSL who expressed interest in HEOR.  Customer stated he is collaborating with Univ of VA to conduct treatment patterns study in melanoma using Medicare SEER database.  Customer asked if we had conducted any studies which we have in melanoma and SCLC to help inform his study.  Customer stated given the variation in response seen in our CM studies in melanoma and RCC- he is interested in examining with RWD response/outcomes with Opdivo and other therapies by both age and gender to inform practice.  He is interested in collaborating with BMS.  Customer stated he enrolls 2-3 patients/month in our Optimize melanoma registry.  He likes it compared to others because of broad data capture and investigational therapies can be used.  He is interested in any data we produce from this registry.,Unknown,1481518800.0,,Met with TLs at regional IDN cancer system in VA.  Customer was referred by MSL who expressed interest in HEOR.  Customer stated he is collaborating with Univ of VA to conduct treatment patterns study in melanoma using Medicare SEER database.  Customer asked if we had conducted any studies which we have in melanoma and SCLC to help inform his study.  Customer stated given the variation in response seen in our CM studies in melanoma and RCC- he is interested in examining with RWD response/outcomes with Opdivo and other therapies by both age and gender to inform practice.  He is interested in collaborating with BMS.  Customer stated he enrolls 2-3 patients/month in our Optimize melanoma registry.  He likes it compared to others because of broad data capture and investigational therapies can be used.  He is interested in any data we produce from this registry.
"Regional IDN with owned oncology practices has communicated that they are using a mixed approach for dosing opdivo in RCC, mel and NSCLC.  In this case they are using 3mg/kg for patients below 80kg and 240mg for pts >80kg.  Also he shared that with vial overfill and +/-10% dose efficiency adjustments he projects his current opdivo usage program to save his system ~$200K per year.  As this IDN has been acquired by Kaiser, he shared that he communicated this as a ""best practice"" to a broader KP oncology subcommittee and it has been shared through the KP system.  He shared that his KP NoCal counterpart has communicated that by using this dosing method, KP NoCal has estimated a yearly savings of $5.3MM.",Unknown,1481864400.0,,"Regional IDN with owned oncology practices has communicated that they are using a mixed approach for dosing opdivo in RCC, mel and NSCLC.  In this case they are using 3mg/kg for patients below 80kg and 240mg for pts >80kg.  Also he shared that with vial overfill and +/-10% dose efficiency adjustments he projects his current opdivo usage program to save his system ~$200K per year.  As this IDN has been acquired by Kaiser, he shared that he communicated this as a ""best practice"" to a broader KP oncology subcommittee and it has been shared through the KP system.  He shared that his KP NoCal counterpart has communicated that by using this dosing method, KP NoCal has estimated a yearly savings of $5.3MM."
"during the inservice in emory palliative care, one of the leading attendings discussed ongoing difficulties in management of musculo-skeletal pain induced by nivolimab in patients with ongoing multiple co-morbidities. Further explanation showed that palliative care is currently very limited in situations when patients who are on opioids with already compromised renal or liver functions and continue to benefit from IO therapy but now unable to cope with increasing muscle/bone pain. Very common for patients not to report pain to his/her oncologist in fear of discontinuation of therapy. Increasing opiods does not bring a desired pain relief and adding large doses of Tylenol or ibuprofen in the setting of other co-morbidities may not be an option for these patients. The most common outcome for patient  was discontinuation of opdivo therapy.
This attending also expressed a desire for a specific care manual with emphasis on challenging supportive care situations in the setting of immune therapies. She suggested possibly explore writing of the guidelines by a reputable palliative care experts from a large oncology center that fully incorporates palliative care services.",Unknown,1461211200.0,,"during the inservice in emory palliative care, one of the leading attendings discussed ongoing difficulties in management of musculo-skeletal pain induced by nivolimab in patients with ongoing multiple co-morbidities. Further explanation showed that palliative care is currently very limited in situations when patients who are on opioids with already compromised renal or liver functions and continue to benefit from IO therapy but now unable to cope with increasing muscle/bone pain. Very common for patients not to report pain to his/her oncologist in fear of discontinuation of therapy. Increasing opiods does not bring a desired pain relief and adding large doses of Tylenol or ibuprofen in the setting of other co-morbidities may not be an option for these patients. The most common outcome for patient  was discontinuation of opdivo therapy.
This attending also expressed a desire for a specific care manual with emphasis on challenging supportive care situations in the setting of immune therapies. She suggested possibly explore writing of the guidelines by a reputable palliative care experts from a large oncology center that fully incorporates palliative care services."
A 6 million life plan in the midwest is looking to restrict Nivo to clear cell histology RCC based on NCCN guidelines and lack of non-clear cell data,Unknown,1463198400.0,,A 6 million life plan in the midwest is looking to restrict Nivo to clear cell histology RCC based on NCCN guidelines and lack of non-clear cell data
"TL expressed that Regimen will rapidly become SOC if -214 reads out with similar efficacy to melanoma trials. He feels Opdivo at 3 mg/kg and Yervoy at 1 mg/kg is ""correct dose.""",Unknown,1464235200.0,,"TL expressed that Regimen will rapidly become SOC if -214 reads out with similar efficacy to melanoma trials. He feels Opdivo at 3 mg/kg and Yervoy at 1 mg/kg is ""correct dose."""
"After reactively discussing Opdivo's QoL data in advanced RCC (from 025), a TL with academic affiliation at a VA hospital commented that this is an important reason to select Opdivo since QoL is very important in the advanced setting.",Unknown,1457067600.0,,"After reactively discussing Opdivo's QoL data in advanced RCC (from 025), a TL with academic affiliation at a VA hospital commented that this is an important reason to select Opdivo since QoL is very important in the advanced setting."
"A TL with academic affiliation at a VA hospital commented that she usually uses a VEGFR inhibitor TKI (mostly sunitinib) as 1st line treatment for most RCC patients. In 2nd line she prefers MOA switching (mTOR inhibitor) instead of recycling. Now Opdivo represents an excellent option since it is an alternative with a completely different MOA, proven OS benefit, and good safety profile.",Unknown,1457067600.0,,"A TL with academic affiliation at a VA hospital commented that she usually uses a VEGFR inhibitor TKI (mostly sunitinib) as 1st line treatment for most RCC patients. In 2nd line she prefers MOA switching (mTOR inhibitor) instead of recycling. Now Opdivo represents an excellent option since it is an alternative with a completely different MOA, proven OS benefit, and good safety profile."
A community oncologist shared that her preferred 1st line treatment for RCC is sunitinib for most patients but prefers temsirolimus for poor prognosis patients. In 2nd line there is not a clear preferred agent. She selects the agent based on response and tolerability to 1st line treatment. But believes that now with the impressive 025 results Opdivo should be the preferred agent in 2nd line setting.,Unknown,1456894800.0,,A community oncologist shared that her preferred 1st line treatment for RCC is sunitinib for most patients but prefers temsirolimus for poor prognosis patients. In 2nd line there is not a clear preferred agent. She selects the agent based on response and tolerability to 1st line treatment. But believes that now with the impressive 025 results Opdivo should be the preferred agent in 2nd line setting.
A National TL clinical trials PI with academic affiliation shared the case of an advanced RCC patient he is currently treating with nivolumab. In the first scan one lesion increased in size but other decreased. Since the patient was doing well clinically he suspected pseudoprogression and continued treatment. In a subsequent scan all lesions decreased in size. Stated that this example illustrates the importance of looking at the patient and not over reacting to scans.,Unknown,1456462800.0,,A National TL clinical trials PI with academic affiliation shared the case of an advanced RCC patient he is currently treating with nivolumab. In the first scan one lesion increased in size but other decreased. Since the patient was doing well clinically he suspected pseudoprogression and continued treatment. In a subsequent scan all lesions decreased in size. Stated that this example illustrates the importance of looking at the patient and not over reacting to scans.
A community oncologist commented that she now considers Opdivo her 1st choice in 2nd line RCC due to its distinct MOA and OS benefit.,Unknown,1455253200.0,,A community oncologist commented that she now considers Opdivo her 1st choice in 2nd line RCC due to its distinct MOA and OS benefit.
"A TL commented that Opdivo's mOS in RCC is extremely impressive. It is very good to have a new MOA to offer patients after TKI. Also, in his experience, patients tolerate Opdivo very well.",Unknown,1455253200.0,,"A TL commented that Opdivo's mOS in RCC is extremely impressive. It is very good to have a new MOA to offer patients after TKI. Also, in his experience, patients tolerate Opdivo very well."
A TL commented that the OS data for Opdivo in RCC is excellent. Having a better safety profile compared to TKIs and a new MOA involving the immune system makes it an excellent 2nd line alternative since many patients do not want a 2nd line drug with the same toxicity as the 1st line TKI.,Unknown,1454994000.0,,A TL commented that the OS data for Opdivo in RCC is excellent. Having a better safety profile compared to TKIs and a new MOA involving the immune system makes it an excellent 2nd line alternative since many patients do not want a 2nd line drug with the same toxicity as the 1st line TKI.
"Community TL stated that he is not really interested in the combination of TKI+IO for 1L RCC. Specifically mentioned the Pfizer trial of axitinib + avelumab vs axitinib. In his opinion, the future of 1L treatment is ipi + nivo and other I-O/I-O combinations.",Unknown,1480568400.0,,"Community TL stated that he is not really interested in the combination of TKI+IO for 1L RCC. Specifically mentioned the Pfizer trial of axitinib + avelumab vs axitinib. In his opinion, the future of 1L treatment is ipi + nivo and other I-O/I-O combinations."
"Cabozantinib may be a better 1L drug; however, CABOSUN is flawed: randomized phase 2, underpowered, and the median cycles of treatment are low. Sunitinib underperformed in CABOSUN",Unknown,1479445200.0,,"Cabozantinib may be a better 1L drug; however, CABOSUN is flawed: randomized phase 2, underpowered, and the median cycles of treatment are low. Sunitinib underperformed in CABOSUN"
"During presentation at a regional conference, TL stated that most physicians are choosing nivolumab for 2L treatment. The QoL is better and nivo gives patients a needed break from TKI side effects. TL commented that 2L cabo may make sense in patients with liver or bone mets.",Unknown,1479445200.0,,"During presentation at a regional conference, TL stated that most physicians are choosing nivolumab for 2L treatment. The QoL is better and nivo gives patients a needed break from TKI side effects. TL commented that 2L cabo may make sense in patients with liver or bone mets."
"During presentation on advances in RCC, TL commented that nivo + ipi has formidable toxicity whereas atezolizumab + bev is a walk in the park. The smart money is on I-O plus TKI for combination therapy.",Unknown,1479445200.0,,"During presentation on advances in RCC, TL commented that nivo + ipi has formidable toxicity whereas atezolizumab + bev is a walk in the park. The smart money is on I-O plus TKI for combination therapy."
"Community physician stated that while their standard panel reports PD-L1 expression as a %, it is not used in 2L RCC",Unknown,1477627200.0,,"Community physician stated that while their standard panel reports PD-L1 expression as a %, it is not used in 2L RCC"
