Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
nivolumab,7.01498208086e-07,38,2.2926608167e-05,22,2.75429978409e-06,43,-2.65052845374e-07,59
patients,6.53673364313e-07,41,-3.63886838125e-06,64,-6.60007404793e-06,74,-2.23592987483e-06,89
Opdivo,8.64044520206e-07,32,-3.23928432894e-05,88,-1.21353106859e-05,90,-1.58523553088e-06,83
dose,-2.36042201878e-06,93,5.67301280597e-07,61,-1.90352323964e-07,56,4.69484433726e-07,30
therapy,8.1514263211e-07,34,3.28215428661e-05,8,8.06197560313e-06,16,-6.32712785915e-07,66
use of nivolumab,1.80657324637e-06,22,9.1858663843e-06,47,7.57020164262e-07,54,-2.78582335687e-07,60
combination,-9.49904679147e-07,67,2.4581668695e-05,20,7.09910457318e-06,22,1.05089422561e-07,41
tumor,1.55287083537e-07,52,2.31600578402e-05,21,1.06065283869e-05,6,4.79033592695e-07,29
Nivo,3.98150878863e-06,7,-5.98735861864e-05,97,-1.52180834785e-05,94,2.22975593848e-06,11
trial,7.71261708855e-07,36,-3.07321161867e-05,86,-1.07780075152e-05,84,-1.04276710893e-07,48
NSCLC,5.17828152571e-06,1,-1.93801102344e-05,81,-2.54080306858e-06,63,3.54386767825e-06,1
pembrolizumab,-1.93748220269e-06,85,4.10231202625e-05,3,1.47510253889e-05,1,4.55725712741e-07,31
melanoma,3.87154878769e-06,10,5.04498083908e-06,52,3.9147737993e-06,38,2.05671920555e-06,13
treatment,-1.05421517643e-06,70,5.0916277003e-05,2,1.1711489022e-05,3,-1.39781754687e-06,79
efficacy,-2.1946258562e-07,59,2.68112772151e-07,62,-4.43693914211e-06,69,-8.38951438762e-07,73
BMS,1.79922537971e-06,23,-6.30779007302e-05,99,-1.6150153061e-05,96,5.79987684889e-07,25
ipilimumab,-1.01915031361e-06,68,5.43754812704e-05,1,1.40474669984e-05,2,1.10878134508e-07,40
clinical trials,-2.45431721794e-08,55,-3.82134501483e-06,65,-4.04853317091e-06,67,-1.55131403831e-06,82
toxicity,5.25663970589e-07,42,1.68237691897e-05,37,2.60206390323e-06,45,1.23530470662e-08,44
treated,2.29213368125e-06,16,1.25607656408e-05,42,3.26426380137e-06,41,-2.58419176172e-08,45
clinical,-2.34310314055e-07,60,1.96804053817e-05,29,3.73627816417e-06,39,-4.25497135441e-07,62
data,-1.52945130579e-06,76,-4.35315522727e-05,91,-2.1197055914e-05,100,-3.32762689138e-06,96
PD-L1,1.39843461844e-06,27,1.4306537911e-06,59,2.61962077151e-06,44,1.69096136704e-06,15
TL,3.86434330156e-06,11,-6.34470828647e-05,100,-1.29137081992e-05,92,2.88425668482e-06,6
RCC,4.51632548029e-06,2,-2.97161682733e-05,85,-7.77310218576e-06,76,1.88384919202e-06,14
agents,6.86224693027e-07,39,-4.93056189692e-06,66,-5.2485106606e-06,70,-1.29204313434e-06,77
Eliquis,-3.60778401356e-06,99,-1.76380935525e-05,78,-1.62297940524e-05,97,-4.2962304649e-06,99
regimen,3.19704814376e-07,48,-2.56532560793e-05,83,-8.19345782218e-06,77,-2.49787911388e-07,56
assessed,-1.2657112461e-06,73,3.30014858066e-05,7,1.1556732301e-05,4,4.1109384455e-07,34
administered,-2.30369944457e-06,92,1.34022399488e-05,41,6.51463671735e-06,26,8.43984461264e-07,20
apixaban,-3.75829617002e-06,100,-1.80531402557e-05,79,-1.60819673545e-05,95,-4.48444966825e-06,100
chemotherapy,5.17200377656e-07,43,3.11853674427e-05,10,1.06738727306e-05,5,3.75308884566e-07,35
lung,4.04034957085e-06,6,-3.31866960701e-05,89,-3.84891545943e-06,66,2.91491247852e-06,5
evaluate,-1.45510159691e-06,74,3.00915529591e-05,11,1.0367517571e-05,7,2.16831878584e-07,38
OS,9.35877917861e-07,31,9.78672644826e-06,45,5.05635960927e-06,32,1.12621989399e-06,17
cancer,5.08144009489e-07,44,1.57552478253e-05,40,2.90800739067e-06,42,-1.36008203525e-06,78
cycles,-2.26440993988e-06,91,1.58864883259e-05,39,7.01216045092e-06,23,4.41898392763e-07,33
RTL,4.45042854253e-06,3,-5.7701507877e-05,96,-1.04369307456e-05,81,3.4901800396e-06,2
metastatic,1.85208229956e-06,19,2.47628764291e-05,19,7.29139354631e-06,19,8.87250863488e-08,43
immunotherapy,6.71827536662e-07,40,3.1265960211e-05,9,7.51314272242e-06,17,-7.25228957563e-07,69
request,-2.07836366928e-06,89,-1.85113374778e-05,80,-6.28287441579e-06,73,-2.54711894878e-06,92
adverse events,-5.24472260701e-07,63,2.69174478735e-05,15,4.6919102782e-06,34,-8.41277464063e-07,74
overall survival,3.56344877896e-07,47,2.48864250862e-05,18,8.52040374601e-06,13,6.25927024541e-07,23
PD-1,1.70544277552e-07,49,1.81219226223e-05,34,4.90593544811e-06,33,-2.54934393467e-07,57
Patients receive,-1.80072961582e-06,82,1.87693913672e-05,32,5.7923755098e-06,30,-1.84555183647e-07,54
study,-1.76469097711e-06,81,6.09520667872e-06,51,1.91957606911e-06,48,-1.70686014538e-07,52
progression,-1.23252648657e-07,57,2.78185129766e-05,14,8.9648364738e-06,10,-6.98226609452e-08,47
slides,7.39944215839e-07,37,-8.78523830612e-06,70,-7.57530629097e-07,59,2.23983638434e-06,10
non-small cell lung cancer,2.61783928946e-06,13,2.19961723575e-05,24,4.65005097921e-06,36,5.39355506018e-07,27
response,-2.51874879932e-07,61,1.91057371687e-05,30,7.19122758901e-06,20,-1.81583088339e-07,53
bleeding,-2.10408685906e-06,90,-8.96113786286e-06,71,-9.79925357743e-06,80,-1.9537317278e-06,87
outcomes,-1.05485621973e-06,71,4.78476905673e-06,54,-6.1087995314e-06,72,-1.68891239216e-06,85
pembro,4.2044559095e-06,5,-6.14548469581e-05,98,-1.41710818594e-05,93,2.86994725538e-06,7
discuss,1.0474571297e-06,30,-4.29417186913e-05,90,-1.17204639939e-05,86,1.57599174249e-07,39
infusion,-1.98440772919e-06,87,7.96863903162e-06,49,3.986497791e-06,37,3.45544206935e-07,36
lung cancer,2.27249486574e-06,17,7.01825901761e-06,50,5.14222449971e-07,55,1.0030168529e-07,42
antibody,7.76054686187e-08,53,2.25263393196e-05,23,5.72933668456e-06,31,-1.46981468969e-07,50
PFS,4.22599684137e-07,45,1.19080042155e-05,44,6.22314422988e-06,28,9.49616552014e-07,18
regarding,-1.81479241393e-06,83,-3.23756647496e-05,87,-1.6411192293e-05,98,-3.26055616854e-06,95
target,-1.50236197029e-08,54,2.006455749e-05,28,4.65083861094e-06,35,-6.15253237951e-07,65
compared,-1.49907378981e-06,75,8.11556376305e-06,48,-3.49790727017e-06,64,-1.04013910803e-06,76
inhibitors,1.654944653e-07,50,1.7139032227e-05,36,2.00259314975e-06,47,-7.90097100894e-07,71
monotherapy,1.54337295104e-06,26,1.62117025422e-06,58,9.63937691516e-07,51,1.49547070232e-06,16
head and neck cancer,1.84215921654e-06,20,4.69377862207e-06,56,-6.75911007718e-07,58,-1.57818421118e-07,51
PDL1,3.93224948221e-06,8,-4.93036801126e-05,92,-1.07698788823e-05,82,2.94771925807e-06,4
MSL,-2.60939541193e-06,95,-1.20484856393e-05,74,-4.17404269077e-06,68,-2.7253074162e-06,93
survival,8.34201526567e-07,33,2.16116240663e-05,26,7.13427468844e-06,21,6.29680729606e-07,22
determine,-1.71785379102e-06,79,2.15201623906e-05,27,8.25302015746e-06,15,5.65686297562e-07,26
presentation,1.37066683604e-06,29,-7.83514623448e-06,69,-1.65058424416e-06,61,2.06616767114e-06,12
apix,-3.0855752005e-06,97,-1.43258007716e-05,76,-1.19633567498e-05,87,-3.87857342732e-06,97
data on the use of nivolumab,1.74072353321e-06,24,9.28497698433e-06,46,8.9613523427e-07,52,-4.61419779157e-07,63
update,-1.59821593068e-06,78,-2.53598219218e-05,82,-1.20928811904e-05,89,-2.51890585446e-06,91
Orencia,-3.08695754442e-06,98,-9.48318531882e-06,72,-1.07706232558e-05,83,-4.28263909174e-06,98
measured,-9.3077640229e-07,66,1.89244738473e-05,31,8.62235637569e-06,11,7.43563690468e-07,21
