doc_id,topic,association
uuid-85103523de3046f3aee548948d5502fe,Opdivo,0.586923
uuid-caf3a97680a146f19e17970e316b0b58,safety,0.591281
uuid-ca8edb6030604c7ca6dc7db776895951,cancer,0.817162
uuid-7beb987594da4334901c1a553bca98e4,trial,0.417048
uuid-01369816f4e34c99bb0150932727efd2,trial,0.535445
uuid-35937903911643a1a48b326f31b574dc,Opdivo,0.495414
uuid-64805ef5fc5f413c8384a755696f0e56,,0
uuid-d860e2296a8449f3ab863e5aa6af4865,Opdivo,0.466371
uuid-e5ec0da9548748969544eeb7434e5e77,nivolumab,0.521347
uuid-95cb782da81342748cae26616a6a4563,nivolumab,0.581828
uuid-a21367dd767843d5a073986ea5a9e2ae,,0
uuid-928ff59830e243adabcc48e6f2c73177,"patients,pts",0.786563
uuid-8acc2d0c6d9c4f8986891f46357a490b,nivolumab,0.592061
uuid-6623a38fbdc241838e446d5c195d2715,"patients,pts",0.710247
uuid-d796f880b7194629b1f91855caf8ed9a,,0
uuid-c69276279c1e416387507129090a561d,Opdivo,0.596088
uuid-0c15b3b55dc44c65a92ce59233d3e293,,0
uuid-7666a560113f466eb1471f3f5590d09e,Opdivo,0.589953
uuid-72cacde312ae435c88e81356ced81037,nivolumab,0.598347
uuid-53b56373580042efb7739c775eaf00c7,cancer,0.555227
uuid-a10d04a107274337867cd89042e7fed3,"patients,pts",0.546512
uuid-436bd6a50ac440f98d56828563302e72,treatment,0.515126
uuid-d21ac6c347d64c3889d75d18f2337246,nivolumab,0.692415
uuid-1bf0551da0cd4f9281d16dab3ba3a99c,combination,0.461435
uuid-cd866148d34e4c618e0b5f54a7b4b285,data,0.215466
uuid-da2400c01a614551b09f2c7bdb6e1522,nivolumab,0.650161
uuid-45c9056a0597499c9d70d97764dc83ab,"patients,pts",0.675731
uuid-6cedadce317842349a77a46473090eb9,approval,0.562959
uuid-fabcbd4cf8064153a13db59fe643c844,,0
uuid-ccdc1336cd32416eb8edbc5b3575d8f3,"patients,pts",0.887499
uuid-8f51980d506b47b3981d0cf43265f816,"patients,pts",0.565102
uuid-a83828ffd78849b49cd714fae36168dd,nivolumab,0.583903
uuid-a3d31567cbaf40e6977e8bf7bff01b94,data,0.589327
uuid-67568e0f21014b4793f8955b7e4dc650,NSCLC,0.513698
uuid-f3c3754b387e419ba342628b1f69184c,Opdivo,0.728594
uuid-d64c7fe4fcb84e0d96aa1722f0160a65,trial,0.669694
uuid-b2c75f30dcf74ffaa6b9947eaf11ff67,,0
uuid-052d3fdf688e4444b464df247b958c54,BMS,0.650751
uuid-a2a2200e2d964581928953615e9a7867,data,0.215466
uuid-ffd57010e0af43bd8e6e1d762baeffb5,HCP,0.505043
uuid-e0411c2369c4420f83c19ff2c4b7fed4,"patients,pts",0.704687
uuid-d1bd099114d347b0a041fba6b159e93e,nivolumab,0.795017
uuid-f09447b612224e828c78d101c93d25e0,,0
uuid-d9edf40fbc6f4c82a4c6fa90e317f90d,nivolumab,0.779643
uuid-0fbbf3f09a9f4a9d943a4a40ba911921,Opdivo,0.66055
uuid-7c8ebf79ddf04d739172a259a21e58ee,,0
uuid-ddc1f6c9448346cd90d521aa3b9cb5e9,therapy,0.577894
uuid-2fe6b0bfc3ee435883b2a421c55774d8,nivolumab,0.598347
uuid-87fb6cf606e84125b9866d265fdc4806,"patients,pts",0.712993
uuid-cacfef4a9e184f5b9f311309edecf626,,0
uuid-24956eb87e1f41b0977bbede975eb18c,"patients,pts",0.792537
uuid-efe566c6278d47ebba91e3e19b92bfd6,,0
uuid-53a45043488a4fa1b2d55c5b16953d97,nivolumab,0.635463
uuid-2cd0b208af454632afafe920d783ecee,BMS,0.589644
uuid-a296bb1408cb470f8fd2458cc3d8994f,Opdivo,0.858012
uuid-5dd0087b36d54830a94ff90419733073,treatment,0.365638
uuid-0c708739f6ba4ff0be2eff02ed5564f2,,0
uuid-fa28ca0d711e4609b93d4903e17931f0,treatment,0.545547
uuid-5102a2094d91481fa136c151433f307b,,0
uuid-4e0c5beef9bd4bd08f5f6c4ab838f367,nivolumab,0.58168
uuid-6d63e685b7c041648873c3927ab6abd8,cancer,0.771238
uuid-2a4a3f3e566547c7aa140cb1b4da6e91,,0
uuid-d6556082b6774542b00473448783f3d4,nivolumab,0.664
uuid-e675d8cec9044681af90cbca58beebb1,,0
uuid-1db5a4e15a744571ad79dbce3b578dca,cancer,0.728985
uuid-d7a43820d4714f30a59bf27a65f5ce32,toxicity,0.673862
uuid-b087fa183c9e4e5ca61a56883fb97515,,0
uuid-dceb07b77e59421984f5a08c65f040f6,nivolumab,0.671461
uuid-929bf2163bc34e68b299883372f4c4fa,cancer,0.540583
uuid-d4b015744e3b4061b1a1a573d43fe17d,nivolumab,0.586201
uuid-3d086aa402f744b4953d7f3d98fb8a68,cancer,0.668976
uuid-6f2e755bba3342388c5e0bc70c373967,data,0.821874
uuid-13d3fbbec2b749318a12929e7e2155af,nivolumab,0.799932
uuid-d1be823140da46078c7685e3ac686811,nivolumab,0.567205
uuid-ac67d9f77c2b4ffbae9aff2ef8e380aa,,0
uuid-9b4e9a18ca014ad08a79a8cb0f13480e,dose,0.86001
uuid-cad69e579d444ba2be0f1fc8f2d5911a,,0
uuid-ad5aaa10e851474591f0263e7e61c444,nivolumab,0.644672
uuid-3fc1a4d858a54fd696e45dd0653b168c,trial,0.302595
uuid-6da676381da145998b00751c95173ce5,combination,0.784797
uuid-f4d1d88c4aa540768eca5f7d1f6553c3,nivolumab,0.604763
uuid-aaaf87586291491eab789b0caa45517b,nivolumab,0.586201
uuid-7deb58759d444d0cb0c6bae819fe5c17,nivolumab,0.586201
uuid-0bf1f7b0f5f148779f632db6238127ec,nivolumab,0.561548
uuid-ee6cae90174f4a79bf9f06f0a33599f2,treatment,0.555937
uuid-42ede870350641ff9cf651ab6bfc41b4,nivolumab,0.577761
uuid-2cd4ef4eade246bc8af44695c627b65a,,0
uuid-455c7120537a4f4584726e2ee223e9a0,nivolumab,0.58168
uuid-0defd32a79ce4c4191360687e3459df6,melanoma,0.574853
uuid-632571bea6564b0483a23f6711b88e71,nivolumab,0.555521
uuid-bed1cff64d6e49d38c004848350f1fda,NSCLC,0.916693
uuid-48479a3588874bd5b971466de7f98e12,"Nivo,nivolumab",0.757229
uuid-e0094cecb87041a2a5b39298541d304e,dose,0.650879
uuid-54ba5686f07d44fcac3e9096fe2efffc,therapy,0.483758
uuid-f626ce57cf0b425db7f9b4618e0174f3,,0
uuid-b3d2f9a69ebb4548919bde30fc47e5f3,,0
uuid-031a1d61bd6d4b5e87de06d164b48c41,nivolumab,0.706323
uuid-ebd5ffac116845bf9920b27199855797,NSCLC,0.450516
uuid-8fe56a22d11240db8eca8f8902338db8,nivolumab,0.532491
uuid-8878978c63874844b31da3ade8141c8c,"patients,pts",0.557757
uuid-f7d7274688d0488780445faca957b63c,,0
uuid-415f189fd09d40ebb187c6fbcf8d356b,nivolumab,0.596113
uuid-e5baade7cfa54020be2a6ff2370098e8,nivolumab,0.582768
uuid-3e83f507238340dea68b58c6ed9169f8,nivolumab,0.596113
uuid-c5d30a3182a341708d5ac77202735749,combination,0.782553
uuid-bb8b1aac28474ac8af32e852a4cca923,nivolumab,0.579406
uuid-46875f16dd1b4a3d855c497e04002a84,response,0.775597
uuid-094079bb5fc84326936a88800bb14a28,"patients,pts",0.683309
uuid-110a2a2048be48feaa6bcd6476cdca13,nivolumab,0.582435
uuid-b58095a8fe054a0d9101ceebe42705aa,nivolumab,0.582435
uuid-8cc35be7ebaa44cdb817a67f0efa2e7e,Opdivo,0.476683
uuid-cf2c0397740a43d99a953e645511b4fa,progression,0.436989
uuid-68d24fbe819945e6958576d32c35285e,,0
uuid-f133c0a1e69842f29f159f89b674d223,nivolumab,0.73516
uuid-e6a0079760ea4080b01f4469235674bf,"patients,pts",0.482183
uuid-1ed462fefd224f4982bf023d9e9ccb15,treatment,0.710996
uuid-10dc868b8a3a4fd18bfe15511b44fe80,Opdivo,0.575693
uuid-cf21e0e0fcfd49698be98681f847ca79,nivolumab,0.721863
uuid-f7f6f5a8f2aa4662b091d767cf80d04f,"PD-L1,PDL1",0.459849
uuid-089f916133de43448e9370c0dd103da5,"PD-L1,PDL1",0.472832
uuid-00264d6cee794c5384f9b2f378b325b7,"PD-L1,PDL1",0.438234
uuid-2321433b06f14f87a638e588e753cc6c,response,0.711702
uuid-da31e4aa3c4f49d9972cc6472d9403b4,,0
uuid-683da02516874b1ca27d9682c7fb3e42,nivolumab,0.822517
uuid-ccda5d466fee44fb8f981f64353e652e,cancer,0.387937
uuid-bb423ebc1d5b4571a23d956e11b74cde,treatment,0.834821
uuid-605fa8f51156404685b4b420767c2af5,trial,0.515554
uuid-230d405faf16428bb6ccd322bcbef0a1,cancer,0.762516
uuid-a98b68eb283946e783827bf4f5c914e3,,0
uuid-96c5c01011c94175a9011e7dee356e0d,combination,0.656608
uuid-fce32a169053471cacfa71431887f4b6,clinical,0.641116
uuid-0d1232de9be045b280efbccc1a5fa077,data,0.846313
uuid-7f938d78d1f64b378de093615e289bc9,cancer,0.872987
uuid-4004caa7a04344b9b9ffe2723734fcce,cancer,0.531958
uuid-3338b7f62db441bfb1211a901452947a,PFS,0.38303
uuid-d81ba4eef8824f5d81294150bc044553,response,0.608985
uuid-a224edfd81c241838f1ba547c2e124da,"PD-L1,PDL1",0.614574
uuid-2e38cf32de24447db11e45aea13c96c0,,0
uuid-d753fcf391414281a35150bf852e9bcb,cancer,0.779156
uuid-adaed13ce53a4aef83b70b9b8fe6fb45,melanoma,0.659573
uuid-23819ffdb06745748319ce64cf42bbb2,RCC,0.649591
uuid-d169dc0f17274247a7af4323a2b60e9a,treatment,0.492734
uuid-8df3b3064f154c56bd8f08f4261a9004,"patients,pts",0.313006
uuid-563366504a8544abb16c0f01d52ce4b5,trial,0.489647
uuid-cff09f3cd3bd44c997a422257af7a97d,"patients,pts",0.642024
uuid-1d3b99dcc4c44a2abafe2b48c27c2a16,cancer,0.535371
uuid-16e406bea9684ca999397f56de9ee8ae,NSCLC,0.407067
uuid-efb48299d1af468587f49f7746308492,nivolumab,0.538917
uuid-5c6ff5c91af748d9b631f88f44433712,,0
uuid-72b72cbd7c5747d9af1def7cc305f167,nivolumab,0.571674
uuid-0b2ff6b17b0c4af3931536ab1ac3655e,"patients,pts",0.345015
uuid-058e9bdc44a648ecbd3ee6b4115687c0,lung,0.723411
uuid-4cad58ca68d542dcb460cccb72e2aea8,nivolumab,0.696667
uuid-ef8e08561cf84d07a091bebbfcd5034c,nivolumab,0.504199
uuid-c26b987718f14228860cf9587d70c847,,0
uuid-c98ab026204e4e7eaa43f988f0ace9ae,Opdivo,0.784585
uuid-f0663671f48145ff9960020b26097c88,,0
uuid-97305ca5a4914f81ba404447dda897f4,data,0.757673
uuid-22a26cb863474988a1478c12a88a5a92,,0
uuid-ccbae01d39fe4c64b2e65025ffe7cad4,,0
uuid-8927d376ce3148618355c780b9d9ff54,dose,0.42175
uuid-98d6f1f719ca4c65873eb8d5d99749ac,,0
uuid-49a8ae90ebff48b2ab0d2eebeb12b92a,Opdivo,0.863084
uuid-44c5ad6de0354fefb4fbdbcfa4900f8a,Opdivo,0.638463
uuid-59e4673635d24d2cbfd8f284339ad5e2,nivolumab,0.799932
uuid-da9d105f54544adc97d295469043d683,nivolumab,0.656563
uuid-9f89c26999d548c2ba8942cf88821335,,0
uuid-a43cdc8c689a4c52959f89fe89b41675,treatment,0.333187
uuid-c874e2cf873e4454b378d45191d29822,,0
uuid-f918a00809db43bc967e43091761257e,toxicity,0.718602
uuid-a3648896ea324ea4a514f259f397e645,,0
