doc_id,topic,association
uuid-09a0cd90a2e7483f9fd8d448d7a0f36d,Opdivo,0.603553
uuid-4d861eff93954f23b0d530a0d95c1fa9,trial,0.677231
uuid-5719afbfe0ee4c5b985c7951a25357a8,cancer,0.866113
uuid-2ab1e5f022e2488cb60c161f2ac27856,impressed,0.37543
uuid-72f1fffe4c304419ade09a2d74f783c2,trial,0.424011
uuid-b845aa6fad0346ed9b3ec1590a20a54d,Opdivo,0.346543
uuid-8e6f14a02e7045a696dc37640b8dcad0,,0
uuid-1b38180ffc0844e59b841d20d665d618,Opdivo,0.339918
uuid-f7181851aa2f4812ae24e5ed7b1db695,nivolumab,0.558874
uuid-e0c030217f79465da550ee85de8c5b36,cancer,0.29654
uuid-a044d9fe4ccf4c1087dfef85f6028330,,0
uuid-5e0394ac30554f8fab1c6a7b35328955,"patients,pts",0.764543
uuid-8a300ad2be214623889b37bbca2ab32d,nivolumab,0.408812
uuid-ef8ae9975fe9405d9063a50f28fe281f,Opdivo,0.567938
uuid-3d3bc4793ed345bd983155cb2aac39cf,,0
uuid-e171e6b47607418681a853fb7c9618e7,nivolumab,0.431853
uuid-34309fc6241f42abae6f4b09f763fbbf,,0
uuid-da3a8d41a7204975ab771234a23c635e,"Nivo,nivolumab",0.532148
uuid-9c95fdf4facc481387f0ec9971e29108,nivolumab,0.467667
uuid-30354ba1f87c4b7ab8a35dd7a489fe7e,cancer,0.644715
uuid-66b9626b5f704b8bbb07505f53e53d5c,"patients,pts",0.475497
uuid-2ffbe2f95b7e40b386ffbd5c6c105bb3,therapy,0.561418
uuid-4d70fad3c8ac41e2aa73535ea6aaf014,nivolumab,0.760186
uuid-fc6214a364844a86841de72706a9f41f,treatment,0.575728
uuid-6d9fd1b216de41579aa2246698a22c3f,data,0.136885
uuid-a7cfef07ed8e4900bad45edb9b57d9ca,nivolumab,0.825161
uuid-00b743e104ea415baebabb1fc8c4a9bd,"patients,pts",0.63579
uuid-403e9d99f45440c0a8bfe04794d4c68a,approval,0.6939
uuid-4f245ac122dc448c8983a07a9814a78e,,0
uuid-6675ecddaf6e43029df0f361bfff69cd,"patients,pts",0.771823
uuid-3c60ff97871542788d746f507cbd8315,"patients,pts",0.650315
uuid-17635b55fadd42299010d845eb27e599,nivolumab,0.432035
uuid-ac1f729431b34910b703dd2aa64e83b0,clinical,0.460951
uuid-b489c075e2954d0ab2d55f912b4f226d,nivolumab,0.40059
uuid-a05c2910e4154ad0bde8147070200a40,Opdivo,0.744879
uuid-3788b7162025419585b758465eccc62e,nivolumab,0.437626
uuid-c424b0149ca64fdc8b2df4a4dce5b249,,0
uuid-c3eddf28d9f14793a60414687510cfa1,BMS,0.484788
uuid-6c3ee0c0920945ac9838d980d670cf1b,data,0.136885
uuid-724c7083293b4beaacdb7969c85dc307,Opdivo,0.405982
uuid-ca3cfcf81d0d4ef3a1fbf3d654ae1a3e,NSCLC,0.910193
uuid-33ca38f149804422a90a234730350a64,nivolumab,0.868306
uuid-b44bdbb1e24e45ffb7d328c5c1497b72,,0
uuid-b4339755b0074533a9c2432f31fd06e6,nivolumab,0.786419
uuid-9b59ce06ff5d48779d6aaa5fc0989bdb,Opdivo,0.519755
uuid-285786214f0f4a90b4bef11b7bbc2135,,0
uuid-eb15375093bd4c5193c4244f7b20c3cc,therapy,0.658774
uuid-f9503e2bfbfc4de782d1d4e63d337605,nivolumab,0.467667
uuid-8ec825a2cce5400fb0d3ca5f792dec39,Opdivo,0.647452
uuid-b7b488fea6d0462db1308a65fc811521,,0
uuid-aed5360ed4d14219b407b49c23f309c7,Opdivo,0.633995
uuid-315b25d713fd4c1d9c59f144b306bd71,,0
uuid-b60039d9764341bb824fb925339d4ecf,nivolumab,0.799259
uuid-ea8d3b29209f440fa6cd1d1a2559f46d,Opdivo,0.525692
uuid-d020465797ed41fca8c4c86488c96b0c,Opdivo,0.556365
uuid-f2228f2a69eb43d2b022202b9e9ebdad,"patients,pts",0.353101
uuid-9d8cfc57d83f4f20a5639a0dff560428,,0
uuid-d8bc06a28b414c6b946e175675e6835c,treatment,0.61434
uuid-cade5014c897468cbe90b140cb9c46e9,,0
uuid-d0cfe89941ec4f2aaa48f92e1dd447c9,nivolumab,0.433041
uuid-0925ef27f111479c92bb333aaf55df32,cancer,0.688856
uuid-3f7a05f6e29a4f83af9cc7171f059209,,0
uuid-3240dd3a3fbd43a8bf9d48967ce4b5d1,nivolumab,0.746628
uuid-adc942c042f54a3190cb7751b39aa44f,,0
uuid-bca86b9f824744e698f98061d8b72ef0,cancer,0.665618
uuid-f85f7b8351304e538336fb10e5d2c555,toxicity,0.604543
uuid-7515d58b1d7846079e42bf344d6dbb9e,,0
uuid-c85c0f0749c644efbc0cca524f0cbdff,nivolumab,0.476336
uuid-78729d64a1674bacbae472df2916b26c,cancer,0.492161
uuid-6a404b38178c423ebb4ed4a98c24f18e,nivolumab,0.435962
uuid-55596e457f3e470b833f1bbab475bfb1,cancer,0.666224
uuid-19d7ebf53813455c99fb922e69a070c9,data,0.719641
uuid-278f7f40569f400495706ff7c5cfb1b0,nivolumab,0.819028
uuid-34a0c715250d4234954d224269f7ebd0,treatment,0.745762
uuid-d11a847f8c3348e7adec478f699b5291,,0
uuid-80263c5e8b24438eb9ae76e01bfe761c,dose,0.850517
uuid-7398142cc33441b288a87e0b854e61a5,,0
