term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
apix,Area, CARDIOVASCULAR,1358.3227235,5.50382719579e-215,409,163,Is there interest in apix use in TAVI and or LVADs ?,what data exists for cryo ep and apix,what data exists for chemo interactions and apix,572
apixaban,Area, CARDIOVASCULAR,910.152966141,0.0,814,936,What data is available on the use of apixaban in patients with bioprosthetic valves?,What data is available on the use of apixaban in patients with bioprosthetic valves?,What data is available on the use of apixaban in patients with bioprosthetic valves?,1750
reversal agent for apixaban,Area, CARDIOVASCULAR,699.881538887,2.81182824871e-111,152,409,What is the status of the andexanet alpha reversal agent for apixaban?,What is the status of the approval for andexanet alfa?,What is the status of the approval for andexanet alfa?,561
Eliquis,Area, CARDIOVASCULAR,598.582895101,0.0,668,1154,"MD asked about the drug interaction of apixaban and amiodarone. He searched in several drug databases (Micromedex, Medscape) and have seen that Xarelto should not be used with amiodarone, but Eliquis has no major drug interaction. He wants to confirm.",Do you have any data comparing Eliquis to Xarelto or Pradaxa in NVAF patients?,Do  you have any data comparing Eliquis to Pradaxa and Xarelto?,1822
NVAF,Area, CARDIOVASCULAR,423.612510379,9.4521535434e-133,266,741,What's RWD bleeding hospitalization cost NVAF NOACs?,"What's the RWD bleeding, hospitalization, and costs with NOACs in NVAF?",What's RWD major bleeding NVAF NOACs?,1007
antidote,Area, CARDIOVASCULAR,419.008026571,1.47946379513e-66,91,1178,What is the status of a reversal agent for Eliquis and what data do you have regarding antidote?,Inquired about the status of the reversal agent for factor Xa inhibitors,What's the reversal agent development to reverse AC effect of Apix?,1269
DOACs,Area, CARDIOVASCULAR,419.008026571,1.47946379513e-66,136,916,What real-world data is available on major bleeding among the DOACs in NVAF?,What real-world data is available comparing major bleeding among warfarin and the DOACs?,What real-world data is available comparing major bleeding among patients newly initiated on DOACs and warfarin in NVAF?,1052
NOACs,Area, CARDIOVASCULAR,391.38112372,2.75922141561e-182,291,690,What's RWD major bleeding NVAF NOACs?,What's the major bleeding RWD among NOACs for NVAF?,What is the most recent RWD comparing bleeding rates across NOACs since ACC 2015?,981
data with Apix,Area, CARDIOVASCULAR,382.172156103,1.12458191875e-60,84,159,Any data with apix and TAVR as prophylaxis for leaflet thrombosis?,What is data with apix and pulmonary vein thrombosis or HIT,What is data with Apix and vein procedures and svt?,243
VTE,Area, CARDIOVASCULAR,379.869914199,6.10224262399e-119,193,277,What's the CHEST ACCP AT VTE guideline? What's the dosage for apix VTE cancer?,What's the CHEST ACCP AT VTE guideline?,What's the CHEST ACCP AT VTE guideline?,470
