Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
nivolumab,-2.33110028211e-07,54,5.47974933953e-05,5,1.16562077376e-05,11,-9.96530590652e-07,59
Opdivo,-1.65393430397e-06,72,3.18151241768e-05,17,9.88675187883e-06,16,-3.20956926966e-06,86
use of nivolumab,5.91233499939e-07,48,5.48668194986e-05,4,1.49537402853e-05,4,4.45998254712e-07,47
patients,-5.92640873446e-07,60,1.98906521968e-05,23,1.68470672357e-06,43,-3.12012068682e-06,84
Nivo,4.89478565505e-06,8,-3.97787739889e-05,97,-3.60417625747e-06,78,3.57790677815e-06,20
dose,-3.44748015441e-07,55,7.98160998378e-06,37,-7.37031953669e-06,90,-7.80917142452e-07,56
BMS,-1.03663953756e-06,66,-3.30453473043e-05,90,-3.39821430329e-06,77,-1.14797642307e-06,60
trial,-1.54432639548e-06,71,-2.53733862663e-05,84,-4.79886185193e-06,81,-2.06099539976e-06,71
therapy,6.49353030025e-07,46,1.40023945826e-05,30,1.10524003325e-05,14,-8.27373089128e-07,58
NSCLC,4.43368841159e-06,14,1.62563202074e-05,27,7.52019416897e-06,22,5.62366074938e-06,10
apixaban,-6.07844171537e-06,99,-5.25562904083e-06,61,-1.53521272106e-05,99,-7.10639100884e-06,99
TL,4.53559839827e-06,13,-3.16547806019e-05,89,1.88546150317e-06,41,5.99176945052e-06,7
Eliquis,-7.35381473783e-06,100,-5.04715299049e-06,60,-1.56020116654e-05,100,-7.7227078182e-06,100
melanoma,4.02300804906e-06,18,1.05023187883e-05,33,7.63773602845e-06,21,3.82230202261e-06,17
efficacy,-9.99672986781e-07,64,3.6412822179e-06,43,-5.66754597106e-06,87,1.01419001588e-06,36
data,-5.60231381343e-06,98,-8.66973740697e-06,68,-1.50770912817e-05,98,-5.95283050575e-06,98
RCC,4.68980009738e-06,10,1.17244637154e-05,32,9.20829603184e-06,17,3.49076928132e-06,21
lung,4.33104481645e-06,15,-9.69378524313e-06,72,4.97776376888e-06,26,4.30899509117e-06,13
combination,-1.16149731239e-06,68,-6.39587063411e-06,63,3.80277763709e-06,29,-1.72062311777e-06,65
RTL,5.05211479657e-06,6,-3.75424828727e-05,94,8.18981538817e-07,52,3.89363579892e-06,16
request,-2.47793815407e-06,78,4.99557659171e-06,41,1.72787699962e-06,42,-2.40442860369e-06,73
clinical trials,-2.77255886659e-06,81,1.93376717591e-05,24,7.29641449384e-06,24,-3.7865051744e-06,92
treated,1.66793455289e-06,35,4.07115219621e-05,12,1.56005288663e-05,2,-4.70577182115e-08,52
regimen,2.5574063515e-06,26,-8.79269940928e-06,69,1.97558173719e-06,40,1.12893186594e-06,35
slides,7.09954900181e-07,45,1.60924261306e-06,51,7.44228598301e-07,54,3.27951966392e-06,23
pembro,6.56677707472e-06,2,-4.6479459082e-05,100,-4.20005671387e-06,79,6.69358897382e-06,4
head and neck cancer,5.38540294693e-07,49,5.03211965138e-05,7,1.5441095475e-05,3,4.96430223022e-07,46
data on the use of nivolumab,3.96552467252e-07,52,4.96240669248e-05,8,1.42519986348e-05,6,-7.49655460952e-08,53
agents,-2.2664000608e-06,76,-2.605276458e-05,85,-3.18309888638e-06,75,-3.1333244781e-06,85
NTL,4.76610315993e-06,9,-3.59937457517e-05,91,-4.43354305305e-07,61,3.76280343671e-06,18
discussed,-4.37796881058e-07,57,-2.06136509344e-05,80,-5.1441449624e-06,84,-1.25160949951e-07,54
PDL1,4.62236035187e-06,11,-2.90164379736e-05,87,-2.43052384355e-06,69,6.97415542831e-06,2
small cell lung cancer,9.46323839085e-07,43,5.20960399451e-05,6,1.36586479612e-05,8,7.32085063397e-07,41
treatment,-1.03531578599e-06,65,5.60644896389e-05,3,1.47961051697e-05,5,-2.01449006496e-06,70
