doc_id,topic,association
uuid-ce96a688fad046a48b50a39ae04d2ac9,oncologist,0.533495
uuid-006f80b75bbb4984b10879bd09a2aec6,Opdivo,0.70593
uuid-178fec1bfa864b2084f8e3982e01726a,data,0.856982
uuid-0eac7750274d4c51b9e5650d9395c389,HCP,0.804372
uuid-4e6b19a424bf4021a83c4b011a80b0a9,"patients,pts",0.71213
uuid-2231e9daf9e749d19ace2dc3569bb773,pembro,0.921049
uuid-b6c941b81cf04c4e9d155296686e7470,Opdivo,0.782054
uuid-d2bca87d94df4d17955d4b811cd3a3b5,HCP,0.831015
uuid-bed8fe0ebef74c798d03bce4cc0728bc,HCP,0.872118
uuid-2fb39b489d4d4a039f7adfd08db8d16f,Opdivo,0.777244
uuid-8bcf5e22c2dd460297f91dfa90730601,Opdivo,0.741565
uuid-800586f671e34d43870dfc916f9dda17,Opdivo,0.85481
uuid-c26f291e75c046119eddb00bc6e8326f,pembro,0.828726
uuid-ff5aff3e03a7435cb57c2b7ee18f4d5b,trial,0.842066
uuid-8d5d8b47b2924282b13affc6d32c4eaa,"patients,pts",0.820369
uuid-da6c09e22ea44fc9bafe9bd90bf18f68,"patients,pts",0.732826
uuid-fe15426442de41b7a7edeb3b76047186,Opdivo,0.799162
uuid-bf241e85f7ff490e8b707450a6d86403,data,0.772027
uuid-560f4e53fcbb483c8ab54f8246c85809,atezo,0.883296
uuid-ba9285c37d004ade904c279f3c85eb3d,Opdivo,0.76445
uuid-5001f38fd4b343349ceebf3e3fc4651d,Ipi,0.797214
uuid-a384c59d8777408795abde7291cc536e,pembro,0.916093
uuid-073362a98bce4d83acf6c1f549524e91,Opdivo,0.813618
uuid-8ed4293d417240b1b43e5907c3eba614,pembro,0.713977
uuid-f9d5ed801ab64c169ac5d3bc8d862de9,"patients,pts",0.742051
uuid-4ec0f05a825b4b9bbdcedc92b8a50bfd,pembro,0.685716
uuid-fc9292dbd0974ccd9c7527f79f87d8c4,pembro,0.866299
uuid-7cbedbb9535d4b9b8c9d87c55cb6605f,"patients,pts",0.60389
uuid-7d76c5476cd840439cf947cfe986b082,"patients,pts",0.530951
uuid-432fafd2a8764544b06d4b0f235211ba,trial,0.584088
uuid-c4fbfefef6bd44f4ba28ee4d122e59a5,HCP,0.892872
uuid-5edb0e59a8ad4b348e67c7f5473776a8,HCP,0.849953
uuid-ce8e172303f94c769e381b7475096763,HCP,0.859256
uuid-071c020eb1d44a88a55b9d46319de16e,agents,0.584183
uuid-168afaf63d314fffa6bd7df8115df720,trial,0.686899
uuid-606cf9a0d2f342398de7783384fef4cd,Opdivo,0.854473
uuid-6ec672ed3f1f47e4ab3f8f309705b021,"patients,pts",0.566842
uuid-cf9a57693cc2463c8b62a60f1b481563,lung,0.367441
uuid-5f73e22b1f3d490cb7ef263295f1c11f,trial,0.679576
uuid-b582e27285754ef595a2e642410bce08,"patients,pts",0.712061
uuid-aff49a933f3c4b7cb80a64c2f3db2393,HCP,0.783176
uuid-0f57f87aab9f40b18cd881c682c729ff,"patients,pts",0.714897
uuid-01e6abb5a1064b0c8d9dd646c5ac9ad4,HCP,0.907818
uuid-bae4d2f0d6f34b3ba7beff69b374b0e1,data,0.832006
uuid-65ba6f96b0784142980b731e2d15d878,chemo,0.644923
uuid-0ba56037ecdb4ceaa92e091b4f125468,pembro,0.892814
uuid-e99dea9996a74ad7b9494de36617809b,Opdivo,0.838579
uuid-37fa949ef02e45c49b0519ab1a117899,"patients,pts",0.722804
uuid-b5a45c2842184d17954a06d87a855eb7,"patients,pts",0.786217
uuid-164a1bc4af9f48d7932aec8f16832d3d,oncologist,0.443373
uuid-8384e549bb8949fca5828e6d88462016,Opdivo,0.654428
uuid-001b59c7defd43dfbdfdf88f28665c76,oncologist,0.578598
uuid-83eb44e5ea3749a196326556aabbd788,trial,0.658664
uuid-db5c84bdbc5b4fc78dd194fc7d6af5bb,data,0.654567
uuid-66e2fb26367b43e88f472eaeb68082a4,pembro,0.87609
uuid-263feb55efaf4c9a919aab4ccc2d05be,pembro,0.763793
uuid-d2b60b4738154c1c9b2d1b13a5f81de4,agents,0.571045
uuid-c128081f6b634256906f5681ddfad783,RCC,0.66174
uuid-6fb31c50a72c42acaf0195cfbfe27aff,data,0.866168
uuid-0ee925e5c0e84886b9329b8c9a873ac1,TL,0.743762
uuid-78b7f02377474db684f97934c4489f2d,"PD-L1,PDL1",0.633701
uuid-faefdbf855424d819480a4ede837778a,HCP,0.834975
uuid-88d7dec7d4b8481d946dbc3646cb6514,assay,0.576511
uuid-bab78438e9654745b460c9a9eca6b24c,HCP,0.886861
uuid-e9c17ef7fe714c3f80071868022fb3bb,pembro,0.756222
uuid-dd83352608024e7cb7cc0dec4955b824,Keytruda,0.789548
uuid-e6757be60179442a982ab315c564c05d,Opdivo,0.726663
uuid-ba18da09c4e24ffea034d3022a1f1997,pembro,0.797655
uuid-d54ad1e268d74f5ea3d94aed05399686,physicians,0.395177
uuid-cfa28ab745d74429ab004caa2b31fd5b,Ipi,0.788669
uuid-b7e1f0b2da5b490c9229accfd6a698a2,response,0.687545
uuid-26efd71f3b7b458997363fb8882df006,toxicity,0.61205
uuid-f671d2f3a1bb411a8312fbcbf0c738f4,lung,0.72887
uuid-a2b8a22ccde944fdbd1c31905aa84c1d,lung,0.70913
uuid-08ea36e6648a443a80561a23e4ca32c1,pembro,0.866646
uuid-4c909fb832054a72877a7e2d94fb1caa,"patients,pts",0.81089
uuid-9eb11e592cf742899d01196f756fe988,HCP,0.835605
uuid-9e8fbd4e31fd4f2eb454ffe72b85cd83,RCC,0.742705
uuid-2b1c18c3316d45f69e0bc9c5a25eb961,data,0.796696
uuid-f77bd4ac94264f5db0b99ec9e502410b,BMS,0.785554
uuid-ad4143bb7f1445c9bdefefb592b0b2f0,data,0.868349
uuid-e53646a565fd4c8c83162c92b9b84ae6,pembro,0.901682
uuid-a1b89dbb109d4ad4b74274b75669b524,"patients,pts",0.758197
uuid-fc82b33289a440f5b8c5447fbef4e755,RCC,0.794488
uuid-028bad5fda4441aa8812cc6d4da9e64a,data,0.576594
uuid-60d1a2a48c98422bb2837e3d6b396393,lung,0.669488
uuid-f3e0aa647e1a41859c66a2bbbde71cab,data,0.807852
uuid-94743090f5d04a16a767e290fee4c1d7,Opdivo,0.665952
uuid-7e96607f3e6047248d03729bfad83e79,dose,0.713834
uuid-b50ee37d1970499aab5a62a871bceeb5,"patients,pts",0.672902
uuid-f6ba4fca160f430aab7693bbd40f039f,Opdivo,0.54668
uuid-d33fa4560dcf43a5bc5c9a90f5f1c0c7,data,0.833837
uuid-d5514fbf8ed14452afc58ba250855e59,Opdivo,0.498148
uuid-cf0a4b0532844705b8de7c8253c5a09d,Opdivo,0.867629
uuid-f50330c80d6b436ca6104c0f517cd03f,data,0.859647
uuid-a28f9e4d4ac946bb8bc77e9d52476019,pembro,0.790388
uuid-b8562ec48cd04fefb7c7e731e0536b63,TL,0.701976
uuid-55002e75df4c4a6392fe891bf2f73540,Opdivo,0.822751
uuid-29b9a8872c924708858ed8a3ace62267,Opdivo,0.875443
uuid-6faa302d03d44edba0955e0fffcafa6a,assay,0.765171
uuid-4d2d2e6d35ad4587989da327f3daf809,data,0.726263
uuid-26df43bffe7141e7b03fed242dd58e23,Opdivo,0.784327
uuid-d768ee427c744897835c0a33677db64d,Opdivo,0.915744
uuid-9c34a04ed1394fa6bde900b9c41e8fd6,trial,0.646538
uuid-06ad46751f264c1795ff02cea08a097e,BMS,0.458901
uuid-bd4cb34d80484ea89772fe76ff7cbbf0,Opdivo,0.797027
uuid-5bc4a3848614406bae79b8f581c3d46f,tumor,0.603382
uuid-e532c3473c5e435e836abedb0f80893a,data,0.706327
uuid-171efb37798c46ebad5d8669a9759e28,tumor,0.397164
uuid-3a38aac12e004508b2e1d8d2a6279a51,data,0.812987
uuid-56bf333cc0934668adef54b9ef53be27,"patients,pts",0.805229
uuid-a2a21177dedd4a5582fcc8cfb9622c12,Ipi,0.836924
uuid-f81a1705a793451084e183609bc45ee4,pembro,0.871419
uuid-3f1a093e518b4c6f9767c8e31f47a719,pembro,0.77236
uuid-4b96c7f40cca4c809788f30f45f474c6,Opdivo,0.887336
uuid-55dc5ecf35a84f0e82f467114effbc3f,agents,0.630034
uuid-e537a6cb6b6048eb9299dce3c4d321e5,tumor,0.594722
uuid-cc0f9d3c53134abaa209c0a803f6a58d,lung,0.698865
uuid-f067736c34ee4c0e984658ba4acadf49,atezo,0.805768
uuid-d39dbd725dfb4c9a98f33a30f16397f6,"patients,pts",0.637885
uuid-4c1aaa6d3bb24b72b21c5332d8aae95e,HCP,0.850928
uuid-d9a61e6619194e9eb74fcd0955a73004,toxicity,0.506331
uuid-9a47a1e04d374ccbbaf84d8f991c02d3,Opdivo,0.835096
uuid-924b73e5f15a48658b97ff931d25eb0d,Opdivo,0.889533
uuid-e8f04d235f3b471b9133d2dd28f2a881,Ipi,0.526426
uuid-4f95b37381ad4504842c05889f3506a1,Opdivo,0.767629
uuid-4146b7f436254ca1abcf5a23e00163aa,TL,0.78136
uuid-e9c4d486975046999d7654693e569f4b,toxicity,0.651844
uuid-03d615b69c4247fdb2e921ef2e0d3708,HCP,0.732894
uuid-a0e7d45e31334bf1a1685b1b11f2c5c3,physicians,0.660762
uuid-6dbbf449da194a08ab4edb93e9145373,HCP,0.889662
uuid-2b0eeabbba684d5aa6533da235e8a594,BMS,0.695835
uuid-f2f3417ecccd4dc1b659b317cfb5dfac,Opdivo,0.850775
uuid-f22f887267b5455cbf8d0fc4eb81bd98,trial,0.50628
uuid-18f264f0cdb94c8399e266930b517dfd,Opdivo,0.660901
uuid-6638271718f84e488e61094a68a357c8,HCP,0.843649
uuid-245ad8a0955d47db881be43003a231e5,"patients,pts",0.688952
uuid-3e5a3ab5fe67442ea50cd873f2f89dee,pembro,0.680858
uuid-33cb02a4026d4f17be67918835461239,HCP,0.851374
uuid-0bc0666833a440be95c0cca77bfaaab5,trial,0.627342
uuid-9f83ae0ccc19402f8ff523b0188dd722,HCP,0.698135
uuid-116d3fdcc27c4d4089a5235a75130636,HCP,0.890738
uuid-1e5ae2863ccd4b089118659c52709210,Opdivo,0.77496
uuid-912e057dded04ae58257bdaf621521a5,pembro,0.913766
uuid-4f3b5a46afcb41dbbb8747dafbd78e61,Opdivo,0.857994
uuid-46f291400ef24cddb7b40b0d62965901,Opdivo,0.752694
uuid-2c8a989c9a734611b3469d5e013ca48f,BMS,0.552726
uuid-b6edef9daf144ddf8d19f71607e78773,HCP,0.819684
uuid-eae2ceb22844445ca9ee741bdbfedb10,Opdivo,0.599287
uuid-ea4eb0a3db2c4caa89c13424f928c6c5,pembro,0.859973
uuid-5c21454abb374cabbbc5770934b89d91,BMS,0.838891
uuid-22b6ced7697b45f5b4e8590e305673aa,BMS,0.551105
uuid-3648197714284aab89f137ada7835590,trial,0.629113
uuid-6396eda48cf14b37bf4d7836da3f21a6,"patients,pts",0.713411
uuid-0cf4f28f5ee14106937dda8c73cbdac6,trial,0.822457
uuid-30296ce24837493d9c8c186dbdcd5f04,BMS,0.853871
uuid-ff44c1fc6a2540d392ee68a71c22e1d5,Ipi,0.666947
uuid-876a2299ee44427f9065ea482a3f0f49,"patients,pts",0.836342
uuid-6119873c7e1c47cdb6983765e2ffab22,BMS,0.686628
uuid-5674dbb86d104fe0a917d122f48989fb,Opdivo,0.763858
uuid-4acb9709eb8f497882a0b7e9c700d6bd,HCP,0.858831
uuid-a20778f433504ba6b87b194b3e7208f6,BMS,0.87548
uuid-bda22553637f4f8db62eb35e38e50bad,Opdivo,0.844229
uuid-b656df25f7b444a5b37cfe1a9eca3678,pembro,0.876441
