Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
therapy,-3.3078947611e-06,56,0.000216723692164,7,4.70881866196e-05,18,-1.06435904382e-05,89
patients,1.41387331324e-05,24,-9.02383885667e-06,69,-2.95154453985e-05,75,-2.71381988189e-06,49
nivolumab,-1.5344449389e-05,87,0.00014590047394,17,6.16754284148e-05,8,-1.37150661987e-05,94
dose,-1.95470892188e-05,94,-3.30682409076e-05,74,4.36464866542e-05,24,6.51838509322e-06,22
pembrolizumab,-2.70256894062e-05,100,0.000115882430993,30,8.42471531356e-05,3,-1.12808737183e-05,92
combination,-1.72687230603e-05,89,0.000132502049484,21,6.45666704594e-05,4,-8.37074096054e-06,76
tumor,-4.91008761729e-06,64,5.17799743521e-05,48,2.78888287901e-05,43,-1.08818088501e-06,39
Nivo,3.28259037297e-05,4,-0.00028237202676,90,-0.000129700861147,96,1.62784960524e-05,9
ipilimumab,-2.37959518135e-05,98,0.000246373434854,3,9.92107330044e-05,1,-1.62645343714e-05,98
melanoma,9.58374202537e-06,29,2.54235809047e-05,60,-1.00438743598e-05,67,-7.32530071163e-06,72
treatment,-1.80403420081e-05,91,0.000248642980774,2,8.64438198389e-05,2,-1.43798830096e-05,95
toxicity,6.93290281564e-07,40,9.56031444667e-05,33,7.44889184607e-06,59,-5.91190633578e-06,65
NSCLC,2.10636996765e-05,19,-0.000100073231172,79,-5.82131674745e-05,81,2.58427272212e-06,29
assessed,-1.3449570869e-05,83,0.000141228301155,18,6.00271856409e-05,9,-4.80029193377e-06,61
efficacy,6.05575865176e-06,35,9.16629700757e-05,36,-3.88663000788e-07,64,-3.80637179722e-06,54
evaluate,-1.47873107494e-05,86,0.000124659328568,24,6.20739824012e-05,7,-4.68981009531e-06,60
TL,3.27667495446e-05,5,-0.00032964767314,99,-0.000130321226599,97,1.97611391599e-05,2
RTL,3.04033055957e-05,10,-0.000327105597058,98,-0.000126152418376,94,1.75509006989e-05,7
administered,-2.34485919045e-05,97,4.53657921121e-06,67,5.75510164132e-05,11,2.40086681539e-06,30
Opdivo,3.40291900843e-05,2,-0.000299846656354,93,-0.000132073612664,98,1.72683842574e-05,8
clinical,-4.0836366144e-07,44,0.00016307077042,14,3.33492476192e-05,37,-4.58098147959e-06,59
cycles,-2.17378325262e-05,96,8.84199654675e-06,65,4.63303096871e-05,20,1.2984466102e-06,32
immunotherapy,-2.5606812595e-06,52,0.000234361553075,4,4.44641985918e-05,22,-1.49122299224e-05,96
PD-L1,6.96021108202e-06,34,1.87942613326e-05,61,-1.13883363635e-05,69,-6.54870166918e-07,38
trial,1.26632715556e-05,25,-9.12475482104e-05,78,-4.26766788428e-05,76,6.36769916393e-06,23
chemotherapy,-9.39690090384e-06,79,0.000124303411567,27,4.65861012096e-05,19,-1.03679579563e-05,86
treated,1.00555146477e-05,28,-3.42454554768e-06,68,-1.51842977212e-05,72,-3.20421748489e-06,52
OS,3.14456401892e-06,37,4.28299306084e-05,52,-1.14024747408e-08,62,-5.2063782382e-06,62
agents,1.23932907362e-05,26,8.794963521e-05,38,-2.22935218608e-05,73,-5.35806533007e-06,63
PD-1,-1.98589601119e-06,49,0.00013641515934,20,2.46152410335e-05,48,-8.92941040824e-06,78
regimen,1.57575554799e-05,22,-0.00011930109587,80,-5.76297387725e-05,80,8.28942049467e-06,20
clinical trials,5.53903464612e-06,36,5.80155890577e-05,46,-8.4455668856e-07,65,-2.29859543232e-06,46
lung,2.16478388351e-05,18,-0.000207228227249,86,-7.92354435908e-05,83,9.8201206098e-06,18
pembro,3.29352535464e-05,3,-0.000311288697449,95,-0.000133987664168,99,1.82758370325e-05,4
overall survival,-5.27097365735e-06,68,0.000129773254049,23,3.484811071e-05,35,-1.1222981816e-05,91
