doc_id,subset,subset_name,value
uuid-dd2748b5799a4ad2932ba666689eb770,Subset 0,Territory, MI
uuid-dd2748b5799a4ad2932ba666689eb770,Subset 1,Segmentation, Clinical Practice Influencers
uuid-a574e72439964f0ea4007cdef26072da,Subset 0,Territory,  UT
uuid-a574e72439964f0ea4007cdef26072da,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-a8027c24223342b5aabc3066a61ab66b,Subset 0,Territory, S. CA
uuid-a8027c24223342b5aabc3066a61ab66b,Subset 1,Segmentation, Scientific Experts
uuid-209d9787506e4f47936df7656dfffcb8,Subset 0,Territory, S. CA
uuid-209d9787506e4f47936df7656dfffcb8,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-38b870589a0f4fda93afdfdf841a5b1f,Subset 0,Territory, S. CA
uuid-38b870589a0f4fda93afdfdf841a5b1f,Subset 1,Segmentation, Scientific Experts
uuid-58956b01eebd4d2786bedcfedf96af2a,Subset 0,Territory, S. CA
uuid-58956b01eebd4d2786bedcfedf96af2a,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-0697d863a4bb440bab10b8a4a5da2a3c,Subset 0,Territory, S. CA
uuid-0697d863a4bb440bab10b8a4a5da2a3c,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-50e922a8c9184edb95bfbb03c6a90a7f,Subset 0,Territory, S. CA
uuid-50e922a8c9184edb95bfbb03c6a90a7f,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-b04d57870ca240edb4c7aba01b6ba51d,Subset 0,Territory,  OH
uuid-b04d57870ca240edb4c7aba01b6ba51d,Subset 1,Segmentation, Access Influencers
uuid-b5f0defa99d44ccea4c7714fc088e323,Subset 0,Territory, KS
uuid-b5f0defa99d44ccea4c7714fc088e323,Subset 1,Segmentation, Clinical Practice Influencers
uuid-5c70926db46d4984abc3e13a497a1113,Subset 0,Territory,  MT
uuid-5c70926db46d4984abc3e13a497a1113,Subset 1,Segmentation, Scientific Experts
uuid-576e178f98404572ab09f845d009aa86,Subset 0,Territory, KS
uuid-576e178f98404572ab09f845d009aa86,Subset 1,Segmentation, Clinical Practice Influencers
uuid-4b0305ca996c4437a4ec021c9f1bae4e,Subset 0,Territory,  MS
uuid-4b0305ca996c4437a4ec021c9f1bae4e,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-4f31ccc202474624ac07fb172795fd63,Subset 0,Territory,  MS
uuid-4f31ccc202474624ac07fb172795fd63,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-fad9cbcb9a5d45ec8506f0d0248beee1,Subset 0,Territory,  MS
uuid-fad9cbcb9a5d45ec8506f0d0248beee1,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-709d85ada66944bd9129b524fba83dcb,Subset 0,Territory,  MS
uuid-709d85ada66944bd9129b524fba83dcb,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-29f66aaa72a6428f8c71b1e96d4116f7,Subset 0,Territory,  MS
uuid-29f66aaa72a6428f8c71b1e96d4116f7,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-c5590c44dab345a08db5885dae953c57,Subset 0,Territory,  MS
uuid-c5590c44dab345a08db5885dae953c57,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-c55f10541c024e57b57ceba238089458,Subset 0,Territory,  IN
uuid-c55f10541c024e57b57ceba238089458,Subset 1,Segmentation,  Scientific Experts
uuid-c0816fb1ed2845eabd27747589d08960,Subset 0,Territory, ND
uuid-c0816fb1ed2845eabd27747589d08960,Subset 1,Segmentation, Access Influencers
uuid-48495fcee65749b194423550869a39f9,Subset 0,Territory, ND
uuid-48495fcee65749b194423550869a39f9,Subset 1,Segmentation, Access Influencers
uuid-92f68908654845d58ab886b1ee077996,Subset 0,Territory,  TX
uuid-92f68908654845d58ab886b1ee077996,Subset 1,Segmentation, Clinical Practice Influencers
uuid-9da5d60f2d064f0b9dcb1d72e1bba7c1,Subset 0,Territory,  TX
uuid-9da5d60f2d064f0b9dcb1d72e1bba7c1,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-38908a22c8a24a7fa5f2ecbfb58f29bb,Subset 0,Territory,  TX
uuid-38908a22c8a24a7fa5f2ecbfb58f29bb,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-41ab7a33245b41c2845df7cee163c675,Subset 0,Territory, E. TN
uuid-41ab7a33245b41c2845df7cee163c675,Subset 1,Segmentation, Access Influencers
uuid-1678b2ad80084b37a54b9bb64a4ef479,Subset 0,Territory,  IN
uuid-1678b2ad80084b37a54b9bb64a4ef479,Subset 1,Segmentation,  Scientific Experts
uuid-3a59a916c1724ce59d565324e6d29537,Subset 0,Territory,  IN
uuid-3a59a916c1724ce59d565324e6d29537,Subset 1,Segmentation,  Scientific Experts
uuid-76cd40bc214d455db8b821aa3a2bf600,Subset 0,Territory, MI
uuid-76cd40bc214d455db8b821aa3a2bf600,Subset 1,Segmentation, Clinical Practice Influencers
uuid-9e3e1eb1ac354d98b505479b35047e78,Subset 0,Territory,  IN
uuid-9e3e1eb1ac354d98b505479b35047e78,Subset 1,Segmentation, Access Influencers
uuid-b4ca25029d4940df8cecea0c45fe4153,Subset 0,Territory, ND
uuid-b4ca25029d4940df8cecea0c45fe4153,Subset 1,Segmentation, Clinical Practice Influencers
uuid-917bd50ef5a24184baaf7ac3551265c2,Subset 0,Territory, ND
uuid-917bd50ef5a24184baaf7ac3551265c2,Subset 1,Segmentation, Clinical Practice Influencers
uuid-c112cd3ea5654db69388b5a6dc6c5a57,Subset 0,Territory, ND
uuid-c112cd3ea5654db69388b5a6dc6c5a57,Subset 1,Segmentation, Clinical Practice Influencers
uuid-3884068d73fc42348553dcb720399c45,Subset 0,Territory,  MS
uuid-3884068d73fc42348553dcb720399c45,Subset 1,Segmentation, Clinical Practice Influencers
uuid-0500a55221c24cacb69af8e0e647a8fa,Subset 0,Territory, S. CA
uuid-0500a55221c24cacb69af8e0e647a8fa,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-95116212419e47eb91dae8c91ae95336,Subset 0,Territory, S. CA
uuid-95116212419e47eb91dae8c91ae95336,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-e87f350f68d24be884f52d2404fa7663,Subset 0,Territory,  UPSTATE NY
uuid-e87f350f68d24be884f52d2404fa7663,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-67bc08b5bf3e46e0832121c13c602502,Subset 0,Territory,  UPSTATE NY
uuid-67bc08b5bf3e46e0832121c13c602502,Subset 1,Segmentation, Scientific Experts
uuid-2b1c95d8dbc44a279b7f42321bb007d1,Subset 0,Territory," TEXAS
TX"
uuid-2b1c95d8dbc44a279b7f42321bb007d1,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-4664696f348c409b8d8bce8026d75683,Subset 0,Territory, EAST
uuid-4664696f348c409b8d8bce8026d75683,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-b9dbf1f84afb42b49301381041d9c41b,Subset 0,Territory, EAST
uuid-b9dbf1f84afb42b49301381041d9c41b,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-c78bff860e8f40de9f84ca43ed7e95e4,Subset 0,Territory, EAST
uuid-c78bff860e8f40de9f84ca43ed7e95e4,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-56b8d250550744a99e3ecfdc981d1c58,Subset 0,Territory,  VT
uuid-56b8d250550744a99e3ecfdc981d1c58,Subset 1,Segmentation, Scientific Experts
uuid-33da533d7e71411ca3d1b2f33b76517b,Subset 0,Territory,  VT
uuid-33da533d7e71411ca3d1b2f33b76517b,Subset 1,Segmentation, Scientific Experts
uuid-50ed903eb3cf4f83817fe38aec673a42,Subset 0,Territory, East
uuid-50ed903eb3cf4f83817fe38aec673a42,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-92c99359df9a488da702767ba6a0260b,Subset 0,Territory, East
uuid-92c99359df9a488da702767ba6a0260b,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-c4fe2607308942a7b12bbe22c08e129e,Subset 0,Territory, East
uuid-c4fe2607308942a7b12bbe22c08e129e,Subset 1,Segmentation,  High Disease Burden Clinicians
uuid-68cb3b710ac1432d89eebd942aadc9a8,Subset 0,Territory,  IN
uuid-68cb3b710ac1432d89eebd942aadc9a8,Subset 1,Segmentation, Clinical Practice Influencers
uuid-d3ca1f99624a430fbfed580697b88427,Subset 0,Territory,  TX
uuid-d3ca1f99624a430fbfed580697b88427,Subset 1,Segmentation, Scientific Experts
uuid-fa307567b4934992b67289e66ec91d04,Subset 0,Territory,  AZ
uuid-fa307567b4934992b67289e66ec91d04,Subset 1,Segmentation, Clinical Practice Influencers
uuid-f6585b20e6744d5ca30bc66762677eb1,Subset 0,Territory,  TX
uuid-f6585b20e6744d5ca30bc66762677eb1,Subset 1,Segmentation, Scientific Experts
uuid-0cbfa754fd1849b8b7e7402a0c57f47c,Subset 0,Territory, SOUTH
uuid-0cbfa754fd1849b8b7e7402a0c57f47c,Subset 1,Segmentation, Clinical Practice Influencers
uuid-ad051cb531c34feeafa09d854eb5e6e5,Subset 0,Territory,  TX
uuid-ad051cb531c34feeafa09d854eb5e6e5,Subset 1,Segmentation, Scientific Experts
uuid-66f5311ebe8d410699a54c02295000b5,Subset 0,Territory,  TX
uuid-66f5311ebe8d410699a54c02295000b5,Subset 1,Segmentation, Scientific Experts
uuid-9fc296c17eb34b09b933a370ca267dc7,Subset 0,Territory,  TX
uuid-9fc296c17eb34b09b933a370ca267dc7,Subset 1,Segmentation, Scientific Experts
uuid-6822a89fd589426ebdd5970e995c9f27,Subset 0,Territory,  TX
uuid-6822a89fd589426ebdd5970e995c9f27,Subset 1,Segmentation, Scientific Experts
uuid-7edfc73a834345f4bf7bdf1c38894177,Subset 0,Territory,  TX
uuid-7edfc73a834345f4bf7bdf1c38894177,Subset 1,Segmentation, Scientific Experts
uuid-0ecfd8b858014d8b8260842d490fe4f2,Subset 0,Territory,  TX
uuid-0ecfd8b858014d8b8260842d490fe4f2,Subset 1,Segmentation, Scientific Experts
uuid-23b357b2429f4e5f9fd4b6746b1df8c6,Subset 0,Territory,  TX
uuid-23b357b2429f4e5f9fd4b6746b1df8c6,Subset 1,Segmentation, Scientific Experts
uuid-b9eaa17dd0a34071bf6ac702faa8a39a,Subset 0,Territory,  VT
uuid-b9eaa17dd0a34071bf6ac702faa8a39a,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-1bd76461693b4c5d91971f136a921b14,Subset 0,Territory,  VT
uuid-1bd76461693b4c5d91971f136a921b14,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-2b3dc412639f4f7080e1a650914cbed2,Subset 0,Territory,  VT
uuid-2b3dc412639f4f7080e1a650914cbed2,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-3fed2e6da17140098bb826b055820a5f,Subset 0,Territory,  VT
uuid-3fed2e6da17140098bb826b055820a5f,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-9df470025630437c87bf8da55daa0069,Subset 0,Territory, N. CA
uuid-9df470025630437c87bf8da55daa0069,Subset 1,Segmentation,  Scientific Experts
uuid-39efcf62f5d249e6b0a166dfc5551535,Subset 0,Territory, N. CA
uuid-39efcf62f5d249e6b0a166dfc5551535,Subset 1,Segmentation,  Scientific Experts
uuid-8bb3e123daa74277b936c159dc40648e,Subset 0,Territory,  VT
uuid-8bb3e123daa74277b936c159dc40648e,Subset 1,Segmentation,  Clinical Practice Influencers
uuid-c35539115dc544d4af6bb314f55f7fe6,Subset 0,Territory,  TX
uuid-c35539115dc544d4af6bb314f55f7fe6,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-63f80a5be80a45ce959efc94a07f59a4,Subset 0,Territory, E. TN
uuid-63f80a5be80a45ce959efc94a07f59a4,Subset 1,Segmentation, N/A
uuid-521986f80bdf48a3b4933d975261061d,Subset 0,Territory,  MT
uuid-521986f80bdf48a3b4933d975261061d,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-800e40cfbe2a48bea907e90eaa967c38,Subset 0,Territory,  MT
uuid-800e40cfbe2a48bea907e90eaa967c38,Subset 1,Segmentation, High Disease Burden Clinicians
uuid-f67986b61e11484db8506ee3ce3bc951,Subset 0,Territory,  VT
uuid-f67986b61e11484db8506ee3ce3bc951,Subset 1,Segmentation, Scientific Experts
uuid-10c9db68a42149e2a89a9c8989c81c81,Subset 0,Territory, NH
