doc_id,doc_text,doc_date,Subset 0,Subset 1,Subset 0_centrality,Subset 1_centrality,Theme 0,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5,Theme 6
uuid-dd2748b5799a4ad2932ba666689eb770,"In response to a question following presentation at an ASCO review, TL commented that you will know within first few months if I-O therapy is working in H&N. He and his colleagues have discussed pseudoprogression, and the consensus is that it doesn't happen in H&N.",2016-06-25 00:00:00, MI, Clinical Practice Influencers,0.0884565,0.10574,0,0,0,0,0,0,0
uuid-a574e72439964f0ea4007cdef26072da,"Physician at large institution with high GI disease burden specialist reported he is using opdivo in HCC and Gastric Ca off label, and will be ""very experienced upon approval"". States HCC drugs available make Opdivo a must for this disease space.",2016-11-11 00:00:00,  UT, High Disease Burden Clinicians,0.274053,0.140673,0,0,0,0,0,0,0
uuid-a8027c24223342b5aabc3066a61ab66b,"NTL in GU shared that there is no sufficient study to answer which is the better option for treatment in the 2L. He stated that PFS is not a good marker of benefit in IO, and that he looks to the tail end of the OS curves. He feels that presently the data is not strong because of the small number of patients but that there is an indication that Nivolumab will have longer-term benefit with a favorable safety profile. He shared that he has looked to the consistency in the data across tumor types",2016-11-12 00:00:00, S. CA, Scientific Experts,0.119274,0.101814,0,0,0,0,0,0,0
uuid-209d9787506e4f47936df7656dfffcb8,"Community LTL of a large practice shared that they are routinely using Foundation One with each patient to provide a personalized medicine approach. Even though PD-L1 testing is available, they do not use the results for treatment decisions and would never consider it relevant for RCC.",2016-11-12 00:00:00, S. CA, High Disease Burden Clinicians,0.0795727,0.0861303,0,0,0,0,0,0,0
uuid-38b870589a0f4fda93afdfdf841a5b1f,NTL in melanoma shared that about 70% of patients who respond to PD1 inhibitors maintain a response which is similar to what is seen with ipi/nivo combination. Those patients who show acquired resistance are an important area of focus.,2016-11-12 00:00:00, S. CA, Scientific Experts,0.143505,0.140593,0,0,0,0,0,0,0
uuid-58956b01eebd4d2786bedcfedf96af2a,"Community LTL shared that he would test for PD-L1 in 1L lung. For patients in the second line who did not qualify for 1L pembro therapy, he was planning on using pembro for patients who expressed PD-L1 and reserving nivo for non-expressers. He further shared that his reasoning for doing this is the data that he has seen for pembro in the enriched patient population.",2016-10-29 00:00:00, S. CA, High Disease Burden Clinicians,0.211248,0.237849,0,0,0,0,0,0,0
uuid-0697d863a4bb440bab10b8a4a5da2a3c,Community pharmacist shared that he likes the change to flat dosing and is considering using weight-based dosing in lighter patients and flat-dosing in heavier patients for cost savings.,2016-10-29 00:00:00, S. CA, High Disease Burden Clinicians,0.13026,0.140187,0,0,0,0,0,0,0
uuid-50e922a8c9184edb95bfbb03c6a90a7f,Two community LTLs shared that they are not testing for PD-L1 in the RCC setting. They do not see the need based on the RCC data but they will begin testing in lung. One stated that he does not have a lot of experience with the various diagnostic tests and hopes to find one that he can interpret easily and that he can trust.,2016-10-29 00:00:00, S. CA, High Disease Burden Clinicians,0.107159,0.087818,0,0,0,0,0,0,0
uuid-b04d57870ca240edb4c7aba01b6ba51d,"I met with a NCCN NSCLC panelist in the midwest.  He offered these insights

On OAK at ESMO he stated he and the panel viewed the data to be good, roughly like Opdivo.  On the issue of the ESMO data showing ""positive"" results in the PDL-1 negative population, we went over the issues and he stated the panel recently discussed this.  Stated there was not strong enthusiasm of panel for the PDL-1 negative argument due to reasons we discussed internally, but also due to low numbers and at this point unpublished data (he stressed this).  That said given indication of atezo unlikely to get NCCN recommendation more restrictive than label.

Agreed with just about everybody else that 026 was surprise, likely trial design, etc.

On KN 021 stated panel felt the data way to early to recommend Chemo/Pembro in any way.  Had no opinion on whether IO/IO or IO/chemo likely to be superior

Stated NCCN was working on recommendation on how to use PDL-1 cutoffs in some future statement.  This is second NCCN panelist to mention this to me.  Other was in cHL.  Stated majority of effort was in the 1-100% area (as opposed to 0-3+)  Commended BMS for working with Ventana

Noted when voting any member whose name was on relevant paper must recuse self.",2016-10-27 00:00:00,  OH, Access Influencers,0.152193,0.177681,0,0,0,0,0,0,0
uuid-99fa36bc54344725be351a0061e1b615,"BCBSMI/Blue Care Network:

oAE:  How are you viewing PDL testing at this point? LS: A: ?Haven?t we killed that off in previous discussions?? She then rattled through the inconsistencies and conflicting data sets indicating that they haven?t built this into their policies beyond FDA labeling for the relevant products.
o	How do clinical trials influence medical policy/criteria?  Depending on level of evidence and applicability to our population they might be considered for significant differentiators.
o	Do you consider FDA label or NCCN guidelines more important when making policy changes? General consensus was NCCN.  AH/LC: we find the guidelines to be a better guide especially when it comes to patient/treatment nuances.
?	BCN Subject matter expert (R.Cook) has a different view on NCCN guidelines ? often too broad would prefer the restrictions of label and NCCN cat1/2A.
o	How are you considering applying the new Keytruda 1L data?etc?  Most likely to labeled indication i.e. >50%.  Likely to mandate testing for 1L usage.  
o	Overall ? we feel the customer has a good grasp on this 1L population and the applicability of the new data in light of the many options in 1L NSCLC.  
o	Tumor types appear to be very unique and specific - no clear policy shortcuts pertaining to management.
o	Key question - if they mandate testing how strong will the management be of a PA for these patients.
o	Keytruda update - will they monitor PDL1 expression in 1L and eventually mandate more >1% in 2L broadly?  Possibility in future.",2016-11-11 00:00:00,,,0.162863,0.157573,0,0,0,0,0,0,0
uuid-b5f0defa99d44ccea4c7714fc088e323,"RTL shared that he had recently gotten a call from local physician without much IO experience asking if he should dose reduce nivo in pt with moderate IMARs. TL shared reasons that dose reduction is not advised/effective, but shared that he has fielded several calls similar to this and believes that this should be more clearly integrated into our promotional materials and management guidelines as there are still a lot of misconceptions.",2016-04-11 00:00:00, KS, Clinical Practice Influencers,0.0706904,0.0820709,0,0,0,0,0,0,0
uuid-5c70926db46d4984abc3e13a497a1113,Regional TL mentioned that he feels physicians in the community are using brentuximab prior to sending patients to transplant.,2016-04-11 00:00:00,  MT, Scientific Experts,0.145202,0.092537,0,0,0,0,0,0,0
uuid-576e178f98404572ab09f845d009aa86,"RTL participating in Pembro 1L H&N trial (KN-048) stated that it is about halfway through enrollment.  States that they have enrolled about 6 patients, a couple randomized to each arm (Pembro vs. Pembro+chemo vs. cetux/cembo) and has seen some stabilization of disease but not marked responses.  Shared that they haven't seen any unexpected toxicity (ie, the pembr+chemo does not seem to have additive toxicity) but TL stated that he thinks that PD-1+cetux would be the better combination and hopes that we will plan on investigating.",2016-04-11 00:00:00, KS, Clinical Practice Influencers,0.328814,0.232243,0,0,0,0,0,0,0
uuid-4b0305ca996c4437a4ec021c9f1bae4e,"A melanoma NTL has sent patients out to other centers for OX40 and IDO-i Phase I studies, but he does not believe that they are any better than Nivo monotherapy based upon his observations.  He was considering opening a pembro plus IDO-i study, but is now contemplating not opening it.",2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.0900072,0.0830668,0,0,0,0,0,0,0
uuid-4f31ccc202474624ac07fb172795fd63,"A NTL thinks that Pembro, Nivo and Ipi are all equivalent as monotherapy in ocular melanoma.  He has given the regimen to one ocular patient and saw significantly better efficacy?the patient still has disease but has been feeling significantly better for about one year.",2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.239636,0.196224,0,0,0,0,0,0,0
uuid-fad9cbcb9a5d45ec8506f0d0248beee1,A melanoma and GU NTL offered that he stops PD1 therapy when a patient achieves a CR or PR that plateaus.  He gives 1 month worth of therapy extra after they achieve their best response and has done this is approximately 30 patients?he said that he has not experienced a single relapse in these patients.,2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.267086,0.0669912,0,0,0,0,0,0,0
uuid-709d85ada66944bd9129b524fba83dcb,A NTL believes that Ipi is safer to use in organ transplant patients than Nivo or Pembro.,2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.236135,0.103522,0,0,0,0,0,0,0
uuid-29f66aaa72a6428f8c71b1e96d4116f7,A melanoma NTL shared that he has had two publications accepted regarding Ipi plus Imiquimod and another showing that PFS to Ipi predicts response to Pembro 2nd line.  These publications are not on Pubmed yet but will be available shortly.,2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.0234679,0.0854645,0,0,0,0,0,0,0
uuid-c5590c44dab345a08db5885dae953c57,"In choosing between PD1 inhibitors, a national melanoma TL choose pembro because of Q3W.  If using the regimen, he continues using Nivo q2W and does not believe in switching to pembro for maintenance.",2016-04-15 00:00:00,  MS,  Clinical Practice Influencers,0.128823,0.118592,0,0,0,0,0,0,0
uuid-c55f10541c024e57b57ceba238089458,Melanoma NTL shared that at his institution all the pts. on PD1 that have stable disease eventually relapse.  He added that Merck has already shared with him a timeframe when pts. end up progressing after having stable disease based on their data.  He wondered whether we have this data as well?,2016-04-19 00:00:00,  IN,  Scientific Experts,0.206565,0.141069,0,0,0,0,0,0,0
uuid-c0816fb1ed2845eabd27747589d08960,RTL from a major academic institution uses nivo monotherapy for SCLC.  RTL is NOT inclined to use combination therapy with ipilimumab as he sees good efficacy with his patients with monotherapy.  RTL wants to avoid additive toxicity management from ipilimumab.,2016-10-17 00:00:00, ND, Access Influencers,0.161942,0.0922298,0,0,0,0,0,0,0
