doc_id,term,association
uuid-dd2748b5799a4ad2932ba666689eb770,therapy,0.311885
uuid-dd2748b5799a4ad2932ba666689eb770,treated,0.349064
uuid-dd2748b5799a4ad2932ba666689eb770,melanoma,0.31998
uuid-dd2748b5799a4ad2932ba666689eb770,commented,0.306236
uuid-dd2748b5799a4ad2932ba666689eb770,RCC,0.307431
uuid-dd2748b5799a4ad2932ba666689eb770,treatment,0.409306
uuid-dd2748b5799a4ad2932ba666689eb770,response,0.421849
uuid-dd2748b5799a4ad2932ba666689eb770,progression,0.421668
uuid-dd2748b5799a4ad2932ba666689eb770,respond,0.349638
uuid-dd2748b5799a4ad2932ba666689eb770,TL shared,0.360862
uuid-a574e72439964f0ea4007cdef26072da,patients,0.337911
uuid-a574e72439964f0ea4007cdef26072da,Opdivo,0.437141
uuid-a574e72439964f0ea4007cdef26072da,treated,0.342188
uuid-a574e72439964f0ea4007cdef26072da,shared,0.461784
uuid-a574e72439964f0ea4007cdef26072da,institution,0.349289
uuid-a574e72439964f0ea4007cdef26072da,stated,0.376187
uuid-a574e72439964f0ea4007cdef26072da,approval,0.356366
uuid-a574e72439964f0ea4007cdef26072da,physicians,0.480092
uuid-a574e72439964f0ea4007cdef26072da,clinical trials,0.373542
uuid-a574e72439964f0ea4007cdef26072da,HCP,0.318936
uuid-a574e72439964f0ea4007cdef26072da,tumor types,0.337923
uuid-a574e72439964f0ea4007cdef26072da,oncologist,0.334432
uuid-a574e72439964f0ea4007cdef26072da,Regional TL,0.315022
uuid-a8027c24223342b5aabc3066a61ab66b,BMS,0.361811
uuid-a8027c24223342b5aabc3066a61ab66b,PDL1,0.335065
uuid-a8027c24223342b5aabc3066a61ab66b,trial,0.446608
uuid-a8027c24223342b5aabc3066a61ab66b,efficacy,0.551193
uuid-a8027c24223342b5aabc3066a61ab66b,chemo,0.303088
uuid-a8027c24223342b5aabc3066a61ab66b,OS,0.798228
uuid-a8027c24223342b5aabc3066a61ab66b,data,0.694433
uuid-a8027c24223342b5aabc3066a61ab66b,PFS,0.748948
uuid-a8027c24223342b5aabc3066a61ab66b,ORR,0.730211
uuid-a8027c24223342b5aabc3066a61ab66b,nivo and pembro,0.356448
uuid-a8027c24223342b5aabc3066a61ab66b,believes,0.380718
uuid-a8027c24223342b5aabc3066a61ab66b,impressed,0.597345
uuid-a8027c24223342b5aabc3066a61ab66b,feels,0.527319
uuid-209d9787506e4f47936df7656dfffcb8,TL,0.428959
uuid-209d9787506e4f47936df7656dfffcb8,shared,0.43565
uuid-209d9787506e4f47936df7656dfffcb8,TL stated,0.385614
uuid-209d9787506e4f47936df7656dfffcb8,institution,0.37287
uuid-209d9787506e4f47936df7656dfffcb8,physicians,0.427999
uuid-209d9787506e4f47936df7656dfffcb8,PD-L1 testing,0.49697
uuid-209d9787506e4f47936df7656dfffcb8,testing,0.37099
uuid-209d9787506e4f47936df7656dfffcb8,PDL1 testing,0.43703
uuid-209d9787506e4f47936df7656dfffcb8,NSCLC patients,0.321781
uuid-209d9787506e4f47936df7656dfffcb8,oncology,0.302817
uuid-209d9787506e4f47936df7656dfffcb8,SCCHN,0.363227
uuid-209d9787506e4f47936df7656dfffcb8,oncologist,0.373647
uuid-209d9787506e4f47936df7656dfffcb8,LTL,0.304614
uuid-209d9787506e4f47936df7656dfffcb8,academic,0.372302
uuid-209d9787506e4f47936df7656dfffcb8,Regional TL,0.399598
uuid-209d9787506e4f47936df7656dfffcb8,RTL stated,0.300651
uuid-38b870589a0f4fda93afdfdf841a5b1f,therapy,0.318919
uuid-38b870589a0f4fda93afdfdf841a5b1f,regimen,0.442448
uuid-38b870589a0f4fda93afdfdf841a5b1f,combination,0.5419
uuid-38b870589a0f4fda93afdfdf841a5b1f,chemo,0.374137
uuid-38b870589a0f4fda93afdfdf841a5b1f,pts,0.420115
uuid-38b870589a0f4fda93afdfdf841a5b1f,IO,0.35343
uuid-38b870589a0f4fda93afdfdf841a5b1f,monotherapy,0.397107
uuid-38b870589a0f4fda93afdfdf841a5b1f,treatment,0.331349
uuid-38b870589a0f4fda93afdfdf841a5b1f,response,0.627743
uuid-38b870589a0f4fda93afdfdf841a5b1f,combo,0.493994
uuid-38b870589a0f4fda93afdfdf841a5b1f,PD1,0.545479
uuid-38b870589a0f4fda93afdfdf841a5b1f,progression,0.557256
uuid-38b870589a0f4fda93afdfdf841a5b1f,chemotherapy,0.413355
uuid-38b870589a0f4fda93afdfdf841a5b1f,impressed,0.320943
