term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
customer,Segmentation,,250.166666667,4.33934371192e-19,14,0,"A number of significant customers have brought up the Opdivo commercial, and while they ""mainly"" agree in DTC, they have issue with this commercial. This was feedback, unrequested at two payers, and one IDN. They feel the commercial overstates the value and due to the specialty drug class can not convey the story well to bring value to patients. Not popular feedback, but wanted to ensure the brand team heard this from our customers. Please reach out if you would like additional information.","Medical Mutual (Regional payer/ESI downstream):  During a recent post-ESMO call w/ MM clinical pharmacists and BMS HSL/HEOR, MM revealed their current medical policies for PD-1 agents (ie Keytruda) are non-restrictive; currently no PD-L1 testing requirement language is included in medical policy for use in NSCLC; MM uses Care Continuum to manage medical policies; also mentioned they monitor drug spend based on annualized cost; will follow up with customer in early Q1 around updates they have related to medical policy and management of PD-1s","HEOR and I met with large academic IDN who shared that they are planning to head in a direction of managing access to oncology medications. Customers were interested in discussions/partnership pertaining to a need and development of a tool - using Epidemiological data and Budget modeling. Examples of current gaps include, EPI data, ability to estimate cost when there is an indication update or change of therapy and adjust for things like site of care and risk stratification. 

They are interested in Combining this type of data with clinical outcomes to make the best health economic and outcomes decision. Customer shared that they are interested in having best opportunity to leverage tools and technology at their disposal to treat disease.",14
DOP,Segmentation,,187.625,1.73564537081e-05,3,93,"Dickenson Community Hospital has recently been affected by the 340-b orphan drug court order and the enforcement of our policy around this issue.  In a previous meeting, The Director of Pharmacy Laura Casanova and the Oncology Pharmacist Mark Hagen stated they were going to contact each Pharmaceutical company and request they supply a contract to compensate for their lack of pricing for the 340-b orphan drugs. They stated they would move all utilization to drugs that have contracts and restrict those that do not. 

I  followed-up with the account and reinforced the BMS policy as it relates to ?newly eligible? 340-b entities and orphan drugs.  I then shifted the conversation away from cost and moved into value of our medicines, patient assistance program and our reimbursement support. 

Mark Hagen did not mention Merck or anything they might be offering to address this situation.  The conversation moved away from what he addressed in our last discussion of restricting one agent over another based on contract offering.  I believe Mark realized he needs to move his energy away from restricting these important drugs and focus on other ways to address the 340-b issue.   He said he is going to check into other wholesalers for potential better contracts for specialty drugs, look into getting his class of trade status changed, and potentially setting up his purchasing into in-patient and out-patient outlets to potentially move away from in-patient bundle payments from Medicaid/Medicare where he feels he is losing money.","Spoke with DOP at RWJ UH, which purchases Oncology medicine for the Cancer Institute of NJ. Discussed SCCHN, 10/05 approvals/tumors and NSCLC (017/057 & 026).  DOP said they are seeing a lot of Opdivo utilized. DOP also prefers that Keytruda be used to label/NCCN guidelines in 1L NSCLC, so patients have more options, including Opdivo, in 2L NSCLC. Made the analogy to antibiotics, why use your big gun antibiotic 1st line, should reserve for when its truly needed.
They have a Pharmacy Business manager that is looking at Value, asked for data on Quality of Life in Opdivo trials.","Highmark launched McKesson Clear Value Pathways early in 2016.  During meeting DOP of Allegheny Health Network Cancer Institute provided lens into how currently PD-1 status is set up in 2L NSCLC pathway.  Under PD-1 status: Positive, Negative, or Unknown is listed.  Positive ? all drugs listed, Negative & Unknown ? Keytruda is removed.",96
net,Segmentation,,187.625,1.73564537081e-05,3,18,"Large PBM quote:

The reason for Price Protection should be self-evident in the media ? price inflation of prescription drugs has been excessive and exposes our clients to unpredictable costs when setting budgets/premiums/etc.   

As a result, clients are demanding that we enter ?fixed cost? contracts where the pricing of a product is predetermined based on a set WAC during the course of an agreement, or else a Price Protection ceiling above which the net cost effect of a manufacturer?s pricing strategy will not affect the plan?s cost for the product. 

Additionally, when looking to prefer products, Price Protection is becoming an increasingly important feature of rebate contracts. For example, if I have price protection for Xarelto and Pradaxa, but not Eliquis, clients may be inclined to select your competitors because of the predictable nature of the spend.   A single price increase by BMS/Pfizer could wipe out much or all of the rebate value for a plan over the course of a contract If they select your  product, while they can be assured that the decision to prefer the other products would make sure a plan can?t go too far astray during the life of the contract for competitors offering PP.","Below, you will find excerpts from an article published in the Boston Business Journal, ""New immunotherapy cancer drugs boost revenues at Dana-Farber.""  The full article may be found here: http://www.bizjournals.com/boston/blog/health-care/2016/06/new-immunotherapy-cancerdrugs-boost-revenues-at.html

""Newly-approved immunotherapy drugs for cancer have contributed to growing revenue at Dana-Farber Cancer Institute, as more patients visit the hospital for access to the life-saving treatments.

""The hospital?s net patient service revenue skyrocketed in the second quarter, according to financials released last week. For the first two quarters ending March 31, the hospital reported net patient service revenue of $441.4 million, a 23 percent increase from the two quarters the year prior.

""Hospital spokesman John Noble said the uptick is mainly because of two new immunotherapy drugs approved by the FDA toward the end of 2015 ? one for the treatment of lung and renal cell cancer called Opdivo, sold by Bristol-Myers Squibb (NYSE: BMY) and one, called Keytruda and sold by Merck & Co. (NYSE: MRK) for the treatment of melanoma...""

""The hospital also saw an increase in volume, which contributed to higher patient revenue. According to financials, the hospital saw a 3,216 patient uptick in infusion visits to 76,647, and a 2,634 patient uptick to 38,201 clinic visits...""

""Though the patient revenue contributed to a 17 percent increase in operating revenue to $682.4 million, the high cost of the pharmacy drugs contributed to an uptick in expenses, with operating expenses increasing 17 percent to $655 million.

""The hospital still reported impressive year-over-year gains in operating income, seeing a 20 percent increase to $27.3 million compared to the same period the year prior.""","GHNW Onc Pharmacy lead informed that mixed dosing approach -wt. based up to 80Kg; 240mg beyond -(background- Insight entered 11/9/2016) will result in significant net savings to health plan.  
Result: OPDIVO preferred PD agent for 2L lung cancer at GHNW.

Also informed that Kaiser will be performing similar analysis.",21
IDN,Segmentation,,125.083333333,1.83935348245e-09,8,100,"A number of significant customers have brought up the Opdivo commercial, and while they ""mainly"" agree in DTC, they have issue with this commercial. This was feedback, unrequested at two payers, and one IDN. They feel the commercial overstates the value and due to the specialty drug class can not convey the story well to bring value to patients. Not popular feedback, but wanted to ensure the brand team heard this from our customers. Please reach out if you would like additional information.",Regional IDN has an ACO that has grown to almost 60K lives. The ACO has risk for Medical and Hospital costs. They are working to control costs and looking at Oncology class. Non employed Oncologists are the physicians driving cost. Efforts are being made to 'educate' them on cost and efficacy of drugs.  IDN will be looking to implement pathways in the future as a means to streamline and control costs.,"Oncology Clinical Pharmacist at Beth Israel Deaconness Hospital in Boston stated that he believes that if A-Z's PD-1 product is approved in December it could lead to IDNs choosing 1 preferred agent if it enters the market at a reduced price.  He said it would be difficult if an IDN chose one product and a payer chose another product as their preferred agent, if that happened.",108
AIM,Segmentation,,93.8125,4.28376458352e-05,4,12,"Last week, the U.S. Dept of Veterans Affairs conduced a LaunchPad: Pathways to InnoVAtion conference in which select participants and attendees were able to share and discuss the latest innovations in precision oncology and explore various ways to improve cancer screening, treatment and cures.  The VA Precision Oncology Program (POP) currently helps Veterans who have been newly diagnosed with non-small cell lung cancer (and now Prostate cancer) through targeted genomic sequencing which identifies specific mutations and allows patients to benefit from targeted therapies as well as clinical trials aimed towards those specific mutations.  Such advancements are a cornerstone of Vice President Biden?s Cancer Moonshot initiative.","Most recent update to AIM clinical pathways utilized by Anthem effective 5-1-16 include a new pathway for kidney cancer.   Other updates can be viewed:
 
https://anthem.aimoncology.com/","BCBS Alabama has recently expanded their Oncology Select Pathways to include new tumor types affecting BMS.  BCBS Alabama partnered with AIM in development of their Oncology Select Pathways that began as a pilot in Q2 2015 with NSCLC being the only pathway that affected BMS which began full implementation in late 2015 and now with an expansion of pathways.

The updated and expanded pathways now include: 
-CML, (Gleevec is 1L recommendation, Sprycel and Tasigna are 1L recommendation for Intermediate to High Risk Disease,)
-Metastatic Melanoma (Opdivo is listed as only PD-1 as 1L recommendation as montherapy regardless of BRAF status, Yervoy listed as 2L regardless of BRAF status)
-Kidney Cancer (Opdivo is listed as 2L recommendation for Clear Cell)
-Myeloma (Empliciti not listed on pathway)  
-NSCLC (Opdivo remains the only PD-1 recommended for NSCLC 2L; updated to include any histology/pathology)  

Worksheets for the pathways summarized above can be reviewed here: https://www.bcbsal.org/providers/oncology.cfm",16
PBM,Segmentation,,93.8125,4.28376458352e-05,4,122,"Large PBM quote:

The reason for Price Protection should be self-evident in the media ? price inflation of prescription drugs has been excessive and exposes our clients to unpredictable costs when setting budgets/premiums/etc.   

As a result, clients are demanding that we enter ?fixed cost? contracts where the pricing of a product is predetermined based on a set WAC during the course of an agreement, or else a Price Protection ceiling above which the net cost effect of a manufacturer?s pricing strategy will not affect the plan?s cost for the product. 

Additionally, when looking to prefer products, Price Protection is becoming an increasingly important feature of rebate contracts. For example, if I have price protection for Xarelto and Pradaxa, but not Eliquis, clients may be inclined to select your competitors because of the predictable nature of the spend.   A single price increase by BMS/Pfizer could wipe out much or all of the rebate value for a plan over the course of a contract If they select your  product, while they can be assured that the decision to prefer the other products would make sure a plan can?t go too far astray during the life of the contract for competitors offering PP.","PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.","In meeting with Florida State Medicaid this past week, they are going to review Opdivo Emplicit and Sprycel n September. Currently, state has very limited knowledge, even thinking at this meeting that our products are in the chemotherapy class. 

Working closely with internal team on plan, but initial feedback from State is this is more procedural this year for their own compliance in reviewing these classes, versus a competitive review. This will be a Mass review. In speaking with PBM, they mentioned that Florida is 1st, but also that Minnesota is also considering a review in the future.",126
budget,Segmentation,,93.8125,4.28376458352e-05,4,162,"Large PBM quote:

The reason for Price Protection should be self-evident in the media ? price inflation of prescription drugs has been excessive and exposes our clients to unpredictable costs when setting budgets/premiums/etc.   

As a result, clients are demanding that we enter ?fixed cost? contracts where the pricing of a product is predetermined based on a set WAC during the course of an agreement, or else a Price Protection ceiling above which the net cost effect of a manufacturer?s pricing strategy will not affect the plan?s cost for the product. 

Additionally, when looking to prefer products, Price Protection is becoming an increasingly important feature of rebate contracts. For example, if I have price protection for Xarelto and Pradaxa, but not Eliquis, clients may be inclined to select your competitors because of the predictable nature of the spend.   A single price increase by BMS/Pfizer could wipe out much or all of the rebate value for a plan over the course of a contract If they select your  product, while they can be assured that the decision to prefer the other products would make sure a plan can?t go too far astray during the life of the contract for competitors offering PP.","A customer in Mid MO provided this concern to his TBM: ""They currently have only three patients on Opdivo and all of them are on doses of under 200 mg. One was only receiving 129mgs. He was concerned about the increased cost to his patients and to his budget.  According to his calculations the flat dosing will increase his budget for these 3 patients by over $100,000. (Based on a annual cost). He asked if he could leave these patients on their current weight based dosing""","HEOR and I met with large academic IDN who shared that they are planning to head in a direction of managing access to oncology medications. Customers were interested in discussions/partnership pertaining to a need and development of a tool - using Epidemiological data and Budget modeling. Examples of current gaps include, EPI data, ability to estimate cost when there is an indication update or change of therapy and adjust for things like site of care and risk stratification. 

They are interested in Combining this type of data with clinical outcomes to make the best health economic and outcomes decision. Customer shared that they are interested in having best opportunity to leverage tools and technology at their disposal to treat disease.",166
medical policy,Segmentation,,75.05,9.80749104181e-09,10,161,"PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.","BCBSMI/Blue Care Network:

oAE:  How are you viewing PDL testing at this point? LS: A: ?Haven?t we killed that off in previous discussions?? She then rattled through the inconsistencies and conflicting data sets indicating that they haven?t built this into their policies beyond FDA labeling for the relevant products.
o	How do clinical trials influence medical policy/criteria?  Depending on level of evidence and applicability to our population they might be considered for significant differentiators.
o	Do you consider FDA label or NCCN guidelines more important when making policy changes? General consensus was NCCN.  AH/LC: we find the guidelines to be a better guide especially when it comes to patient/treatment nuances.
?	BCN Subject matter expert (R.Cook) has a different view on NCCN guidelines ? often too broad would prefer the restrictions of label and NCCN cat1/2A.
o	How are you considering applying the new Keytruda 1L data?etc?  Most likely to labeled indication i.e. >50%.  Likely to mandate testing for 1L usage.  
o	Overall ? we feel the customer has a good grasp on this 1L population and the applicability of the new data in light of the many options in 1L NSCLC.  
o	Tumor types appear to be very unique and specific - no clear policy shortcuts pertaining to management.
o	Key question - if they mandate testing how strong will the management be of a PA for these patients.
o	Keytruda update - will they monitor PDL1 expression in 1L and eventually mandate more >1% in 2L broadly?  Possibility in future.",Group Health NW has CONFIRMED that the P&T decision 'against' coverage for Opdivo ns-NSCLC coverage has been OVERTURNED by Medical Policy Committee.  Medical Policy will be published for coverage at a future date.,171
contract,Segmentation,,72.9652777778,6.42943875343e-10,12,83,"Per the DBM:
""Apparently, Genetech is currently providing a discount with several large community privately owned accounts across the nation, as well as a rebate similar to ours.  What they offer is as follows:

1)	1% rebate through McKesson (similar to our contract) for all infusible products (Tecentriq was included in this when approved for bladder cancer).
2)	In addition to the 1% rebate for all customers, for the large community private accounts, they are also offering an upfront discount of 4.3% + ASP.  It is not performance based (no growth or volume component) and is adjusted quarterly based on ASP.  This discount may be also occurring through McKesson, but not entirely sure if this is how it is executed or goes directly to the account. Hopefully it is through McKesson, so internal folks can follow up.""","Large PBM quote:

The reason for Price Protection should be self-evident in the media ? price inflation of prescription drugs has been excessive and exposes our clients to unpredictable costs when setting budgets/premiums/etc.   

As a result, clients are demanding that we enter ?fixed cost? contracts where the pricing of a product is predetermined based on a set WAC during the course of an agreement, or else a Price Protection ceiling above which the net cost effect of a manufacturer?s pricing strategy will not affect the plan?s cost for the product. 

Additionally, when looking to prefer products, Price Protection is becoming an increasingly important feature of rebate contracts. For example, if I have price protection for Xarelto and Pradaxa, but not Eliquis, clients may be inclined to select your competitors because of the predictable nature of the spend.   A single price increase by BMS/Pfizer could wipe out much or all of the rebate value for a plan over the course of a contract If they select your  product, while they can be assured that the decision to prefer the other products would make sure a plan can?t go too far astray during the life of the contract for competitors offering PP.","Josh Whittington, HSL reports that at CCK in Wichita, KS, that they are already receiving contracting discounts on all infusible Genentech products, including Tecentriq.  I believe it is 4.3%.",95
BCBS,Segmentation,,62.5416666667,4.95413217825e-06,7,81,BCBS SC Jan 1st they are moving to incorporate ICER recommendations in their reviews. HEOR provided update on ICER and outlined the methodology. Pharmacy Director said that he would allow us to provide additional updates/ information that is not included in the 1 year assessment period.  They are also reviewing the drugs that are rejected by the EU and looking for consistency with their formulary management.,Cigna AVP of Pharma Contracting inquired about the BMS position on recent NICE and ICER negative comments on Opdivo and I/O therapy in general.  NAE and HEOR Director deferred the question to a later date as we did not feel adequately prepared to respond at this time.,"BCBS Vermont: Keytruda - PA Criteria
Updated 2016-12-13
Updated indications. Added coverage for Keytruda as first line treatment for metastatic non-small cell lung cancer (NSCLC) whose tumors express programmed death receptor-ligand1 (PD-L1) as determined by an FDA-approved test, with no epidermal growth factor receptor (EGFR) or anaplastic lymphoma kinase (ALK) genomic tumor aberrations. Revised 11/2016.",88
