term	subset	value	exact_matches	conceptual_matches	total_matches	
:customer	Segmentation		14	0	14	
DOP	Segmentation		3	93	96	
net	Segmentation		3	18	21	
IDN	Segmentation		8	100	108	
AIM	Segmentation		4	12	16	
PBM	Segmentation		4	122	126	
budget	Segmentation		4	162	166	
medical policy	Segmentation		10	161	171	
contract	Segmentation		12	83	95	
BCBS	Segmentation		7	81	88	
discount	Segmentation		7	98	105	
HEOR	Segmentation		16	20	36	
policy	Segmentation		18	128	146	
pharmacy	Segmentation		29	48	77	
health	Segmentation		25	0	25	
feedback	Segmentation		10	8	18	
class	Segmentation		21	0	21	
models	Segmentation		12	4	16	
product	Segmentation		37	20	57	
Director	Segmentation		41	32	73	
large academic center stated	Segmentation	  Access Influencers	25	347	372	
NCCN institution	Segmentation	  Access Influencers	16	109	125	
NTL	Segmentation	  Access Influencers	311	710	1021	
context of an online lecture	Segmentation	  Clinical Practice Influencers	7	659	666	
NCCN 2016 Webex Congress Series	Segmentation	  Clinical Practice Influencers	7	657	664	
comers	Segmentation	  Clinical Practice Influencers	20	0	20	
member	Segmentation	  Clinical Practice Influencers	37	111	148	
podium	Segmentation	  Clinical Practice Influencers	46	474	520	
NCCN	Segmentation	  Clinical Practice Influencers	229	106	335	
TLs	Segmentation	  Clinical Practice Influencers	98	6	104	
panelist	Segmentation	  Clinical Practice Influencers	134	164	298	
national	Segmentation	  Clinical Practice Influencers	183	979	1162	
NTL	Segmentation	  Clinical Practice Influencers	311	710	1021	
IO	Segmentation	  Clinical Practice Influencers	242	52	294	
cost	Segmentation	  Clinical Practice Influencers	103	168	271	
1L	Segmentation	  Clinical Practice Influencers	288	292	580	
Executive Director	Segmentation	  Economic/Value Influencers	4	56	60	
NAI	Segmentation	  Economic/Value Influencers	7	282	289	
proactive meeting to discuss CM-026	Segmentation	  Economic/Value Influencers	7	257	264	
member	Segmentation	  Economic/Value Influencers	37	111	148	
CM-026	Segmentation	  Economic/Value Influencers	52	177	229	
pathway	Segmentation	  Economic/Value Influencers	56	48	104	
cost	Segmentation	  Economic/Value Influencers	103	168	271	
NTL in the Boston area mentioned	Segmentation	  High Disease Burden Clinicians	9	137	146	
territory	Segmentation	  High Disease Burden Clinicians	35	349	384	
regional TL shared	Segmentation	  High Disease Burden Clinicians	18	18	36	
large academic center stated	Segmentation	  High Disease Burden Clinicians	25	347	372	
shared the following unsolicited insights	Segmentation	  High Disease Burden Clinicians	26	724	750	
Ipi+Nivo	Segmentation	  High Disease Burden Clinicians	45	338	383	
international GI conference	Segmentation	  Scientific Experts	17	43	60	
NTL said	Segmentation	  Scientific Experts	24	14	38	
