doc_id,subset,subset_name,value
uuid-8d7764cf7f7846e0a9a2d0d1a4a38c16,Subset 0,Status, Closed
uuid-8d7764cf7f7846e0a9a2d0d1a4a38c16,Subset 1,Source, Phone
uuid-8d7764cf7f7846e0a9a2d0d1a4a38c16,Subset 2,Type, Medical Inquiry
uuid-ae340f37653c4a0fb872c1c2ec63b561,Subset 0,Status, Closed
uuid-ae340f37653c4a0fb872c1c2ec63b561,Subset 1,Source, Email
uuid-ae340f37653c4a0fb872c1c2ec63b561,Subset 2,Type, Medical Inquiry
uuid-e07868a162d34a3ca67f4aa3ca4230e8,Subset 0,Status, Closed
uuid-e07868a162d34a3ca67f4aa3ca4230e8,Subset 1,Source, Phone
uuid-e07868a162d34a3ca67f4aa3ca4230e8,Subset 2,Type, Medical Inquiry
uuid-69b69f533a4e4dba83075aa6f098532c,Subset 0,Status, Closed
uuid-69b69f533a4e4dba83075aa6f098532c,Subset 1,Source, Email
uuid-69b69f533a4e4dba83075aa6f098532c,Subset 2,Type, Medical Inquiry
uuid-32b303d18a9a45989074837b751ab416,Subset 0,Status, Closed
uuid-32b303d18a9a45989074837b751ab416,Subset 1,Source, Email
uuid-32b303d18a9a45989074837b751ab416,Subset 2,Type, Medical Inquiry
uuid-176c5c006d404548882e0f595f2d6a9a,Subset 0,Status, Closed
uuid-176c5c006d404548882e0f595f2d6a9a,Subset 1,Source, Phone
uuid-176c5c006d404548882e0f595f2d6a9a,Subset 2,Type, Medical Inquiry
uuid-721ea2928e4b4d20a152e2dc6cf8f2a9,Subset 0,Status, Closed
uuid-721ea2928e4b4d20a152e2dc6cf8f2a9,Subset 1,Source, Phone
uuid-721ea2928e4b4d20a152e2dc6cf8f2a9,Subset 2,Type, Adverse Event
uuid-31ddd0c3a931474cb45162af1c6d426e,Subset 0,Status, Closed
uuid-31ddd0c3a931474cb45162af1c6d426e,Subset 1,Source, Phone
uuid-31ddd0c3a931474cb45162af1c6d426e,Subset 2,Type, Medical Inquiry
uuid-1456e3b2f46d4b15ab0fe36675a802ce,Subset 0,Status, Closed
uuid-1456e3b2f46d4b15ab0fe36675a802ce,Subset 1,Source, Phone
uuid-1456e3b2f46d4b15ab0fe36675a802ce,Subset 2,Type, Medical Inquiry
uuid-39aade12d05f4791a38c1225784e55a1,Subset 0,Status, Closed
uuid-39aade12d05f4791a38c1225784e55a1,Subset 1,Source, Email
uuid-39aade12d05f4791a38c1225784e55a1,Subset 2,Type, Medical Inquiry
uuid-8b852286dc8a4756a3fe8c2f36967c30,Subset 0,Status, Closed
uuid-8b852286dc8a4756a3fe8c2f36967c30,Subset 1,Source, Phone
uuid-8b852286dc8a4756a3fe8c2f36967c30,Subset 2,Type, Adverse Event
uuid-157e573aa118495186cb89996ae025de,Subset 0,Status, Closed
uuid-157e573aa118495186cb89996ae025de,Subset 1,Source, Phone
uuid-157e573aa118495186cb89996ae025de,Subset 2,Type, Medical Inquiry
uuid-ca15018176f244ceaba81cff44d0a9bd,Subset 0,Status, Closed
uuid-ca15018176f244ceaba81cff44d0a9bd,Subset 1,Source, Email
uuid-ca15018176f244ceaba81cff44d0a9bd,Subset 2,Type, Medical Inquiry
uuid-c94b3214069648a3a1c6234ca503827b,Subset 0,Status, Closed
