term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
SH,Source, Email,237.685365854,1.87721102977e-62,171,4028,* Split into two requests for Opdivo and Regimen; Please see attached MIRF;sent email notification for both drugs * SH 3/14/16 ----- Verified attachment with contact information documented. Email notification already sent. MH 14MAR2016,"* Reached out for full contact information for nurse on 5/6/16, have not heard back; Googled St. Agnes website and found the City and State. * SH 5/9/16 --------------- Verified attachment with contact information documented. MIRF does not meet compliance (emailed directly from sales rep and does not contain full contact information.) Sent chatter to Liz for how to handle this. Email was sent to rep for full contact information for HCP. MH 09MAY2016 Liz emailed stating that this MIRF does meet compliance standards and can be handled through normal process. Sent email notification. Waiting for full contact information from sales rep for complaint MIRF. MH 10MAY2016 Sent 2nd email to Rep for contact information. MH 11MAY2016 Received full contact information from Rep: Christine Hopmann RN St Agnes Hospital 900 Caton Avenue Baltimore Md 21229 410-368-2943 MH 11MAY2016 No information found in SRLs/Pubmed/previous ATHENA cases. Escalating to TA for guidance. MH 11MAY2016 Cara stated: ""Please send a no data letter."" Customized no data letter with TD and TR. MH 13MAY2016","* Reached out to requester for full contact information; Did not send out email notification without full contact * SH 3/30/16 I'd like to know if you can send me any data you have on file regarding the use of Opdivo in a relapsed Hodgkin lymphoma patient who has failed brentuximab vedotin. Also would like to know if you have any data using Opdivo prior to an Allogeneic transplant in these patients. -- *24 hr email sent (after receiving HCP contact information)* Verified HCP credentials and contact information per both emails (from requester and Med Comm - follow up). Split request into two separate questions. DP 31MAR2016 Per internal disucssion with PPD Oncology Team, assigned case to US Inc Esc Queue. DP 31MAR2016 No relevant info found in CSRs/protocols RB 5Apr2016 -- Per guidance from Roma, customized the Opdivo-TEM-No data SRL to include current search date, relevant search terms, and updated TR. DP 05APR2016",4199
like to be contacted by a medical professional,Source, Email,157.066937669,3.12558548451e-41,113,539,"Question: ""Does BMS have a non-branded immuno-oncology slide deck?"" Delivery method: email (sent to both emails: manish.bhandari@thechristhospital.com and mbhandari@gmail.com). I would like to be contacted by a medical professional. Split into 2 requests: 1. Request #00375248: non-branded Immuno-Oncology slide deck 2. Request #00375322: MSL request Requset 2 of 2. Reassigning to Irina to fulfill MSL request. XS 15sep2016 ***MSL req, sent via email to Katie S. Shin on 09-16-2016, by Irina S.","Question: ""Does BMS have a non-branded immuno-oncology slide deck?"" Delivery method: email (please send to both emails: manish.bhandari@thechristhospital.com and mbhandari@gmail.com). I would like to be contacted by a medical professional. Split into 2 requests: 1. Request #00375248: non-branded Immuno-Oncology slide deck 2. Request #00375322: MSL request Email notification sent to field. Request 1 of 2. Per guidance from previous case #00353680, attached the ""General-GEN-ImmunoOncology Speaker Deck-Aug16"" cover letter and associated file ""Immuno-Oncology Research: Translating Cellular Pathways into Clinical Practice-June16"". XS 15sep2016","Question: ""Is there data for immediately sequencing Opdivo after Yervoy in a ""maintenance"" setting?"" Delivery:""I would like to be contacted by a medical professional."" Sent email notification to field. MIRF form only contains phone number. Will reassign to Irina to complete MSL request. XS 13sep2016 ***MSL req. sent via email to Michelle Brown on 09-13-2016, by Irina S.",652
PDL Reactive Deck,Source, Email,101.46802168,1.56666157031e-26,73,167,"* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered for guidance on customization of SRL. ABH09May2016","* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered and assigned to US oncology escalation queue due to specific slides requested. ABH09May2016","* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered and assigned to US oncology escalation queue due to specific slides requested. ABH09May2016 Per clarification from Eric, the AACR 2016 slides they are requesting has the incorrect author, it should be Rodig. Split the Rodig presentation into a separate request as this was not part of Biomarker reactive deck. Sending Rodig slides via email as requested, 12May2016 CS",240
Verified attachment with contact details,Source, Email,89.8849141825,1.67600463964e-67,196,1536,"Verified attachment with contact details. Verified acknowledgement email sent (see touchpoint on case 95749). ABH11Jan2016 Original question, ""(1) Opdivo trials published lung, melanoma, RCC, (2) Opdivo trials with radiation for lung cancer, (3) Any Opdivo and radiation trials"". Split into 4 requests. ABH11Jan2016 Called to clarify what requester wants in regard to "" Opdivo trials published lung, melanoma, RCC,"" Spoke with Amy, verified practice address Amy stated no doctor by that name is there. Received email clarification on question back, request too broad will need to call. Sent email to Alicia Michaux to obtain updated contact details. ABH11Jan2016 Unable to clarify request. Closing per WPD. ABH15Jan2016","Verified attachment with contact details. Entered requester and referred by. Sent acknowledgement and receipt emails. Original question, ""managing nephritis with patients receiving Opdivo"". Customized, ""Opdivo-AES-Management algorithms-Dec14"" SRL with TR, TD, keep only renal algorithm. ABH20May2016","Original question, ""Sequencing of immunotherapies. Re-treatment strategies with Immunotherapies"". Verified attachment with contact details. Entered requester and referred by. Sent acknowledgement and receipt emails. Request too vague. Emailed MSL for clarification. ABH26May2016 Received clarification from MSL, ""The requester is looking for information on sequencing PD-1 inhibitors with PD-L1 inhibitors, also sequencing Opdivo with Chemotherapy in NSCLC patients."". See email. Split into 2 requests. ABH27May2016 Search of SRL's/athena/ct.gov/pubmed searching ""nivolumab/sequencing/non small cell lung cancer/chemotherapy"" yielded no information. Internally escalated to PPD. After internal PPD escalation, request requires further escalation for a no data response. Chattered and assigned to the US oncology escalation queue.ABH27May2016 Per guidance from Roma, sending no data letter. ABH27May2016",1732
attachment with contact information documented,Source, Email,77.9648435575,7.43028444182e-202,627,3476,"Verified attachment with contact information documented. Sent email notifications to HCP and sales rep. Need to clarify tumor type. Sent clarification email to HCP. MH 16JUN2016 Received bounceback emails for this case for the HCP's email (bbahadini@cch.org) under case #s 282208 and 282212. Will call today to get correct email address. MH 17JUN2016 1st attempt: 17JUN2016 @ 1304 - LM with Karina with MIRF line. MH 17JUN2016 2nd attempt: Spoke with Kelly, who verified Dr. Bahadini's email address is bbahadini@coh.org. Updated HCP record in ATHENA. MH 21JUN2016 Attached the Nivolumab-Use of nivolumab after allogeneic-SCT in patients with Hodgkin lymphoma SRL and customized to USE@nivo after allo SCT on immunosuppressants. Added TR, TD, no data statement and WNS statement. MH 21JUN2016 Title will not pull over into fulfillment. Assigned to TA for guidance. MH 21JUN2016 Roma stated: ""I attached the updated letter. Please customize on the updated letter attached. Please let me know if you're still having issues fulfilling. Assigning back to you, thanks!"" Recustomized letter as before. MH 23JUN2016","Verified attachment with contact information documented. Sent email notification to HCP and sales rep. Need to clarify what slide deck she is referring to and call HCP for clarification of tumor type for Q1&4. Also unsure what parts are for documentation purposes, etc. MH 24JUN2016 1st attempt to reach sales rep: 24JUn2016 @ 1511 - LM on Ms. Potepan's VM with MIRF line and main MI number. MH 24JUN2016 2nd attempt to clarify with rep - 28JUN2016 @ 1436 - LM on her VM with MIRF line. MH 28JUN2016 No response from sales rep after 2 attempts; will attempt to clarify with HCP. 1st attempt: 29JUN2016 @ 1500 - LM on HCP's personal VM with MIRF line. MH 29JUN2016 2nd attempt: 01JUL2016 @ 1412 - Spoke with Ms. Brothers who stated she is on vacation and does not want to speak to me at this time. She stated she returns to the office on Wednesday and will call me at this time. MH 01JUL2016 Sent email to Nick regarding this case per guidance on conference call. MH 08JUL2016 Per guidance from Nick, created one verbal only request (R#291005) and attached the documentation only SRL for documenting this case. Created 4 associated requests to document the 4 slides used for this response and sent out the associated SRLs for this REACTIVE RESPONSE. R#305640-ITS Slide 2-whether there are differences in terms of ORR between the nivolumab and nivolumab plus regimen by PD-L1 expression in Checkmate 067. R#305641-ITS Slide 3-data from Checkmate 067 regarding the depth of response (tumor burden change) for nivolumab in combination with nivolumab. R#305642-ITS Slide 8-the time to response and durability of response for patients who discontinued therapy due to toxicity in Checkmate 067. R#305644-ITS Slide 9-the OS data from Checkmate 069 in BRAF WT patients. MH 08JUL2016 Received call back from Ms. Brothers regarding this case. She stated she received my email with the 2 SRLs that corresponded with this information but would like to receive the actual slides (2,3,8, and 9) from the ITS deck as well. She stated that she is on the BMS Speaker's Bureau and does a lot of teaching regarding Opdivo. she stated she would like to have these slides to use in a presentation she is doing for oncologists, nurses, etc. I let her know that I would escalate this request further (since I was previously told we cannot send out these slides). She gave me her office number as well to contact her back if we cannot reach her via her cell phone. Office #: 410-955-6605. Cell#:678-612-1527. Chatter sent to Cara/Roma/Nick. Assigned to US Oncology Escalation Queue. MH 11JUL2016 Split request and assigned R#308524 to Nick for content customization and fulfillment. MH 12JUL2016","Verified attachment with contact information documented. Sent email notification to both HCP and sales rep. AE filed under case # 274259. No information found in SRLs/PI/Pubmed/previous ATHENA cases. Considering sending no data letter and manufacturer referral statement. Escalated to TA for guidance. MH 09JUN2016 Cara's guidance: ""Hi Melissa, I agree. Thanks!"" Customized no data letter with no data statement and manufacturer referral with TR. MH 13JUN2016",4103
Verified email chain,Source, Email,72.2785907859,8.11868217818e-19,52,1676,"Verified attachment with contact details. Verified acknowledgement email sent (see touchpoint on case 95749). ABH11Jan2016 Original question, ""(1) Opdivo trials published lung, melanoma, RCC, (2) Opdivo trials with radiation for lung cancer, (3) Any Opdivo and radiation trials"". Split into 4 requests. ABH11Jan2016 Called to clarify what requester wants in regard to "" Opdivo trials published lung, melanoma, RCC,"" Spoke with Amy, verified practice address Amy stated no doctor by that name is there. Received email clarification on question back, request too broad will need to call. Sent email to Alicia Michaux to obtain updated contact details. ABH11Jan2016 Unable to clarify request. Closing per WPD. ABH15Jan2016","Original question In reference to Checkmate 141, "" 1) limited to oral cavity, pharynx, or larynx? And oropharynx ( OPC) cases were excluded? Looks like p16 testing was only mandatory in OPC patients (?!!!!) and about 25% patients were overall p16 poitive( are these p16 positive non-oropharyngeal patients, since presumably OPC was excluded) 2) is there another Checkmate that addresses oropharynx cancers specifically? 3) what was the planned duration of Nivo if there were no significant toxicities or progression ( indefinitely or maximum 2 year, etc)? Was re-treatment or treatment beyond progression allowed? 4) How do you interpret HR in PDL1 neg and HPV neg patients since HR ( CI) in both groups crossed 1. The KM curves showed an early overlap, but later separation. Do you have updates on these numbers since AACR? 5) Do you have response analysis based on p16 and / or PDL1 status? ( like you have reported with survival) 6) Do you have swimmer's plot or spider plots to reflect dynamics of response? ( I wonder if you have any data on the non-conventional responder ( %) that we previously discussed. Back then, we just had the lung Nivo non-conventional data. 7) I would like to use some of KM curves related to Checkmate 141 for the ASCO Educational presentation."". Verified email chain with contact details. Sent acknowledgement and receipt emails see touchpoint case 263574. Split into 8 requests. ABH01Jun2016 Unknown if HCP is a BMS approved presenter. After internal PPD escalation, escalated for further guidance. ABH01Jun2016 Called MSL per guidance from Roma. ABH01Jun2016 Sent email to MSL to see if requester is a BMS contracted presenter per guidance from Roma. ABH03Jun2016 Called MSL, left message. Other requests in this interaction still being addressed, keeping this request open. ABH07Jun2016 Unable to reach MSL after 2 attempts. Keeping case open until other requests in this interaction are due to close on 13 Jun2016 in case the response can be relayed to the HCP. ABh09Jun2016 Assigned to Dave due to OOTO. ABH10Jun2016 -- Assigned request to US Onc Esc Queue for final guidance. DP 13JUN2016","Original question, "" 1) limited to oral cavity, pharynx, or larynx? And oropharynx ( OPC) cases were excluded? Looks like p16 testing was only mandatory in OPC patients (?!!!!) and about 25% patients were overall p16 poitive( are these p16 positive non-oropharyngeal patients, since presumably OPC was excluded) 2) is there another Checkmate that addresses oropharynx cancers specifically? 3) what was the planned duration of Nivo if there were no significant toxicities or progression ( indefinitely or maximum 2 year, etc)? Was re-treatment or treatment beyond progression allowed? 4) How do you interpret HR in PDL1 neg and HPV neg patients since HR ( CI) in both groups crossed 1. The KM curves showed an early overlap, but later separation. Do you have updates on these numbers since AACR? 5) Do you have response analysis based on p16 and / or PDL1 status? ( like you have reported with survival) 6) Do you have swimmer's plot or spider plots to reflect dynamics of response? ( I wonder if you have any data on the non-conventional responder ( %) that we previously discussed. Back then, we just had the lung Nivo non-conventional data. 7) I would like to use some of KM curves related to Checkmate 141 for the ASCO Educational presentation."". Verified email chain with contact details. Sent acknowledgement and receipt emails see touchpoint case 263574. Split into 7 requests. ABH01Jun2016 Search of SRL's yielded no inclusion/exclusion letter for Checkmate 141, also no breakdown of p16 positive patients by tumor type. Internally escalated to PPD. After internal PPD escalation, request requires further escalation. Chattered and assigned to US oncology escalation queue. ABH01Jun2016 Called to provide verbal response, left message with Jennifer. ABH07Jun2016 Called to provide verbal response, left message with Jennifer. ABH09Jun2016 Reassigning to DAVE due to OOTO. ABH10Jun2016",1728
PDL Reactive Data Deck,Source, Email,55.5989159892,2.00974434461e-14,40,677,"* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered and assigned to US oncology escalation queue due to specific slides requested. ABH09May2016 Per clarification from Eric, the AACR 2016 slides they are requesting has the incorrect author, it should be Rodig. Split the Rodig presentation into a separate request as this was not part of Biomarker reactive deck. Sending Rodig slides via email as requested, 12May2016 CS","* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered for guidance on customization of SRL. ABH09May2016","* Please see attached MIRF; Googled phone number for Dr. *SH 5/9/16 Verified attachment with contact details. Sent acknowledgement email. Original request, ""-F Stephen Hodi AACR 2016 presentation- Association of PD-L1 and PD-L2 expression with Nivolumab efficacy in advanced melanoma (Slides 1-19) - FDA Blueprint project - Slides # 68-79 (in PDL Reactive Deck) -Overview of PD-L1 Assays and PD-L1 Antibodies (1 of 2) and (2 of 2) - # 57-58 [ PDL Reactive Deck ] - PD-L1 28-8 Pharm Dx staining in NSCLC and reporting 1 of 2 and 2 of 2 - # 65-66 [ PDL Reactive Deck ] Prevalence PD-L1 Checkmate 067 #145 [ PDL Reactive Deck ] - Checkmate 017 (6 slides) and Checkmate 057 (6 slides) - # 100-113 [ PDL Reactive Deck ] - Podcast- educational tool on PD-L1 scoring"". Split into 2 requests. Chattered and assigned to US oncology escalation queue due to specific slides requested. ABH09May2016",717
Email Body,Source, Email,54.9039295393,2.29625608152e-27,80,966,"Email Address: tammy.curtice@bms.com Email Subject: FW: Opdivo dossier Email Body: Hi Med Info, Please see the request below from Kenneth Kennedy from Humana for an updated Opdivo dossier that includes RCC and cHL. Kenneth?s contact is: Email: kkennedy8@humana.com<mailto:kkennedy8@humana.com> Phone: (502) 380-7883 Humana 515 W Market St Louisville, KY 40202 Please ?cc me on the response to Kenneth and let me know if you need additional information to fulfill this request. Thanks, Tammy From: Kenneth Kennedy [mailto:kkennedy8@humana.com] Sent: Tuesday, June 07, 2016 10:55 AM To: Curtice, Tammy <Tammy.Curtice@bms.com> Cc: Sheetal Sheth <SSheth@humana.com>; Ives, Gregory <gregory.ives@bms.com> Subject: RE: Opdivo dossier No worries. Yes, it was a good meeting. Quite a few immunotherapy items to follow ?. Looking for a version that contains information for RCC. Also curious on the timeline for when Hodgkin?s might be incorporated into the dossier. May I place a request for that updated dossier to be sent whenever it is complete? Thanks, Kenneth From: Curtice, Tammy [mailto:Tammy.Curtice@bms.com] Sent: Tuesday, June 07, 2016 9:49 AM To: Kenneth Kennedy Cc: Sheetal Sheth; Ives, Gregory Subject: RE: Opdivo dossier Hi Kenneth, Sorry for the delay, I was at ASCO and hope you had a good meeting if you were there as well. I can definitely request an Opdivo updated dossier for you. Is there particular new information you are looking for? I want to make sure that the version to be sent to you has what you are looking for. Thanks, Tammy From: Kenneth Kennedy [mailto:kkennedy8@humana.com] Sent: Friday, June 03, 2016 1:48 PM To: Ives, Gregory <gregory.ives@bms.com<mailto:gregory.ives@bms.com>>; Curtice, Tammy <Tammy.Curtice@bms.com<mailto:Tammy.Curtice@bms.com>> Cc: Sheetal Sheth <SSheth@humana.com<mailto:SSheth@humana.com>> Subject: Opdivo dossier Hello BMS team-- I'd like to request an updated dossier for Opdivo. Thanks, Kenneth Sent with Good Work (www.good.com<http://www.good.com>) *24 hr email sent* Verified HCP credentials and contact information per email. Assigned request for Opdivo Dossier to the US MI Access Escalation Queue per WI. DP 10JUN2016 AMCP Dossier Updates: (per email - May I place a request for that updated dossier to be sent whenever it is complete?)","""ms.com Email Subject: Fwd: Request for information about use of Nivolumab (contains no protected health information) Email Body: Please see this unsolicited request for medical information from William Hyman, MD at the University of Texas Health Center at Tyler. He has asked for the information to be sent via e-mail. If also needed, the address is 11937 US-271 Tyler, Texas, 75708. The phone number is 903 877-7777. Thank you for your help. Please let us know should more information be required. Patty Patty Schelfhout, RN, BSN, BA Executive Territory Business Manager Immuno-Oncology Bristol-Myers Squibb Company 972 841-8925 Begin forwarded message: From: ""Hyman, William"" <William.Hyman@uthct.edu<mailto:William.Hyman@uthct.edu>> Date: December 29, 2016 at 9:51:43 AM CST To: ""'Schelfhout, Patty'"" <patty.schelfhout@bms.com<mailto:patty.schelfhout@bms.com>> Subject: Request for information about use of Nivolumab (contains no protected health information) Patty, Please do submit a request for medical information for me. They can email the results of the inquiry to me here. I changed the title of the email so our Info Security Officer wouldn't think we were corresponding about a specific patient. Thanks, BH -----Original Message----- From: Schelfhout, Patty [mailto:patty.schelfhout@bms.com] Sent: Thursday, December 29, 2016 9:17 AM To: Hyman, William Subject: Patient Question Hello Dr. Hyman. I received your telephone question today. If I understand correctly, you would like to know if there is information on the use of nivolumab for patients with metastatic endometrial adenocarcinoma. That is not a question I can address, but if you reply giving me permission to forward this request to Medical Information, I will be happy to do so today. Please let me know if that is OK with you. Alternatively, if you would like to speak directly to someone at Medical Information, the number is 1 855 673-4861. Thank you for your question, Patty Patty Schelfhout, RN, BSN, BA Executive Territory Business Manager Immuno-Oncology Bristol-Myers Squibb Company 972 841-8925"" Corrected demographics. AJM 29Dec2016 Sending notification 30Dec20116 Did EMBASE lit search 2000-Dec2016 using the search terms nivolumab/use/endometrial adenocarcinoma which did not reveal any citations. CS 30Dec2016","""Email Address: drew.hiller@bms.com Email Subject: FW: Question Regarding Nivolumab in HNSCC Email Body: Hi: Please see the request for information below from Mandi Tsoi at the Seattle Cancer Care Alliance. If you need further information, please let me know. Thanks. Best, Drew Drew Hiller Institutional Immuno-Oncology Specialist WA/OR/UT Mobile: 206-734-2562 Email: drew.hiller@bms.com [cid:image001.png@01CE23D6.76AA9F70] From: Tsoi, Mandi [mailto:tmandi@seattlecca.org] On Behalf Of PharmD Sent: Monday, November 28, 2016 10:42 AM To: Hiller, Drew <Drew.Hiller@bms.com> Cc: PharmD <pharmd@seattlecca.org> Subject: Question Regarding Nivolumab in HNSCC Good morning Drew, I hope you had a wonderful Thanksgiving weekend. I have a question about nivolumab and I was hoping you might be able to help me clarify some things with the providers. Nivolumab was recently approved in our HNSCC patients using weight-based dosing at 3mg/kg. Prior to this, we changed all of our HNSCC patients to flat dosing 240mg based on the NSCLC studies. Do you know if BMS is planning on reviewing flat-dosing for the HNSCC population anytime soon? It's creating quite a headache for our providers to switch the dosing back and forth, and for entering referrals for insurance approval, and I wanted to keep the providers updated with as much information as I can so we can provide the best care for our patients. Thank you for your time."" Sending notification. CS 30Nov2016",1046
Entered referred,Source, Email,54.2089430894,4.65938927286e-14,39,1712,"Verified contact details with attachment. Entered requester and referred by. Unable to send acknowledgement email due to no email provided. Sent receipt email. Patient took BMS product marked as Yes to properly document AE although it is unknown if patient took product. Filed AE. Chattered and assigned to Irina due to MSL request. ABH25May2016 ***MSL Req. sent via email to Kartik Aysola, and Berry Thrash 05-25-2016, by Irina S.","Original question, ""Does steroid treatment for toxicity have negative impact on efficacy of Opdivo?"". Entered requester and referred by. Phone number in ATHENA matches google. Unable to send acknowledgement email due to no email provided. Sent receipt email. ABH20May2016 Search of SRL's yielded no information, per previous case 00165093 sending no data response with updated lit search. ABH20May2016 Submitted for print mail fulfillment at 1314 on 20May2016. ABH20May2016","Original question, ""Data with Opdivo in NSCLC in patients with brain mets. Data with Opdivo in P-S 2+ patients (poor performance)."" Entered requester and referred by. Unable to send acknowledgement email due to no email provided. Sent receipt email. Split into 2 requests. ABH17May2016 Waiting on new PI. ABH17May2016 New shortened PI approved, submitted for FEDEX fulfillment at 0920 on 19May2016. ABH19May2016",1751
attachment and via google search,Source, Email,49.4830352304,5.13313279539e-59,183,4663,"*Nivo data in neuroendocrine *Rash in mono use of Nivo -incidence and treatment -- *24 hr email sent* Verified HCP credentials and contact informtaion per attachment and via google search (added phone via google as address not found via NPI). DP 30SEP2016 AE filed out of precaution (unable to verify if question/request is patient specific). DP 01OCT2016 Split request into 2 questions. DP 03OCT2016 Per discussion with internal oncology team, assigned request to USOEQ due to content issues. DP 04OCT2016 Emailed Ijeoma @USKM to make the corrections to the references section of the SRL Awaiting reply DL 10Oct2016 Followed-up with Ijeoma to see if SRL fixed. Per Ijeoma, SRL BMS-RMC-12762 now fixed. Reassigning to Alicia for completion DL 13Oct2016 Managed Sources tab still incorrect. Assigning back to the escalation queue. ABH13Oct2016 Reached out to Ijeoma again since error still occurring Awaiting reply DL 13Oct 1:15pm Waiting in Ijeoma for corrected document. ABH13Oct2016 Per guidance from Ijeoma, sending SRL's without customization. Waiting on Tony for corrected HL document. ABH17Oct2016 Per guidance from Tony Lan ""Hi Alicia, Please send out as is. I do not want to keep the information from going out any longer simply due to the citation issue. We will fix it moving forward. Thanks, Tony"". Sending without correction. ABH18Oct2016","Socinski et al ESMO presentation slides CM 012 (slides 71-75, PDL Reactive Data Deck) CM 227 (slides 77) -- *24 hr email sent* Verified HCP credentials and contact information per attachment and via google search (added phone via google as HCP not found via NPI). Split request into 3 questions. DP 23NOV2016","Socinski et al ESMO presentation slides CM 012 (slides 71-75, PDL Reactive Data Deck) CM 227 (slides 77) -- *24 hr email sent* Verified HCP credentials and contact information per attachment and via google search (added phone via google as HCP not found via NPI). Split request into 3 questions. DP 23NOV2016 Attached custom slides per Tier 3 oncology team (see chatter or attachment for reference). DP 23NOV2016",4846
