driver,type,subset,impact,score,related_terms,doc_count,example_doc,example_doc2,example_doc3
submitted,auto_found,Month,-5.818672345885478,-0.3919344907189918,"['submitted', 'contact', 'Notified', 'Googled phone number', 'responded', 'entered', 'ASAP', 'attached MIRF', 'URGENT', 'SM', 'mail', 'notification', 'documentation', 'compliance', 'requester', 'MIRF', 'resent', 'see attachment', 'error']",9537,"MSL request has been submitted verified attachment with contact details. Verified acknowledgement email sent (see touchpoint case 121494). Unable to locate MSL request previously submitted. Split into 3 requests and assigned MSL request to Irina. ABH04Feb2016 No data found, internally escalated to PPD. ABH04Feb2016 Called to verify which gynecological cancer, left message (see touchpoint case 121494). ABH04Feb2016 2nd attempt to clarify request, see touchpoint case 121494. ABH08Feb2016 Unable to clarify request. Closing per WPD. ABH10Feb2016",MSL request has been submitted verified attachment with contact details. Verified acknowledgement email sent. Unable to locate MSL request previously submitted. Split into 3 requests and assigned MSL request to Irina. ABH04Feb2016 Called to clarify tumor type. ABH04Feb2016 Unable to reach requester sending lab assessment in NSCLC with standard clarification wording in the cover letter. ABH10Feb2016,**MSL request has been submitted** Duplicate to 123519. Closing as duplicate. ABH05Feb2016
question,auto_found,Month,-2.4666559736496856,-0.24933537588054056,"['contact', 'question', 'asked', 'request', 'clarify', 'documentation', 'information']",17434,"Verified attachment with contact information documented. Pulled phone # from google. Email notification was already sent. Need to clarify question - whether this is an access request/EAP/data request. MH 16MAR2016 1st attempt: 16MAR2016 @ 1509 ? LM with Karen with MIRF line. MH 16MAR2016 Dr. Politsmakher left a VM on my MIRF line today during my MIRF time and stated I could reach him on his direct line at 636-916-9961 and that he would be in his office in between patients. Tried to call him at 1600, but the line just rang without an answer. Will try back later today. MH 16MAR2016 18MAR2016 @ 1400 - LM with Krista with MIRF line. Dr. Politsmakher is OOTO today. MH 18MAR2016 18MAR2016 @ 1500 - Dr. Politsmakher called me on my MIRF line and stated he is interested in compassionate use for his patient for either nivolumab or ipilimumab + nivolumab for pancreatic cancer. He stated his patient may be willing to travel to a site near St. Louis (such as Nasville, TN or Colorado, etc) to be in a clinical trial. I stated I was unsure whether or not there was EAP available for nivo + ipi in this tumor type and offered to escalate. Caller stated this would be fine. I read from the Opdivo-AVL-HCP request for EAP_compassionate use_REQUIRES CUSTOMIZATION-Mar15 SRL to let him know there is no EAP available for EAP monotherapy and went over trial # NCT01928394 which has 2 sites recruiting in Nashville. Provided him the contact names/numbers for the investigators in that area: Tennessee Oncology Pllc Recruiting Nashville, Tennessee, United States, 37203 Contact: Johanna Bendell, Site 0011 615-329-7450 Vanderbilt-Ingram Cancer Ctr Recruiting Nashville, Tennessee, United States, 37232 Contact: Emily Chan, Site 0002 800-811-8480 I asked if he wanted the numbers of the other 2 relevant trials emailed to him and he said this would be helpful (NCT02472977, and NCT02243371). I also went over the Access Support information, but he did not have time to take this information right now. He stated I should email this information to him. Will follow-up on whether there is EAP available for REGIMEN. Roma stated: ""using the custom you already created, please take out ""Non-melanoma tumor type"" part from the header. Please change the first sentence to say ""Currently, Opdivo (nivolumab) and Opdivo (nivolumab) in combination with Yervoy (ipilimumab) are not available for any tumor type through a treatment use program."" Following Roma's guidance, added in the appropriate verbiage to the existing custom. No further changes. MH 23MAR2016","* Reached out to field worker for confirmation of question, MIRF was hard to read. 2/9/16. Received updated MIRF 2/11/16. Splitting this into two separate request for Regimen and Opdivo * SH 2/11/16 Found associated split MIRF case 129203. Canceled out as duplicate. Will keep Mirf under one interaction for documentation purposes. Verified attachment with contact details, verified acknowledgement email sent. Sent clarification email to requester regarding question. ABH11Feb2016 Unable to clarify request of tumor type. After internal PPD escalation, sending relevant radiation letters with standard clarification wording. Split into 3 requests. ABH18Feb2016 Original question, ""Information on radiation with immunotherapy- CTLA4 + anti PD-1. Yervoy +/or Opdivo in either Concurrently or sequentially and information on both for brain/CNS radiation and any other sites being radiated""","Verified email chain. Entered requester and referred by. Sent acknowledgement email. Chattered with TA for guidance on how to handle this MIRF due to non-compliance. ABH05May2016 Reached out to sales rep to have a MIRF submitted for compliance issues and the rep stated ""Thank you, Cara, for your message. I had a BMS IONL Nursing promotional program today in this account and the physician""s question was answered. Please cancel this request."" Willclose request. 9May2016 CS"
SH,auto_found,Month,-5.033707701651915,-0.23018131954959548,"['Googled phone number', 'SH', 'attached MIRF', 'URGENT', 'address', 'matches', 'MSL', 'MSL request', 'correct', 'Verified', 'assigned MSL request to Irina', 'MIRF', 'Email notification was already sent', 'Need to clarify', 'attachment with contact information documented', 'telephone number', 'google']",11676,* Assigned MSL Fulfillment to Irina Signatovich. *case 00120095 SH 2/3/16 Verified attachment with contact details. Verified acknowledgement email sent. Verified MSL request has been assigned. ABH03Feb2016 Call for clarification of request to see if they need info on investigator sponsored research VS bms sponsored research or if they want info on trials in SCLC. Unable to reach requester. Sending information on SCLC with standard clarification wording in cover letter. ABH09Feb2016,"*Confirming request of information for, monotherapy Opdivo, monotherapy Yervoy, and regimen including any information with our current pipeline for GBM. E-mail not necessary, send via snail mail the hard copy materials. Thanks, Cynthia Googled phone number for Dr. * SH 4/5/16 ***MSL Request being sent to Devon Hall on 4/5/16, by T. Wyatt in the absence of Irina Signatovich (vacation)***","* Please see attached MIRF * SH 4/4/16 Dr. Cockerell is a past President of the American Academy of Dermatology; Dr. Cockerell is the new chief of dermatology @ Bayer University Medical Center - Dallas. ***MSL Request being sent to Kelly Hageman on 4/4/16, by T. Wyatt, in absence of Irina Signatovich***"
offline,auto_found,Month,-6.239136493938008,-0.14798765711666276,"['offline', 'asked', 'helpful', 'informed', 'advised', 'assistance', 'website', 'access']",3001,"Direct call received from requester as follow up to Requests #194733 and #195855. Caller stated she was contacted by Karen from BMS who informed her Opdivo could not be provided in Thailand and the closest locations would be Hong Kong or China (caller stated she was told it has something to do with not having an official office in Thailand so medication cannot be provided). Caller stated she was given the contact number to China and when she called, it was for ""Community Bank"". Caller stated she verified the phone number via the website and it was correct. When asked, caller stated she did try to call the alternative number listed (400-821-8790) and received a message stating ""please check number and try call again"". Informed caller this request would be taken offline, escalated, and marked URGENT as she has called previously and request involves potential patient care. Informed caller URGENT requests are generally addressed within 24 business hours and if she was not contacted by end of day Friday 15APR2016 to call back first thing Monday morning 18APR2016. Assigned request to US Onc Esc Queue. AEs related to original requests already filed (see #195691 and 195992). DP 14APR2016 Spoke to patients family member and gave her information on CT.gov and instructions on searching for clinical trials in Hong Kong and China. She was under the impression that Opdivo was available in Hong Kong and that her family member could receive the drug there. I informed her that this is not available in Hong Kong, China or Thailand. Will close request. 25Apr2016 CS.","Caller transferred from Pablo (Opdivo Support). Caller is a financial advocate for a patient and she spoke to Tonya yesterday requesting eligibility information for the Opdivo compassionate use program. She was supposed to receive 7 forms via fax to determine if patient is eligible. Only the cover page was received. Caller asked if the rest of the forms can be faxed again. Discussed with Lisa Schaale/David Pigeon who said to escalate the case to US Oncology- Escalation Queue for follow-up. Informed caller that, to my knowledge, a compassionate use program for Opdivo is not available. Attempted to determine which department she spoke to yesterday, but she did not know. Unable to locate a previous case for caller or patient in Medical Information. Informed caller that we would research request offline and either resend information via fax or call her back. Caller was adamant that 7 forms were supposed to be faxed yesterday. I provided Patient Assistance Foundation phone number and, at her request, transferred caller to determine if she spoke to an agent in that department. Assigned to US Oncology- Escalation Queue for follow-up. DA 23Feb2016 Spoke with patient advocate and she was able to get the forms she needed from Robin Adams, BMS rep that was in her office that same day. She has all the forms she needs for patient treatment. Will close out case. 1March 2016 CS","Received a transfer call from the Opdivo Support Line at 12:26 on 01Jul2016 with a pharmacist calling regarding Opdivo. She indicates they are considering Opdivo for a patient, but the patient's T-bilirubin is 2.4. Is there any information on the use of Opdivo in a patient with elevated bilirubin? She indicates this is for off-label use- hepatocellular carcinoma. Spoke per Opdivo-POP-Hepatic impairment indicating patients in registrational trials for melanoma, NSCLC, and RCC were required to have adequate hepatic function. Indicating unable to quickly find information for off-label trials for hepatocellular carcinoma regarding inclusion/exclusion for bilirubin levels. Offered to research request offline. She indicated email or phone would be adequate methods for follow-up. No survey offered since escalating/ researching further. Escalating to PPD Escalation Team for further guidance. Per similar request (#231552), ""To be included in the HCC trial patients had to have bilirubin ?3 mg/dL"" Unable to find this information in the Nivolumab-Use of nivolumab in patients with hepatocellular carcinoma SRL. Requesting guidance as to whether this information is available to speak from and whether this request should be escalated. AJM 01Jul2016 Per discussion with PPD Escalation Team, assigning to US Oncology Escalations queue for guidance regarding whether information from poster can be shared verbally. Information regarding inclusion criteria for HCC for bilirubin ?3 mg/dL is in a poster- is detailed in the El-Khouiery poster presentation from ASCO 2016 in the baseline characteristics section. (Opdivo-Ref-Congress Presentation_ASCO_2016_El-Khoueiry_Poster Presentation_GLOBAL_4Jun2016). AJM 01Jul2016 Per Roma, okay to provide information verbally. Called requester at 16:41 and provided baseline bilirubin inclusion criteria from El-Khouiery poster. She then asked if there is any way this poster could be emailed to her. Indicated I would see if it could be emailed. Per discussion with Melissa, attached: Opdivo-Ref-Congress Presentation_ASCO_2016_El-Khoueiry_Poster Presentation_GLOBAL_4Jun2016 Nivolumab and Ipilimumab presentations regarding GBM, CRC, HCC, and GE/GEJ cancers during ASCO 2016 (Customized down to El-Khoueiry poster only). Emailing poster and SRLs. AJM 05Jul2016"
Verified attachment with contact details,auto_found,Month,-4.942571476564474,-0.14092868840394213,"['Googled phone number', 'URGENT', 'Verified attachment with contact details', 'matches', 'Verified acknowledgement email sent', 'no email provided', 'correct', 'Filed AE', 'like to be contacted by a medical professional', 'contact details', 'Called to clarify', 'Athena matches google', 'Unable to send acknowledgement email due', 'receipt email', 'Original question', 'Sent acknowledgement and receipt emails', 'see attachment', 'Verified contact details', 'Entered requester and referred', 'Verified email chain', 'marked', 'telephone number', 'US escalation queue', 'Sent acknowledgement email', 'Pulled phone number from google']",6323,* Assigned MSL Fulfillment to Irina Signatovich. *case 00120095 SH 2/3/16 Verified attachment with contact details. Verified acknowledgement email sent. Verified MSL request has been assigned. ABH03Feb2016 Call for clarification of request to see if they need info on investigator sponsored research VS bms sponsored research or if they want info on trials in SCLC. Unable to reach requester. Sending information on SCLC with standard clarification wording in cover letter. ABH09Feb2016,Verified attachment with contact details. Corrected address. Verified acknowledgement email sent. ABH27Jan2016,Verified attachment with contact details. Verified acknowledgement email sent. ABH23Feb2016
appreciate,auto_found,Month,-2.1810014039336183,-0.134490278390095,"['contact', 'responded', 'asked', 'appreciate', 'helpful', 'assistance']",4655,"see attachment for mailing address Original question, ""We are considering treating our patient with OPDIVO. I am hoping that you will be able to assist me with a few questions that I have. We would like to treat a patient of our post stem cell transplant with relapsed Hodgkin?s disease utilizing OPDIVO. Is this something that we can do and is this something that insurance cover? Any and all information that you are able to provide me with would be greatly appreciated."" Verified email chain with contact details. Verified acknowledgement email sent. ABH29Jan2016 Internally escalated to PPD. ABH29Jan2016 US letter found. Sending SRL and calling requester to refer to access support. ABH01Feb2016 Received call at 1620 on 02Feb2016. provided referral to destination access for insurance coverage part of the question. Requester had no further questions. ABH02Feb2016",**PHONE delivery requested** Verified HCP's Contact information and sent email notification to sales rep. No email on file to send notification email to HCP. Will call to provide verbal response. MH 30JUN2016 1st attempt: 30JUN2016 @ 1346 - LM on general VM with MIRF line. MH 30JUN2016 2nd attempt: 05JUL2016 @ 1642 - LM on VM with MIRF line. MH 05JUL2016 Received inbound call from Dr. Smith on 06JUL2016 @ 1642. Went over the information from the attached SRL verbally with the HCP. Also provided investigational use disclaimer and treatment disclaimer. He did not wish to have this information sent to him but appreciated all the information I went over. Caller had no additional questions today. MH 06JUL2016,"Reached out to field worker for full contact information on 1/20/16, have not heard back yet. SH 1/20/16 Could you please send clinical data on the incidence and treatment of iritis in patients with metastatic melanoma in treatment with Opdivo? We do have a medical letter entitled? Data on ocular toxicity in melanoma patients receiving nivolumab treatment?. I appreciate if you could send it to Bonnie. Also, following my manager, Ryan Gonterman, suggestion, I am cc-ing this email to Louise Shennard to ask whether she can help with additional clinical data on this topic. Thank you very much for your attention with this matter. I really appreciate. Louise: Thank you. Best regards, Maria Teresa Verified email with contact details. Follow-up request to case 94946 (AE previously filed case 00095090). Obtained demographics from previous case. Verified acknowledgement email sent. Sending Data on ocular toxicity in melanoma patients receiving nivolumab treatment per clarification from MSL as follow-up to initial case. Customized SRL with a TR and adding a TD to SRL to address ""treatment"" portion of the question. ABH20Jan2016"
prostate cancer,auto_found,Month,-2.3589243221423337,-0.13179472824246324,"['prostate cancer', 'using Opdivo', 'colon cancer', 'use of nivolumab', 'gastric', 'Opdivo and Yervoy']",1269,"**URGENT** Original Question Text: Data on use of Yervoy in metastatic castrate resistant prostate cancer. Data on use of Opdivo in metastatic castrate resistant prostate cancer. Delivery Notes: Please have MSL call Dr. Mackey, urgent request. Will split into 3 separate requests: 1. Request #00192190: the use of ipilimumab in metastatic castrate resistant prostate cancer 2. Request #00192625: the use of nivolumab in metastatic castrate resistant prostate cancer 3. Request #00192626: requesting a call from MSL, urgent request ****MSL Request being sent to Kelly Hageman on 4/6/16 by T. Wyatt in the absence of Irina Signatovich (vacation)***","Verified attachment with contact information documented. Email notification already sent. MH 08JAN2016 Email sent to MSL to clarify tumor type for all 5 questions. MH 08JAN2016 MSL responded saying: ?Dr. Trump was interested in the information for multiple tumor types. His primary interest, however was interested in the data available for NSCLC, RCC, and prostate.? Attached email to request # 94897 for reference. MH 11JAN2016 Emailed Cara for guidance and received email guidance back. Attached email to R#94897 for reference. Per Cara, ""We do not have any preclinical information to share. I agree with all your responses. Please see below in red for my response to your question."" Will add disclaimer about preclinical data into the letter intro to address all questions at once. MH 14JAN2016 For this question, no data was found and no specific SRL addresses the question, however, the exclusion criteria for the CA209-003 trial on CT.gov states: ?Prior systemic radiation therapy must have been completed at least 4 weeks before study drug administration. Prior focal radiotherapy completed at least 2 weeks prior to study drug administration. Emailed Cara for guidance and her response states: ""Since this study is still active we cannot create data on file with this information to cite. However we can provide it verbally if you wanted to and refer them to the CT.gov site with the inclusion criteria. Otherwise, I would just send the no data letter in regards to Opdivo in combination with radiation in patients with prostate cancer."" Attached Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-TEM@nivo and radiation for prostate. Added no data statement and TR. MH 14JAN2016","Verified attachment with contact information documented. Sent email notification to HCP. MH 02JUN2016 Only one BMS trial found for prostate cancer (CA209-001) on ct.gov, and the trial is completed. Attached the clinical trials template and customized to TEM@clinical trials for prostate cancer with a TR and this trial listed with notation that the trial is complete. No other changes made. MH 02JUN2016"
referral,auto_found,Month,-5.378015615135394,-0.12003167121621944,"['contact', 'referral', 'advised', 'EAP', 'website']",3509,"* Email address listed in email matched this profile in Athena * SH 5/4/16 Original question, ""If a patient with Lung CA with a history of IBS but controlled with minimal rectal medication. Opdivo is then started and the IBS symptoms flared. The patient is put on oral mediations. Questions 1) has there been any studies of IBS patients starting on Opdivo 2) when the symptoms subside and they go back to their ""baseline"" can they continue Opdivo and still take the oral IBS medication? 3) any suggestions from BMS when they can restart Opdivo?"". Verified email chain. Verified acknowledgement email sent. Filed AE. Split into 2 requests. ABH04May2016 After internal PPD escalation, send the GI management algorithm with a TR, TD, manufacturer referral. ABH04May2016",Warm transfer by Greg in Oncology Support Hematologist inquiring about compassionate use of Opdivo for a patient diagnosed about a month ago with NSCLC (adenocarcinoma) who is refusing chemotherapy. The patient's insurance is refusing treatment with Opdivo. Followed instructions in Opdivo-AVL-HCP request for EAP_compassionate use_REQUIRES CUSTOMIZATION-Mar15. Search of Study Connect for lung cancer sites within 50 miles of Nashville identified 6 recruiting trials but only one trial did not involve chemotherapy or did not require the patient to be relapsed or refractory. Provided trial identifier NCT01928394 and discussed exclusion criteria. MD was not sure that patient would be willing to participate in clinical trial but asked for contact information for local sites. Provided contact name and phone number for two sites in Nashville (Site 0002 and site 0011). Also provided the phone number for BMS Access Support in case the patient declines participation in clinical trial or does not meet trial enrollment criteria. Did not offer survey as call involved referral to another BMS group. DZ 30MAR2016,"Original question, "" Are there any contraindications to concurrent administration of Opdivo and Xgeva or any increased incidence of side effects?"". Entered requester and referred by. Sent acknowledgement email. ABH22Feb2016 Customized Opdivo-INT-Denosumab-Aug 15 with search date and added manufacturer referral.ABH22Feb2016"
file,auto_found,Month,-2.1820540634286063,-0.11683701596001125,"['Googled phone number', 'notification', 'matches', 'file', 'correct', 'Filed AE', 'contact details', 'Athena matches google', 'requester', 'Unable to send acknowledgement email due', 'receipt email', 'MIRF', 'Original question', 'Sent acknowledgement and receipt emails', 'Verified contact details', 'Entered requester and referred', 'telephone number', 'google', 'Sent acknowledgement email', 'Pulled phone number from google']",11408,Verified attachment with contact details. Verified acknowledgement email sent. Filed AE. ABH04Feb2016 Per previous guidance from Anu on case 13053 (see attachment) customizing no data letter with treatment disclaimer. ABH05Feb2016,"From MSL: ""Here is a request from Dr. Jeong Hee Cho for PDL-reactive deck slide #168 (PFS in PD-L1 subgroups of treatment-naive melanoma patients) . Please include my email when requested information is sent out to Dr. Cho"" ------ Email fulfillment indicated on request, however email address was not included on this request. Verified attachment with contact information documented. No email on file to send notification. Sent email to MSL to request this information. MH 03FEB2016 Received email back from MSL stating: 'Dr. Cho's email address is : j.cho1@med.miami.edu"" Sent email notification. MH 04FEB2016 No PFS breakdown by PDL1 status found for study 066 in either the the Nivolumab-Nivolumab as first line therapy in advanced melanoma or the Opdivo-PHA-Biomarker predicative of response_melanoma-US Mar15 SRLs. Sent email to PPD Onc team to see if we should escalate. MH 04FEB2016 Team consensus is to escalate. Assigned to US Onc Esc Que and chatter sent to Cara. MH 04FEB2016 Received guidance from Eric to provide info verbally. (See chatter) 1st attempt: 09FEB2016 @ 1452 - Reached a VM system that asked for an extension number. When I entered 6322, it stated that the person at this extension was not available and asked for a mailbox number to leave a message. Unable to leave message, as I do not have this information. No other numbers listed on MIRF. MH 09FEB2016 1st attempt to reach Jasmine Lee, PDL for better contact information for MD - 09FEB2016 @ 1457- LM on Ms. Lee's VM with MIRF line. MH 09FEB2016 Assigned to Dave for follow-up due to OOTO. MH 09FEB2016 -- Spoke to Dr. Jeong Cho and Jasmine Lee PDL who verified the information being requested is slide #168 from the PDL reactive deck. Assigned request to the US Oncology Escalation Queue. Dr. Cho verified she would like to receive the information via email and verified email address on file (Dr. Cho provided her cell phone number as well: 713-202-6232, Jasmine Lee provided alternate number 415-818-9737). DP 11FEB2016","* MSL request has been assigned to Irina Signatovich and email notification has been sent. * SH 2/8/16 Original request, ""* URGENT * Patient has ITP & is on Promacta. Just started Opdivo 2 wks ago. His platelets count has dropped. Is this a side effect of Opdivo."" Verified MSL request assigned to Irina (case 125053). Verified attachment with contact details. Verified acknowledgement email sent. Filed AE. ABH08Feb2016 After internal escalation, request needs to be further escalated to BMS. Chattered with Cara and assigned to the US oncology escalation queue. ABH08Feb2016 Re-escalating to the US oncology escalation queue for incidence data. ABH09Feb2016 GPVE email: A review of the BMS safety database today, 11Feb2016 revealed there are cases of platelet count decreased and no cases of the PT immune thrombocytopenic purpura in marketed Nivolumab. Will send AES letters for NSCLC and mel customized to include thrombocytopenia, and will include safety search, sending via email as rewquested. 11Feb2016 CS"
instructions,auto_found,Month,-3.881379975042468,-0.11499014892172198,"['instructions', 'documentation', 'advised', 'guidelines']",431,Warm transfer by Greg in Oncology Support Hematologist inquiring about compassionate use of Opdivo for a patient diagnosed about a month ago with NSCLC (adenocarcinoma) who is refusing chemotherapy. The patient's insurance is refusing treatment with Opdivo. Followed instructions in Opdivo-AVL-HCP request for EAP_compassionate use_REQUIRES CUSTOMIZATION-Mar15. Search of Study Connect for lung cancer sites within 50 miles of Nashville identified 6 recruiting trials but only one trial did not involve chemotherapy or did not require the patient to be relapsed or refractory. Provided trial identifier NCT01928394 and discussed exclusion criteria. MD was not sure that patient would be willing to participate in clinical trial but asked for contact information for local sites. Provided contact name and phone number for two sites in Nashville (Site 0002 and site 0011). Also provided the phone number for BMS Access Support in case the patient declines participation in clinical trial or does not meet trial enrollment criteria. Did not offer survey as call involved referral to another BMS group. DZ 30MAR2016,"Direct call received from requester as follow up to Requests #194733 and #195855. Caller stated she was contacted by Karen from BMS who informed her Opdivo could not be provided in Thailand and the closest locations would be Hong Kong or China (caller stated she was told it has something to do with not having an official office in Thailand so medication cannot be provided). Caller stated she was given the contact number to China and when she called, it was for ""Community Bank"". Caller stated she verified the phone number via the website and it was correct. When asked, caller stated she did try to call the alternative number listed (400-821-8790) and received a message stating ""please check number and try call again"". Informed caller this request would be taken offline, escalated, and marked URGENT as she has called previously and request involves potential patient care. Informed caller URGENT requests are generally addressed within 24 business hours and if she was not contacted by end of day Friday 15APR2016 to call back first thing Monday morning 18APR2016. Assigned request to US Onc Esc Queue. AEs related to original requests already filed (see #195691 and 195992). DP 14APR2016 Spoke to patients family member and gave her information on CT.gov and instructions on searching for clinical trials in Hong Kong and China. She was under the impression that Opdivo was available in Hong Kong and that her family member could receive the drug there. I informed her that this is not available in Hong Kong, China or Thailand. Will close request. 25Apr2016 CS.",Verified attachment with contact information documented. Sent email notification to HCP. This is a follow-up question for R#338423 which was treated as an ACCESS MIRF. It will also require clarification. Assigned to the ACCESS MI queue for processing. MH 23AUG2016 Orig. qn: I do have another request. Can you provide me with time to response data for Nivolumab? 8/25/16 SM Sent note to clarify request. 8/26/16 SM Received instructions to send data on melanoma and lung. 8/26/16 SM Final phone call to determine only the above two were needed.
