term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
26JAN2016,Month, 1,634.384615385,1.08093329973e-50,44,508,"Verified attachment with contact information documented. Sent email notification. MH 22JAN2016 Since this is a request for specific slides from the PDL reactive deck, per previous guidance, assigned to US Oncology Escalation que and sent chatter to Cara. MH 22JAN2016 Original Question states: slide # 57 (Overview of PD-L1 Assays - NSCLC) # 64,65 (PD - L1 IHC 28-8 PharmDx: staining of PD-L1 (1 of 2) and recommendations # 234-235 (Prevalence of PD-L1 other solid tumors (1 of 2) and (2 of 2) Sending slides as requested via email. 26Jan2016 CS","**URGENT*** ------- Verified attachment with contact information documented. No email on file to send notification. MH 26JAN2016 Since this is a fax fulfillment, assigned to the US Escalation Que for fulfillment. MH 26JAN2016","Call warm transferred from Anthony at CIC. Caller is a pharmacist who would like to know the rationale behind excluding patients with HIV and Hepatitis B/C from the nivolumab trials. He stated he knows these patients were excluded but could not find in any protocol the reasoning behind this. He also indicated he had read some literature regarding a potential risk for immune-related hepatitis and a theoretical risk for immune flare ups of HIV/Hepatitis but wanted to see what our rationale was. No information found in SRLs regarding this topic. Consulted with internal PPD Onc team and consensus is to escalate to see if there is further information available. Informed caller I could escalate this request and turnaround time is 24-48 business hours. Caller accepted and requested follow-up via email. Caller had no further questions today. No survey offered due to escalation. Assigned request to US Oncology Escalation Que and chattered with Cara. MH 26JAN2016 No information found in SRLs. One relevant citation found via PubMed search: Case Rep Oncol Med. 2015;2015:737389. doi: 10.1155/2015/737389. Epub 2015 Sep 10. PD-1 Blockade in Advanced Melanoma in Patients with Hepatitis C and/or HIV. Davar D1, Wilson M1, Pruckner C1, Kirkwood JM1. Requesting guidance from WWMC for rationale for excluding these patients. 27Jan2016 CS Received Guidance from Cara (pasted into response details) to provide verbally to HCP. 1st attempt: 29JAN2016 @ 1047 - LM on Dr. Mulling's personal VM with MI # to call back. MH 29JAN2016 Call warm transferred from Fatimah in PPD MI with Dr. Mullings on the line. Provided information verbally from Cara's guidance. He asked if any of this informationw as available in writing, to which I replied no. He asked if the information from the HCC trial was published or available. I stated that it was and offered to email to him. Sent Nivolumab-Use of nivolumab in patients with hepatocellular carcinoma SRL today via email. Caller had no additional questions. MH 29JAN2016",552
25JAN2016,Month, 1,605.548951049,2.1421041756e-48,42,471,"Verified HCP's contact information and pulled phone # from google. Sent email notification. MH 21JAN2016 The 025 article is published in J. Clin. Onc, not NEJM. Will call to clarify. MH 21JAN2016 1st attempt: 21JAN2016 @ 1128 ? Left message with Johnna (nurse) VM with MIRF line. MH 21JAN2016 2nd attempt: 25JAN2016 @ 1347 - Left message with Johnna (nurse) VM with MIRF line. MH 25JAN2016 Found that 025 is also published in NEJM. Attached the Opdivo-TEM-Request for reprint-US Jan13 SRL and Opdivo-REF-Motzer et al. Nivolumab versus Everolimus in Advanced Renal-Cell Carcinoma. (025) Sep15 reference file and customized to Opdivo-LIT@025 NEJM. Added TR and correct citation. No other changes made. MH 28JAN2016","* Attached is email confirming full contact information and more info about question. * SH 1/21/16 -------- Verified both attachments with contact information documented. Verified email attachment with question documented. Sent email notification. This request was sent in from a PDL and is for specific slides from the PDL deck. From previous guidance, all requests for PDL decks and specific slides should be escalated to the US Oncology Escalation Que. Will escalate accordingly. MH 21JAN2016 Original question states: As a follow-up to our meeting today, I am writing to request the following education material that you shared with me today: Slides 57, 64-65,100,105-108,160-161,260-268. Please let me know and keep updated to the status of FDA approval for the different immunohistochemical stain platforms for the various antibody clones. Clarification from MSL: Slide 57: Overview of PD-L1 Assays (NSCLC) Slides 64-65: PD-L1 IHC 2-8 pharmDx: Staining of PD-L1 Slide 100: OS in PD-L1 subgroups of Squamous NSCLC patients Slides 105-108: Checkmate 057 data (Study design through the OS and PFS HR) Slide 160-161: PFS in PD-L1 subgroups of treatment naïve melanoma patients (067), AEs Slide 260-268: FDA Blueprint project 22Jan2016 CS Sending the requested slides via email 25Jan2016 CS","telephone number in Athena matches google ----- Verified attachment with contact information documented. Email notification was already sent. MH 25JAN2016 No information found in SRLs/Pubmed/CT.gov. Per guidance in R#s 45875 and 87868, there is no further information in this tumor type. Will send no data statement in cover letter. MH 25JAN2016 Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email on 27JAN2016, 1st attempt: 28JAN2016 @ 1427 ? LM with Diana with MIRF line. MH 28JAN2016 Unable to obtain correct email address after 1 attempt. Closing per WP. MH 29JAN2016",513
22JAN2016,Month, 1,504.624125874,2.41674726619e-40,35,1400,"Verified HCP's contact information and pulled phone number from google. No email on file to send notification. Need to clarify question. AE filed under case# 105033. MH 20JAN2016 1st attempt: 20JAN2016 @ 1239 ? Marsha stated that I had reached the breast center and Dr. Sharp is at the cancer center at 806-212-0143 ? she transferred me to his nurse Sara who took a message with my MIRF line. MH 20JAN2016 2nd attempt: 22JAN2016 @ 1406 ? Phone just rang with no answer and no voicemail picked up. Will call again Monday. MH 22JAN2016 3rd attempt: 25JAN2016 @ 1439 - Phone just rang with no answer and no voicemail picked up. MH 25JAN2016 Since I have not heard back from HCP after leaving a message with Sara and have tried 2 other times to reach HCP with no response back, will close out request per WP. MH 26JAN2016","Verified HCP's contact information via google. No email on file to send email notification. HCP would like phone delivery. MH 20JAN2016 Not sure which trial he is referring to? Possibly CA209-260? Also could be 032 or 275. Will call to clarify and provide verbal response. MH 20JAN2016 1st attempt: 20Jan2016 @ 1236 ? Cynthia stated Dr. Whitman is unavailable at this time. She took my MIRF line for him to call back. MH 20JAN2016 2nd attempt: 22Jan2016 @ 1402 ? Cynthia stated Dr. Whitman is unavailable at this time but said I could reach him via email at eric.whitman@atlantichealth.org. Will send clarification email request. MH 22JAN2016 Since I cannot clarify this request, will send standard clarification wording in the cover letter (since this request is tied to another request (#104576). Waiting on new PI to be uploaded to send response. MH 25JAN2016",Verified HCP's contact information via google. No email on file to send email notification. HCP would like phone delivery. MH 20JAN2016 No contraindications in the Opdivo PI (section 4). No interactions found on a Micromedex search. Will provide this information verbally as requested by HCP. MH 20JAN2016 1st attempt: 20Jan2016 @ 1236 ? Cynthia stated Dr. Whitman is unavailable at this time. She took my MIRF line for him to call back. MH 20JAN2016 2nd attempt: 22Jan2016 @ 1402 ? Cynthia stated Dr. Whitman is unavailable at this time but said I could reach him via email at eric.whitman@atlantichealth.org. Will send clarification email request. MH 22JAN2016 Attached Drug Interactions-Database & Literature SearchSRL and customized to Opdivo-INT@aspirin and nivolumab. Added in lit search and Micromedex information. Added in statement referring HCP to Chemocare for more information. Added in statement saying there are no contraindications for Opdivo in the product label. MH 25JAN2016 Waiting on New PI to be uploaded to send response. MH 25JAN2016,1435
29JAN2016,Month, 1,461.370629371,6.9106744766e-37,32,483,"telephone number in Athena matches google ----- Verified attachment with contact information documented. Email notification was already sent. MH 25JAN2016 No information found in SRLs/Pubmed/CT.gov. Per guidance in R#s 45875 and 87868, there is no further information in this tumor type. Will send no data statement in cover letter. MH 25JAN2016 Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email on 27JAN2016, 1st attempt: 28JAN2016 @ 1427 ? LM with Diana with MIRF line. MH 28JAN2016 Unable to obtain correct email address after 1 attempt. Closing per WP. MH 29JAN2016","Verified attachment with contact information documented. Pulled phone # from google. Email notification was already sent. MH 25JAN2016 No information found in SRLs regarding management of arthralgia, but incidence of arthralgia found in >8 SRLs. Sought guidance from Cara after internal discussion with PPD Onc team. Cara stated: ""For this request, one no data letter with treatment disclaimer would be appropriate."" Per guidance, attached Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-AES@mgmt of arthralgia. Completed no data statement and added tx disclaimer. Also updated TR. No other changes made. Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email for this request. Luis reopened. 1st attempt to clarify correct email: 28JAN2016 @ 1428 ? LM on Gloria, his nurse?s VM with MIRF line. MH 28JAN2016 Inbound call from Gloria on 28JAN2016 @ 1506 ? She stated to email Dr. Rosen @ frosen@cookcountyhhs.org. Changed email and resent fulfillment. MH 29JAN2016","Verified attachment with contact information documented. Pulled address from google. Email was sent to incorrect email address prior to me receiving case. Corrected email in ATHENA and resent to correct email address. MH 28JAN2016 Per Cara?s guidance, attached the MOA reference file for this request. Attached the Opdivo-TEM-Slide Request-US Jan13 and customized to Opdivo-TEM@nivo MOA slides. Added TR and correct title of reference file. No other changes made. MH 29JAN2016 Closing request per Cara's guidance: ""These particular slides have been giving us problems. I think in this case it is because the slides are power point instead of PDF. I have sent this response manually via our Drug Info mailbox and I will follow-up to see if we can have this in salesforce as PDF so we don't encounter this problem anymore. You can go ahead and close out this request."" MH 01FEB2016",515
08JAN2016,Month, 1,446.952797203,9.82176190159e-36,31,1337,"Verified attachment with contact information documented. Email notification was already sent. AE filed under case# 110087. MH 25JAN2016 Need to clarify tumor type. MH 25JAN2016 2nd attempt: 27JAN2016 @ 1344 - Spoke with Ms. Montgomery who stated she has a male patient with non-squamous lung cancer who is on 3rd line treatment with nivolumab but experiences hepatitis while on nivolumab. She stated that he responds to steroids but they are looking at different dosing options for him. She also reported that he is on a break right now. Attempted to collect further safety details for an AE report but she stated she has already done this and ""filled out many forms."" MH 27JAN2016 Could not locate any AEs previously filed, so I filed follow-up AE under case# 112959. MH 27JAN2016","telephone number in google 909-825-7084 ------- Verified attachment with contact information documented. Email notification already sent. MH 20JAN2016 Need to provide treatment disclaimer and clarify question. 1st attempt: 20jan2016 @ 1517 ? Deb transferred me to Dr. Thinn however the line rang for >1 minute with no answer and no option to leave a VM. Will call back Friday. MH 20JAN2016 Per guidance in case# 30077, there is no information for tx of RCC in pts who have had a transplant. Attached the Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-USE@renal transplant RCC. Completed no data statement and TR. Will also send Nivolumab-Use of corticosteroids with nivolumab SRL for reference since patient is on prednisone and tacrolimus. Will put tx disclaimer in cover letter since there are multiple letters being sent and this is a question for specific patient. Waiting on new PI to be attached to fulfill request. MH 25JAN2016","Verified attachment with contact information documented. Email notification already sent. MH 08JAN2016 Attached Opdivo-POP-Hepatitis-Jun15 SRL and customized to Opdivo-POP@NSCLC and hepatitis C. Added treatment disclaimer and updated TR. Deleted all information not related to use of nivo in pts with NSCLC. No other changes made. MH 08JAN2016 Since this is an ASAP MAIL fulfillment, assigned to US Escalation que for fulfillment. MH 08JAN2016",1368
27JAN2016,Month, 1,446.952797203,9.82176190159e-36,31,474,"telephone number in Athena matches google ----- Verified attachment with contact information documented. Email notification was already sent. MH 25JAN2016 No information found in SRLs/Pubmed/CT.gov. Per guidance in R#s 45875 and 87868, there is no further information in this tumor type. Will send no data statement in cover letter. MH 25JAN2016 Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email on 27JAN2016, 1st attempt: 28JAN2016 @ 1427 ? LM with Diana with MIRF line. MH 28JAN2016 Unable to obtain correct email address after 1 attempt. Closing per WP. MH 29JAN2016","Verified HCP's contact information via google. Correct phone # is 717-975-8900. No email on file to send notification. Since delivery method is listed as ""in person"" sent email to rep to clarify this. MH 25JAN2016 Sent second request to rep to clarify ""in person"" delivery. MH 27JAN2016 Sales rep replied to email stating: ?I gave him Checkmate 025 and got MIRF signed. Correct procedure?? Attached email to case for reference. According to previous guidance from Cara on R#110608 for these documentation only requests for 025, I attached the NEJM article and will close manually. MH 28JAN2016 **DOCUMENTATION ONLY**","Verified attachment with contact information documented. Pulled phone # from google. Email notification was already sent. MH 25JAN2016 No information found in SRLs regarding management of arthralgia, but incidence of arthralgia found in >8 SRLs. Sought guidance from Cara after internal discussion with PPD Onc team. Cara stated: ""For this request, one no data letter with treatment disclaimer would be appropriate."" Per guidance, attached Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-AES@mgmt of arthralgia. Completed no data statement and added tx disclaimer. Also updated TR. No other changes made. Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email for this request. Luis reopened. 1st attempt to clarify correct email: 28JAN2016 @ 1428 ? LM on Gloria, his nurse?s VM with MIRF line. MH 28JAN2016 Inbound call from Gloria on 28JAN2016 @ 1506 ? She stated to email Dr. Rosen @ frosen@cookcountyhhs.org. Changed email and resent fulfillment. MH 29JAN2016",505
21JAN2016,Month, 1,374.863636364,5.73695801685e-30,26,1409,"Verified HCP's contact information and pulled phone # from google. Sent email notification. MH 20JAN2016 Need to clarify what he means by ""national thought leader."" Sent email for clarification so he can contact us. MH 20JAN2016 Received bounceback emails for acknowledgement email and follow-up email. Will call to clarify request and get correct email address today. MH 21JAN2016 1st attempt: 21JAN2016 @ 1126 - Melissa stated Dr. Thomas was with pts but took my MIRF line. MH 21JAN2016 2nd attempt: 25JAN2016 @ 1444 ? Melissa stated Dr. Thomas was OOTO today but took my MIRF line. MH 25JAN2016 Attached Nivolumab-Use of nivolumab in patients with concomitant autoimmune disease SRl and customized to Nivolumab-USE@autoimmune disease. Added TR and TD. No other changes made. MH 26JAN2016 Per WP, since I am unable to verify email address after bounceback, will close request. MH 27JAN2016","Verified HCP's contact information and pulled phone # from google. Sent email notification. MH 20JAN2016 Need to clarify what he means by ""national thought leader."" Sent email for clarification so he can contact us. MH 20JAN2016 Received bounceback emails for acknowledgement email and follow-up email. Will call to clarify request and get correct email address today. MH 21JAN2016 1st attempt: 21JAN2016 @ 1126 - Melissa stated Dr. Thomas was with pts but took my MIRF line. MH 21JAN2016 2nd attempt: 25JAN2016 @ 1444 ? Melissa stated Dr. Thomas was OOTO today but took my MIRF line. MH 25JAN2016 Since I haven't heard back for clarification on this request, will close per WP and send standard clarification wording in cover letter since it is tied to another request. MH 26JAN2016 Per WP, since I am unable to verify email address after bounceback, will close request. MH 27JAN2016","* Attached is email confirming full contact information and more info about question. * SH 1/21/16 -------- Verified both attachments with contact information documented. Verified email attachment with question documented. Sent email notification. This request was sent in from a PDL and is for specific slides from the PDL deck. From previous guidance, all requests for PDL decks and specific slides should be escalated to the US Oncology Escalation Que. Will escalate accordingly. MH 21JAN2016 Original question states: As a follow-up to our meeting today, I am writing to request the following education material that you shared with me today: Slides 57, 64-65,100,105-108,160-161,260-268. Please let me know and keep updated to the status of FDA approval for the different immunohistochemical stain platforms for the various antibody clones. Clarification from MSL: Slide 57: Overview of PD-L1 Assays (NSCLC) Slides 64-65: PD-L1 IHC 2-8 pharmDx: Staining of PD-L1 Slide 100: OS in PD-L1 subgroups of Squamous NSCLC patients Slides 105-108: Checkmate 057 data (Study design through the OS and PFS HR) Slide 160-161: PFS in PD-L1 subgroups of treatment naïve melanoma patients (067), AEs Slide 260-268: FDA Blueprint project 22Jan2016 CS Sending the requested slides via email 25Jan2016 CS",1435
11JAN2016,Month, 1,360.445804196,8.17296799467e-29,25,526,"Verified HCP's contact information via google. No email on file to send email notification. HCP would like phone delivery. MH 20JAN2016 Not sure which trial he is referring to? Possibly CA209-260? Also could be 032 or 275. Will call to clarify and provide verbal response. MH 20JAN2016 1st attempt: 20Jan2016 @ 1236 ? Cynthia stated Dr. Whitman is unavailable at this time. She took my MIRF line for him to call back. MH 20JAN2016 2nd attempt: 22Jan2016 @ 1402 ? Cynthia stated Dr. Whitman is unavailable at this time but said I could reach him via email at eric.whitman@atlantichealth.org. Will send clarification email request. MH 22JAN2016 Since I cannot clarify this request, will send standard clarification wording in the cover letter (since this request is tied to another request (#104576). Waiting on new PI to be uploaded to send response. MH 25JAN2016","Verified HCP's contact information and pulled phone # from google. Sent email notification. MH 20JAN2016 Need to clarify what he means by ""national thought leader."" Sent email for clarification so he can contact us. MH 20JAN2016 Received bounceback emails for acknowledgement email and follow-up email. Will call to clarify request and get correct email address today. MH 21JAN2016 1st attempt: 21JAN2016 @ 1126 - Melissa stated Dr. Thomas was with pts but took my MIRF line. MH 21JAN2016 2nd attempt: 25JAN2016 @ 1444 ? Melissa stated Dr. Thomas was OOTO today but took my MIRF line. MH 25JAN2016 Since I haven't heard back for clarification on this request, will close per WP and send standard clarification wording in cover letter since it is tied to another request. MH 26JAN2016 Per WP, since I am unable to verify email address after bounceback, will close request. MH 27JAN2016","telephone number in Athena matches google ----- Verified attachment with contact information documented. Email notification was already sent. MH 25JAN2016 No information found in SRLs/Pubmed/CT.gov. Per guidance in R#s 45875 and 87868, there is no further information in this tumor type. Will send no data statement in cover letter. MH 25JAN2016 Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email on 27JAN2016, 1st attempt: 28JAN2016 @ 1427 ? LM with Diana with MIRF line. MH 28JAN2016 Unable to obtain correct email address after 1 attempt. Closing per WP. MH 29JAN2016",551
19JAN2016,Month, 1,346.027972028,1.16443747888e-27,24,524,"Information of pleural effusions in lung patients treated with opdivo. -- *no email provided* Verified HCP credentials and contact information per request notes and via google search (added phone via google). DP 25JAN2016 Per internal discussion with PPD Oncology Team, request escalated. DP 25JAN2016 Attached Opdivo-AES-Pulmonary toxicity_pleural effusion_NSCLC-jan15.docx custom response created by the TA team per guidance (see email attachment at bottom for reference). DP 01FEB2016 P-000702 - GMI_US_CR_PB90 - Print - Completed. Manually closed case. DP 02FEB2016","Verified attachment with contact information documented. Pulled address from google. Email was sent to incorrect email address prior to me receiving case. Corrected email in ATHENA and resent to correct email address. MH 28JAN2016 Per Cara?s guidance, attached the MOA reference file for this request. Attached the Opdivo-TEM-Slide Request-US Jan13 and customized to Opdivo-TEM@nivo MOA slides. Added TR and correct title of reference file. No other changes made. MH 29JAN2016 Closing request per Cara's guidance: ""These particular slides have been giving us problems. I think in this case it is because the slides are power point instead of PDF. I have sent this response manually via our Drug Info mailbox and I will follow-up to see if we can have this in salesforce as PDF so we don't encounter this problem anymore. You can go ahead and close out this request."" MH 01FEB2016","Verified attachment with contact information documented. Pulled phone # from google. Email notification was already sent. MH 25JAN2016 No information found in SRLs regarding management of arthralgia, but incidence of arthralgia found in >8 SRLs. Sought guidance from Cara after internal discussion with PPD Onc team. Cara stated: ""For this request, one no data letter with treatment disclaimer would be appropriate."" Per guidance, attached Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-AES@mgmt of arthralgia. Completed no data statement and added tx disclaimer. Also updated TR. No other changes made. Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email for this request. Luis reopened. 1st attempt to clarify correct email: 28JAN2016 @ 1428 ? LM on Gloria, his nurse?s VM with MIRF line. MH 28JAN2016 Inbound call from Gloria on 28JAN2016 @ 1506 ? She stated to email Dr. Rosen @ frosen@cookcountyhhs.org. Changed email and resent fulfillment. MH 29JAN2016",548
07JAN2016,Month, 1,331.61013986,1.65897536908e-26,23,1418,"telephone number in Athena matches google ----- Verified attachment with contact information documented. Email notification was already sent. MH 25JAN2016 No information found in SRLs/Pubmed/CT.gov. Per guidance in R#s 45875 and 87868, there is no further information in this tumor type. Will send no data statement in cover letter. MH 25JAN2016 Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email on 27JAN2016, 1st attempt: 28JAN2016 @ 1427 ? LM with Diana with MIRF line. MH 28JAN2016 Unable to obtain correct email address after 1 attempt. Closing per WP. MH 29JAN2016","Verified attachment with contact information documented. Pulled phone # from google. Email notification was already sent. MH 25JAN2016 No information found in SRLs regarding management of arthralgia, but incidence of arthralgia found in >8 SRLs. Sought guidance from Cara after internal discussion with PPD Onc team. Cara stated: ""For this request, one no data letter with treatment disclaimer would be appropriate."" Per guidance, attached Opdivo-TEM-No data available-US Nov15 SRL and customized to Opdivo-AES@mgmt of arthralgia. Completed no data statement and added tx disclaimer. Also updated TR. No other changes made. Waiting on new PI to be uploaded to fulfill. MH 25JAN2016 Received bounceback email for this request. Luis reopened. 1st attempt to clarify correct email: 28JAN2016 @ 1428 ? LM on Gloria, his nurse?s VM with MIRF line. MH 28JAN2016 Inbound call from Gloria on 28JAN2016 @ 1506 ? She stated to email Dr. Rosen @ frosen@cookcountyhhs.org. Changed email and resent fulfillment. MH 29JAN2016","Verified HCP's contact information and pulled phone # from google. Sent email notification. MH 21JAN2016 The 025 article is published in J. Clin. Onc, not NEJM. Will call to clarify. MH 21JAN2016 1st attempt: 21JAN2016 @ 1128 ? Left message with Johnna (nurse) VM with MIRF line. MH 21JAN2016 2nd attempt: 25JAN2016 @ 1347 - Left message with Johnna (nurse) VM with MIRF line. MH 25JAN2016 Found that 025 is also published in NEJM. Attached the Opdivo-TEM-Request for reprint-US Jan13 SRL and Opdivo-REF-Motzer et al. Nivolumab versus Everolimus in Advanced Renal-Cell Carcinoma. (025) Sep15 reference file and customized to Opdivo-LIT@025 NEJM. Added TR and correct citation. No other changes made. MH 28JAN2016",1441
