doc_id,subset,subset_name,value
uuid-139a791640344326ae9a5917a10b9d8f,Subset 0,Status, Closed
uuid-139a791640344326ae9a5917a10b9d8f,Subset 1,Source, Phone
uuid-139a791640344326ae9a5917a10b9d8f,Subset 2,Type, Medical Inquiry
uuid-16c52864e25a4036b688801c8d52c846,Subset 0,Status, Closed
uuid-16c52864e25a4036b688801c8d52c846,Subset 1,Source, Email
uuid-16c52864e25a4036b688801c8d52c846,Subset 2,Type, Medical Inquiry
uuid-1b28049dae4144e095b288fb27e90276,Subset 0,Status, Closed
uuid-1b28049dae4144e095b288fb27e90276,Subset 1,Source, Phone
uuid-1b28049dae4144e095b288fb27e90276,Subset 2,Type, Medical Inquiry
uuid-a24a7dfd65fd4a1aa181eaa3b054cabf,Subset 0,Status, Closed
uuid-a24a7dfd65fd4a1aa181eaa3b054cabf,Subset 1,Source, Email
uuid-a24a7dfd65fd4a1aa181eaa3b054cabf,Subset 2,Type, Medical Inquiry
uuid-de18452486f547b8ac0551075703cd0f,Subset 0,Status, Closed
uuid-de18452486f547b8ac0551075703cd0f,Subset 1,Source, Email
uuid-de18452486f547b8ac0551075703cd0f,Subset 2,Type, Medical Inquiry
uuid-b3455a5081a245789c7fa1fcf0fcd926,Subset 0,Status, Closed
uuid-b3455a5081a245789c7fa1fcf0fcd926,Subset 1,Source, Phone
uuid-b3455a5081a245789c7fa1fcf0fcd926,Subset 2,Type, Medical Inquiry
uuid-551fc437ad894caf89d3ddb80479bda5,Subset 0,Status, Closed
uuid-551fc437ad894caf89d3ddb80479bda5,Subset 1,Source, Phone
uuid-551fc437ad894caf89d3ddb80479bda5,Subset 2,Type, Adverse Event
uuid-7ed4cb170406400e9e9c6f4179443a84,Subset 0,Status, Closed
uuid-7ed4cb170406400e9e9c6f4179443a84,Subset 1,Source, Phone
uuid-7ed4cb170406400e9e9c6f4179443a84,Subset 2,Type, Medical Inquiry
uuid-dc345687a9204088a59ee02a1a91cf77,Subset 0,Status, Closed
uuid-dc345687a9204088a59ee02a1a91cf77,Subset 1,Source, Phone
uuid-dc345687a9204088a59ee02a1a91cf77,Subset 2,Type, Medical Inquiry
uuid-987e97031b7b43afb752cdee02519c8e,Subset 0,Status, Closed
uuid-987e97031b7b43afb752cdee02519c8e,Subset 1,Source, Email
uuid-987e97031b7b43afb752cdee02519c8e,Subset 2,Type, Medical Inquiry
uuid-b2f1437f6b0e4fd08935c0ef3c62e64c,Subset 0,Status, Closed
uuid-b2f1437f6b0e4fd08935c0ef3c62e64c,Subset 1,Source, Phone
uuid-b2f1437f6b0e4fd08935c0ef3c62e64c,Subset 2,Type, Adverse Event
uuid-7e51f9b93f9a43e795ab096bc7206791,Subset 0,Status, Closed
uuid-7e51f9b93f9a43e795ab096bc7206791,Subset 1,Source, Phone
uuid-7e51f9b93f9a43e795ab096bc7206791,Subset 2,Type, Medical Inquiry
uuid-c867226f326441548bfea5adc987b719,Subset 0,Status, Closed
uuid-c867226f326441548bfea5adc987b719,Subset 1,Source, Email
uuid-c867226f326441548bfea5adc987b719,Subset 2,Type, Medical Inquiry
uuid-c204120f05f646b88d440289731265ee,Subset 0,Status, Closed
uuid-c204120f05f646b88d440289731265ee,Subset 1,Source, Phone
uuid-c204120f05f646b88d440289731265ee,Subset 2,Type, Medical Inquiry
uuid-79e9321d92b34645855d77e5f4c46626,Subset 0,Status, Closed
uuid-79e9321d92b34645855d77e5f4c46626,Subset 1,Source, Phone
uuid-79e9321d92b34645855d77e5f4c46626,Subset 2,Type, Adverse Event
uuid-7349a137706b445aa9b978615b6bb3d6,Subset 0,Status, Closed
uuid-7349a137706b445aa9b978615b6bb3d6,Subset 1,Source, Phone
uuid-7349a137706b445aa9b978615b6bb3d6,Subset 2,Type, Medical Inquiry
uuid-8124c8b58abe4bf29856f5d2295bf068,Subset 0,Status, Closed
uuid-8124c8b58abe4bf29856f5d2295bf068,Subset 1,Source, Phone
uuid-8124c8b58abe4bf29856f5d2295bf068,Subset 2,Type, Adverse Event
uuid-b1fa44ccc4014ded948c3fcd6756bfb5,Subset 0,Status, Closed
uuid-b1fa44ccc4014ded948c3fcd6756bfb5,Subset 1,Source, Email
uuid-b1fa44ccc4014ded948c3fcd6756bfb5,Subset 2,Type, Non-MI
uuid-cb701007630f49fe83f23b4f319e8b6c,Subset 0,Status, Closed
uuid-cb701007630f49fe83f23b4f319e8b6c,Subset 1,Source, Phone
uuid-cb701007630f49fe83f23b4f319e8b6c,Subset 2,Type, Medical Inquiry
uuid-66f723f88ecf4d5d9ddd77391d4a1085,Subset 0,Status, Closed
uuid-66f723f88ecf4d5d9ddd77391d4a1085,Subset 1,Source, eMIRF
uuid-66f723f88ecf4d5d9ddd77391d4a1085,Subset 2,Type, Medical Inquiry
uuid-ae262121a5c24f9981ce6d5a5692cfcd,Subset 0,Status, Closed
uuid-ae262121a5c24f9981ce6d5a5692cfcd,Subset 1,Source, eMIRF
uuid-ae262121a5c24f9981ce6d5a5692cfcd,Subset 2,Type, Medical Inquiry
uuid-bc8a39ee58ad447dafbb20cbe1d86c71,Subset 0,Status, Closed
uuid-bc8a39ee58ad447dafbb20cbe1d86c71,Subset 1,Source, eMIRF
uuid-bc8a39ee58ad447dafbb20cbe1d86c71,Subset 2,Type, Medical Inquiry
uuid-9bf684ff1e5c4b02bd0a6058f1c25ffd,Subset 0,Status, Closed
uuid-9bf684ff1e5c4b02bd0a6058f1c25ffd,Subset 1,Source, eMIRF
uuid-9bf684ff1e5c4b02bd0a6058f1c25ffd,Subset 2,Type, Medical Inquiry
uuid-c47d4bf0da5342a091947041fb8a1840,Subset 0,Status, Closed
uuid-c47d4bf0da5342a091947041fb8a1840,Subset 1,Source, Email
uuid-c47d4bf0da5342a091947041fb8a1840,Subset 2,Type, Medical Inquiry
uuid-c8bff484138e44bdb824e57be27d4e13,Subset 0,Status, Closed
uuid-c8bff484138e44bdb824e57be27d4e13,Subset 1,Source, eMIRF
uuid-c8bff484138e44bdb824e57be27d4e13,Subset 2,Type, Medical Inquiry
uuid-cd06da8288d749f1a603dd68fed5a937,Subset 0,Status, Closed
uuid-cd06da8288d749f1a603dd68fed5a937,Subset 1,Source, eMIRF
uuid-cd06da8288d749f1a603dd68fed5a937,Subset 2,Type, Medical Inquiry
uuid-82b8d0111add4894bf40a802823724c1,Subset 0,Status, Closed
uuid-82b8d0111add4894bf40a802823724c1,Subset 1,Source, Phone
uuid-82b8d0111add4894bf40a802823724c1,Subset 2,Type, Medical Inquiry
uuid-3db4a3e13e68408ab4a2a62d1d185b96,Subset 0,Status, Closed
uuid-3db4a3e13e68408ab4a2a62d1d185b96,Subset 1,Source, Phone
uuid-3db4a3e13e68408ab4a2a62d1d185b96,Subset 2,Type, Non-MI
uuid-b3742975323340a98cf8c7959e819d7e,Subset 0,Status, Closed
uuid-b3742975323340a98cf8c7959e819d7e,Subset 1,Source, Phone
uuid-b3742975323340a98cf8c7959e819d7e,Subset 2,Type, Adverse Event
uuid-137d494190b84f0aa05548653787fcdb,Subset 0,Status, Closed
uuid-137d494190b84f0aa05548653787fcdb,Subset 1,Source, Phone
uuid-137d494190b84f0aa05548653787fcdb,Subset 2,Type, Medical Inquiry
uuid-7ecfb66be6464d2394ad4ef265694646,Subset 0,Status, Closed
uuid-7ecfb66be6464d2394ad4ef265694646,Subset 1,Source, Phone
uuid-7ecfb66be6464d2394ad4ef265694646,Subset 2,Type, Medical Inquiry
uuid-9f1c82b38c8e4386876e40b28f7ea9c9,Subset 0,Status, Closed
uuid-9f1c82b38c8e4386876e40b28f7ea9c9,Subset 1,Source, eMIRF
uuid-9f1c82b38c8e4386876e40b28f7ea9c9,Subset 2,Type, Medical Inquiry
uuid-51915ddc62534e0e9fb54da65994adfa,Subset 0,Status, Closed
uuid-51915ddc62534e0e9fb54da65994adfa,Subset 1,Source, eMIRF
uuid-51915ddc62534e0e9fb54da65994adfa,Subset 2,Type, Medical Inquiry
uuid-863f154582ab41519eabef67088926d2,Subset 0,Status, Closed
uuid-863f154582ab41519eabef67088926d2,Subset 1,Source, eMIRF
uuid-863f154582ab41519eabef67088926d2,Subset 2,Type, Medical Inquiry
uuid-482d61706ff9455f9b81c71b2ae54b90,Subset 0,Status, Closed
uuid-482d61706ff9455f9b81c71b2ae54b90,Subset 1,Source, Phone
uuid-482d61706ff9455f9b81c71b2ae54b90,Subset 2,Type, Medical Inquiry
uuid-68836f37fbe249f6b1aabdd925b1d074,Subset 0,Status, Closed
uuid-68836f37fbe249f6b1aabdd925b1d074,Subset 1,Source, Email
uuid-0e189b232d9e4e679e1e38f933ba683b,Subset 0,Status, Closed
uuid-0e189b232d9e4e679e1e38f933ba683b,Subset 1,Source, Phone
uuid-0e189b232d9e4e679e1e38f933ba683b,Subset 2,Type, Adverse Event
uuid-5c3a031640014fdcbdd9bec39e96dc05,Subset 0,Status, Closed
uuid-5c3a031640014fdcbdd9bec39e96dc05,Subset 1,Source, Email
uuid-5c3a031640014fdcbdd9bec39e96dc05,Subset 2,Type, Medical Inquiry
uuid-3934cd2862f74957911dee843d205b83,Subset 0,Status, Closed
uuid-3934cd2862f74957911dee843d205b83,Subset 1,Source, Email
uuid-3934cd2862f74957911dee843d205b83,Subset 2,Type, Medical Inquiry
uuid-6bbafd5c3f4648b08d241f897c92cac8,Subset 0,Status, Closed
uuid-6bbafd5c3f4648b08d241f897c92cac8,Subset 1,Source, eMIRF
uuid-6bbafd5c3f4648b08d241f897c92cac8,Subset 2,Type, Non-MI
uuid-ce6358073b234b29a5ca37ad391fb88a,Subset 0,Status, Closed
uuid-ce6358073b234b29a5ca37ad391fb88a,Subset 1,Source, Phone
uuid-ce6358073b234b29a5ca37ad391fb88a,Subset 2,Type, Medical Inquiry
uuid-c2906de7a96a4a869fab881064ac81ec,Subset 0,Status, Closed
uuid-c2906de7a96a4a869fab881064ac81ec,Subset 1,Source, Email
uuid-c2906de7a96a4a869fab881064ac81ec,Subset 2,Type, Medical Inquiry
uuid-1e3c76a092304499ab34cf0347437917,Subset 0,Status, Closed
uuid-1e3c76a092304499ab34cf0347437917,Subset 1,Source, Phone
uuid-1e3c76a092304499ab34cf0347437917,Subset 2,Type, Adverse Event
uuid-27bbfa2d12e24b66a4aefc6daf2faff0,Subset 0,Status, Closed
uuid-27bbfa2d12e24b66a4aefc6daf2faff0,Subset 1,Source, Email
uuid-27bbfa2d12e24b66a4aefc6daf2faff0,Subset 2,Type, Medical Inquiry
uuid-5e230ccef44546ca8358da7662f853e8,Subset 0,Status, Closed
uuid-5e230ccef44546ca8358da7662f853e8,Subset 1,Source, Email
uuid-5e230ccef44546ca8358da7662f853e8,Subset 2,Type, Non-MI
uuid-0eb21b1251a344d8b72f16eca8892e0a,Subset 0,Status, Closed
uuid-0eb21b1251a344d8b72f16eca8892e0a,Subset 1,Source, Phone
uuid-0eb21b1251a344d8b72f16eca8892e0a,Subset 2,Type, Adverse Event
uuid-68a08b31873348f1bee2ecce142d16b0,Subset 0,Status, Closed
uuid-68a08b31873348f1bee2ecce142d16b0,Subset 1,Source, Phone
uuid-68a08b31873348f1bee2ecce142d16b0,Subset 2,Type, Medical Inquiry
uuid-fe8e6f198070441696c63e17ce0bfa19,Subset 0,Status, Closed
uuid-fe8e6f198070441696c63e17ce0bfa19,Subset 1,Source, Email
uuid-fe8e6f198070441696c63e17ce0bfa19,Subset 2,Type, Medical Inquiry
uuid-53329d40f50246e3a7b91c5a695a99f4,Subset 0,Status, Closed
uuid-53329d40f50246e3a7b91c5a695a99f4,Subset 1,Source, Phone
uuid-53329d40f50246e3a7b91c5a695a99f4,Subset 2,Type, Non-MI
uuid-9c95c307b5504411b9fcf28c0de94b47,Subset 0,Status, Closed
uuid-9c95c307b5504411b9fcf28c0de94b47,Subset 1,Source, Phone
uuid-9c95c307b5504411b9fcf28c0de94b47,Subset 2,Type, Adverse Event
uuid-c87cce7f452f49d38536e523ef417d51,Subset 0,Status, Closed
uuid-c87cce7f452f49d38536e523ef417d51,Subset 1,Source, Phone
uuid-c87cce7f452f49d38536e523ef417d51,Subset 2,Type, Medical Inquiry
uuid-7ce561396f844850990bd7269a9b5d14,Subset 0,Status, Closed
uuid-7ce561396f844850990bd7269a9b5d14,Subset 1,Source, Phone
uuid-7ce561396f844850990bd7269a9b5d14,Subset 2,Type, Adverse Event
uuid-7125593195b346fa872114cdda8f6a89,Subset 0,Status, Closed
uuid-7125593195b346fa872114cdda8f6a89,Subset 1,Source, eMIRF
uuid-7125593195b346fa872114cdda8f6a89,Subset 2,Type, Medical Inquiry
uuid-89fdf9b94a1d4fcba6134000c2f25eb4,Subset 0,Status, Closed
uuid-89fdf9b94a1d4fcba6134000c2f25eb4,Subset 1,Source, eMIRF
uuid-89fdf9b94a1d4fcba6134000c2f25eb4,Subset 2,Type, Medical Inquiry
uuid-9011ac65514140b9ac5f7db7ab4ba9ee,Subset 0,Status, Closed
uuid-9011ac65514140b9ac5f7db7ab4ba9ee,Subset 1,Source, Email
uuid-9011ac65514140b9ac5f7db7ab4ba9ee,Subset 2,Type, Medical Inquiry
uuid-6ab0835cfcfd468ababf6da9127b8477,Subset 0,Status, Closed
uuid-6ab0835cfcfd468ababf6da9127b8477,Subset 1,Source, Phone
uuid-6ab0835cfcfd468ababf6da9127b8477,Subset 2,Type, Medical Inquiry
uuid-583d7bc6ed484352aeddd03cb30569ae,Subset 0,Status, Closed
uuid-583d7bc6ed484352aeddd03cb30569ae,Subset 1,Source, Phone
uuid-583d7bc6ed484352aeddd03cb30569ae,Subset 2,Type, Adverse Event
uuid-de2d9d4004ed4b09b76a4d1e2f985c3a,Subset 0,Status, Closed
uuid-de2d9d4004ed4b09b76a4d1e2f985c3a,Subset 1,Source, eMIRF
uuid-de2d9d4004ed4b09b76a4d1e2f985c3a,Subset 2,Type, Medical Inquiry
uuid-ba6378fe4cbf430b823b93e83f500b15,Subset 0,Status, Closed
uuid-ba6378fe4cbf430b823b93e83f500b15,Subset 1,Source, eMIRF
uuid-ba6378fe4cbf430b823b93e83f500b15,Subset 2,Type, Medical Inquiry
uuid-6ce65d4088b64f8ea6005a936ef929a6,Subset 0,Status, Closed
uuid-6ce65d4088b64f8ea6005a936ef929a6,Subset 1,Source, Email
uuid-6ce65d4088b64f8ea6005a936ef929a6,Subset 2,Type, Medical Inquiry
uuid-9b88e295b7604992aa462c815ad129d7,Subset 0,Status, Closed
uuid-9b88e295b7604992aa462c815ad129d7,Subset 1,Source, Email
uuid-9b88e295b7604992aa462c815ad129d7,Subset 2,Type, Medical Inquiry
uuid-4bed013f8f1149b08bd749866230c58e,Subset 0,Status, Closed
uuid-4bed013f8f1149b08bd749866230c58e,Subset 1,Source, Phone
uuid-4bed013f8f1149b08bd749866230c58e,Subset 2,Type, Adverse Event
uuid-27387ef7fcc04a6d872468822f56dcea,Subset 0,Status, Closed
uuid-27387ef7fcc04a6d872468822f56dcea,Subset 1,Source, Phone
uuid-27387ef7fcc04a6d872468822f56dcea,Subset 2,Type, Medical Inquiry
uuid-cd369f31646542e09b7f31f987c8400e,Subset 0,Status, Closed
uuid-cd369f31646542e09b7f31f987c8400e,Subset 1,Source, Phone
uuid-cd369f31646542e09b7f31f987c8400e,Subset 2,Type, Adverse Event
uuid-8a0bb5ca6b1540bca291e2ee03c51ff2,Subset 0,Status, Closed
uuid-8a0bb5ca6b1540bca291e2ee03c51ff2,Subset 1,Source, Email
uuid-8a0bb5ca6b1540bca291e2ee03c51ff2,Subset 2,Type, Medical Inquiry
uuid-b76fd1f701154e2dbc652e1a5af0590b,Subset 0,Status, Closed
uuid-b76fd1f701154e2dbc652e1a5af0590b,Subset 1,Source, Phone
uuid-b76fd1f701154e2dbc652e1a5af0590b,Subset 2,Type, Medical Inquiry
uuid-1c8b74630448427e830326a7b133f75c,Subset 0,Status, Closed
uuid-1c8b74630448427e830326a7b133f75c,Subset 1,Source, Phone
uuid-1c8b74630448427e830326a7b133f75c,Subset 2,Type, Adverse Event
uuid-84a699e3d0f941d1a2e47604f8665575,Subset 0,Status, Closed
uuid-84a699e3d0f941d1a2e47604f8665575,Subset 1,Source, eMIRF
uuid-84a699e3d0f941d1a2e47604f8665575,Subset 2,Type, Medical Inquiry
uuid-6887c98a8548461e9052e605797e0381,Subset 0,Status, Closed
uuid-6887c98a8548461e9052e605797e0381,Subset 1,Source, eMIRF
uuid-6887c98a8548461e9052e605797e0381,Subset 2,Type, Medical Inquiry
uuid-881baacc8beb45ba8935bd1a489a9398,Subset 0,Status, Closed
uuid-881baacc8beb45ba8935bd1a489a9398,Subset 1,Source, eMIRF
uuid-881baacc8beb45ba8935bd1a489a9398,Subset 2,Type, Medical Inquiry
uuid-5303c450a7c34216a01b6995f860e8eb,Subset 0,Status, Closed
uuid-5303c450a7c34216a01b6995f860e8eb,Subset 1,Source, eMIRF
uuid-5303c450a7c34216a01b6995f860e8eb,Subset 2,Type, Medical Inquiry
uuid-f4160e8384c649bd89e9d08aa5551235,Subset 0,Status, Closed
uuid-f4160e8384c649bd89e9d08aa5551235,Subset 1,Source, Email
uuid-f4160e8384c649bd89e9d08aa5551235,Subset 2,Type, Medical Inquiry
uuid-9aa3114848014834bc49f3863b58f492,Subset 0,Status, Closed
uuid-9aa3114848014834bc49f3863b58f492,Subset 1,Source, Phone
uuid-9aa3114848014834bc49f3863b58f492,Subset 2,Type, Medical Inquiry
uuid-18bc1fcbb0364263b2aeaf749069365d,Subset 0,Status, Closed
uuid-18bc1fcbb0364263b2aeaf749069365d,Subset 1,Source, Email
uuid-18bc1fcbb0364263b2aeaf749069365d,Subset 2,Type, Medical Inquiry
uuid-ff41fb3b61784c78bf74ddbeedc6ca8b,Subset 0,Status, Closed
uuid-ff41fb3b61784c78bf74ddbeedc6ca8b,Subset 1,Source, Email
uuid-ff41fb3b61784c78bf74ddbeedc6ca8b,Subset 2,Type, Adverse Event
uuid-5664eeb452734b0f9c7d3b34c7703446,Subset 0,Status, Closed
uuid-5664eeb452734b0f9c7d3b34c7703446,Subset 1,Source, Phone
uuid-5664eeb452734b0f9c7d3b34c7703446,Subset 2,Type, Medical Inquiry
uuid-4a357fef29f44d2daa061bfe2e1c0e8f,Subset 0,Status, Closed
uuid-4a357fef29f44d2daa061bfe2e1c0e8f,Subset 1,Source, Email
uuid-4a357fef29f44d2daa061bfe2e1c0e8f,Subset 2,Type, Adverse Event
uuid-fd4e810595474069bcc63504e631675a,Subset 0,Status, Closed
uuid-fd4e810595474069bcc63504e631675a,Subset 1,Source, Phone
uuid-fd4e810595474069bcc63504e631675a,Subset 2,Type, Medical Inquiry
uuid-9348cc219d8848e7a28eff102a183404,Subset 0,Status, Closed
uuid-9348cc219d8848e7a28eff102a183404,Subset 1,Source, Email
uuid-9348cc219d8848e7a28eff102a183404,Subset 2,Type, Medical Inquiry
uuid-64c844eb8fff4bbdb4f440f1a386884b,Subset 0,Status, Closed
uuid-64c844eb8fff4bbdb4f440f1a386884b,Subset 1,Source, eMIRF
uuid-64c844eb8fff4bbdb4f440f1a386884b,Subset 2,Type, Medical Inquiry
uuid-38783fddbf6b40b0821d504ad9c2a6ec,Subset 0,Status, Closed
uuid-38783fddbf6b40b0821d504ad9c2a6ec,Subset 1,Source, eMIRF
uuid-38783fddbf6b40b0821d504ad9c2a6ec,Subset 2,Type, Medical Inquiry
uuid-58d5125ccb744725a2e665b683a84485,Subset 0,Status, Closed
uuid-58d5125ccb744725a2e665b683a84485,Subset 1,Source, Email
uuid-58d5125ccb744725a2e665b683a84485,Subset 2,Type, Medical Inquiry
uuid-1e4e1fe0311142dea8b68d61d522de0b,Subset 0,Status, Closed
uuid-1e4e1fe0311142dea8b68d61d522de0b,Subset 1,Source, Email
uuid-1e4e1fe0311142dea8b68d61d522de0b,Subset 2,Type, Medical Inquiry
uuid-005a17aa7ac6432c9cf580eb5024cf45,Subset 0,Status, Closed
uuid-005a17aa7ac6432c9cf580eb5024cf45,Subset 1,Source, Email
uuid-005a17aa7ac6432c9cf580eb5024cf45,Subset 2,Type, Medical Inquiry
uuid-f069f712776d451b920ffd2c9ea5ba38,Subset 0,Status, Closed
uuid-f069f712776d451b920ffd2c9ea5ba38,Subset 1,Source, Phone
uuid-f069f712776d451b920ffd2c9ea5ba38,Subset 2,Type, Medical Inquiry
uuid-ef79ddfd03474833a330a3e552a5ed05,Subset 0,Status, Closed
uuid-ef79ddfd03474833a330a3e552a5ed05,Subset 1,Source, Email
