Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
Email Address,-2.41637226792e-06,69,-2.01702134521e-05,81,-9.91829872984e-06,83,2.02942248981e-06,46
disclosure,8.66651582414e-07,48,-2.12882841421e-05,83,2.97737188258e-06,52,-2.92615105546e-06,81
message or any attachments by an individual,2.04857542449e-06,31,-3.18602144546e-05,89,-4.33254533549e-06,67,-9.86403527511e-07,68
delete the message and any attachments,2.6978055716e-07,52,-1.83691653469e-05,80,4.62689382565e-06,46,-3.15836752016e-06,84
contain confidential,2.12455564796e-06,29,-4.57904204569e-05,98,-9.87847844845e-06,82,-5.98443014324e-07,62
individual or entity designated,8.59037534201e-07,49,-3.541975885e-05,92,2.42333685925e-07,61,-2.79677590048e-06,79
entity other than the intended recipient is prohibited,2.04307164965e-06,32,-3.17822259425e-05,88,-5.23250689466e-06,69,-6.98297734962e-07,63
including any attachments,1.93961680524e-06,34,-4.21569781761e-05,96,-1.12936119113e-05,87,-3.33076840477e-07,60
notify the sender immediately,2.39568418148e-07,53,-2.06452883024e-05,82,4.08094237772e-06,48,-3.04214648784e-06,83
not the intended recipient of this message,4.04674863917e-07,51,-2.65589998054e-05,85,2.68904386891e-06,54,-3.03316217068e-06,82
privileged and/or private information,1.94429080417e-06,33,-4.8196520343e-05,99,-5.97486374752e-06,71,-1.60745002194e-06,71
proprietary,2.10136374091e-06,30,-4.88955731251e-05,100,-8.58189681361e-06,78,-1.13471055315e-06,69
reproduction,1.44273925413e-06,43,-2.7573339231e-05,86,1.56105740135e-06,56,-2.72672841496e-06,78
Opdivo,-3.76246248027e-06,80,9.99804224071e-05,1,1.72680795459e-05,19,-6.6612862988e-06,89
Email,7.03641664163e-06,4,4.66675976962e-05,28,2.09948619944e-05,14,1.48399788249e-05,2
information is intended to be for the use,1.45452355407e-06,42,-4.39554525703e-05,97,-2.96100183182e-06,65,-2.30391630292e-06,74
Email Subject,-1.73722567688e-06,65,-2.28006348153e-05,84,-9.9865488923e-06,84,2.56035705501e-06,40
Credentials,4.04535606362e-06,18,2.73800474463e-05,57,1.24543688383e-05,33,9.32113963031e-06,16
Delivery Method,5.38713914028e-06,10,3.27841368384e-05,48,1.5686583224e-05,25,9.09641287893e-06,18
Delivery Details,6.24138711252e-06,7,3.50159384853e-05,45,1.80681866904e-05,18,1.07690427314e-05,13
Employee Type,7.64446931177e-06,2,3.10558905398e-05,49,2.31473941355e-05,8,1.44425307252e-05,4
Original eMIRF Details,3.23246716165e-06,21,4.53516508937e-05,31,1.56175524559e-05,26,7.10142935091e-06,21
Patient on BMS Product,4.75023593955e-06,15,5.03126112064e-05,22,2.39285829065e-05,6,1.08641976524e-05,12
Referred By Details,6.30215132336e-06,6,3.86359304266e-05,41,2.20700490191e-05,11,1.22917628354e-05,8
Requester Details,6.49078905161e-06,5,4.2382792622e-05,39,2.67841319136e-05,1,1.55748480563e-05,1
OPDIVO Original Question Text,3.12718374139e-06,23,5.14802518139e-05,20,1.64992536276e-05,20,6.8793901888e-06,23
BMS Credentials,7.11199572402e-06,3,2.83807051668e-05,55,2.20904685139e-05,10,1.37039378031e-05,5
No Signature,5.63428354028e-06,9,4.33609647298e-05,35,2.4988250381e-05,2,1.31750298126e-05,6
BMS Received Date,4.36729034265e-06,17,5.91382782299e-05,15,2.44423153368e-05,4,9.74763859303e-06,15
distribution,1.87833883703e-06,35,-3.19930083176e-05,90,-1.47091697762e-06,63,-1.94539420453e-06,72
Email Body,-6.7882067441e-06,89,-6.55599440026e-06,76,-1.27590891817e-05,90,2.46893861143e-07,58
Delivery Notes,3.99273320034e-06,19,2.82569144689e-05,56,1.1846515162e-05,35,6.41677530863e-06,24
PRES Address,2.79421038687e-06,24,2.58010793986e-05,58,8.4556065455e-06,45,6.23960987105e-06,25
MD-Medical Doctor Type,3.27459532577e-06,20,2.40747538135e-05,62,9.52995604529e-06,41,7.56372682382e-06,19
Email Email,4.5010924264e-06,16,2.94054888364e-05,53,1.3051493187e-05,32,7.44610451193e-06,20
Fax,4.83951094313e-06,14,5.85147285739e-05,16,2.15881346217e-05,12,1.02814089676e-05,14
No AE/Pregnancy,5.27956799613e-06,11,4.61946818285e-05,29,2.44907484768e-05,3,1.21942688238e-05,9
mailto,-9.37966346411e-06,94,1.5369003564e-05,66,-2.22813776236e-05,95,4.64782334998e-06,31
Refused Fax,5.73862291325e-06,8,4.01210997695e-05,40,2.04025401845e-05,15,1.10288097196e-05,11
Commercial Phone,8.008244061e-06,1,3.36579224335e-05,47,2.36833442171e-05,7,1.4761796312e-05,3
FW,-4.66396341188e-06,82,-1.21003207975e-05,77,-1.19183315992e-05,88,1.82094527506e-06,48
Product,3.1944567268e-06,22,4.75794789627e-05,25,1.61225568272e-05,23,6.88985808486e-06,22
message,1.51441464842e-06,39,-3.70884038725e-05,94,-1.24186971967e-05,89,-1.45787256184e-07,59
request,-2.25383980481e-06,68,3.76853344898e-05,42,-7.48814483555e-07,62,5.16050140969e-06,30
PharmD,-2.71445889891e-06,72,4.25018889452e-05,38,3.62165788242e-06,50,-7.99873569618e-07,65
patient,-2.59669329478e-06,71,8.8740288284e-05,4,1.59376139096e-05,24,-7.89583272149e-06,95
dose,-3.55389936061e-06,78,6.48449204984e-05,12,1.15403656389e-05,36,-1.10131139211e-05,100
