doc_id,subset,subset_name,value
uuid-beb7826582ba40e187ad48f702cab450,Subset 0,Status, Closed
uuid-beb7826582ba40e187ad48f702cab450,Subset 1,Source, Phone
uuid-beb7826582ba40e187ad48f702cab450,Subset 2,Type, Medical Inquiry
uuid-45dbb9b3d6c6406b8b3c982098f40f40,Subset 0,Status, Closed
uuid-45dbb9b3d6c6406b8b3c982098f40f40,Subset 1,Source, Email
uuid-45dbb9b3d6c6406b8b3c982098f40f40,Subset 2,Type, Medical Inquiry
uuid-d58f2ec48c784ddf9495b7b63bf7bf90,Subset 0,Status, Closed
uuid-d58f2ec48c784ddf9495b7b63bf7bf90,Subset 1,Source, Phone
uuid-d58f2ec48c784ddf9495b7b63bf7bf90,Subset 2,Type, Medical Inquiry
uuid-cf51bdea49aa4165aa76aabb511f658e,Subset 0,Status, Closed
uuid-cf51bdea49aa4165aa76aabb511f658e,Subset 1,Source, Email
uuid-cf51bdea49aa4165aa76aabb511f658e,Subset 2,Type, Medical Inquiry
uuid-974b5938cb3f4b598ccd147089c8f2d5,Subset 0,Status, Closed
uuid-974b5938cb3f4b598ccd147089c8f2d5,Subset 1,Source, Email
uuid-974b5938cb3f4b598ccd147089c8f2d5,Subset 2,Type, Medical Inquiry
uuid-afc9c4bf138f48dd80444fd72526490d,Subset 0,Status, Closed
uuid-afc9c4bf138f48dd80444fd72526490d,Subset 1,Source, Phone
uuid-afc9c4bf138f48dd80444fd72526490d,Subset 2,Type, Medical Inquiry
uuid-3fe759725ed3421dbf08eaf1ab857fc7,Subset 0,Status, Closed
uuid-3fe759725ed3421dbf08eaf1ab857fc7,Subset 1,Source, Phone
uuid-3fe759725ed3421dbf08eaf1ab857fc7,Subset 2,Type, Adverse Event
uuid-7f5cd94a539a440aacedfa8fab3b8938,Subset 0,Status, Closed
uuid-7f5cd94a539a440aacedfa8fab3b8938,Subset 1,Source, Phone
uuid-7f5cd94a539a440aacedfa8fab3b8938,Subset 2,Type, Medical Inquiry
uuid-7fdb61bcb2db4aa7bb36aa2ecd6b4b86,Subset 0,Status, Closed
uuid-7fdb61bcb2db4aa7bb36aa2ecd6b4b86,Subset 1,Source, Phone
uuid-7fdb61bcb2db4aa7bb36aa2ecd6b4b86,Subset 2,Type, Medical Inquiry
uuid-fadfd1d69612471e8b3fe6fc157f317e,Subset 0,Status, Closed
uuid-fadfd1d69612471e8b3fe6fc157f317e,Subset 1,Source, Email
uuid-fadfd1d69612471e8b3fe6fc157f317e,Subset 2,Type, Medical Inquiry
uuid-f7ef33348bf0463c9871295ddfaec3cc,Subset 0,Status, Closed
uuid-f7ef33348bf0463c9871295ddfaec3cc,Subset 1,Source, Phone
uuid-f7ef33348bf0463c9871295ddfaec3cc,Subset 2,Type, Adverse Event
uuid-30e4a50d7e644e97b262a94fe98f9b0b,Subset 0,Status, Closed
uuid-30e4a50d7e644e97b262a94fe98f9b0b,Subset 1,Source, Phone
uuid-30e4a50d7e644e97b262a94fe98f9b0b,Subset 2,Type, Medical Inquiry
uuid-e9fc7f48ca7f436188ac84c7436d1295,Subset 0,Status, Closed
uuid-e9fc7f48ca7f436188ac84c7436d1295,Subset 1,Source, Email
uuid-e9fc7f48ca7f436188ac84c7436d1295,Subset 2,Type, Medical Inquiry
uuid-3c029d5b0aad4f58a93fb5567e1313ab,Subset 0,Status, Closed
uuid-3c029d5b0aad4f58a93fb5567e1313ab,Subset 1,Source, Phone
uuid-3c029d5b0aad4f58a93fb5567e1313ab,Subset 2,Type, Medical Inquiry
uuid-e952898b7de343d493a06a7324c97d15,Subset 0,Status, Closed
uuid-e952898b7de343d493a06a7324c97d15,Subset 1,Source, Phone
uuid-e952898b7de343d493a06a7324c97d15,Subset 2,Type, Adverse Event
uuid-9b5a527871ce4569864360a4bf957ea4,Subset 0,Status, Closed
uuid-9b5a527871ce4569864360a4bf957ea4,Subset 1,Source, Phone
uuid-9b5a527871ce4569864360a4bf957ea4,Subset 2,Type, Medical Inquiry
uuid-71a9f850f21d4067b4ee3496c2d5c21a,Subset 0,Status, Closed
uuid-71a9f850f21d4067b4ee3496c2d5c21a,Subset 1,Source, Phone
uuid-71a9f850f21d4067b4ee3496c2d5c21a,Subset 2,Type, Adverse Event
uuid-93b65a0518514dbdb897d4ca478ea628,Subset 0,Status, Closed
uuid-93b65a0518514dbdb897d4ca478ea628,Subset 1,Source, Email
uuid-93b65a0518514dbdb897d4ca478ea628,Subset 2,Type, Non-MI
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Subset 0,Status, Closed
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Subset 1,Source, Phone
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Subset 2,Type, Medical Inquiry
uuid-3f88a02954284ca489ef3d0813627916,Subset 0,Status, Closed
uuid-3f88a02954284ca489ef3d0813627916,Subset 1,Source, eMIRF
uuid-3f88a02954284ca489ef3d0813627916,Subset 2,Type, Medical Inquiry
uuid-7e8e438816af4fa7847c8d801e631d01,Subset 0,Status, Closed
uuid-7e8e438816af4fa7847c8d801e631d01,Subset 1,Source, eMIRF
uuid-7e8e438816af4fa7847c8d801e631d01,Subset 2,Type, Medical Inquiry
uuid-eaf12c19dae8451d8d82944c404485b9,Subset 0,Status, Closed
