doc_id,term,association
uuid-beb7826582ba40e187ad48f702cab450,requested,0.302104
uuid-beb7826582ba40e187ad48f702cab450,trial,0.317502
uuid-45dbb9b3d6c6406b8b3c982098f40f40,requested,0.410804
uuid-45dbb9b3d6c6406b8b3c982098f40f40,clinical,0.46545
uuid-45dbb9b3d6c6406b8b3c982098f40f40,trial,0.495699
uuid-d58f2ec48c784ddf9495b7b63bf7bf90,melanoma,0.410364
uuid-cf51bdea49aa4165aa76aabb511f658e,N Engl J Med,0.346227
uuid-cf51bdea49aa4165aa76aabb511f658e,ASCO,0.692361
uuid-cf51bdea49aa4165aa76aabb511f658e,McDermott DF,0.328126
uuid-cf51bdea49aa4165aa76aabb511f658e,ESMO,0.340084
uuid-cf51bdea49aa4165aa76aabb511f658e,Escudier B,0.303787
uuid-cf51bdea49aa4165aa76aabb511f658e,et al.,0.431418
uuid-cf51bdea49aa4165aa76aabb511f658e,phase 2 study,0.305142
uuid-cf51bdea49aa4165aa76aabb511f658e,Horn L,0.306752
uuid-974b5938cb3f4b598ccd147089c8f2d5,ASCO,0.814469
uuid-7fdb61bcb2db4aa7bb36aa2ecd6b4b86,nivolumab,0.811201
uuid-fadfd1d69612471e8b3fe6fc157f317e,use of nivolumab for the treatment,0.409821
uuid-fadfd1d69612471e8b3fe6fc157f317e,patients with advanced or metastatic,0.645244
uuid-fadfd1d69612471e8b3fe6fc157f317e,nivolumab combined with ipilimumab,0.676339
uuid-fadfd1d69612471e8b3fe6fc157f317e,not approved,0.453534
uuid-fadfd1d69612471e8b3fe6fc157f317e,clinical trials investigating the safety,0.548799
uuid-fadfd1d69612471e8b3fe6fc157f317e,phase 1/2 study CA209-032,0.34114
uuid-fadfd1d69612471e8b3fe6fc157f317e,bladder cancer,0.749142
uuid-fadfd1d69612471e8b3fe6fc157f317e,evaluates the efficacy of nivolumab monotherapy,0.381221
uuid-30e4a50d7e644e97b262a94fe98f9b0b,use of nivolumab for the treatment,0.303526
uuid-30e4a50d7e644e97b262a94fe98f9b0b,efficacy,0.312449
uuid-30e4a50d7e644e97b262a94fe98f9b0b,not approved,0.313271
uuid-30e4a50d7e644e97b262a94fe98f9b0b,CA209-003,0.322962
uuid-30e4a50d7e644e97b262a94fe98f9b0b,investigating,0.548388
uuid-e9fc7f48ca7f436188ac84c7436d1295,95% CI,0.419478
uuid-e9fc7f48ca7f436188ac84c7436d1295,respectively,0.497608
uuid-e9fc7f48ca7f436188ac84c7436d1295,Objective response rate,0.403649
uuid-e9fc7f48ca7f436188ac84c7436d1295,ORR,0.578109
uuid-e9fc7f48ca7f436188ac84c7436d1295,patients with advanced or metastatic,0.306625
uuid-e9fc7f48ca7f436188ac84c7436d1295,Median overall survival,0.498783
uuid-e9fc7f48ca7f436188ac84c7436d1295,nivolumab combined with ipilimumab,0.300486
uuid-e9fc7f48ca7f436188ac84c7436d1295,tumors,0.323334
uuid-e9fc7f48ca7f436188ac84c7436d1295,ESMO,0.534361
uuid-e9fc7f48ca7f436188ac84c7436d1295,Median OS,0.394058
uuid-e9fc7f48ca7f436188ac84c7436d1295,small cell lung cancer,0.380999
uuid-e9fc7f48ca7f436188ac84c7436d1295,SCLC,0.365686
uuid-e9fc7f48ca7f436188ac84c7436d1295,hazard ratio,0.419392
uuid-e9fc7f48ca7f436188ac84c7436d1295,grade 3 to 4 AEs,0.414535
uuid-e9fc7f48ca7f436188ac84c7436d1295,phase 1/2 study CA209-032,0.398283
uuid-e9fc7f48ca7f436188ac84c7436d1295,evaluates the efficacy of nivolumab monotherapy,0.391682
uuid-9b5a527871ce4569864360a4bf957ea4,nivolumab,0.370699
uuid-90a5d1cf0c3648bdb14a8c228ed95233,OS,0.391605
uuid-90a5d1cf0c3648bdb14a8c228ed95233,95% CI,0.622436
uuid-90a5d1cf0c3648bdb14a8c228ed95233,patients,0.318755
uuid-90a5d1cf0c3648bdb14a8c228ed95233,considered investigational,0.560783
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Objective response rate,0.517231
uuid-90a5d1cf0c3648bdb14a8c228ed95233,ORR,0.59836
uuid-90a5d1cf0c3648bdb14a8c228ed95233,patients with advanced or metastatic,0.51624
uuid-90a5d1cf0c3648bdb14a8c228ed95233,PFS,0.327599
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Median overall survival,0.643385
uuid-90a5d1cf0c3648bdb14a8c228ed95233,nivolumab combined with ipilimumab,0.503559
uuid-90a5d1cf0c3648bdb14a8c228ed95233,tumors,0.502936
uuid-90a5d1cf0c3648bdb14a8c228ed95233,Median OS,0.527355
uuid-90a5d1cf0c3648bdb14a8c228ed95233,small cell lung cancer,0.613602
uuid-90a5d1cf0c3648bdb14a8c228ed95233,SCLC,0.596242
uuid-90a5d1cf0c3648bdb14a8c228ed95233,hazard ratio,0.614822
uuid-90a5d1cf0c3648bdb14a8c228ed95233,phase 1/2 study CA209-032,0.637888
uuid-90a5d1cf0c3648bdb14a8c228ed95233,evaluates the efficacy of nivolumab monotherapy,0.621648
uuid-3f88a02954284ca489ef3d0813627916,nivolumab,0.530487
uuid-3f88a02954284ca489ef3d0813627916,Bristol-Myers Squibb,0.459328
uuid-3f88a02954284ca489ef3d0813627916,evaluating,0.629817
uuid-3f88a02954284ca489ef3d0813627916,not conducted any controlled clinical trials/studies,0.686218
uuid-3f88a02954284ca489ef3d0813627916,Pubmed literature search,0.839314
uuid-3f88a02954284ca489ef3d0813627916,purposes other than its labeled indication must be considered investigational,0.907421
uuid-3f88a02954284ca489ef3d0813627916,not identify any citations relevant to your inquiry,0.797696
uuid-3f88a02954284ca489ef3d0813627916,using the following search terms,0.783191
uuid-3f88a02954284ca489ef3d0813627916,efficacy and safety of nivolumab,0.474312
uuid-7e8e438816af4fa7847c8d801e631d01,N Engl J Med,0.47446
uuid-7e8e438816af4fa7847c8d801e631d01,protocol,0.775143
uuid-7e8e438816af4fa7847c8d801e631d01,McDermott DF,0.756118
uuid-7e8e438816af4fa7847c8d801e631d01,Motzer RJ,0.827454
uuid-7e8e438816af4fa7847c8d801e631d01,phase 3 study,0.422813
uuid-7e8e438816af4fa7847c8d801e631d01,Escudier B,0.764532
uuid-7e8e438816af4fa7847c8d801e631d01,NEJM,0.403986
uuid-7e8e438816af4fa7847c8d801e631d01,et al.,0.688347
uuid-7e8e438816af4fa7847c8d801e631d01,J Clin Oncol,0.796776
