term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
Biomarker Reactive Deck,Source, Email,59.7688346883,1.60889774472e-15,43,1306,"Biomarker Reactive Deck Enclosed, please find the ESMO 2015 slide loop in response to your request. Please note that this slide deck is read-only and therefore not editable. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. Biomarker Reactive Deck Biomarker Reactive Deck",1349
request regarding,Source, Email,29.8844173442,2.13026083241e-14,44,1284,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1328
find enclosed the following,Source, Email,26.4094850949,1.27421297092e-12,39,1289,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1328
BMS generic product name,Source, Email,25.714498645,2.87935455237e-12,38,1309,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1347
Separate by commas,Source, Email,25.0195121951,6.49908116968e-12,37,1449,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1486
Slide deck title,Source, Email,25.0195121951,6.49908116968e-12,37,1316,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1353
ese,Source, Email,20.6951520626,2.99311887096e-39,142,1205,"Biomarker Reactive Deck Enclosed, please find the ESMO 2015 slide loop in response to your request. Please note that this slide deck is read-only and therefore not editable. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.",1347
Insert title of the slide deck,Source, Email,20.6951520626,2.99311887096e-39,142,1205,"Biomarker Reactive Deck Enclosed, please find the ESMO 2015 slide loop in response to your request. Please note that this slide deck is read-only and therefore not editable. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.",1347
slide deck,Source, Email,19.9229448961,1.92281337566e-13,203,1125,"As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable. OPDIVO Hodgkin lymphoma PI core deck_6.3.16 As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.","As per your request regarding <<BMS generic product name(s)>> (Separate by commas if more than one product), please find enclosed the following <<slide deck(s)>>: <<Slide deck title>> Copyright clearance has been obtained for your personal use. As requested, please find the following slide deck(s): [Insert title of the slide deck]. Please note: This(ese) slide(s) [decks] are read-only and are therefore not editable.",1328
public presentations or distributed,Source, Email,19.4596205962,4.1617286376e-09,29,1141,"As requested, please find the following presentation attached: Socinski M, Creelan B, Horn L, et al. CheckMate 026: A phase 3 trial of nivolumab (Nivo) vs investigator's choice (IC) of platinum-based doublet chemotherapy (PT-DC) as first-line therapy for stage IV/recurrent programmed death ligand 1 (PD-L1)-positive NSCLC. Oral presentation at: the 41st European Society For Medical Oncology (ESMO) Annual Meeting; October 7-11, 2016; Copenhagen, Denmark. Please note the data presented are proprietary. Bristol-Myers Squibb has obtained copyright permission to share the enclosed with you. If you wish to make any amendments or further distribute the enclosed, appropriate copyright permission must be secured from the author and/or conference. In addition, as requested, attached please find the slides you requested. This material has been provided to you upon request for your personal use and reference. They are not to be used in public presentations or distributed.",Attached please find the slides you requested. This material has been provided to you upon request for your personal use and reference. They are not to be used in public presentations or distributed.,Attached please find the slides you requested. This material has been provided to you upon request for your personal use and reference. They are not to be used in public presentations or distributed.,1170
