Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
nivolumab,-6.54133876316e-06,100,2.81179891132e-05,2,1.48335023287e-05,1,-2.32678205503e-06,69
Bristol-Myers Squibb,-3.66602442284e-06,90,9.21718929276e-06,35,7.1116814138e-06,13,2.57515895235e-06,17
use of nivolumab for the treatment,-3.30288790953e-06,85,1.01164769716e-06,72,4.31534920717e-06,19,3.75281910789e-07,30
evaluating,-5.49051149792e-06,99,1.2545305163e-05,30,7.60682377007e-06,12,-1.34165867002e-07,37
OS,2.19719399698e-06,17,1.6590016594e-05,16,3.98219535967e-06,23,3.20400903358e-06,8
N Engl J Med,2.74842424656e-07,32,-1.52306582681e-05,91,-3.03252416196e-06,81,3.15880922754e-06,9
not conducted any controlled clinical trials/studies,-5.21783904619e-06,96,1.5277980374e-05,20,8.25360034167e-06,10,1.52532278077e-07,33
AEs,1.28105623973e-07,35,5.93642347716e-06,50,8.72956146178e-07,50,1.22630321769e-06,22
95% CI,6.56968400915e-06,4,1.99321404401e-05,9,9.03690888259e-06,8,2.75718558661e-06,15
efficacy,-3.0505442306e-06,82,-7.49070047069e-06,85,4.02122609943e-06,22,1.39959504594e-06,21
NSCLC,2.02937213909e-08,37,5.0295748722e-06,59,-7.18721953261e-06,95,-3.0568663656e-06,78
respectively,7.06427787205e-06,1,-7.42676843967e-06,84,8.88575778354e-07,48,3.06944091004e-06,11
ASCO,6.68254346613e-06,2,-1.7420712534e-06,78,-5.23318379091e-07,59,2.76732672682e-06,14
Lancet Oncol,1.90760779847e-06,20,4.43640716982e-06,61,-1.38885754535e-06,69,-5.06309476811e-06,97
non-small cell lung cancer,-1.05647743919e-06,55,2.06460586057e-06,68,-4.6973916607e-06,90,-2.84386779962e-06,75
patients,-2.4559352771e-06,78,2.21078050059e-05,7,-7.99336854591e-07,63,-4.12468294729e-06,89
considered investigational,-1.39299824641e-06,62,1.33687629983e-05,27,-1.1197035636e-06,67,-3.62931508478e-06,85
