doc_id,subset,subset_name,value
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,Subset 0,Ins Category, Other
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,Subset 1,Products, OPDIVO
uuid-ce4d8393ac87460a87609562c882a3f9,Subset 0,Ins Category, Other
uuid-ce4d8393ac87460a87609562c882a3f9,Subset 1,Products, OPDIVO
uuid-ce4d8393ac87460a87609562c882a3f9,Subset 2,Src Category, 1:1 HCP
uuid-6305384769e34016978e46f5e14cbffc,Subset 1,Products, OPDIVO
uuid-6305384769e34016978e46f5e14cbffc,Subset 2,Src Category, Congress: 1:1 Interaction
uuid-2c4a32d89c224028adbe1a391025e335,Subset 1,Products, OPDIVO
uuid-2c4a32d89c224028adbe1a391025e335,Subset 2,Src Category, 1:1 Local TL
uuid-36b34cc3d07940ff95e128bbdf6172aa,Subset 1,Products, OPDIVO
uuid-36b34cc3d07940ff95e128bbdf6172aa,Subset 2,Src Category, Congress: 1:1 Interaction
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,Subset 1,Products, OPDIVO
uuid-5b8bce3c1216418c8e9373af1a2b56e5,Subset 1,Products, OPDIVO
uuid-bf40d372744343f79d4270ef7383be5f,Subset 1,Products, OPDIVO
uuid-b06fbbc4c5cb4a81b947c96e442073ba,Subset 0,Ins Category, Access Organization
uuid-b06fbbc4c5cb4a81b947c96e442073ba,Subset 1,Products, OPDIVO
uuid-eea1ad0c6fd94a438c26609621a920ae,Subset 0,Ins Category, Clinical
uuid-eea1ad0c6fd94a438c26609621a920ae,Subset 1,Products, OPDIVO
uuid-668db17dd1844096861ea195e68628ed,Subset 0,Ins Category, Medical Education
uuid-668db17dd1844096861ea195e68628ed,Subset 1,Products, OPDIVO
uuid-e82deeacfeb94e27b3d3f604866a878f,Subset 0,Ins Category, Other
uuid-e82deeacfeb94e27b3d3f604866a878f,Subset 1,Products, OPDIVO
uuid-78338db6dc4f4bad88e1e7f891809fc8,Subset 0,Ins Category, Clinical Trial; Competitor data
uuid-78338db6dc4f4bad88e1e7f891809fc8,Subset 1,Products, OPDIVO
uuid-78a6db680a324427b9afae843ec85f4b,Subset 0,Ins Category, Clinical Trial; Competitor data
