doc_id,doc_text,doc_date,Subset 0,Subset 1,Subset 2,Subset 0_centrality,Subset 1_centrality,Subset 2_centrality,Theme 0,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5,Theme 6
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,"In response to a question following presentation at an ASCO review, TL commented that you will know within first few months if I-O therapy is working in H&N. He and his colleagues have discussed pseudoprogression, and the consensus is that it doesn't happen in H&N.",2016-06-25 00:00:00, Other, OPDIVO,,0.133108,0.0910378,0.105041,0,0,0,0,0,0,0
uuid-ce4d8393ac87460a87609562c882a3f9,"Physician at large institution with high GI disease burden specialist reported he is using opdivo in HCC and Gastric Ca off label, and will be ""very experienced upon approval"". States HCC drugs available make Opdivo a must for this disease space.",2016-11-11 00:00:00, Other, OPDIVO, 1:1 HCP,0.16606,0.0920602,0.19752,0,0,0,0,0,0,0
uuid-6305384769e34016978e46f5e14cbffc,"NTL in GU shared that there is no sufficient study to answer which is the better option for treatment in the 2L. He stated that PFS is not a good marker of benefit in IO, and that he looks to the tail end of the OS curves. He feels that presently the data is not strong because of the small number of patients but that there is an indication that Nivolumab will have longer-term benefit with a favorable safety profile. He shared that he has looked to the consistency in the data across tumor types",2016-11-12 00:00:00,, OPDIVO, Congress: 1:1 Interaction,0.0850026,0.103707,0.178623,0,0,0,0,0,0,0
uuid-2c4a32d89c224028adbe1a391025e335,"Community LTL of a large practice shared that they are routinely using Foundation One with each patient to provide a personalized medicine approach. Even though PD-L1 testing is available, they do not use the results for treatment decisions and would never consider it relevant for RCC.",2016-11-12 00:00:00,, OPDIVO, 1:1 Local TL,0.0642868,0.051264,0.145955,0,0,0,0,0,0,0
uuid-36b34cc3d07940ff95e128bbdf6172aa,NTL in melanoma shared that about 70% of patients who respond to PD1 inhibitors maintain a response which is similar to what is seen with ipi/nivo combination. Those patients who show acquired resistance are an important area of focus.,2016-11-12 00:00:00,, OPDIVO, Congress: 1:1 Interaction,0.129636,0.129879,0.237,0,0,0,0,0,0,0
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,"Community LTL shared that he would test for PD-L1 in 1L lung. For patients in the second line who did not qualify for 1L pembro therapy, he was planning on using pembro for patients who expressed PD-L1 and reserving nivo for non-expressers. He further shared that his reasoning for doing this is the data that he has seen for pembro in the enriched patient population.",2016-10-29 00:00:00,, OPDIVO,,0.225056,0.208093,0.193568,0,0,0,0,0,0,0
uuid-5b8bce3c1216418c8e9373af1a2b56e5,Community pharmacist shared that he likes the change to flat dosing and is considering using weight-based dosing in lighter patients and flat-dosing in heavier patients for cost savings.,2016-10-29 00:00:00,, OPDIVO,,0.100327,0.0885314,0.0900426,0,0,0,0,0,0,0
uuid-bf40d372744343f79d4270ef7383be5f,Two community LTLs shared that they are not testing for PD-L1 in the RCC setting. They do not see the need based on the RCC data but they will begin testing in lung. One stated that he does not have a lot of experience with the various diagnostic tests and hopes to find one that he can interpret easily and that he can trust.,2016-10-29 00:00:00,, OPDIVO,,0.0929213,0.0778528,0.0541138,0,0,0,0,0,0,0
uuid-b06fbbc4c5cb4a81b947c96e442073ba,"I met with a NCCN NSCLC panelist in the midwest.  He offered these insights

On OAK at ESMO he stated he and the panel viewed the data to be good, roughly like Opdivo.  On the issue of the ESMO data showing ""positive"" results in the PDL-1 negative population, we went over the issues and he stated the panel recently discussed this.  Stated there was not strong enthusiasm of panel for the PDL-1 negative argument due to reasons we discussed internally, but also due to low numbers and at this point unpublished data (he stressed this).  That said given indication of atezo unlikely to get NCCN recommendation more restrictive than label.

Agreed with just about everybody else that 026 was surprise, likely trial design, etc.

On KN 021 stated panel felt the data way to early to recommend Chemo/Pembro in any way.  Had no opinion on whether IO/IO or IO/chemo likely to be superior

Stated NCCN was working on recommendation on how to use PDL-1 cutoffs in some future statement.  This is second NCCN panelist to mention this to me.  Other was in cHL.  Stated majority of effort was in the 1-100% area (as opposed to 0-3+)  Commended BMS for working with Ventana

Noted when voting any member whose name was on relevant paper must recuse self.",2016-10-27 00:00:00, Access Organization, OPDIVO,,0.164187,0.0806298,0.0665015,0,0,0,0,0,0,0
uuid-eea1ad0c6fd94a438c26609621a920ae,"BCBSMI/Blue Care Network:

oAE:  How are you viewing PDL testing at this point? LS: A: ?Haven?t we killed that off in previous discussions?? She then rattled through the inconsistencies and conflicting data sets indicating that they haven?t built this into their policies beyond FDA labeling for the relevant products.
o	How do clinical trials influence medical policy/criteria?  Depending on level of evidence and applicability to our population they might be considered for significant differentiators.
o	Do you consider FDA label or NCCN guidelines more important when making policy changes? General consensus was NCCN.  AH/LC: we find the guidelines to be a better guide especially when it comes to patient/treatment nuances.
?	BCN Subject matter expert (R.Cook) has a different view on NCCN guidelines ? often too broad would prefer the restrictions of label and NCCN cat1/2A.
o	How are you considering applying the new Keytruda 1L data?etc?  Most likely to labeled indication i.e. >50%.  Likely to mandate testing for 1L usage.  
o	Overall ? we feel the customer has a good grasp on this 1L population and the applicability of the new data in light of the many options in 1L NSCLC.  
o	Tumor types appear to be very unique and specific - no clear policy shortcuts pertaining to management.
o	Key question - if they mandate testing how strong will the management be of a PA for these patients.
o	Keytruda update - will they monitor PDL1 expression in 1L and eventually mandate more >1% in 2L broadly?  Possibility in future.",2016-11-11 00:00:00, Clinical, OPDIVO,,0.353688,0.0744557,0.0679648,0,0,0,0,0,0,0
uuid-668db17dd1844096861ea195e68628ed,"RTL shared that he had recently gotten a call from local physician without much IO experience asking if he should dose reduce nivo in pt with moderate IMARs. TL shared reasons that dose reduction is not advised/effective, but shared that he has fielded several calls similar to this and believes that this should be more clearly integrated into our promotional materials and management guidelines as there are still a lot of misconceptions.",2016-04-11 00:00:00, Medical Education, OPDIVO,,0.215045,0.0722768,0.0851312,0,0,0,0,0,0,0
uuid-e82deeacfeb94e27b3d3f604866a878f,Regional TL mentioned that he feels physicians in the community are using brentuximab prior to sending patients to transplant.,2016-04-11 00:00:00, Other, OPDIVO,,0.208757,0.123804,0.118948,0,0,0,0,0,0,0
