doc_id,term,association
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,therapy,0.311885
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,treated,0.349064
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,melanoma,0.31998
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,commented,0.306236
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,RCC,0.307431
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,treatment,0.409306
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,response,0.421849
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,progression,0.421668
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,respond,0.349638
uuid-7ea3e0fa6da4402a8f17ccb1c1171100,TL shared,0.360862
uuid-ce4d8393ac87460a87609562c882a3f9,patients,0.337911
uuid-ce4d8393ac87460a87609562c882a3f9,Opdivo,0.437141
uuid-ce4d8393ac87460a87609562c882a3f9,treated,0.342188
uuid-ce4d8393ac87460a87609562c882a3f9,shared,0.461784
uuid-ce4d8393ac87460a87609562c882a3f9,institution,0.349289
uuid-ce4d8393ac87460a87609562c882a3f9,stated,0.376187
uuid-ce4d8393ac87460a87609562c882a3f9,approval,0.356366
uuid-ce4d8393ac87460a87609562c882a3f9,physicians,0.480092
uuid-ce4d8393ac87460a87609562c882a3f9,clinical trials,0.373542
uuid-ce4d8393ac87460a87609562c882a3f9,HCP,0.318936
uuid-ce4d8393ac87460a87609562c882a3f9,tumor types,0.337923
uuid-ce4d8393ac87460a87609562c882a3f9,oncologist,0.334432
uuid-ce4d8393ac87460a87609562c882a3f9,Regional TL,0.315022
uuid-6305384769e34016978e46f5e14cbffc,BMS,0.361811
uuid-6305384769e34016978e46f5e14cbffc,PDL1,0.335065
uuid-6305384769e34016978e46f5e14cbffc,trial,0.446608
uuid-6305384769e34016978e46f5e14cbffc,efficacy,0.551193
uuid-6305384769e34016978e46f5e14cbffc,chemo,0.303088
uuid-6305384769e34016978e46f5e14cbffc,OS,0.798228
uuid-6305384769e34016978e46f5e14cbffc,data,0.694433
uuid-6305384769e34016978e46f5e14cbffc,PFS,0.748948
uuid-6305384769e34016978e46f5e14cbffc,ORR,0.730211
uuid-6305384769e34016978e46f5e14cbffc,nivo and pembro,0.356448
uuid-6305384769e34016978e46f5e14cbffc,believes,0.380718
uuid-6305384769e34016978e46f5e14cbffc,impressed,0.597345
uuid-6305384769e34016978e46f5e14cbffc,feels,0.527319
uuid-2c4a32d89c224028adbe1a391025e335,TL,0.428959
uuid-2c4a32d89c224028adbe1a391025e335,shared,0.43565
uuid-2c4a32d89c224028adbe1a391025e335,TL stated,0.385614
uuid-2c4a32d89c224028adbe1a391025e335,institution,0.37287
uuid-2c4a32d89c224028adbe1a391025e335,physicians,0.427999
uuid-2c4a32d89c224028adbe1a391025e335,PD-L1 testing,0.49697
uuid-2c4a32d89c224028adbe1a391025e335,testing,0.37099
uuid-2c4a32d89c224028adbe1a391025e335,PDL1 testing,0.43703
uuid-2c4a32d89c224028adbe1a391025e335,NSCLC patients,0.321781
uuid-2c4a32d89c224028adbe1a391025e335,oncology,0.302817
uuid-2c4a32d89c224028adbe1a391025e335,SCCHN,0.363227
uuid-2c4a32d89c224028adbe1a391025e335,oncologist,0.373647
uuid-2c4a32d89c224028adbe1a391025e335,LTL,0.304614
uuid-2c4a32d89c224028adbe1a391025e335,academic,0.372302
uuid-2c4a32d89c224028adbe1a391025e335,Regional TL,0.399598
uuid-2c4a32d89c224028adbe1a391025e335,RTL stated,0.300651
uuid-36b34cc3d07940ff95e128bbdf6172aa,therapy,0.318919
uuid-36b34cc3d07940ff95e128bbdf6172aa,regimen,0.442448
uuid-36b34cc3d07940ff95e128bbdf6172aa,combination,0.5419
uuid-36b34cc3d07940ff95e128bbdf6172aa,chemo,0.374137
uuid-36b34cc3d07940ff95e128bbdf6172aa,pts,0.420115
uuid-36b34cc3d07940ff95e128bbdf6172aa,IO,0.35343
uuid-36b34cc3d07940ff95e128bbdf6172aa,monotherapy,0.397107
uuid-36b34cc3d07940ff95e128bbdf6172aa,treatment,0.331349
uuid-36b34cc3d07940ff95e128bbdf6172aa,response,0.627743
uuid-36b34cc3d07940ff95e128bbdf6172aa,combo,0.493994
uuid-36b34cc3d07940ff95e128bbdf6172aa,PD1,0.545479
uuid-36b34cc3d07940ff95e128bbdf6172aa,progression,0.557256
uuid-36b34cc3d07940ff95e128bbdf6172aa,chemotherapy,0.413355
uuid-36b34cc3d07940ff95e128bbdf6172aa,impressed,0.320943
uuid-36b34cc3d07940ff95e128bbdf6172aa,respond,0.385016
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,Nivo,0.451618
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,patients,0.319239
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,pembro,0.603401
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,nivolumab,0.311386
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,1L,0.680632
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,shared,0.319761
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,RCC,0.495697
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,2L,0.680356
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,pts,0.34725
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,stated,0.353874
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,approval,0.490099
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,atezo,0.501316
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,preferred,0.556566
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,monotherapy,0.545381
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,using nivo,0.709682
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,combo,0.352909
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,clinical trials,0.377801
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,indication,0.304595
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,NSCLC patients,0.311675
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,approved,0.498105
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,SCCHN,0.502845
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,tumor types,0.375217
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,LTL,0.389343
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,SCLC,0.344217
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,feels,0.375195
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,Regional TL,0.312913
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,RTL stated,0.630569
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,TL shared,0.349459
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,option,0.522719
uuid-03cf45f704fd4ad3be7b8dd9b106d2ad,bladder,0.47076
uuid-5b8bce3c1216418c8e9373af1a2b56e5,patients,0.453799
uuid-5b8bce3c1216418c8e9373af1a2b56e5,Opdivo,0.62794
uuid-5b8bce3c1216418c8e9373af1a2b56e5,dose,0.532582
uuid-5b8bce3c1216418c8e9373af1a2b56e5,preferred,0.312761
uuid-5b8bce3c1216418c8e9373af1a2b56e5,drug,0.391552
uuid-5b8bce3c1216418c8e9373af1a2b56e5,Keytruda,0.470398
uuid-5b8bce3c1216418c8e9373af1a2b56e5,flat dosing,0.666491
uuid-bf40d372744343f79d4270ef7383be5f,TL,0.399092
uuid-bf40d372744343f79d4270ef7383be5f,RTL,0.363485
uuid-bf40d372744343f79d4270ef7383be5f,lung,0.429834
uuid-bf40d372744343f79d4270ef7383be5f,1L,0.35826
uuid-bf40d372744343f79d4270ef7383be5f,shared,0.395215
uuid-bf40d372744343f79d4270ef7383be5f,commented,0.336493
uuid-bf40d372744343f79d4270ef7383be5f,RCC,0.538187
uuid-bf40d372744343f79d4270ef7383be5f,TL stated,0.683662
uuid-bf40d372744343f79d4270ef7383be5f,2L,0.317754
uuid-bf40d372744343f79d4270ef7383be5f,institution,0.336636
uuid-bf40d372744343f79d4270ef7383be5f,stated,0.473154
uuid-bf40d372744343f79d4270ef7383be5f,PD-L1,0.477
uuid-bf40d372744343f79d4270ef7383be5f,approval,0.335017
uuid-bf40d372744343f79d4270ef7383be5f,PD-L1 testing,0.517595
uuid-bf40d372744343f79d4270ef7383be5f,testing,0.605866
uuid-bf40d372744343f79d4270ef7383be5f,expressed,0.349457
uuid-bf40d372744343f79d4270ef7383be5f,clinical trials,0.310086
uuid-bf40d372744343f79d4270ef7383be5f,PDL1 testing,0.718915
uuid-bf40d372744343f79d4270ef7383be5f,NSCLC patients,0.54471
uuid-bf40d372744343f79d4270ef7383be5f,SCCHN,0.540787
uuid-bf40d372744343f79d4270ef7383be5f,tumor types,0.510929
uuid-bf40d372744343f79d4270ef7383be5f,LTL,0.371508
uuid-bf40d372744343f79d4270ef7383be5f,TLs,0.457786
uuid-bf40d372744343f79d4270ef7383be5f,academic,0.324158
uuid-bf40d372744343f79d4270ef7383be5f,Regional TL,0.426914
uuid-bf40d372744343f79d4270ef7383be5f,RTL stated,0.478905
uuid-bf40d372744343f79d4270ef7383be5f,TL shared,0.411718
uuid-bf40d372744343f79d4270ef7383be5f,biomarker,0.320335
uuid-bf40d372744343f79d4270ef7383be5f,bladder,0.432808
uuid-b06fbbc4c5cb4a81b947c96e442073ba,BMS,0.418691
uuid-b06fbbc4c5cb4a81b947c96e442073ba,PDL1,0.391438
uuid-b06fbbc4c5cb4a81b947c96e442073ba,discussed,0.329364
uuid-b06fbbc4c5cb4a81b947c96e442073ba,commented,0.514768
uuid-b06fbbc4c5cb4a81b947c96e442073ba,Merck,0.317845
uuid-b06fbbc4c5cb4a81b947c96e442073ba,stated,0.511153
uuid-b06fbbc4c5cb4a81b947c96e442073ba,OS,0.37841
uuid-b06fbbc4c5cb4a81b947c96e442073ba,regards,0.436158
uuid-b06fbbc4c5cb4a81b947c96e442073ba,data,0.724062
uuid-b06fbbc4c5cb4a81b947c96e442073ba,expressed,0.354774
uuid-b06fbbc4c5cb4a81b947c96e442073ba,indication,0.32366
uuid-b06fbbc4c5cb4a81b947c96e442073ba,PFS,0.352307
uuid-b06fbbc4c5cb4a81b947c96e442073ba,ORR,0.355689
uuid-b06fbbc4c5cb4a81b947c96e442073ba,nivo and pembro,0.336932
uuid-b06fbbc4c5cb4a81b947c96e442073ba,impressed,0.484118
uuid-b06fbbc4c5cb4a81b947c96e442073ba,Regional TL,0.35756
uuid-b06fbbc4c5cb4a81b947c96e442073ba,PDL1 expression,0.337783
uuid-b06fbbc4c5cb4a81b947c96e442073ba,NCCN,0.509969
uuid-eea1ad0c6fd94a438c26609621a920ae,1L,0.346915
uuid-eea1ad0c6fd94a438c26609621a920ae,PDL1,0.514631
uuid-eea1ad0c6fd94a438c26609621a920ae,efficacy,0.341787
uuid-eea1ad0c6fd94a438c26609621a920ae,PD-L1,0.306931
uuid-eea1ad0c6fd94a438c26609621a920ae,atezo,0.301032
uuid-eea1ad0c6fd94a438c26609621a920ae,regards,0.391898
uuid-eea1ad0c6fd94a438c26609621a920ae,indication,0.444588
uuid-eea1ad0c6fd94a438c26609621a920ae,approved,0.338467
uuid-eea1ad0c6fd94a438c26609621a920ae,nivo and pembro,0.450333
uuid-eea1ad0c6fd94a438c26609621a920ae,believes,0.440199
uuid-eea1ad0c6fd94a438c26609621a920ae,label,0.355937
uuid-eea1ad0c6fd94a438c26609621a920ae,PDL1 expression,0.605817
uuid-eea1ad0c6fd94a438c26609621a920ae,option,0.332987
uuid-eea1ad0c6fd94a438c26609621a920ae,biomarker,0.465249
uuid-668db17dd1844096861ea195e68628ed,Opdivo,0.520346
uuid-668db17dd1844096861ea195e68628ed,dose,0.640795
uuid-668db17dd1844096861ea195e68628ed,toxicity,0.428314
uuid-668db17dd1844096861ea195e68628ed,regimen,0.39159
uuid-668db17dd1844096861ea195e68628ed,physicians,0.498482
uuid-668db17dd1844096861ea195e68628ed,treatment,0.338164
uuid-668db17dd1844096861ea195e68628ed,Keytruda,0.356374
uuid-668db17dd1844096861ea195e68628ed,flat dosing,0.486783
uuid-e82deeacfeb94e27b3d3f604866a878f,patients,0.573059
uuid-e82deeacfeb94e27b3d3f604866a878f,Opdivo,0.415858
uuid-e82deeacfeb94e27b3d3f604866a878f,therapy,0.489293
uuid-e82deeacfeb94e27b3d3f604866a878f,nivolumab,0.472227
