term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
international GI conference,Ins Category,,20.5997099347,1.50260101955e-05,17,43,"At an international GI conference, two NTLs had a brief discussion about atezo in CRC.

NTL1:  How do you sell a trial patient on a trial (NCT02788279), knowing that they could be placed on a study arm for Atezolizumab monotherapy? This is something that is understood to be a very expensive placebo in this setting.
NTL2: We don?t know that atezolizumab has no effect in this setting because our experience is limited and the alternatives, such as regorafenib, have a very low response rate.
NTL1:  This phase III was launched after a phase I with a response rate of less than 20% in a population of fewer than 50 patients.  It seems we are desperate for immunotherapy to work in every cancer.","At an international GI conference, three HCC NTLs had a brief discussion of PD1s:

NTL1:  We are all tempted to use pembrolizumab and jump on the bandwagon; Merck has made it very available through access support.  However, we need more data before using it when systemic therapies that have shown benefit are exhausted.
NTL2: We use PD1 inhibitors in patients that are MSI high.
NTL3: There may be rationale in MSI high patients for the use of PD1 inhibitors but data is still not conclusive and it is inappropriate to use without testing.","At an international GI conference, three NTLs had a discussion about immunotherapy in CRC:

NTL1:  Why is there a difference between single agent nivo and pembro in MSI high.  
NTL2:  Pembro study is a higher response rate but not a global study.  Both look to have very durable responses.  This could be due to different populations and there are questions about the dosing that is used for pembro.
NTL2:  There is a potential that pts with Lynch syndrome do worse but we need a better sample size to really judge.  It seems that these patients can have very late responses.
NTL2:  BMS may have more data in BRAF mutated pts in MSI CRC study but all of the pts that I have treated have responded
NTL3:   pseudoprogression real?
NTL2:  I think that there were a couple but they are not common.  Most responses are quite early.
NTL3:  I think it?s more of a myth.  Are you trying to lie to yourself and say it?s pseudoprogression to keep treating.
NTL3:  Do you think that there is potential for treating in the adjuvant setting rather than in tumor reductive setting?  
NTL2:  Melanoma data shows that there is great potential for immunotherapy in adjuvant.
NTL3:  When I see high responses across tumor types, I am now seeing that MSI testing is the most important thing.  Should we be testing for MSI in all patients?
NTL2:  It is hard to globally recommend MSI but if there is a potential for immunotherapy use, you should try.",60
GU,Ins Category,,3.54203157249,2.40834217032e-05,84,815,"RTL in GU (GU-only treat-er) states that he has never tested for PDL1 in any GU tumor (RCC or Bladder.  He does not believe that the assays are reliable (ie, due to intra-tumoral and intra-assay heterogeneity). 

He states that he has never heard of any colleagues testing in 2L RCC as the lack of any predictive utility is clear from 025.  He stated that as of now, very few test 2L badder as the other treatment options are so poor.",Local GU TL mentions at ASCO review that cabozatinib most impressive data presented at ASCO. Different spectrum of toxicity- severe diarrhea but discontinuation was similar. One of several agents now in this setting. Questions is how to best sequence these drugs including now a checkpoint inhibitor.,"Local TL who only treats GU patients, says to date he has yet to use cabo for RCC. One of his colleagues who has used the drug for thyroid cancer has complained of the toxicity so he has no desire to use it",899
Local,Ins Category,,2.58724496796,8.77942020632e-07,184,1056,Community TL questioned the 067 data and wanted to use PD-L1 testing in melanoma to determine use of monotherapy or regimen. He shared that he has decided not to do this based on attending a local conference and hearing the opinion of a NTL and that it makes sense to not test. He further shared that he does not test for PD-L1 in RCC but could not recall the data (which I was able to share and refresh his memory after he requested to see it).,"Local community TL told me that when she gets her reports back for PDL1 testing, the company provides her with a % positive for PDL1 for pembro as well as a % positive for nivo on the same sheet. I asked her if the numbers match up based on Blueprint analysis and she said they are usually about 10% different with the nivo number being lower. This was based on a single patient and she couldnt remember the company's name that did this testing but she said she would let me know.","Local H&N TL told me that the RTOG 3504 study in locally advanced H&N is very important because that is most common type of patient that they see. She said that they only see 10-15% of patients being metastatic at presentation and at least at their institution, the h&n isnt treated at the community sites, instead all of the patients are referred to the main hospital.",1240
PDL1 testing,Ins Category,,2.42349528644,1.41402652954e-05,101,653,"Community TL within broader USON network, tests for PDL1 in melanoma patients - TL reported that when selecting the test within the computerized system it does not specify what PDL1 test is being used therefore he was unaware what specific test is being used - TL also stated this is the case when testing for PDL1 in NSCLC patients","RTL at NCCN institution stated that he sees no value in testing for PDL1 in the rec/met setting.  Stated that he feels story in HN will be the same as in NSCLC... when aPD1 moves into initial treatment/pre-platinum setting, that patient selection by PDL1 will be necessary.  

He states that they 'try' to perform HPV testing, but it is not a reflex test, and rarely occurs outside of oropharyngeal.","TL stated that their (small, academic) institution was planning to establish in-house PDL1 testing with 22C3 following the KN-024 data.  Currently, they are performing testing in NSCLC only occasionally and sending to external reference labs, however stated that while the 7-10d turnaround was 'ok' for 2L, that it was too long to base a 1L decision on.  Stated that at least half of her patients she barely feels comfortable delaying treatment during the 2-3 days for EGFR/ALK testing (local) to come back",754
said,Ins Category,,1.60173539046,5.94230722508e-06,479,0,Local RCC TL said his strategy for second line RCC it that he was always under the impression that its best to switch MOAs when failure occurs. He said that was how he was trained. He said that he doesn?t think anything can replace nivo second line given the very limited toxicity profile seen with it. He said he doesn?t think cabo can replace it,"Local H&N TL said that at the recent ASCO review, the speaker highlighted the 1 yr OS as being very important.Local TL also said that ORR is OK as an endpoint, but OS is the king of outcomes. He said that ORR is tough to use due to the potential for pseudoprogression with immunotherapy. He said EXTREME regimen very difficult for most patients. He isn?t a fan. He uses some weekly taxotere, some gem","Academic lung TL voiced his opinions that the ""OAK data  is bad"". He said that it is clear that the assay used is not as good as the 22C3 or 28-8 based assays. He also said that he doesn?t think much of the never smoker data in OAK.",479
models,Ins Category, Access,75.95,2.64068921646e-05,12,4,"Customer discussed future possibility of establishing a ""PDL 1"" preferred agent based on broad clinical profile, efficacy and cost.  Inquired if BMS would consider any preferred pricing model when these types of decisions are being made.","Oncology Care Model (OCM):  during meeting with CEO of large community oncology (OCM) practice, was informed that CMS has near term intention of 'expanding' the number of OCM sites.  No ETA was given; only the suggestion that it would be soon.  CEO sited CMS lead comments during recent teleconference.",Healthcare Partners (large CA payer) is not renewing their contract for infusion services at Disney Cancer Center (Burbank- St. Joe?s Providence) since they have recently moved to the Out Patient Pharmacy model.  This would be the first I?ve heard of ?site of care management? impacting oncology.  My assumption is that they will be seeking community practices in the area to make up the difference.,16
customer,Ins Category, Access,63.2916666667,4.16832751831e-05,14,0,"PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.","Customer discussed future possibility of establishing a ""PDL 1"" preferred agent based on broad clinical profile, efficacy and cost.  Inquired if BMS would consider any preferred pricing model when these types of decisions are being made.","Flat Dosing at Providence-St. Joseph's Health: Upon query of Epic EMR patients on Opdivo, customer states that 2/3 of patients previously treated with Opdivo fall below 80 kg.  Further analysis are on going  and more detailed information will be provided.",14
pharmacy,Ins Category, Access,38.9487179487,1.22856653959e-05,29,48,"Lead Oncology Pharmacist expressed level of concern with new market entries when the approval leads to a shift 'from' Medical Benefit 'to' pharmacy benefit vs. the other way around.  The issue driving this concern was stated as being a 'much higher level of scrutiny' on the pharmacy benefit and that, for a reason not specified, there is less concern when there is a shift toward the Medical Benefit.  May be an 'n of 1' perspective, but given that BMS approvals can drive that shift 'from' oral 'to' IV and visa versa, felt it a meaningful IDN/payer perspective.","PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.","GHNW Onc Pharmacy lead informed that mixed dosing approach -wt. based up to 80Kg; 240mg beyond -(background- Insight entered 11/9/2016) will result in significant net savings to health plan.  
Result: OPDIVO preferred PD agent for 2L lung cancer at GHNW.

Also informed that Kaiser will be performing similar analysis.",77
NCCN institution,Ins Category, Access Organization,28.9527777778,9.10267566463e-08,16,109,"A large NCCN institution in New England is deploying its own clinical pathway across its main hospital and its satellite hospitals.  The goal of this effort is to harmonize care across the network and improve patient outcomes.  Cost to the hospital system and the patients did not influence the stratification of therapies and treatment modalities.  Commenting on payer-initiated pathways, the clinical lead for pathways predicted that the commercial pathways will get progressively stringent, once payers realize that the earlier versions are not providing the cost savings anticipated.","A NSCLC guidelines panelist representing a Northeast NCCN institution admitted that the evidence blocks are inaccurate and subjective.  As a surgeon, he routinely abstain from commenting on these.  According to this panelist, neither the guidelines nor the evidence blocks are intended to be used as tools to exclude any therapy from clinical consideration or reimbursement.  In this institution, there is a formal process to solicit comments from medical oncologists on potential treatment updates to the guidelines, which are consolidated and presented at the panel by their representative (a surgeon).","Testing for PD-L1 in NSCLC is now part of the usual pathology and genetic tests conducted in a leading NCCN institution in Northeast US.  This hospital charges the payers a single bundled charge for all the tests they do on a patient.  Now, PD-L1 has been added to the pre-existing battery of tests.  This institution does its own immunohistochemistry assays for PD-L1 using the E1L3N antibody from Cell Signaling Technology.",125
midwest,Ins Category, Access Organization,26.1228070175,7.0316733432e-12,42,124,"I met with a NCCN NSCLC panelist in the midwest.  He offered these insights

On OAK at ESMO he stated he and the panel viewed the data to be good, roughly like Opdivo.  On the issue of the ESMO data showing ""positive"" results in the PDL-1 negative population, we went over the issues and he stated the panel recently discussed this.  Stated there was not strong enthusiasm of panel for the PDL-1 negative argument due to reasons we discussed internally, but also due to low numbers and at this point unpublished data (he stressed this).  That said given indication of atezo unlikely to get NCCN recommendation more restrictive than label.

Agreed with just about everybody else that 026 was surprise, likely trial design, etc.

On KN 021 stated panel felt the data way to early to recommend Chemo/Pembro in any way.  Had no opinion on whether IO/IO or IO/chemo likely to be superior

Stated NCCN was working on recommendation on how to use PDL-1 cutoffs in some future statement.  This is second NCCN panelist to mention this to me.  Other was in cHL.  Stated majority of effort was in the 1-100% area (as opposed to 0-3+)  Commended BMS for working with Ventana

Noted when voting any member whose name was on relevant paper must recuse self.","I met with NCCN panelist for SCLC (though sees mostly NSCLC) at an NCCN center in  midwest.  She offered these insights:

She stated in her patient population she is seeing patients come in with info, asking for pembro as it did not ""fail"" trial like nivo.  Patients on nivo not asking to switch

On NCCN panel and SCLC she stated that Nivo and Nivo/Ipi given 2B rather quickly and without much discussion.  Stated this was bar was so low in second line SC.  She stated this ""sort of thing"" is considered by panel.  Stated bar would be somewhat higher in first line SCLC  (Topo/etc. has good RR but poor DOR, both important)

She, like others, felt pembro would likely get NCCN listing at 50% when data published.  She felt for nivo in first line the bar for listing would be quite high.  i.e. as pembro failed primary endpoint, if there was positive data (say at ESMO) for a cut-off above 5%, that data would have to be very good to get a listing.  This contrasts to most other panelists opinions I have heard.

On the design of 026 she felt that BMS probably had good advice given to us at ad boards when designing trial but we did not listen (she did not expand on this)

She stated that her institution just started testing for PDL-1 in house.  Prior it took 2-3 weeks for results.  Now takes 2 days","NTL from large University hospital in midwest noted on results from 141 from podium ""The RR may have been 16% but the OS was stunning""",166
