Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
Nivo,-1.02074399683e-05,74,4.6349364689e-06,58,-8.59819281637e-05,94,-5.76446313606e-05,95
patients,-5.68415681878e-05,99,1.97442261169e-05,54,3.19096837455e-05,21,-5.04762028046e-06,57
Opdivo,-4.21774332811e-05,90,-0.000117377745933,89,6.80913159493e-05,5,1.08974700512e-05,32
TL,3.77962839661e-05,13,0.000147084709809,21,6.85020618666e-05,4,6.88904850765e-05,4
pembro,4.33474999057e-05,10,0.000112934246195,28,-6.15496171795e-05,86,-2.04095991814e-05,72
RTL,6.74913273299e-06,51,0.00010850211789,31,2.45020965307e-05,29,-8.54142158832e-06,60
therapy,-5.22455639119e-05,96,2.51216088067e-05,52,-3.26900458464e-05,72,-1.78894392347e-05,68
dose,-1.58227074761e-05,80,-3.46041336428e-05,72,1.94150305868e-05,32,-4.81481093645e-06,56
nivolumab,-4.60668641696e-05,92,0.000184448752334,11,2.57235479094e-05,28,-1.22120207951e-05,66
BMS,2.33011419688e-05,22,-0.000231952182482,100,-1.54127006805e-05,63,-2.67805185405e-05,81
lung,1.50052469418e-05,40,4.919223363e-05,44,4.19620276681e-06,53,1.67740886247e-05,23
NSCLC,3.16394804486e-05,18,-3.82788322697e-05,74,-1.72821313489e-06,57,2.9501909087e-05,11
1L,3.04502846627e-05,19,0.000153666167045,17,-6.13830473324e-05,85,2.34624389472e-06,44
PDL1,5.75500350711e-05,2,3.72783441376e-05,49,-9.90939969154e-05,97,-9.57239915563e-06,61
toxicity,-4.88307096766e-05,94,0.000109940878858,29,3.21296378155e-05,20,-2.09868319302e-05,74
trial,1.78527249325e-05,30,-7.8942150168e-06,63,-6.67719941649e-05,88,-5.43638806077e-05,94
efficacy,1.56334613817e-05,38,-7.93197738967e-05,84,-8.50605748215e-05,93,-6.28662807173e-05,98
regimen,-5.51522611016e-05,97,2.0277916583e-06,59,2.80292969676e-05,26,-2.1592983083e-05,76
treated,-5.04532033749e-05,95,0.000126891494681,24,8.59425504293e-05,2,1.34236226411e-05,27
NTL,6.02029374921e-06,54,7.39826774101e-05,40,1.2299112314e-05,45,-4.0223135596e-07,51
discussed,9.9460859214e-06,47,-0.000128276931577,92,-1.6641019466e-05,64,-2.13939478128e-05,75
melanoma,-1.08481788463e-05,75,7.61320639778e-05,39,1.76169371925e-05,36,6.0737037913e-06,40
shared,2.70507218779e-06,62,-3.67456885645e-05,73,5.77158377997e-05,9,1.25537493201e-05,29
commented,1.56747607187e-05,37,-0.000118826870202,90,4.28774628166e-05,14,-1.39880511359e-05,67
RCC,5.18123144372e-06,56,0.000217674987047,5,2.82390925175e-05,25,1.86036974461e-05,16
TL stated,2.87539442846e-05,20,0.000204680980627,6,4.49532150454e-05,12,5.67879248205e-05,7
combination,-3.02261803912e-05,86,0.000169660698374,14,-3.41738936749e-05,74,-2.97805500084e-05,85
chemo,-2.37405201512e-05,82,9.07880733067e-05,37,-7.45065708767e-05,91,-3.73251159559e-05,89
tumor,-7.66212946198e-06,70,0.000124872127333,25,-5.76755494506e-06,59,1.56985452179e-05,24
2L,2.25994533651e-05,25,0.000196596464164,9,-3.17243663199e-05,71,8.85756360435e-06,35
pts,-3.04855949691e-05,87,6.73093297741e-05,41,-2.09328252027e-05,65,-1.14497152116e-05,62
IO,-1.53169302815e-05,79,-5.37179626673e-05,78,-2.56400295303e-05,69,-6.01997475636e-06,58
agents,6.05849006525e-06,53,0.000227044834439,4,-4.02599141643e-05,77,-1.15349665604e-05,64
Merck,4.3278007754e-05,11,-3.02430129774e-05,70,4.54828190783e-06,51,1.16848997001e-05,31
institution,3.20371587543e-05,17,-1.31250789999e-05,67,3.13989944309e-05,22,5.1589233508e-05,9
Ipi,-1.40828075027e-05,77,-2.31797809623e-05,69,-3.3506916851e-05,73,-3.93989352251e-05,90
stated,1.57758471844e-05,36,-3.83291370864e-05,75,3.43240441723e-05,18,4.18293201529e-06,42
PD-L1,6.27295714994e-05,1,0.000203150121757,7,-2.12928280033e-05,66,5.73522444906e-05,6
approval,1.79887398676e-05,29,-2.72603115943e-06,60,3.3448594178e-05,19,1.98020998567e-05,15
OS,1.83321050486e-05,28,-0.000180036132304,99,-9.06134792191e-05,95,-6.15319684385e-05,97
atezo,5.40039758631e-05,6,0.000107912396559,32,-4.67025760282e-05,80,7.28255182256e-07,49
physicians,-2.88427327724e-05,84,-5.58607873484e-05,79,0.00012337936536,1,3.0735662755e-05,10
preferred,1.4455490963e-05,41,0.000275515551757,1,1.81781688266e-05,35,2.27873454756e-05,13
PD-L1 testing,5.49991314882e-05,5,0.000115143598185,26,4.36680918224e-05,13,8.9497554931e-05,1
testing,5.57934668777e-05,4,0.000151055018204,18,1.62555460911e-05,37,7.9994085712e-05,2
monotherapy,-1.79760735584e-05,81,0.000162175814123,15,-4.81854600818e-05,81,-2.47418947655e-05,78
treatment,-6.69341574846e-05,100,-1.21702493565e-05,66,5.3371098927e-05,10,1.80391715791e-06,46
regards,1.89077922513e-05,27,-0.000159537684542,96,-8.41332121416e-06,62,-2.06293533088e-05,73
using nivo,4.07628078101e-06,59,0.0001926768887,10,9.89595472715e-06,47,1.0024458497e-08,50
response,-4.63813331407e-05,93,-7.3869301592e-05,82,-3.78223671864e-05,76,-2.97441125484e-05,84
data,3.59005921761e-05,14,-9.82400249247e-05,87,-5.35601482797e-05,82,-5.85699849462e-05,96
combo,-1.47131484844e-05,78,0.000101961942746,35,-5.72979794746e-05,84,-2.96189952199e-05,83
expressed,2.51828586707e-05,21,-6.27822229531e-05,80,1.16571614568e-06,55,-2.28691745466e-06,53
