doc_id,doc_text,doc_date,Subset 0,Subset 0_centrality,Theme 0,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5,Theme 6
uuid-6302428106ab4b9b9391d85a1734567d,"In response to a question following presentation at an ASCO review, TL commented that you will know within first few months if I-O therapy is working in H&N. He and his colleagues have discussed pseudoprogression, and the consensus is that it doesn't happen in H&N.",0, 6,0.133349,0,0,0,0,0,0,0
uuid-51988dc83ede4718bc5f6945a60f732d,"Physician at large institution with high GI disease burden specialist reported he is using opdivo in HCC and Gastric Ca off label, and will be ""very experienced upon approval"". States HCC drugs available make Opdivo a must for this disease space.",0, 11,0.0698544,0,0,0,0,0,0,0
uuid-772b365f3e424543a25451b10cee924f,"NTL in GU shared that there is no sufficient study to answer which is the better option for treatment in the 2L. He stated that PFS is not a good marker of benefit in IO, and that he looks to the tail end of the OS curves. He feels that presently the data is not strong because of the small number of patients but that there is an indication that Nivolumab will have longer-term benefit with a favorable safety profile. He shared that he has looked to the consistency in the data across tumor types",0, 11,0.103353,0,0,0,0,0,0,0
uuid-e0dafd184c304b379d65116c9c08cbb1,"Community LTL of a large practice shared that they are routinely using Foundation One with each patient to provide a personalized medicine approach. Even though PD-L1 testing is available, they do not use the results for treatment decisions and would never consider it relevant for RCC.",0, 11,0.0680484,0,0,0,0,0,0,0
uuid-98d0b5af485a4f06bd2fc5dbfe665e8c,NTL in melanoma shared that about 70% of patients who respond to PD1 inhibitors maintain a response which is similar to what is seen with ipi/nivo combination. Those patients who show acquired resistance are an important area of focus.,0, 11,0.0852922,0,0,0,0,0,0,0
uuid-79ef671660984e5cba082a8cf8b3cf54,"Community LTL shared that he would test for PD-L1 in 1L lung. For patients in the second line who did not qualify for 1L pembro therapy, he was planning on using pembro for patients who expressed PD-L1 and reserving nivo for non-expressers. He further shared that his reasoning for doing this is the data that he has seen for pembro in the enriched patient population.",0, 10,0.233411,0,0,0,0,0,0,0
uuid-47ce195ed78d48ad93bb5e1eff991088,Community pharmacist shared that he likes the change to flat dosing and is considering using weight-based dosing in lighter patients and flat-dosing in heavier patients for cost savings.,0, 10,0.0307533,0,0,0,0,0,0,0
uuid-f73b7faac4ea4baca1d1b8a5787f7b33,Two community LTLs shared that they are not testing for PD-L1 in the RCC setting. They do not see the need based on the RCC data but they will begin testing in lung. One stated that he does not have a lot of experience with the various diagnostic tests and hopes to find one that he can interpret easily and that he can trust.,0, 10,0.115884,0,0,0,0,0,0,0
uuid-54619cf2bac64431ae7992d61d850461,"I met with a NCCN NSCLC panelist in the midwest.  He offered these insights

On OAK at ESMO he stated he and the panel viewed the data to be good, roughly like Opdivo.  On the issue of the ESMO data showing ""positive"" results in the PDL-1 negative population, we went over the issues and he stated the panel recently discussed this.  Stated there was not strong enthusiasm of panel for the PDL-1 negative argument due to reasons we discussed internally, but also due to low numbers and at this point unpublished data (he stressed this).  That said given indication of atezo unlikely to get NCCN recommendation more restrictive than label.

Agreed with just about everybody else that 026 was surprise, likely trial design, etc.

On KN 021 stated panel felt the data way to early to recommend Chemo/Pembro in any way.  Had no opinion on whether IO/IO or IO/chemo likely to be superior

Stated NCCN was working on recommendation on how to use PDL-1 cutoffs in some future statement.  This is second NCCN panelist to mention this to me.  Other was in cHL.  Stated majority of effort was in the 1-100% area (as opposed to 0-3+)  Commended BMS for working with Ventana

Noted when voting any member whose name was on relevant paper must recuse self.",0, 10,0.153808,0,0,0,0,0,0,0
uuid-1d9049d1c5c74406a09f3fa90b803691,"BCBSMI/Blue Care Network:

oAE:  How are you viewing PDL testing at this point? LS: A: ?Haven?t we killed that off in previous discussions?? She then rattled through the inconsistencies and conflicting data sets indicating that they haven?t built this into their policies beyond FDA labeling for the relevant products.
o	How do clinical trials influence medical policy/criteria?  Depending on level of evidence and applicability to our population they might be considered for significant differentiators.
o	Do you consider FDA label or NCCN guidelines more important when making policy changes? General consensus was NCCN.  AH/LC: we find the guidelines to be a better guide especially when it comes to patient/treatment nuances.
?	BCN Subject matter expert (R.Cook) has a different view on NCCN guidelines ? often too broad would prefer the restrictions of label and NCCN cat1/2A.
o	How are you considering applying the new Keytruda 1L data?etc?  Most likely to labeled indication i.e. >50%.  Likely to mandate testing for 1L usage.  
o	Overall ? we feel the customer has a good grasp on this 1L population and the applicability of the new data in light of the many options in 1L NSCLC.  
o	Tumor types appear to be very unique and specific - no clear policy shortcuts pertaining to management.
o	Key question - if they mandate testing how strong will the management be of a PA for these patients.
o	Keytruda update - will they monitor PDL1 expression in 1L and eventually mandate more >1% in 2L broadly?  Possibility in future.",0, 11,0.106006,0,0,0,0,0,0,0
uuid-0bbed1df754c4574b113ec4a67fc3b87,"RTL shared that he had recently gotten a call from local physician without much IO experience asking if he should dose reduce nivo in pt with moderate IMARs. TL shared reasons that dose reduction is not advised/effective, but shared that he has fielded several calls similar to this and believes that this should be more clearly integrated into our promotional materials and management guidelines as there are still a lot of misconceptions.",0, 4,0.116242,0,0,0,0,0,0,0
uuid-9177467b28924ae7bb9a39a1ade98efe,Regional TL mentioned that he feels physicians in the community are using brentuximab prior to sending patients to transplant.,0, 4,0.167964,0,0,0,0,0,0,0
uuid-fdfe594b0f1a4b549c1ac8cfa2d16498,"RTL participating in Pembro 1L H&N trial (KN-048) stated that it is about halfway through enrollment.  States that they have enrolled about 6 patients, a couple randomized to each arm (Pembro vs. Pembro+chemo vs. cetux/cembo) and has seen some stabilization of disease but not marked responses.  Shared that they haven't seen any unexpected toxicity (ie, the pembr+chemo does not seem to have additive toxicity) but TL stated that he thinks that PD-1+cetux would be the better combination and hopes that we will plan on investigating.",0, 4,0.195086,0,0,0,0,0,0,0
uuid-aa1e8099a4d04afeb8318654d0dc46d6,"A melanoma NTL has sent patients out to other centers for OX40 and IDO-i Phase I studies, but he does not believe that they are any better than Nivo monotherapy based upon his observations.  He was considering opening a pembro plus IDO-i study, but is now contemplating not opening it.",0, 4,0.0854738,0,0,0,0,0,0,0
uuid-a687b393047245a1b71b47d4ab76dc9b,"A NTL thinks that Pembro, Nivo and Ipi are all equivalent as monotherapy in ocular melanoma.  He has given the regimen to one ocular patient and saw significantly better efficacy?the patient still has disease but has been feeling significantly better for about one year.",0, 4,0.211403,0,0,0,0,0,0,0
uuid-b3ae0dce0e194e2bba869846d78535a8,A melanoma and GU NTL offered that he stops PD1 therapy when a patient achieves a CR or PR that plateaus.  He gives 1 month worth of therapy extra after they achieve their best response and has done this is approximately 30 patients?he said that he has not experienced a single relapse in these patients.,0, 4,0.209475,0,0,0,0,0,0,0
uuid-8f3c1098a46f4c50ac8c99d2d7751952,A NTL believes that Ipi is safer to use in organ transplant patients than Nivo or Pembro.,0, 4,0.198457,0,0,0,0,0,0,0
uuid-6848a9a75164497ab5f26990a2ead7b5,A melanoma NTL shared that he has had two publications accepted regarding Ipi plus Imiquimod and another showing that PFS to Ipi predicts response to Pembro 2nd line.  These publications are not on Pubmed yet but will be available shortly.,0, 4,0.0373904,0,0,0,0,0,0,0
uuid-0157e782528d47d286f1365e9e0ab15e,"In choosing between PD1 inhibitors, a national melanoma TL choose pembro because of Q3W.  If using the regimen, he continues using Nivo q2W and does not believe in switching to pembro for maintenance.",0, 4,0.0999094,0,0,0,0,0,0,0
uuid-7289438193c6418b9c86a68d8d4cbb09,Melanoma NTL shared that at his institution all the pts. on PD1 that have stable disease eventually relapse.  He added that Merck has already shared with him a timeframe when pts. end up progressing after having stable disease based on their data.  He wondered whether we have this data as well?,0, 4,0.157613,0,0,0,0,0,0,0
uuid-4683d8b829cc43bf8f478ac257856d4b,RTL from a major academic institution uses nivo monotherapy for SCLC.  RTL is NOT inclined to use combination therapy with ipilimumab as he sees good efficacy with his patients with monotherapy.  RTL wants to avoid additive toxicity management from ipilimumab.,0, 10,0.146161,0,0,0,0,0,0,0
uuid-1926416527884757a4be64ea2c2fbc8a,"[026 - NOT Top 300; ""opted in""]  RTL from a major academic institution mentioned that 026 was a ""dirtier"" trial than 017, 057, and KEYNOTE-024, given high crossover between each arm bleeding into the other (60% chemo-->nivo and 44% nivo-->chemo).

Due to high crossover, RTL wasn't surprised by the criss-crossing of the PFS curves...RTL believes that the majority (60%) of patients on chemo was essentially receiving nivo as 2nd line.  This is like a repeat of 057 (criss-crossing of the PFS curves) as the majority of 026 was non-squamous.

026 has NOT changed RTL's perceptions and he is still going to use nivo in the first line.  For healthy, younger patients, RTL is more inclined to use pemetrexed/carboplatin x4 cycles, then go to nivo immediately based on 026 data.  KEYNOTE-024 is not compelling enough for him as RTL does not test for PD-L1 routinely...RTL is eagerly anticipating CheckMate 227.",0, 10,0.171987,0,0,0,0,0,0,0
uuid-94f7535690004fbdb351e0dc359cc26c,"Pharmacist shared that at their site, med onc is using pembro in a couple GBM patients; Merck is supplying the drug in one case with the other GBM patient able to have pembro approved by the patient's insurance (specific insurance unspecified)",0, 4,0.188701,0,0,0,0,0,0,0
uuid-36225246cd924d80bc60378bca273192,TL shared that in H&N the only time they use cetuximab is as monotherapy (adding cis/5-FU is way too toxic) and the higher the patient's PS (worse PS) the more likely they are to use cetuximab monotherapy,0, 4,0.116464,0,0,0,0,0,0,0
uuid-11b440f432ae4700bf267221cf7c38bb,"TL shared that they do occasionally still use induction chemo for their H&N patients however, following the broader trend, they too are decreasing the use of induction chemo for the vast majority of their patients",0, 4,0.196923,0,0,0,0,0,0,0
uuid-d8f41de3077842409040b412e284f542,Pharmacist recommends using pembro based on stability data over nivo - nivo has 4 hr post admix stability whereas Pembro has 6 hr post admix stability.,0, 4,0.0247577,0,0,0,0,0,0,0
uuid-b9824661ab5944ee8f2f460411b4e02d,Melanoma NTL stated that it doesn't make sense to say that pts. are PDL1 negative or positive because of lack of consistency and standardization of assays.  He provided an example where he had a bladder patient that was stained positive for PDL1 for one assay but then negative for another.  He went on to say that even pts. that are deemed negative have a 13% response rate which is still higher than chemo or IPI alone.,0, 4,0.000851389,0,0,0,0,0,0,0
uuid-26e88fdeb04f4ebd8e2cde17023f3be0,Melanoma NTL at an academic institution indicated that they?re close to opening a Pembro + low dose Ipi study in second line melanoma pts after PD1 therapy. Patients that have a response will continue on PD1 therapy but those that have progressive disease or SD will get the combination.,0, 4,0.19668,0,0,0,0,0,0,0
uuid-243e1035783d4ac09fff19a52a731ca7,National H/N TL commented that in the extensive experience they've had using nivo in the clinical trial setting for SCCHN they've been surprised to find many more early onset cases of endocrinopathy issues than what's been previously reported for other tumor types. In her experience it's occurred more frequently and often well before the median time to onset she's seen for nivolumab in other studies.,0, 10,0.146533,0,0,0,0,0,0,0
uuid-0af9407088a14e86b9ccb71b481c1ca3,Melanoma NTL announced that the E6134 study (Ipi/Nivo + Dab/Tram) sequencing study that was halted due to a shortage of Dabrafenib and Trametinib was re-opened.  He also shared that the adjuvant S1404 (MK3475 versus high-dose interferon alpha) will soon incorporate a Yervoy arm.  He did not specify the dose of Yervoy or when the amendment will be incorporated.,0, 4,0.0313497,0,0,0,0,0,0,0
