driver,type,subset,impact,score,related_terms,doc_count,example_doc,example_doc2,example_doc3
regimen,auto_found,Month,-3.370983802578853,-0.38989227084507777,"['regimen', 'mono', 'cure', 'not tolerate', 'progression', 'discontinue', 'not respond', 'well tolerated', 'tolerate', 'cabozatanib', 'Nivo monotherapy', 'combo', 'progress', 'duration', 'patients', 'bevacizumab', 'metastatic melanoma', 'respond', 'combination', 'pts', 'treatment', 'aggressive', 'continue', 'ipi/nivo', 'everolimus', 'reduction', 'axitinib', 'decrease', 'using regimen', 'patients treated']",3851,Testing for PDL1 for melanoma is a waste of time and resources since the regimen does well with both.,National TL expressed content with the efficacy of the regimen. Has 6 patients on regimen and a few now receiving single agent and all are responding,"Thought leaders in a large community practices express concern around safety of regimen.  Patients did not tolerate single agent Yervoy, and thus hesitancy to offer regimen.  Our field sales rep have limited access to many of these practices.  Many times information is left with receptionist."
prescribing,auto_found,Month,-3.267664236633555,-0.3771632727490028,"['prescribing', 'discontinue', 'label', 'approved', 'Opdivo']",719,"Lung RTL who participated in -012 noted how important it will be to familiarize lung cancer doctors with the side effect profile for Ipi. He expressed how his melanoma colleagues had been familiar with Ipi-associated IMARs (i.e. colitis) due to prior usage, but that he wasn't used to prescribing infliximab for his NSCLC patients.","Part of a matrix presentation to a State Oncology Society.  As part of our discussion with the society staff and physician leadership, the following insights were obtained:

1. Significant dissatisfaction with BMS over the use of television marketing.  Two physicians present both indicated they felt that the use of commercials for Nivolumab was unethical.  One physician stated he felt it was ""morally irreprehensible"" and expressed extreme frustration at having to take time with patients to explain why they aren't candidates for Nivolumab that he would have been using to discuss the treatment he was going to be prescribing for them.  The Society administrators commented that this is a common theme that has been previously verbalized by multiple physician groups that are part of the state society.

2.  Physicians identified the need for more IO education for their staff members - particularly the mid--level providers.  This was an outstanding opportunity to provide information on the IOCL efforts and the various educational resources the BMS provides (wallet cards, patient checklist, IMAR guides).  The physicians were both very impressed with the information provided and indicated that they would be in contact with me to come speak to their staffs

3.  The need for talks that could have CE associated with them at their annual meeting.  They were provided information on our unbranded materials and also the Unbranded IO talk.

4.  Physicians and society staff verbalized concerns related to cost and this provided an opportunity for a discussion on this by the matrix members including data on BMS' premier access program.  The attendees expressed interest in knowing more about these programs.

5.  One physician did comment on treating a 90+ y/o patient with nivolumab with metastatic melanoma who decided to stop treatment after two doses.  The patient went on palliative care following that, but the physician is getting texts every 3 weeks from the patient's son indicating that the large lesion on his father's back continues to regress and the patient is doing very well.

6.  One physician downloaded our Opdivo APP while we were meeting with the group!",A community oncologist commented that Opdivo + Yervoy Regimen efficacy in metastatic melanoma is impressive. She will definitively prescribe the Regimen for all eligible 1st line metastatic melanoma patients. This is a very aggressive disease and there is no time to waste. You want the best clinical efficacy available in 1st line. If you wait to 2nd or later lines it may be too late.
utilized,auto_found,Month,-3.3878947951634215,-0.32529795336506107,"['utilized', 'exclusively', 'start', 'currently', 'advanced', 'bevacizumab', 'standard of care', 'everolimus', 'axitinib', 'nivolumab']",809,"Academic TL stated there is a need to educate other specialties about I-O agents, specifically the management of imAEs with these drugs (i.e. pulmonary, GI, etc). Despite the available algorithms, multiple approaches to AE management are utilized.",Community physicians hesitate to initiate immunotherapy due to safety profile.  Reluctant to utilize high dose corticosteroids due to its side effect profile in the older population and comorbid conditions.  Nursing inservice provided on managing patients receiving immunotherapy using resources/tools.  Discussion around limited options for treatments many of these patients was provided.  Long term  benefit of immunotherapy discussed.,A major academic institute utilizing Regimen as standard of care in melanoma
prove,auto_found,Month,-3.1965680859834857,-0.2376409952593349,"['prove', 'effective', 'unaware', 'better', 'confident', 'superior', 'demonstrated', 'compelling', 'derive', 'durability', 'differentiate']",447,"On 07/22, a speaker at the 11th Annual New Orleans Summer Cancer Meeting indicated that: PD-L1 is not a biomarker that allows to select individual patients for treatment; IFN-? 6-gene signature profiling might prove more suitable for this job.","RTL excited for the NEPd study, stating it will be a great option for patients. She feels the combination of checkpoint blockade with EPd will prove to be quite effective.","Community TL shared that with increasing access to nivolumab for off-label tumor types (whether via NCCN updates, patient access or insurance approval due to early data release) that enrollment to future Phase 3 nivo LCM studies may prove difficult as patients may withdraw consent when randomized to comparator chemotherapy."
treat patients,auto_found,Month,-2.272858870171757,-0.23686442035072594,"['treat patients', 'progression', 'start', 'tolerate', 'progress', 'patients', 'metastatic melanoma', 'pts', 'treatment', 'pseudoprogression', 'SD', 'continue', 'Opdivo', 'using regimen', 'patients treated', 'nivolumab']",3837,"onc practice in Houston, tx was treating patient with met melanoma with brain mets  with combo yervoy/opdivo while patient remained  for a prolonged time on high dose of corticosteroids. Subsequently,  patient has developed significant bilateral muscle weakness, lethargy, confusion which was susspected by examining neurologist as possible IO induced encephalitis. After MRI and LP it was determined that patient was suffering from steroid induced myopathy.",Melanoma NTL feels that the most crucial data needed is what to treat patients with after progression on regimen.,"Regional lung TL told me that he hasn?t treated any patient with autoimmune disease with IO intentionally, he has however seen a patient develop RA following nivo treatment. Patient has been managed with steroids and will be restarting nivo."
FDA approved,auto_found,Month,-2.692115882455702,-0.23419951305228015,"['FDA approved', 'approved', 'FDA']",201,A regional TL commented how every other patient coming to his office asks about Opdivo.  While he is not a fan of DTC he appreciates how the conversation has changed for him.  In the past the conversation was about why natural products not proven safe or effective in cancer treatment.  At least now he feels he is discussing a product that is FDA approved and it has been proven safe and effective in randomized clinical trials.,"A national RCC TL said that Nivolumab is ""absolutely going to maintain itself as SOC in second line RCC"".  He offered that he could not fathom why the FDA approved Lenvatinib off of only PFS data and it being a Phase II study.",Academic TL presented information on Pembro in R/R HL pts with 50% PFS at 3-4 years.   He stated that OS looks good with PD-1 inhibitors but is relatively small numbers.   He stated that it is FDA approved (showing Pembro slide) and that it is a good option.
clinically,auto_found,Month,-2.5343027096923767,-0.22892587926490213,"['cure', 'clinically', 'progression', 'not respond', 'achieved', 'duration', 'respond', 'responders', 'demonstrated', 'treatment', 'pseudoprogression', 'SD', 'durability', 'durable']",993,Local HCP shared off-label treatment of patient with metastatic prostate cancer with Opdivo demonstrated quick response in PSA and clinically.  The patient is tolerating the single agent without adverse events to date.,"A TL, clinical trials PI, and AI commented that she no longer uses scans to make definitive treatment decisions for patients receiving I-O therapies. She believes that a thorough clinical evaluation of the patient is more important than looking at scans. If the patient is clinically doing well it may be pseudoprogression and she usually does not stop therapy at that point. She has seen patients deriving benefit from treatment after an apparent initial progression. Therefore she believes that, with I-O agents, benefit derived by the patient is currently the single most important factor when making treatment decisions. Scans provide supplemental information. This needs a change in oncologists mindset that are used to immediately react to scans. There is also a need for more research in order to identify better objective measures that can be used to monitor response to I-O agents.","Community Pharmacist stated they had a few patients they thought had progressed on Opdivo when it was really pseudoprogression because they were clinically stable as you have described in this ""unbranded"" deck."
possibly,auto_found,Month,-2.1367911004860267,-0.20665835724299406,"['possibly', 'tolerate', 'metastatic melanoma', 'patients treated']",175,Community HCP reporting that he is seeing all his OPDIVO patients every treatment and is still having to discontinue treatment due to pneumonitis.  Teaching provided to nurses and support staff around identifying symptoms early.  Patients needing to be educated on contacting office with early onset of changes from baseline so patients do not need to be discontinued..  Perception here is that physicians feels he is closely following patient and still patients having IMARs requiring d/c of treatment and lesser response rate with this office.  Physician hesitating use of OPDIVO and possibly use PEMBRO in his high PDl-1 expressors which means he now wants to test where is was not testing.,"NTL said that, in wake of -026, we should present the 50+% PD-L1 expression cohort from -057 at the next available congress. This would help allay concerns from -026, and possibly add some clarification.",A melanoma RTL stated that they will use nivolumab in patients with RA and possibly even some patients who have undergone solid organ transplant but would never consider using nivolumab in a patient with autoimmune colitis.
initially,auto_found,Month,-2.419629096444684,-0.20134459960682602,"['initially', 'previously', 'rapidly', 'unable']",94,"Following up on a previous insight from MB regarding the EA6134 trial, an melanoma NTL from MD relayed a conversation he had recently with Novartis.  The reason by the trial hold / insufficient drug supply resulted from unexpected greater commercial demand for the drugs.  GSK initially transferred the remaining inventory of the BRaf/Mek inhibitors to Novartis which allocated a small fraction for R&D purposes.  Novartis has been unable to get their own production going.  They asked GSK to make some additional drug but this will take time.  All Novartis would commit to was that drugs would be available for the trial sometime after April 1st.  The TL added that he did not expect the drugs to show up in April and had no clear idea when they would be available.","An HCP believes that it is important for us to determine the optimal duration of treatment for patients that achieve a good response to Opdivo. She has noticed that in her responding patients, continued treatment for months or years, has led to the development of idiosyncratic AEs in patients who tolerated Opdivo well initially.","A regional melanoma TL shared with me that he initially started a melanoma patient on Pembro, but the patient showed no response.  He then switched the patient to the Ipi/Nivo regimen and has since started responding.  He was hesitant to use the combination upfront because of the potential of toxicity, but now he thinks that the regimen should be used upfront in otherwise healthy patients, and as salvage therapy for monotx progressers."
assume,auto_found,Month,-2.1490163613011486,-0.19706860052007155,['assume'],22,"A community TL shared that Merck (mentioned rep, but I am assuming he meant MSL) is proactively speaking to the -067 PDL1 data contained in our label to point out that in PDL1+ melanoma patients, use of single agent anti-PD1 gets the same results as combined nivolumab+ipilimumab.","Community TL stated that he felt more comfortable using nivolumab in 1L for non-EGFR or ALK patients (than EGFR mut or ALK mut patients) based on efficacy shown in 2L he assumes nivo would be ""just as good"" or better in 1L patients","RTL who did not attend AACR shared that he had reached out to his Merck MSL for a copy of the KN-006 presentation assuming that there would have been an OS update and was extremely disappointed that the presentation was in fact ""just space filler data to get them on the agenda and I'm now assuming that the OS isn't going to look great once we actually see it"".  TL shared that ""no matter how they keep trying to cut this PDL1 data, nobody wants to test and it just makes them look desperate""."
