time,number of documents,RTL,nivolumab,lung,NTL,NSCLC,1L,RCC,TL stated,treated,pts,treatment,response,cHL,switch,patients receiving,prior,BMS,Merck,approval,regards,PDL1,trial,efficacy,OS,dose,vs,drug,Keytruda
january,15,0.206265519994,0.051398813061,0.185931746555,0.373328777391,-0.362133914531,0.503616266263,0.242879796641,0.18757725935,0.0,0.197119657602,0.461411523687,0.0,0.306558155928,0.0918829011653,0.0,0.0,0.0,0.514425607456,0.0,0.0,0.0120852605867,0.0,-0.502906803275,0.0,0.0,0.0,0.0,0.496272463189
february,117,0.13981167338,-0.0561144280299,0.119724822356,0.158290922127,-0.0171926675056,0.213626297914,0.0802969236796,-0.196649109968,0.0,0.133167307235,0.149082548348,0.0,0.030899297689,0.0356280349753,0.0,0.0,0.0,-0.0467382760626,0.0,0.0,0.110285298132,0.0,-0.0296325596029,0.0,0.0,0.0,0.152893101395,0.105701171425
march,177,0.28273798388,0.0483346542477,0.188953230056,0.116691491594,0.148403445755,0.199004649819,-0.0103744904201,-0.0523490627299,0.0,-0.0797392729583,0.0651075360632,0.0,0.0319115631761,0.0546668586749,0.0,0.0,0.0,0.0692938855592,0.0,0.0,-0.0820346990224,0.0,-0.14499563251,0.0,0.0,0.0,0.166111174196,0.206887474633
april,142,0.0761603303998,0.127907138344,0.0441559943757,0.142923834573,0.0905319801673,-0.0211990490262,-0.0546083193652,-0.0288124294383,0.0,0.116681650874,0.0478319935722,0.0,-0.0402949102919,0.164442758355,0.0,0.0,0.0,0.0424013640857,0.0,0.0,0.11383053014,0.0,0.00167803110126,0.0,0.0,0.0,0.0221044194166,0.0335139234408
may,172,0.119990939407,-0.0233749227732,0.111583998961,0.10259175484,-0.0670843591879,0.13181410789,-0.0454827538134,-0.0423046256482,0.0,0.0375314716523,0.112593145339,0.0,0.0155867284342,0.133739268824,0.0,0.0,0.0,0.0348477761855,0.0,0.0,-0.0739840806977,0.0,-0.0288470799197,0.0,0.0,0.0,0.137548608948,0.0943846448895
june,372,-0.0218077759789,0.00714270301912,0.0027966121557,0.0869789716593,0.0136848060352,0.0527058606504,0.0401430287616,-0.035818942764,0.0,0.0231593267814,-0.0122421792217,0.0,-0.0016570174544,0.0495812950843,0.0,0.0,0.0,-0.0148069363158,0.0,0.0,-0.0509162329932,0.0,0.0237335292151,0.0,0.0,0.0,0.100375566568,-0.00203664278802
july,231,0.162511978534,-0.0338540061194,0.134473873568,0.0348910999602,-0.0162869714413,0.1028688432,0.0913220244295,0.0213610480567,0.0,-0.0196610600499,-0.0717965949531,0.0,-0.081036151466,0.0732842583479,0.0,0.0,0.0,-0.109714202395,0.0,0.0,-0.0390786135941,0.0,0.121488891758,0.0,0.0,0.0,0.0324819606262,0.144423783328
august,294,0.0361685142017,-0.00221948100218,0.0424811448006,-0.00195175597339,0.0482879918109,-0.0273489182832,0.0762380896888,-0.0311845853969,0.0,-0.0301318959626,-0.092554866405,0.0,-0.0306328614798,0.10011424976,0.0,0.0,0.0,-0.0355518508648,0.0,0.0,0.000969665642991,0.0,0.120839809505,0.0,0.0,0.0,-0.0167122635642,0.0824595862516
september,273,0.0438031769897,0.00498472421661,0.0688968903968,0.07806754993,0.0872203434809,0.104013133552,-0.0233812565287,0.0695603502214,0.0,-0.00677116300286,-0.044295400306,0.0,-0.0670636453884,0.11138778598,0.0,0.0,0.0,0.0823195745553,0.0,0.0,-0.112200837042,0.0,0.0410704628022,0.0,0.0,0.0,0.097056240609,0.0850285757894
october,481,0.0338269343908,0.0383854819756,0.0345319305449,0.054744054492,-0.00065077932372,0.101475123977,0.0689600655455,-0.00574070795438,0.0,0.0394345417692,-0.0218742129358,0.0,-0.0129501878274,0.0906785777662,0.0,0.0,0.0,-0.0164859637937,0.0,0.0,0.0192385222796,0.0,0.0870988436244,0.0,0.0,0.0,0.0972904577451,0.0532164242247
november,479,0.171195917842,0.0291682499979,0.100519741594,0.145814932103,0.101175013764,0.190629969839,0.0751228106055,0.0772188158366,0.0,0.0956886629374,0.0552987994531,0.0,0.0352262584185,0.147834284484,0.0,0.0,0.0,0.12324800666,0.0,0.0,-0.0521759559006,0.0,0.0901538143695,0.0,0.0,0.0,0.130580967798,0.212346294929
december,296,0.134222437872,0.0155300867296,0.139240069373,0.00971203132419,0.127300902574,0.120360885398,0.127826962464,0.02145814569,0.0,0.000811937809517,-0.000331841617997,0.0,-0.0010631983016,0.0874169511249,0.0,0.0,0.0,0.170197849088,0.0,0.0,-0.122835898467,0.0,0.0137288479259,0.0,0.0,0.0,0.074809169058,0.127473343329
