text,score
,
april,
patients,0.9993714094161987
tolerated,0.8383153080940247
adverse,0.8004953861236572
lesion,0.7958138585090637
observed,0.7902944087982178
response,0.7690072655677795
chemotherapy,0.7454193830490112
metastatic,0.7393331527709961
benefit,0.7299427390098572
old,0.7246391177177429
primary,0.7123764753341675
event,0.7113307118415833
decreasing,0.6886656880378723
administered,0.6663537621498108
autoimmune,0.6649978756904602
SD,0.6609368920326233
term,0.6595699787139893
achieved a CR,0.6563684344291687
relapse,0.653476357460022
long,0.6524104475975037
,
august,
patients,0.9995571374893188
achieved CR,0.7986006140708923
mentioned that patients,0.7945963740348816
1 year,0.7650552988052368
disease,0.7628352642059326
refractory,0.7514762878417969
treatment,0.7377455234527588
stable,0.735727846622467
not relapse,0.7335202693939209
TL thinks,0.7277843952178955
critical,0.71270751953125
no issues,0.7070605158805847
3L,0.7007401585578918
maintenance,0.6991939544677734
HCP thinks,0.6820589900016785
restart,0.6731361746788025
stop,0.6702563166618347
treated with nivo,0.6467199921607971
exhausted,0.6291844248771667
cHL,0.6279157996177673
,
december,
patients,0.9994819760322571
ECOG,0.8116304874420166
treatment,0.7954943180084229
due to toxicity,0.7801478505134583
acute,0.775213360786438
prior,0.7713184356689453
react,0.7710447907447815
grade,0.7471952438354492
patient achieve,0.7347322106361389
brain mets,0.7322216033935547
chemotherapy,0.7252638339996338
CR,0.7215144634246826
metastatic melanoma,0.7151145935058594
GVHD,0.6828494668006897
immune system,0.6780157685279846
pt,0.6703567504882812
cannot tolerate,0.6604329347610474
relapse,0.6537613868713379
monotherapy,0.6521791219711304
TL expressed,0.6372228264808655
,
february,
patients,0.9993046522140503
vs,0.8819854259490967
added,0.8701527714729309
performance status,0.8681513071060181
responding,0.8604903221130371
clinical benefit,0.8519316911697388
nivo monotherapy,0.8439942598342896
combo,0.8350958824157715
monotherapy,0.833069384098053
ipi/nivo,0.829971194267273
treatment,0.8265992403030396
due,0.8191527128219604
salvage,0.7913445830345154
well,0.7908222079277039
basis,0.7827001214027405
discontinue,0.7812791466712952
determine,0.7722707390785217
regimen,0.7607226371765137
1L,0.7518419623374939
started,0.7451972961425781
,
january,
patients,0.9992051720619202
major academic,0.9633115530014038
immunotherapy,0.9567455649375916
brain,0.9536972045898438
steroids,0.9491211175918579
BRAF,0.9431105256080627
RT,0.9400162696838379
appropriate,0.9378938674926758
utilizing,0.9177701473236084
treatment,0.9077339172363281
melanoma,0.9022360444068909
manage,0.9006173610687256
more,0.889987051486969
melanoma patients,0.8832652568817139
Regimen,0.8735611438751221
agent,0.8713977336883545
reporting,0.8661448359489441
institute,0.8545633554458618
single,0.8302615880966187
study,0.8105766773223877
,
july,
patients,0.9994643330574036
sarcoma,0.8292487263679504
RTL mentioned,0.8233161568641663
bleo,0.8108078241348267
old,0.8033402562141418
AVD,0.7885289192199707
Bleomycin,0.7880972623825073
relapsed,0.7463776469230652
therapy,0.7437316179275513
no other options,0.7349516153335571
type,0.7245433926582336
treatment,0.7095583081245422
