text,score
,
april,
progression,0.9984386563301086
less,0.765471339225769
determine,0.7602977156639099
pseudoprogression,0.7179063558578491
seems,0.7079309225082397
likely,0.7044482827186584
severe,0.69551682472229
I-O agents,0.6816365122795105
still,0.665229082107544
seen,0.6558898091316223
true,0.6457639932632446
RTL participating,0.6411992907524109
BV,0.6236739754676819
objective,0.6180622577667236
correlation,0.6136952638626099
image,0.6108142733573914
attempt,0.609800398349762
approach,0.6073517203330994
observed,0.6060221195220947
responding,0.6028876900672913
,
august,
progression,0.9995418190956116
continues treatment,0.9662176966667175
true,0.9118784070014954
alternative,0.8957432508468628
drop,0.8887407183647156
case,0.840362012386322
cycles,0.8203922510147095
ABVD,0.8166479468345642
IO agents,0.8150346875190735
move,0.7876341938972473
not relapse,0.7760670781135559
mentioned that patients,0.7704077363014221
restart,0.7580528259277344
treatment,0.7447103261947632
immediate,0.7446884512901306
possibly,0.7272526025772095
viral,0.7160227298736572
stop,0.7098079919815063
stable,0.7069579362869263
1 year,0.7069382071495056
,
december,
progression,0.9983071684837341
prove,0.784848690032959
improvement,0.7480209469795227
demonstrated,0.7360508441925049
see a response,0.7347362041473389
comparator,0.7201532125473022
survival,0.7111862301826477
trial,0.7069120407104492
least,0.7047563791275024
subsequent,0.6858576536178589
shown,0.6794668436050415
activity,0.6696296334266663
previous,0.6643431186676025
toxicity profile,0.6634626388549805
single agent,0.6629403233528137
especially,0.6612997651100159
duration,0.6600114107131958
Nivo,0.6555880904197693
superior,0.6549288630485535
imbalance,0.6408317685127258
,
february,
progression,0.9990919828414917
resistance,0.8734331727027893
anti-PD1,0.8661780953407288
PD1,0.8631865382194519
mono,0.854641854763031
blockade,0.8527981042861938
therapy,0.8358328342437744
duration,0.8286970853805542
Ipi+Nivo,0.827849805355072
monotherapy,0.8260869979858398
continue treatment,0.8258301615715027
toxicity,0.817284345626831
checkpoint,0.7584531903266907
vs,0.749589204788208
combination,0.7347121238708496
salvage,0.7315233945846558
determine,0.7177578210830688
patients receive,0.7161177396774292
patients,0.6679978370666504
believes,0.6581670641899109
,
january,
utilizing,0.3542642295360565
appropriate,0.3428328037261963
due,0.33479028940200806
brain,0.32820844650268555
steroids,0.3207194209098816
immunotherapy,0.31314006447792053
more,0.29361945390701294
treatment,0.28899383544921875
manage,0.28490251302719116
RT,0.27233725786209106
BRAF,0.2430114448070526
nivo,0.23563411831855774
single,0.18405960500240326
patients,0.18047025799751282
equivalents,0.17156118154525757
melanoma,0.1715400218963623
Regimen,0.14413079619407654
dose,0.14278149604797363
felt,0.13647130131721497
high,0.11988655477762222
,
july,
progression,0.9988057613372803
stable disease,0.830564558506012
PR/CR,0.7911018133163452
stopping therapy,0.7778497338294983
explain,0.773105263710022
control,0.757186770439148
outcomes,0.7528547048568726
considering,0.739363968372345
duration of response,0.7372369766235352
nephrectomy,0.7098596096038818
Patients tolerating treatment,0.6996974349021912
true,0.6884180307388306
receive nivolumab,0.6828573346138
phenomenon,0.6728581190109253
