text,score
,
april,
regimen,0.9993022680282593
focus,0.8789597749710083
Ipi+Nivo,0.8673738241195679
toxicity,0.8357287645339966
want,0.8173301219940186
choice,0.8112208843231201
understood,0.8026423454284668
trumps,0.7813643217086792
anti-PD1 monotherapy,0.7754896283149719
associated,0.7681828141212463
subsequent,0.7646508812904358
HCPs,0.7562794089317322
expressed,0.7418136596679688
thinks,0.7103308439254761
exclusively,0.6964117288589478
alone,0.6872663497924805
emphasize,0.6834928393363953
monotherapy,0.6787469387054443
TL stated,0.6740517020225525
OS data,0.6738934516906738
,
august,
regimen,0.9992116689682007
monotherapy,0.8557096719741821
option in 2L,0.787703812122345
1L NSCLC,0.7565507888793945
not encountered,0.7308320999145508
Nivo monotherapy,0.7134985327720642
inclusion,0.6843595504760742
reinforces,0.6661939024925232
Medicare,0.6605852842330933
Reactively shared,0.6544293761253357
AI said,0.6318563222885132
comparing,0.6235647797584534
said he was surprised,0.6213411688804626
nivo/ipi,0.6068304181098938
hurdles,0.606086254119873
NCCN guidelines,0.6032266616821289
CM 012,0.5987191796302795
not a good,0.5899381637573242
look,0.5856771469116211
separate,0.5767011046409607
,
december,
regimen,0.9986807703971863
minimal,0.8284194469451904
seen,0.8279300928115845
toxicity,0.7619988918304443
melanoma patients,0.7347766160964966
Nivolumab or Ipilimumab,0.728365957736969
unsolicited comment,0.7197736501693726
noted,0.7192221283912659
much less,0.6830996870994568
service,0.6819093227386475
SCLC,0.6817504167556763
lung patients,0.672048032283783
NTL stated,0.6675305962562561
Academic RTL for GI,0.6674879193305969
q,0.6602072715759277
stated,0.6529058814048767
panelist at an NCCN center,0.6526709198951721
label,0.64720618724823
Advisor,0.6431928277015686
RTL in SCCHN,0.6430080533027649
,
february,
regimen,0.9986920952796936
nivo monotherapy,0.8896774649620056
benefit,0.8680881261825562
durable,0.864120364189148
exacerbate,0.8631080985069275
comorbidities,0.8492738604545593
disease,0.8485032916069031
bevacizumab,0.8213540315628052
vs,0.8181188702583313
combo,0.8179916143417358
stabilized,0.8054691553115845
ipi/nivo,0.803562581539154
responding,0.8017843961715698
RCC,0.7894589900970459
utilized,0.7880498766899109
single agent,0.7781885862350464
survival,0.7758349776268005
patients,0.7611892819404602
elderly,0.7557180523872375
see more,0.7546421885490417
,
january,
Regimen,0.9986538887023926
agent,0.977215051651001
melanoma patients,0.9693682789802551
single,0.9649349451065063
treatment,0.9263068437576294
clinical,0.9061762094497681
major academic,0.879446268081665
patients,0.8740434646606445
brain,0.845664381980896
melanoma,0.8429766893386841
steroids,0.8387855291366577
reporting,0.8226466178894043
RT,0.8217756748199463
BRAF,0.7919051051139832
utilizing,0.7873421907424927
immunotherapy,0.7863290309906006
institute,0.7780376672744751
aware,0.7744120359420776
more,0.7736591100692749
appropriate,0.7682468295097351
,
july,
regimen,0.998263955116272
Grade,0.7721928358078003
discontinue,0.7072473168373108
AEs,0.6884205341339111
probably,0.6813997626304626
thinks,0.6570944786071777
doesn't provide,0.6537767648696899
