text,score
,
april,
therapy,0.9988524317741394
common,0.7556774616241455
prior,0.7405994534492493
year,0.7392590641975403
efficacy,0.7310532927513123
relief,0.7118281126022339
immune,0.7101381421089172
increased,0.6884227395057678
t,0.647554874420166
inhibitors,0.641369104385376
explanation,0.6303278207778931
treated,0.6277772188186646
combination,0.624721109867096
hopes,0.6208279728889465
play,0.6133919358253479
significantly,0.6127654314041138
cabozantinib,0.6050750017166138
not be an option,0.6007205247879028
feels,0.5988461971282959
comparable,0.5854418873786926
,
august,
therapy,0.9994457364082336
not relapse,0.796342670917511
BRAF,0.7907991409301758
inhibitor,0.7880926728248596
alternative,0.7795218229293823
stable,0.7759327292442322
active,0.7736742496490479
CAR-T,0.7617011070251465
PD1 inhibitor,0.7498553395271301
BRAF/MEK,0.7381863594055176
1 year,0.7030913829803467
patients treated,0.684371829032898
progression,0.6657871007919312
continues treatment,0.6633208394050598
immediate,0.6590639352798462
remission,0.6548113226890564
complete,0.6534558534622192
action,0.6479069590568542
two patients,0.639989972114563
bridge,0.6346719861030579
,
december,
therapy,0.9990501403808594
relapse,0.8149125576019287
randomized,0.7809990048408508
chemotherapy,0.7594312429428101
HPV+,0.7221670150756836
far,0.7086701989173889
no toxicities,0.6966114044189453
line,0.6896687746047974
doublet,0.6863216161727905
platinum,0.6714521646499634
toxic,0.6654847264289856
immune system,0.6515347957611084
clinical trial,0.6481464505195618
allowing,0.6433719396591187
extensive,0.6409732103347778
patient population,0.6384174227714539
long term,0.6338504552841187
profile,0.6329847574234009
CR,0.6195582151412964
benefit,0.6172332167625427
,
february,
therapy,0.9992304444313049
monotherapy,0.8930196166038513
no longer,0.878001868724823
anti-PD1,0.838187575340271
salvage,0.8375869989395142
vs,0.8371073007583618
progression,0.8357171416282654
toxicity,0.8254706859588623
Ipi+Nivo,0.8215205073356628
started,0.8140481114387512
continue treatment,0.8084750771522522
believes,0.8049737811088562
combination,0.7948365211486816
PD1,0.783615231513977
mono,0.7797678112983704
duration,0.7772506475448608
patients receive,0.762061595916748
several,0.7535519599914551
combo,0.7435574531555176
resistance,0.7324662208557129
,
january,
dose,0.8525492548942566
HCP,0.7838823795318604
nivo,0.7335335612297058
due,0.698386013507843
melanoma,0.651563286781311
treatment,0.6433258056640625
prednisone,0.5880774855613708
utilizing,0.5704193115234375
10mg,0.5518325567245483
institute,0.531073808670044
steroids,0.4996452033519745
major academic,0.4778609573841095
agent,0.458803653717041
appropriate,0.45608383417129517
Regimen,0.4560394585132599
patients,0.4432227611541748
brain,0.4309234619140625
equivalents,0.3837945759296417
immunotherapy,0.37969499826431274
RT,0.3033783435821533
,
july,
therapy,0.9990671873092651
ICE,0.8603428602218628
transplant,0.8554226756095886
AVD,0.843393087387085
Brent,0.8432183265686035
post ASCT,0.8430652022361755
Bleo shortage,0.84076988697052
RTL mentioned,0.8387530446052551
post,0.8383849263191223
Bendamustine,0.8319889903068542
Brentuximab,0.8309144377708435
y/o,0.8194688558578491
