text,score
,
april,
treatment,0.9987131357192993
tissue,0.7995771169662476
potential,0.778796911239624
avoid,0.7631534337997437
insurance,0.7476896643638611
group,0.7361387610435486
algorithms,0.7278861999511719
become,0.7162467241287231
GI tumors,0.7125212550163269
mutational load,0.709129810333252
s,0.7073694467544556
solution,0.6870543956756592
need,0.6712769269943237
guidelines,0.6662203669548035
bladder,0.6485053300857544
variety,0.6479271054267883
MSI-H,0.6418502330780029
commercial,0.6417675614356995
useful,0.6314818859100342
adding,0.6314085125923157
,
august,
treatment,0.9994093775749207
achieved CR,0.8192838430404663
not relapse,0.7778401374816895
mentioned that patients,0.7707337141036987
TL thinks,0.7685885429382324
elo,0.7622665166854858
HCP thinks,0.7558247447013855
initiating,0.7548478841781616
progression,0.744809091091156
1 year,0.7400792241096497
stop,0.7399747371673584
patients,0.7378546595573425
lines of therapy,0.7290363311767578
prior,0.7065100073814392
continues treatment,0.6980463862419128
two patients,0.6962152719497681
period,0.694762110710144
GVHD,0.6875180602073669
restart,0.6869361996650696
SCT,0.6835193634033203
,
december,
treatment,0.9992549419403076
patients,0.7956750988960266
ECOG,0.7595471143722534
metastatic melanoma,0.7553505301475525
CR,0.7466923594474792
due to toxicity,0.7367969751358032
acute,0.7246454358100891
GVHD,0.7165402770042419
chemotherapy,0.7145618200302124
3mg,0.7081158757209778
PD-1 inhibition,0.7067375183105469
monotherapy,0.7004395723342896
achieved,0.6982404589653015
brain mets,0.6914553642272949
patient achieve,0.6902190446853638
NTL stated,0.6901343464851379
near,0.6880789995193481
grade,0.6878286004066467
stop,0.6822272539138794
dosing,0.6737962961196899
,
february,
treatment,0.9992856383323669
clinical benefit,0.9599974155426025
well,0.9368687868118286
pseudoprogression,0.9203757047653198
performance status,0.9058449268341064
clinical trials,0.900138258934021
due,0.8912564516067505
lesion,0.854620099067688
added,0.8434786200523376
most,0.839511513710022
initial,0.8293296098709106
patients,0.8266151547431946
believes,0.8227445483207703
no longer,0.8131118416786194
important,0.8104041218757629
increase,0.8083356618881226
agreement,0.801859438419342
continue treatment,0.7980490922927856
agree,0.7871155738830566
commented,0.7761712074279785
,
january,
treatment,0.9989709854125977
steroids,0.948790967464447
melanoma,0.9425457715988159
brain,0.9315288662910461
Regimen,0.9260127544403076
patients,0.9079467058181763
agent,0.9076144099235535
major academic,0.9050073027610779
utilizing,0.8909524083137512
RT,0.8795766830444336
immunotherapy,0.8792593479156494
single,0.8774943351745605
melanoma patients,0.8661352396011353
institute,0.8156036734580994
BRAF,0.8066100478172302
appropriate,0.8041800260543823
nivo,0.8029846549034119
manage,0.790306568145752
more,0.743378221988678
clinical,0.7389010787010193
,
july,
treatment,0.9984798431396484
chemotherapy,0.7944921255111694
sarcoma,0.7705131769180298
patients,0.7102579474449158
treating,0.698467493057251
therapy,0.6517067551612854
male,0.6482996940612793
transplant,0.6370841264724731
family,0.624009907245636
failure,0.6123732328414917
old,0.6067848801612854
avoided,0.6022174954414368
Bleomycin,0.5911368727684021
