doc_id,doc_text,doc_date,Subset 0,Subset 1,Subset 0_centrality,Subset 1_centrality,Theme 0,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5,Theme 6
uuid-bdc89a6119f24669ac6b70b619aa1724,Is there any data for the treatment of Sarcoidosis with abatacept?,2016-01-01 00:00:00, USA, IMMUNOSCIENCE,-0.0218159,0.513832,0,0,0,0,0,0,0
uuid-9c8596208c884d9fa4733f0f3511232a,Is Belatacept available in the UK?,2016-01-01 00:00:00, USA, TRANSPLANT,0.00996026,0.586914,0,0,0,0,0,0,0
uuid-520496332d5e435aa367eff7b45f5a03,What is the immunogenicity of abatacept?,2016-01-04 00:00:00, USA, IMMUNOSCIENCE,-0.0231386,0.494945,0,0,0,0,0,0,0
uuid-981043bb87a44615ac6352904656e1d0,real-world data on bleeding with the DOACs in NVAF?,2016-01-04 00:00:00, USA, CARDIOVASCULAR,-0.0128652,0.0800337,0,0,0,0,0,0,0
uuid-ce2f090a53d24c80b19ee788d363d9b6,Do you have any data/recommendations on administrating Nivolumab to pts with Corneal Transplant?,2016-01-04 00:00:00, USA, ONCOLOGY,0.0869463,0.197228,0,0,0,0,0,0,0
uuid-33ee447fff154f3581d8cce8e6f377d0,Dr. Goodman asked for information about patients with COPD taking Orencia.,2016-01-04 00:00:00, USA, IMMUNOSCIENCE,-0.000970809,0.479608,0,0,0,0,0,0,0
uuid-e5ef1d16a3494aa7bdd658604bc037d0,What's the bleeding hositalization and costs,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0044497,0.200286,0,0,0,0,0,0,0
uuid-f5d7a8bfd809481eab43c9e67f617184,Do you have any data on efficacy and safety if Eliquis is taken only once a day?,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0834251,0.366268,0,0,0,0,0,0,0
uuid-8dd167cf98864b3cb5773e06b7579de2,What was the level of monoclonal antibody effect on SPEP?,2016-01-04 00:00:00, USA, ONCOLOGY,-0.0324424,-0.0692559,0,0,0,0,0,0,0
uuid-fdb21b955ec543ea9d307667ec7dbc87,data on discontinuation rates with the DOACs?,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0729868,0.243554,0,0,0,0,0,0,0
uuid-8617fc4c74f34de69164188f9a6fd8e8,Are there any trial opportunities with BMS in GI malignancy?,2016-01-04 00:00:00, USA, ONCOLOGY,0.0500693,0.202411,0,0,0,0,0,0,0
uuid-2410828e4e4d4ec2bcd15014d9fdcdd2,"Are there studies planned to better understand PDL1 testing and which, if any, PDL1 assay should be utilized?",2016-01-04 00:00:00, USA, ONCOLOGY,-0.00863032,0.183628,0,0,0,0,0,0,0
uuid-936be9231c2a421f9f290045c0bf9953,when will reversal agent be avail,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0,0.0,0,0,0,0,0,0,0
uuid-2fc27f4dc986410e872eedb6a6c579f3,Does Empliciti delete NK cells?,2016-01-04 00:00:00, USA, ONCOLOGY,-0.0604172,0.0834653,0,0,0,0,0,0,0
uuid-6ef3406eee794023a695f58c33d8d5fa,What's the discontinuation experience of NOACs and warfarin in NVAF?,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0234318,0.250823,0,0,0,0,0,0,0
uuid-8fdcdc8c74584c52ac381bf30bd3a75e,Is there any data with Empliciti in lenalidomide refractory patients?,2016-01-04 00:00:00, USA, ONCOLOGY,0.00798845,0.100618,0,0,0.233252431651,0,0,0,0
uuid-a487c118bdf5410bbeb068761f88bd29,What's the adherence experience of apix,2016-01-04 00:00:00, USA, CARDIOVASCULAR,0.0513683,0.248471,0,0,0,0,0,0,0
uuid-dbd89e004e204a2796e1de2dff0aee1e,Do you have data in combo with Velcade?,2016-01-04 00:00:00, USA, ONCOLOGY,0.0826811,0.143385,0,0,0,0,0,0,0
uuid-fd8faf4a44ae4eb7ad09c69f465299bd,Data on abatacept and ultrasound,2016-01-04 00:00:00, USA, IMMUNOSCIENCE,0.0481545,0.478748,0,0,0,0,0,0,0
