term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
apix,Area, CARDIOVASCULAR,316.789371713,2.13025880898e-84,409,83,Why does apix not interact with dilt or amio?,why does apix not interact with dilt or amio?,Why does apix not interact with amio or dilt?,492
apixaban,Area, CARDIOVASCULAR,292.370190977,8.16030544291e-152,813,773,"What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?","What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?","What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?",1586
reversal agent for apixaban,Area, CARDIOVASCULAR,200.633268752,1.44824778592e-53,152,297,What is the status of the andexanet alpha reversal agent for apixaban?,What updated information do you have regarding reversal for Eliquis (Andexanet) status of approval?,What is the status of the approval for andexanet alfa?,449
Eliquis,Area, CARDIOVASCULAR,176.434080635,8.40922081753e-136,667,1005,Do you have any data comparing Eliquis to Xarelto or Pradaxa in NVAF patients?,Can you explain the REVISIT US data?  Do you have stroke data for apixaban compared to warfarin?,How does apixaban compare to the other NOACs and warfarin in the real world re: bleeding in NVAF patients?,1672
bleeding,Area, CARDIOVASCULAR,106.916412953,1.99547472789e-55,446,352,What's RWD bleeding hospitalization cost NVAF NOACs?,What's RWD hospitalization costs bleeding of NOACs for NVAF?,"What's the RWD bleeding, hospitalization, and costs with NOACs in NVAF?",798
data with Apix,Area, CARDIOVASCULAR,95.036811514,3.03879775569e-25,84,216,area there data with apix use in pts undergoing vein procedures in the legs as treatment or prophylaxis?,Is there any data on the use of Eliquis in patients undergoing peripheral venous stent placement?,What is data with Apix and vein procedures and svt?,300
DOACs,Area, CARDIOVASCULAR,95.036811514,3.03879775569e-25,136,232,What independent comparative real-world data is available comparing effectiveness and safety of DOACs and warfarin in NVAF?,What real-world comparative data is available comparing the effectiveness and safety of the DOACs vs warfarin in NVAF?,What comparative real-world data is available comparing the NOACs vs warfarin in NVAF in terms of effectiveness and safety?,368
ARISTOTLE,Area, CARDIOVASCULAR,92.396900083,1.5566165406e-24,80,293,How was valvular disease defined in ARISTOTLE and what data do you have in valvular heart disease (non-mechanical valve) patients?,What was the efficacy and safety of Eliquis  in the ARISTOTLE patients with valvular heart disease?,Can you send me the poster from AHA including  bio prosthetic heart valve data in patients in aristotle?,373
NOACs,Area, CARDIOVASCULAR,78.7573576898,7.83107503782e-60,291,548,What is the most recent RWD comparing bleeding rates across NOACs since ACC 2015?,What RWD you have comparing bleeding rates on OACs?,Do you have any RWD that compares bleeding between NOACs?,839
warfarin,Area, CARDIOVASCULAR,77.8773872128,1.23731303404e-20,134,189,"What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?","What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?","What is Effectiveness and Safety of Dabigatran, Rivaroxaban, and Apixaban Versus Warfarin in Nonvalvular Atrial Fibrillation?",323
VTE,Area, CARDIOVASCULAR,77.2174093551,1.13239119681e-39,193,146,Please send me a copy of the recent JAMA article by Creager et al on VTE awareness,What do the new CHEST guidelines say regarding duration of therapy for the prevention of recurrence of VTE?,Do you have any plans to evaluate efficacy and safety in patients with cancer for VTE treatment or prevention?,339
AMPLIFY,Area, CARDIOVASCULAR,73.9175200664,1.42993610221e-19,70,180,What is the data around patients who met 2/3 abc criteria in amplify?,What was the efficacy and safety of Eliquis in the AMPLIFY trial in patients with cancer?,What was the efficacy and safety of Eliquis in patients with cancer in amplify?,250
ablation,Area, CARDIOVASCULAR,71.2776086355,7.30407108186e-19,60,204,What data do you have for using Eliquis in patients undergoing Cardioversion?  Did patients undergo a TEE before the Cardioversion?,Is there any data on the use of Eliquis in patients undergoing peripheral venous stent placement?,"What data do you have with apixaban in cardioversion, ablation, watchman device procedures?",264
Eliquis in patients,Area, CARDIOVASCULAR,68.6376972045,3.72839566569e-18,79,158,Do you have any studies or data in patients with hyper coagulate states or thrombophilias?,Do you have any data for Eliquis in patients with hyper coagulable states?,Is there any data on Eliquis in patients with hyper coagulable states?,237
reversal,Area, CARDIOVASCULAR,66.6577636313,4.58052551448e-34,517,234,When will the reversal agent for the factor Xa inhibitors be approved by the FDA?,Inquired about the status of the reversal agent for factor Xa inhibitors,What is the status of a reversal agent for Eliquis and what data do you have regarding antidote?,751
NVAF patients,Area, CARDIOVASCULAR,64.6778300581,4.29356011484e-17,49,1116,Do you have any data comparing Eliquis to Xarelto or Pradaxa in NVAF patients?,What data does Eliquis have in NVAF patients with respect to any commercial or government database for major bleeding?,What is RWD for Eliquis in NVAF patients with respect to major bleeding?,1165
cancer patients,Area, CARDIOVASCULAR,64.6778300581,4.29356011484e-17,60,242,What was the efficacy and safety of Eliquis in the AMPLIFY trial in patients with cancer?,What is the data for apixaban in VTE treatment in cancer patients?,What is the data for apixaban in VTE treatment in cancer patients?,302
NVAF,Area, CARDIOVASCULAR,64.0178522004,1.15408243108e-32,266,538,Wha'ts the bleeding hospitalization and costs of NVAF and NOACS?,What is RWD for Eliquis in NVAF patients with respect to major bleeding?,What data does Eliquis have in NVAF patients with respect to any commercial or government database for major bleeding?,804
hospitalization,Area, CARDIOVASCULAR,63.3578743427,9.69143582469e-17,64,604,Wha'ts the bleeding hospitalization and costs of NVAF and NOACS?,What's RWD bleeding hospitalization cost NVAF NOACs?,"What's the RWD bleeding, hospitalization, and costs with NOACs in NVAF?",668
major bleeding,Area, CARDIOVASCULAR,62.0379186272,2.18700790157e-16,54,737,What is the most recent RWD comparing bleeding rates across NOACs since ACC 2015?,What RWD you have comparing bleeding rates on OACs?,Do you have any RWD that compares bleeding between NOACs?,791
abatacept,Area, IMMUNOSCIENCE,1291.80964153,2.2419035793e-134,244,112,Is there information on seroconversion of anti-CCP with abatacept in RA patients and how does this differ from TNF inhibitors?,Is there information available on the use of abatacept in RA patients with high anti-CCP titers?,Is there information on seroconversion of anti-CCP in RA patients with abatacept?,356
Orencia,Area, IMMUNOSCIENCE,1010.98145859,2.10086304785e-205,317,109,What new data for the treatment of early RA with Orencia was presented at EULAR 2016?,Any new data for treatment of early RA with Orencia presented at EULAR 2016?,What data was presented at ACR 2016 for Orencia? What were the results of the psoriatic arthritis trial presented at ACR?,426
RA patients,Area, IMMUNOSCIENCE,327.632880099,1.8771575148e-34,44,322,Is there information on seroconversion of anti-CCP with abatacept in RA patients and how does this differ from TNF inhibitors?,What real-world data are available regarding abatacept efficacy in dual seropositive (RF/CCP) vs single-seropositive vs seronegative RA patients?,What comparative data are available regarding abatacept vs TNF-inhibitor onset in biologic naive RA patients?,366
use of abatacept,Area, IMMUNOSCIENCE,327.632880099,1.8771575148e-34,48,220,"What data is available for the use of Orencia in pediatric patients with psoriatic arthritis? If not, what data is available in adults?",What data are available regarding use of abatacept in adult onset Still's disease?,What information is available on the use of abatacept in psoriatic arthritis?,268
