Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
apixaban,2.92456541696e-06,34,-5.48936629847e-05,82,-3.58711202074e-05,97,-5.761038765e-06,84
Eliquis,1.25739172727e-06,56,-6.74129245989e-05,87,-3.64353586541e-05,98,-2.85433740714e-06,76
Opdivo,4.82084637885e-06,21,-1.67078528418e-06,45,4.49723637841e-05,9,2.13681386233e-05,2
patients,-4.75237344107e-06,93,5.1755771163e-05,11,1.4364274177e-06,45,7.07885097841e-06,48
trials,5.32329852064e-06,18,-1.05709353831e-05,57,9.32592907983e-06,28,1.89200800839e-06,62
dosing,6.1242085416e-07,60,-3.58953277406e-05,75,-2.89867528094e-06,60,8.94683883991e-06,38
nivolumab,8.70504404277e-06,12,-8.81582364237e-06,55,3.97233494638e-05,11,1.2237139772e-05,25
apix,-1.30804772707e-06,83,-4.18888515235e-05,77,-2.48286441544e-05,93,-4.04041218704e-06,79
Empliciti,-1.12913740505e-05,99,-7.39599252779e-05,90,-2.7279365504e-06,58,5.22174574317e-06,52
Orencia,5.65721163626e-07,61,0.000186971925297,2,2.82935473978e-06,40,9.52815122025e-06,36
data,6.98427775179e-06,14,1.74897122093e-05,23,5.46546896354e-07,50,-1.85783611422e-05,94
BMS,4.07909773816e-06,26,1.96223517823e-05,20,-6.1402044263e-07,52,-1.25438237374e-05,90
Nivo,1.06068033751e-05,4,-1.80875667602e-05,62,4.58319385937e-05,7,1.60965835146e-05,14
EASL,1.3346204991e-06,54,3.09057573002e-05,14,1.06161863516e-06,47,-3.70481783743e-05,100
NOACs,4.584895835e-07,63,-9.060370483e-05,94,-2.73252571806e-06,59,1.01280489556e-05,31
bleeding,-6.92362494274e-07,78,-0.000100165272332,99,-4.28267057619e-06,67,9.69812691044e-06,35
RWD,1.47317452487e-07,68,-9.7835997803e-05,98,-4.52460437111e-06,68,3.12954728324e-06,58
reversal agent for apixaban,2.23418296436e-06,44,1.44631033507e-05,24,-2.54215013929e-05,95,-9.36555375597e-07,71
Elo,-1.0552688229e-05,98,-8.03294367208e-05,92,-8.76323804425e-07,53,5.6601907484e-06,50
updates,3.77626759725e-06,28,0.000101402939204,8,1.43837949204e-06,44,-1.48787473797e-05,92
abatacept,5.09154958558e-07,62,0.00016450456512,3,-5.57719629869e-06,69,5.64224941603e-06,51
efficacy,3.74495566423e-06,29,4.35275501796e-05,13,2.88219503083e-05,17,1.19900436506e-05,27
combination,6.21379251629e-06,15,-5.62591644466e-05,83,3.0118921815e-05,16,1.82502516081e-05,8
NSCLC,1.02871879241e-05,5,-7.55378658285e-06,53,5.05958822728e-05,2,1.85373768006e-05,7
VTE,1.39724947239e-06,52,1.28260841259e-05,26,-1.26873984275e-05,81,2.69247475432e-07,68
elotuzumab,-9.55737352759e-06,97,-5.81780948025e-05,84,-3.45275416071e-06,63,4.18057517729e-06,56
regimen,2.38265148519e-06,40,-1.80227928568e-05,61,3.24168713886e-05,15,1.22203023828e-05,26
Requested,3.00428769919e-06,32,7.17436794174e-05,10,3.90910018652e-06,37,-3.03559871079e-05,98
therapy,-3.74610506614e-06,91,-1.48193022491e-07,42,3.34718294571e-06,39,1.266992967e-05,23
reversal,2.8684267742e-06,35,-2.02378977497e-05,63,-3.95203064596e-05,99,-1.41886709684e-06,72
NVAF,-1.21228711157e-06,82,-9.53505728559e-05,96,-1.13280884514e-05,78,8.59481178709e-06,41
study,5.1788414267e-06,19,-2.53635890454e-05,70,1.13747365143e-05,25,2.12058018734e-06,61
clinical trials,4.10321914743e-06,25,3.76766264807e-06,35,1.72131983267e-05,23,5.11351257834e-06,53
outcomes,2.77821032322e-06,36,-4.50776591055e-05,80,-1.0362539785e-05,75,5.9856094772e-06,49
pts,-1.07904787945e-06,81,-1.66491042706e-05,60,3.83419081844e-06,38,-1.67961702338e-06,73
RCC,1.00792575916e-05,8,1.67184157359e-06,36,5.12261565123e-05,1,1.89079611829e-05,5
treated,-1.37066518213e-06,84,0.000113182083426,7,4.85847706058e-06,35,7.29430602939e-06,46
belatacept,3.28351541646e-07,64,-4.58196167303e-06,49,-1.06696208777e-05,76,1.634225398e-06,65
data is available,1.92929130519e-06,47,3.89699508335e-06,34,-1.03021159595e-05,74,1.17484628386e-05,28
melanoma,1.02866983788e-05,6,8.28925627005e-06,30,4.84731213472e-05,5,1.70935733785e-05,11
incidence,-5.04423374858e-07,76,0.000118271272546,6,1.09500432403e-05,26,1.6420983756e-05,13
data with Apix,-3.23999237071e-06,89,-5.17234344728e-06,50,-1.43673293028e-05,82,-4.77295199994e-06,81
DOACs,-2.20990607321e-07,72,-7.85139505485e-05,91,-2.31030436856e-06,56,1.36606660236e-05,19
status,2.33445848216e-06,41,1.3200834334e-05,25,-2.52866287603e-05,94,-7.61249203622e-07,70
ARISTOTLE,2.27845926374e-06,43,1.3802005446e-06,38,-7.90296974288e-06,70,-1.86819554615e-06,75
efficacy and safety,9.09936900878e-06,10,-4.25966851972e-05,78,5.96502471644e-06,32,1.30148959405e-05,21
Yervoy,7.03473827669e-06,13,-2.17676732376e-05,67,3.66060163167e-05,13,1.86139353233e-05,6
comparative data,1.68328418832e-06,49,-3.41281753102e-05,74,-1.49302302908e-06,54,1.49009601918e-05,17
adherence,-4.52271804939e-07,75,-9.27045292142e-05,95,-1.45738488692e-05,83,8.13743926395e-06,43
regarding,-6.37896486599e-10,70,1.87534849387e-05,21,-3.5185719067e-06,64,-8.41541600101e-06,87
compared,4.38390776169e-06,24,-2.45595303074e-05,69,4.93065654811e-06,34,1.89967525933e-05,4
agent,2.31435430709e-06,42,-4.48163461843e-05,79,-3.51318593378e-05,96,1.69372877812e-06,64
indication,3.97403159827e-06,27,0.000140475773546,5,-8.37222513963e-06,71,-3.45087204871e-06,77
pipeline,2.52746342304e-06,39,9.50274185555e-07,39,-1.51243097066e-05,84,-9.50368288545e-06,88
SCLC,1.28790670242e-05,1,-2.2301393253e-06,47,4.53952911407e-05,8,1.31979937235e-05,20
ESRD,5.60917866303e-08,69,-8.2172265953e-06,54,-2.25978946858e-05,91,-1.23455576242e-05,89
RA,1.53574865369e-07,67,0.000190894887468,1,-4.48919289327e-07,51,7.24193415009e-06,47
warfarin,4.58419625208e-06,23,-2.03873914153e-05,64,-1.23702361464e-05,80,-1.05089623591e-07,69
vs,4.58740873958e-06,22,1.60187887936e-06,37,2.33758477088e-05,20,2.16304077799e-05,1
discuss,9.04621704524e-07,59,4.61749664349e-06,33,6.30538610643e-07,48,-2.62137674476e-05,96
guidelines,-1.36732270425e-07,71,2.13294523423e-05,19,-3.45171588259e-06,62,-8.18805748034e-06,86
patients receiving,-2.54415934659e-06,85,-2.09311466867e-05,65,8.1172260011e-06,29,1.68863647922e-05,12
AMPLIFY,2.55686385979e-06,38,-2.61023787143e-05,71,-1.6901177793e-05,85,4.94930715084e-07,67
treatment,-8.2275417986e-07,79,0.000143694126969,4,1.04873040043e-05,27,-1.80140639354e-06,74
Ipi,1.10265233075e-05,2,-1.57177268705e-05,59,3.97800704236e-05,10,1.4810173521e-05,18
transplant,-3.48885424979e-06,90,9.24154486268e-07,40,6.22268272861e-07,49,1.72990556496e-06,63
ablation,1.58393915167e-06,51,-2.54367991335e-06,48,-2.09184887717e-05,88,-1.44239718862e-05,91
Daklinza,-3.16588113159e-06,88,-7.97135855274e-07,43,-3.69043932157e-06,66,-2.77495490952e-05,97
Eliquis in patients,1.70925421892e-06,48,7.95827475769e-06,31,-9.63393528099e-06,73,-5.20671173494e-06,82
GBM,8.98879587388e-06,11,9.69005390537e-06,29,2.80275811216e-05,19,4.27333634187e-06,55
combined,2.03330653327e-06,46,-6.84045339874e-05,88,2.18926770966e-05,21,1.76254351608e-05,9
data with Opdivo,1.01383823645e-05,7,-1.74939377768e-06,46,4.94299750434e-05,4,9.90729194847e-06,34
NVAF patients,1.00594048652e-06,58,-7.3607029732e-05,89,-2.04390699505e-05,87,2.60538581314e-06,59
steroids,-4.92269525607e-06,94,-1.20711170774e-05,58,4.23215551276e-06,36,9.93012184356e-06,33
stroke,-8.60155262806e-07,80,-6.37447542673e-05,86,-1.80316633957e-05,86,4.89436361049e-06,54
hospitalization,-3.05170598629e-06,87,-0.000106314695706,100,-2.60238643212e-06,57,1.00932753549e-05,32
MSL,2.87471466574e-07,66,1.23676766631e-05,27,1.79811298704e-06,42,-3.22528365115e-05,99
PDL1,5.45104503999e-06,17,5.02053042936e-06,32,3.85663767121e-05,12,1.24030675467e-05,24
major bleeding,-6.07913408058e-07,77,-9.74890364069e-05,97,-8.77998482066e-06,72,8.71382048283e-06,39
antidote,3.04247366701e-06,31,-1.23981810363e-06,44,-4.13040445586e-05,100,-3.81747001541e-06,78
comparative,-4.20872279506e-07,74,-2.14469512758e-05,66,2.51879068208e-06,41,1.54609182048e-05,15
data comparing,2.96663824907e-06,33,-8.25261438379e-05,93,-1.14595852387e-05,79,1.08500029425e-05,30
efficacy data,1.07419011511e-05,3,2.8394637555e-05,15,5.05393558491e-05,3,1.50158112742e-05,16
data with apixaban,2.08842236329e-06,45,-2.68189318611e-05,72,-2.22229709254e-05,90,-5.28428338654e-06,83
lymphoma,2.60562721076e-06,37,2.32034133246e-05,18,1.40756535654e-05,24,1.08933063248e-05,29
clinical,4.8524029287e-06,20,4.81228971337e-05,12,1.54541807915e-06,43,-4.60316474993e-06,80
cHL,1.30199733388e-06,55,-2.24937316004e-05,68,2.86667405797e-05,18,8.232286739e-06,42
rationale,1.35208822103e-06,53,-3.05640219567e-05,73,-2.20196209953e-05,89,2.24747144496e-06,60
TL wanted to know,-6.88167268455e-06,95,-6.26312659944e-05,85,6.31663254863e-06,30,9.52133808573e-06,37
ipi+nivo,9.80035275019e-06,9,-9.60245601135e-06,56,4.62420534195e-05,6,1.94198907175e-05,3
recommendation,-3.54458200906e-07,73,1.85243406671e-05,22,-2.36084668572e-05,92,-7.6531123833e-06,85
presentation,1.15782771637e-06,57,2.03579978936e-09,41,5.98109804569e-06,31,-2.20857831553e-05,95
TL,2.91976310021e-07,65,2.40086041541e-05,17,-2.0741589113e-06,55,-1.63577961027e-05,93
patients treated,1.6235184438e-06,50,9.47586788445e-05,9,3.36086848683e-05,14,1.75561938626e-05,10
Revlimid,-1.18040798992e-05,100,-5.38627895225e-05,81,1.20702025512e-06,46,8.62142103848e-06,40
Sprycel,-4.16529875898e-06,92,2.66626687108e-05,16,-1.09886989912e-05,77,7.65426694328e-06,44
prior,-8.65929774703e-06,96,-4.08173059959e-05,76,-3.25037838982e-06,61,7.32722149874e-06,45
flat dosing,6.08713655761e-06,16,-5.89102646704e-06,51,2.04934276815e-05,22,1.27215282943e-05,22
renal,-3.00475467733e-06,86,-6.36267060662e-06,52,-3.63419346357e-06,65,3.17501138004e-06,57
cancer,3.44664260797e-06,30,1.1025113086e-05,28,5.38017626844e-06,33,1.10638987132e-06,66
